Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,190.7,36.623,55.9938162631099,,3556749.0,345476.0,9.71325785205227
YR1961,1651.0,245860.0,,14.730388246785,,,,,,,,,,,,,,,,,,,190.0,36.816,55.9298377063896,1.75030596022107,3619551.0,370527.0,10.2368241697066
YR1962,1651.0,245860.0,,14.993785609637,,,,,,,,,,,,,,,,,,,189.3,36.997,55.8882851515075,1.77232348862438,3684273.0,398816.0,10.824825151229
YR1963,1651.0,245860.0,,15.2651554615009,,,,,,,,,,,,,,,,,,,188.5,37.196,55.8668200320745,1.79369877461217,3750954.0,430254.0,11.4705143585108
YR1964,1651.0,245860.0,,15.5450187204949,,,,,,,,,,,,,,,,,,,187.6,37.415,55.832184144267,1.81674374730281,3819722.0,464751.0,12.1671453534433
YR1965,1651.0,245860.0,,15.8339410711379,,259000000.0,,,,,,,,,,,,,,,,,186.7,37.653,55.803539013958,1.84155572885827,3890716.0,502213.0,12.907971697918
YR1966,1651.0,245860.0,,16.1328137717727,,343000000.0,,,,,,,,,,,,,,,,,185.5,37.959,55.7915817862296,1.86995152307995,3964155.0,542544.0,13.6862469538261
YR1967,1651.0,245860.0,,16.4421007650985,,,,,,,,,,,,,,,,,,,184.4,38.224,55.7700344801256,1.89898449225515,4040153.0,585629.0,14.4952246830592
YR1968,1651.0,245860.0,,16.7611509034674,,350000000.0,,,,,,,,,,,,,,,,,183.2,38.501,55.7395510239709,1.92185971247423,4118550.0,631298.0,15.3281584475084
YR1969,1651.0,245860.0,,17.0857073091323,,363000000.0,,,,,,,,,,,,,,,,,182.0,38.824,55.6908576913105,1.91785217785192,4198300.0,679214.0,16.1783018090653
YR1970,1651.0,245860.0,,17.4081678333062,,372000000.0,,,,,,,,,3220224607.81851,79491244444.0,,752.822503572388,73190891539.0,,,,180.7,39.06,55.6099417526751,1.86972276538896,4277535.0,728845.0,17.0389083296211
YR1971,1651.0,245860.0,,17.7242389711867,,648000000.0,,,,,,,,5.62234594397708,3594302908.06164,88465686089.0,5.36581840766522,825.289977053096,81454032841.0,,31.0666007995606,,179.2,39.372,55.4900974134256,1.79936243747705,4355200.0,779722.0,17.9032315710672
YR1972,1651.0,245860.0,,18.0339085137555,,721000000.0,,,,,,,,5.5773840553355,4203069035.01427,95562129221.0,2.31517953300373,948.497421297055,87988022882.0,840.0,26.0731296539307,,177.7,39.683,55.3339923586611,1.73206559165963,4431292.0,831511.0,18.764525095295
YR1973,1651.0,245860.0,0.0151395153282935,18.3392642031581,,747000000.0,,,,,,,,9.96406676333521,5152080387.55572,106730971300.0,1.567286805691,1143.30003514078,98271639838.0,1010.0,29.6588592529297,,176.0,39.937,55.1497689857375,1.67905541612983,4506324.0,883962.0,19.6160424641959
YR1974,1651.0,245860.0,0.0254769570053182,18.6411769493733,,,,,,,,,,4.14811388303909,5691417541.33871,116994349811.0,5.25022118210843,1242.5292252039,107721558866.0,1230.0,29.9117908477783,,174.5,40.229,54.9418077899622,1.63286020856153,4580510.0,936762.0,20.4510372396612
YR1975,1651.0,245860.0,0.014255822458477,18.9397525638939,,,,,,,,,,4.82218350547832,6102769605.43001,126164173287.0,2.87692057391091,1311.33051362563,116164596337.0,1370.0,30.2668590545654,,172.8,40.606,54.7107888898188,1.58900751393153,4653876.0,989543.0,21.2627629835823
YR1976,1651.0,245860.0,-0.0103507700439215,19.2374328503988,,,,,,,,,,6.19921193375721,6762781870.6211,144601511158.0,7.92336831492435,1430.66435286764,133140619367.0,1420.0,28.9770603179932,69.4,170.7,41.028,54.460133674013,1.55949851370945,4727022.0,1042047.0,22.0444732578505
YR1977,1651.0,245860.0,-0.0264665763008397,19.5390200227902,,,,,,,,,,4.61392584267801,6914381290.57116,146201017654.0,-3.35306984404892,1440.15766515101,134613351456.0,1360.0,32.1614418029785,70.1,168.4,41.409,54.1955036399779,1.55554843907411,4801128.0,1094149.0,22.7894216243573
YR1978,1651.0,245860.0,0.0077899859368898,19.8512697379131,,1681000000.0,,,,,,,,2.16033425907771,8087305999.0597,159510311452.0,6.79626447493203,1657.96393230706,146867771244.0,1530.0,33.1454200744629,71.2,165.9,41.882,53.930729981948,1.58544787408347,4877854.0,1145850.0,23.490861644994
YR1979,1651.0,245860.0,-0.0058577724969514,20.1826591242064,,1357000000.0,,,,,,,,7.63474575147927,8877094497.44971,169614759965.0,-1.2078607444173,1789.99554924567,156171356818.0,1690.0,34.3055686950684,72.3,163.3,42.343,53.6843182456333,1.65558047894271,4959283.0,1197272.0,24.1420468816519
YR1980,1651.0,245860.0,0.0057456375978018,20.541343805958,,1144000000.0,0.902357645982379,,,,,,,6.23678176955913,9746524915.08071,184880788236.0,2.60138796577117,1930.99184257949,170227423336.0,1910.0,34.9408798217773,73.3,160.7,42.842,53.4677076078182,1.76158496918686,5047419.0,1248541.0,24.7362308962224
YR1981,1651.0,245860.0,-0.0135801384706118,20.9314992674589,,1100000000.0,0.793828345445229,,,,,,,8.63763178724368,9646440666.52864,202074767716.0,0.60973715523906,1875.53966772396,186058634635.0,1920.0,33.439281463623,73.9,158.1,43.33,53.2864139353645,1.88155401416115,5143288.0,1299537.0,25.2666672505969
YR1982,1651.0,245860.0,-0.0033540072963942,21.3563079928374,,1169000000.0,0.639108637534101,,,,,,,29.6656631157964,11926032493.4301,266737988603.0,1.80000476238145,2272.63298724274,245596748796.0,1930.0,31.6896190643311,74.0,155.5,43.863,53.1332039362601,2.00919860191692,5247672.0,1350048.0,25.7266095066668
YR1983,1651.0,245860.0,0.0025115840664418,21.8126892397851,,,,,,,,,,29.3191781682752,15129893722.3449,349427679418.0,1.30001183458037,2822.83932284682,321732582801.0,2040.0,30.677490234375,73.5,152.9,44.226,53.0032665312639,2.11447232994811,5359814.0,1399704.0,26.1147891604759
YR1984,1651.0,245860.0,0.0037999082835424,22.3021976233111,,,,,,,,,,25.2464475436293,18421497251.1767,443772837177.0,1.40000945946362,3361.5282015455,408600089494.0,2460.0,29.7747001647949,72.3,150.4,44.858,52.8978646448771,2.2193346066594,5480096.0,1450406.0,26.466799138267
YR1985,1651.0,245860.0,0.0048710607048029,22.8323823864561,,,,,,,,,,19.0000467262398,22787644565.9059,554494011199.0,4.9999305837981,4061.69867242443,510545674767.0,3110.0,33.9902191162109,70.6,147.8,45.31,52.815869178027,2.3494586683239,5610373.0,1503434.0,26.7973899426865
YR1986,1651.0,245860.0,0.288746084714818,23.4033371316946,,,,228288286.93742,645257400000.0,40.5770272469583,23.5759393067974,274422708700.0,28.2893446642682,69.6611853545174,2909130355.238,970056789780.0,3.11404003445122,505.876944250303,917562270480.0,1140.0,31.8695793151856,68.6,145.3,45.719,52.7553842440565,2.46988162367405,5750668.0,1558922.0,27.1085339065344
YR1987,1651.0,245860.0,0.4316840622809,24.0118753052255,,,,243414312.474834,866493000000.0,42.7516661105747,23.5721864116866,399727862800.0,31.3455079702817,27.259990113432,2976714019.06852,1275231727554.0,3.29993884280005,504.510868799406,1222024137554.0,730.0,30.3927593231201,66.7,142.8,46.107,52.7061000924122,2.56698876959701,5900198.0,1616834.0,27.4030510441306
YR1988,1651.0,245860.0,0.451030888508573,24.6482744587335,,,,266587291.039717,1178634500000.0,39.7422431817903,22.9136712546723,480697741600.0,29.1468377228269,21.6536391309608,3476480303.12273,1649227769308.0,6.30811670197524,574.001127225182,1586987034608.0,590.0,31.7060108184814,64.9,140.1,46.478,52.6556558753889,2.61583840073543,6056574.0,1676687.0,27.6837613697955
YR1989,1651.0,245860.0,0.347707963801776,25.2963169461175,,,,284294066.85266,1420043864200.0,41.7534082655351,22.7642720637953,592294445400.0,28.2310746793426,22.3155734208137,3546079262.94987,2098023019412.0,4.0034760101484,570.493417986787,1997502395812.0,580.0,32.4036598205566,63.2,137.4,46.86,52.5868183100469,2.59519135197266,6215811.0,1737536.0,27.9534848978491
