Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,,37.554,59.1022838915747,,577633.0,77870.0,13.4809606179676
YR1961,1577.0,36130.0,,20.7159317211949,,,,,,,,,,,,,,,,,,,,37.788,58.8153955490857,0.844540064268752,582532.0,79872.0,13.7111391553898
YR1962,1577.0,36130.0,,20.9628022759602,,,,,,,,,,,,,,,,,,,,38.032,58.1778840118478,1.18464942776204,589474.0,82009.0,13.9122047275785
YR1963,1577.0,36130.0,,21.1386201991465,,,,,,,,,,,,,,,,,,,,35.644,57.4735770733533,0.835216175210618,594418.0,83748.0,14.0891587291475
YR1964,1577.0,36130.0,,20.9296941678521,,,,,,,,,,,,,,,,,,,,35.807,56.2662371313566,-0.993278443213835,588543.0,83842.0,14.2457051600975
YR1965,1577.0,36130.0,,20.4482574679943,,,,,,,,,,,,,,,,,,,,35.92,54.7923454645216,-2.32712547391382,575005.0,82718.0,14.3855480204289
YR1966,1577.0,36130.0,,20.1603129445235,,,,,,,,,,,,,,,,,,,,36.083,53.8386773856405,-1.41817033447277,566908.0,82272.0,14.5123913101424
YR1967,1577.0,36130.0,,20.2350995732575,,,,,,,,,,,,,,,,,,,,36.344,53.6570470518145,0.370273303416468,569011.0,83246.0,14.6299390292385
YR1968,1577.0,36130.0,,20.5608108108108,,,,,,,,,,,,,,,,,,,,36.672,53.9561893560718,1.59681769741658,578170.0,85233.0,14.7418951777177
YR1969,1577.0,36130.0,,20.6831436699858,,,,,,,,,,,,,,,,,,,,36.959,53.9125874727051,0.593217694390572,581610.0,86381.0,14.8519637555805
YR1970,1577.0,36130.0,,20.7824679943101,,,,40810259.7632026,141810506.0,34.1885886489373,21.2455009300062,35173761.0,31.2989809600458,,204670550.76064,112379892.0,,350.221594962107,112379892.0,,,,,37.258,53.8650159778577,0.479069331436835,584403.0,87449.0,14.9638487628276
YR1971,1577.0,36130.0,,20.847119487909,,,,44214490.5304367,143086096.0,38.4700695532581,22.0778515884799,36357589.0,33.0714957187356,1.80727370099329,204167296.856603,109936331.0,-3.91096745830764,348.277009620267,109936331.0,,28.9080200195312,,,37.538,53.7977603990307,0.310603825240566,586221.0,88409.0,15.0812541994595
YR1972,1577.0,36130.0,,20.8613086770982,,,,51938810.9095906,161154931.0,39.9857278202757,22.4622333375776,38984937.0,31.7565423613043,4.97439546023635,227986203.29754,122761907.0,6.37486089368753,388.643761374553,122761907.0,400.0,33.7412185668945,,,37.82,53.6905950109057,0.0680399159635165,586620.0,89212.0,15.2078840654768
YR1973,1577.0,36130.0,,21.0813655761024,,,,56843855.9322034,184594920.0,46.7863189162033,24.3939024357504,44855982.0,32.7235694185836,10.4339034453453,232331281.355932,137075456.0,1.10989279037214,391.9165756129,137075456.0,430.0,42.6780815124512,,,38.17,53.963554779587,1.0493318421835,592808.0,90981.0,15.3474423608799
YR1974,1577.0,36130.0,,21.8114509246088,,,,64797636.5131579,209554336.0,44.2667937755718,25.4917958567167,51718749.0,33.1284111334754,8.92442665595168,256769730.263158,156115996.0,4.55924104815846,418.643114014064,156115996.0,480.0,51.6404418945312,,,41.613,53.9627791178933,3.40456014341579,613338.0,95090.0,15.5036330856695
YR1975,1577.0,36130.0,-0.045885808387148,23.149573257468,,,,64859690.4298852,217964866.0,31.1316201898574,25.3616832614503,48491429.0,26.8663143063251,7.20304453867237,283311996.82299,180491557.0,7.84558431997402,435.217809874848,182053157.0,500.0,78.759162902832,,,41.934,53.4498729580347,5.95412429004963,650966.0,102073.0,15.6801602398461
YR1976,1577.0,36130.0,,24.6867354196302,,,,72760019.69144,235857711.0,33.2079182418747,15.5265278404544,69959153.0,36.38376819319,1.51369032560868,292152321.493146,192281219.0,4.94345530491698,420.852937438178,187425919.0,460.0,82.5712127685547,,,42.253,52.561796797853,6.42897252779947,694191.0,110243.0,15.8807278234103
YR1977,1577.0,36130.0,0.0133836704394057,26.3794096728307,,,,55395142.1358226,226827453.0,41.9065072655771,22.6390856793005,57409647.0,31.2065134683243,3.0658374894474,298871674.860041,183966873.0,-7.17006997088463,402.906587803326,180403773.0,400.0,,,,42.578,51.4762611225961,6.63176973706005,741789.0,119495.0,16.1090398363626
YR1978,1577.0,36130.0,,28.1541251778094,,,,67365363.1123919,282189188.0,43.7877945105241,19.9873605247197,62848650.0,28.3997096326013,6.33587998803505,318876550.432277,221300326.0,13.1260433802209,402.777525700936,216697226.0,430.0,72.5933609008789,,,42.908,50.419322099623,6.51101173696825,791694.0,129591.0,16.3688002787036
