Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,,42.742,55.930453862305,,269807.0,70236.0,26.0317601840134
YR1961,2156.0,28050.0,,9.80021390374332,,,,,,,,,,,,,,,,,,,,43.008,55.6968011480726,1.86859557379736,274896.0,71777.0,26.1106039982883
YR1962,2156.0,28050.0,,9.99237076648841,,,,,,,,,,,37253333.3333333,2235200000.0,,132.911859077276,2235200000.0,,,,,43.275,55.4826141869376,1.94176661178561,280286.0,73237.0,26.1294480996515
YR1963,2156.0,28050.0,,10.1948306595365,,,,,,,,,,,44266666.6666667,2656000000.0,,154.797498528375,2656000000.0,,,,,43.54,55.2856118755792,2.00589152712553,285965.0,74767.0,26.1454840819746
YR1964,2156.0,28050.0,,10.4079144385027,,,,,,,,,,,51915000.0,3114900000.0,,177.826417576094,3114900000.0,,,,,43.805,55.2487219229814,2.06857266929944,291942.0,76369.0,26.1589984657337
YR1965,2156.0,28050.0,,10.6323707664884,,,,,,,,,,,64748333.3333333,3884900000.0,,217.10289545039,3884900000.0,,,,,44.069,55.366016403007,2.13366730644402,298238.0,78050.0,26.170277771405
YR1966,2156.0,28050.0,,10.8684135472371,,,,,,,,,,,69110000.0,4146600000.0,,226.694963901345,4146600000.0,,,,,44.334,55.4874548561794,2.19575491679709,304859.0,79811.0,26.1796085194648
YR1967,2156.0,28050.0,,11.1160427807487,,,,,,,,,,,72317446.9327193,4459600000.0,,231.931646165774,4459600000.0,,,,,44.595,55.5946825740447,2.25286177814358,311805.0,81653.0,26.1872772303891
YR1968,2156.0,28050.0,,11.3671657754011,,,,,,,,,,,67514285.7142857,4726000000.0,,211.743758689178,4726000000.0,,,,,44.852,55.6535470607514,2.23396440698247,318849.0,83518.0,26.1935704246541
YR1969,2156.0,28050.0,,11.4979322638146,,,,,,,,,,,67225714.2857143,4705800000.0,,208.44083966338,4705800000.0,,,,,31.0,55.5872335213857,1.14382115394422,322517.0,84496.0,26.1987746227361
YR1970,2156.0,28050.0,,11.4368270944742,,,,,,,,,,,66331428.5714286,4643200000.0,,206.766858699665,4680300000.0,,,,,31.086,55.4257597341671,-0.532862045525006,320803.0,84061.0,26.2031763451112
YR1971,2156.0,28050.0,,11.2634581105169,,,,,,,,,,,64946954.756798,4511800000.0,,205.56736961701,4541200000.0,,81.1984481811523,,,37.229,55.2680180857411,-1.52749054286298,315940.0,82799.0,26.2070621122556
YR1972,2156.0,28050.0,,11.0327272727273,,,,,,,,,,,65429198.238708,4205200000.0,,211.424761974446,4194000000.0,,,,,44.441,55.1339718484625,-2.06976279303395,309468.0,81114.0,26.2107184446454
YR1973,2156.0,28050.0,,10.7765062388592,,,,,,,,,,,81203226.9138345,4730900000.0,,268.634902338667,4742800000.0,,,,,44.658,55.0048547463209,-2.34976458724834,302281.0,79241.0,26.2144318627569
YR1974,2156.0,28050.0,,10.5152584670232,,,,,,,,,,,94159862.7073691,5431800000.0,,319.236836741342,5452800000.0,,96.9521408081055,,,41.486,54.8553498353975,-2.45410267253101,294953.0,77332.0,26.2184888870663
YR1975,2156.0,28050.0,,10.2638502673797,,,,,,,,,,,104295643.388437,5987300000.0,,362.262178278078,6010400000.0,,,,,37.32,54.6732128870464,-2.41993505724465,287901.0,75497.0,26.2231760380496
YR1976,2156.0,28050.0,,10.0189304812834,,,,,,,,,,,103653049.93797,6934700000.0,,368.831374253979,6961400000.0,,,,,30.537,54.445336004455,-2.41516875067634,281031.0,73711.0,26.2287798361831
YR1977,2156.0,28050.0,,9.8673440285205,,,,,,,,,,,103987520.075827,7899100000.0,,375.705960625002,7929400000.0,,,,,42.008,54.2273799674108,-1.52456297201672,276779.0,72615.0,26.235586801943
YR1978,2156.0,28050.0,,9.85850267379679,,,,,,,,,,,,,,,,,,,,42.331,54.0500957398913,-0.0896423403181654,276531.0,72572.0,26.2438834558054
YR1979,2156.0,28050.0,,9.97668449197861,,,,,,,,,,,,,,,,,,,,43.033,53.8868629766676,1.1916521453509,279846.0,73471.0,26.2539563182465
YR1980,2156.0,28050.0,,10.2903386809269,,,,,,,,,,,50642880.7737503,5602621900.0,,175.451008071362,5398736700.0,,,,,48.78,53.7427657300441,3.09546430075943,288644.0,75815.0,26.2660919097425
YR1981,2156.0,28050.0,-0.490043635816068,10.8111229946524,,,,,,,,,,14.4428282122201,36731422.8456914,6781722600.0,5.76942050301955,121.125080282047,5566002500.0,,115.512809753418,,,49.107,53.6031973460972,4.93700481495151,303252.0,79696.0,26.2805767507696
YR1982,2156.0,28050.0,1.01592409698718,11.487201426025,,,,,,,,,,40.4180066354334,44294647.733479,9732420000.0,2.20167594636722,137.468802708366,7590188100.0,110.0,111.147003173828,,128.7,49.666,53.4662253484846,6.06579850861936,322216.0,84735.0,26.297697361804
