Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,1.47784758493376,14996000.0,4.85730295953435,532842111.33301,389431000.0,23.8403575243247,,,,,4274890306.82895,376366000.0,,513.085862390915,404650505.6845,,,19.9,38.7,70.4343170731707,66.1283036663583,,8331725.0,4652815.0,55.8445548559924
YR1961,652.0,131960.0,,65.1516679596587,2.10357934997025,14770000.0,4.24357000022985,579797459.394288,448207000.0,22.9913263932097,,,,1.09637902436619,4892397431.33292,430732000.0,13.2038386052462,582.563503591063,457179359.687229,,,19.9,38.1,70.2830243902439,66.1152442014338,0.792901846960662,8398050.0,4733211.0,56.3608306346623
YR1962,652.0,131960.0,,65.5409852598914,-0.475428291049914,14970000.0,4.04842971228294,633817690.4972,480706000.0,22.4734245291982,,,,4.69014087100359,5140542929.42067,452579000.0,0.364812289877747,608.475515462307,485833123.111082,640.0,,19.9,37.3,70.2246097560976,66.1517971113285,0.595777103319398,8448233.0,4816062.0,57.0067328146866
YR1963,652.0,131960.0,,65.7845228859581,3.18466272791599,15803000.0,3.82448463962285,683521755.111653,543893000.0,23.6848583843941,,,,1.11058320127798,5813285626.64404,511808000.0,11.8448666655957,685.559282001744,542687339.316292,720.0,,20.1,36.3,70.5639756097561,66.2605563491245,0.370892005189515,8479625.0,4901105.0,57.7986091689676
YR1964,652.0,131960.0,,66.0234988363072,0.617302978512609,16570000.0,3.57356211032106,797377683.744031,636853000.0,23.6523336983065,,,,3.40564752766717,6576906345.11518,579038000.0,9.40967732368279,772.805500770312,609525733.046679,810.0,,20.3,35.3,70.4581707317073,66.3599326528851,0.36261254676326,8510429.0,4995231.0,58.6954022821796
YR1965,652.0,131960.0,,66.3330721489527,3.22087246997095,18460000.0,3.49846492059281,917810087.104875,738342000.0,23.945765535259,,,,4.07820054760542,7582209670.27425,667546000.0,10.7680109720411,886.773611071551,692808773.68753,910.0,,20.4,34.4,71.3916829268293,66.0479256663517,0.467787696313794,8550333.0,5101317.0,59.6621967992899
YR1966,652.0,131960.0,,66.8242901474011,4.90341596130601,21040000.0,3.58468738765907,1029598799.15594,796100000.0,24.2945972977104,,,,4.92139913277347,8472021466.86847,745886000.0,6.49450138060494,983.55754915871,770610308.944741,1000.0,,20.6,33.5,71.800512195122,65.6321804048407,0.73780408125038,8613651.0,5225392.0,60.6640773652658
YR1967,652.0,131960.0,,67.3707370054306,1.8413570275059,27560000.0,4.34570766758805,1234207807.37458,858006000.0,23.5664542343246,,,,2.1698376841794,9146592855.683,805276000.0,5.66948643356486,1053.2588863313,832781567.719544,1090.0,,20.8,32.4,71.307,65.557098823112,0.814411517253211,8684088.0,5355141.0,61.6661286250748
YR1968,652.0,131960.0,,67.8104344453064,0.139060583507832,32291000.0,4.69018026641258,1331435136.69353,950117000.0,22.9670402425466,,,,1.47716900598193,9950331205.83108,876038000.0,7.20371768036424,1138.38219032671,904083046.140105,1200.0,,20.7,30.9,71.4037317073171,65.3909299664128,0.650532889746133,8740765.0,5474641.0,62.6334352236841
YR1969,652.0,131960.0,,68.0586811481769,2.63891868835485,37453000.0,4.78878606005897,1487964321.89732,1101304000.0,22.6276040427119,,,,3.18127431922461,11454106327.0756,1008432000.0,11.5636684082563,1305.64395976862,1026588588.26284,1360.0,,20.4,29.3,71.9788780487805,65.1098810487737,0.36542076251453,8772764.0,5573432.0,63.5310818060611
YR1970,652.0,131960.0,0.385888411595596,68.2141660201707,2.8416706788411,41696000.0,4.19730219448359,1660409090.90909,1237772000.0,22.4573900261878,,,,3.79931906495332,12957113636.3636,1140226000.0,8.93058020025967,1473.60394808707,1151501217.4159,1510.0,,20.2,27.6,72.6807804878049,64.6293640806532,0.228196508250718,8792806.0,5655898.0,64.3241530171731
YR1971,652.0,131960.0,0.291893556781431,68.5107525213344,3.28947072230333,45429000.0,4.11919917305914,1814034090.90909,1371438000.0,22.6683462129259,,,,2.97502278878564,14388806818.1818,1266215000.0,7.84117657760304,1629.3452793287,1285933184.39691,1690.0,,19.8,26.2,72.8671707317073,64.2437738543849,0.433844787806772,8831036.0,5739200.0,64.9889767043221
YR1972,652.0,131960.0,0.330317254708727,68.9575484871994,4.33120123203356,50509000.0,3.95652514491618,2021625000.0,1591488000.0,24.6211247439018,,,,5.04662950588227,16650659090.9091,1465258000.0,10.1601515908652,1873.25412773592,1487367943.05224,1960.0,,19.2,25.1,72.656243902439,64.1983820783788,0.650037188006439,8888628.0,5830615.0,65.5963386905499
YR1973,652.0,131960.0,0.281344760908128,69.2714197051978,15.3846240702128,58668000.0,3.5177090640908,2473440736.47871,2115335000.0,30.8646346220425,,,,20.9103440146027,22037019562.7158,1915017000.0,8.09237907118801,2468.00395502023,1944102649.90657,2440.0,,18.4,24.5,72.9059268292683,64.1404412260778,0.454133111943996,8929086.0,5910218.0,66.1906248971366
YR1974,652.0,131960.0,0.268013766161626,69.5269356089992,26.5608465867349,92440200.0,4.82446883464592,3455829545.45455,2368179000.0,34.5535475231228,,,,22.7804892307246,24998715909.0909,2199887000.0,-6.43824057014004,2789.40577350635,2254152357.00806,2790.0,,17.5,23.9,73.3943658536585,64.077757322843,0.368183314375017,8962022.0,5983302.0,66.7628628278688
YR1975,652.0,131960.0,0.0853208087342758,70.1826299456943,13.6287617821754,134810000.0,5.84732162220776,4237396386.82253,2844757000.0,34.4031680223774,,,,13.1200014847577,28129128586.61,2646951000.0,6.36680794602181,3109.3794397892,2699454701.79729,3420.0,,17.0,23.2,73.4011707317073,64.0947762199183,0.938660353611257,9046541.0,6089086.0,67.3084435360774
YR1976,652.0,131960.0,0.992853013055033,71.2812257564003,13.0242794587956,167170000.0,5.82922738415295,4539785447.76119,3536209000.0,33.9735741250893,,,,16.4344567120675,30719552238.806,3293136000.0,6.85189869571943,3343.38819444676,3368597951.02712,3680.0,,16.5,22.2,73.6791219512195,64.0741111911311,1.55321356294865,9188150.0,6231657.0,67.8227580750934
YR1977,652.0,131960.0,1.0848516438207,72.2147323506594,12.3697970875078,198790000.0,5.91853565442111,5582997224.79186,4121020000.0,33.7628168225172,,,,13.7544131716417,35673080481.0361,3856260000.0,2.94100090620763,3832.32110004611,3948449164.93966,3860.0,,15.9,21.1,73.6803414634146,63.9599716484158,1.30110948889596,9308479.0,6357803.0,68.3011974982477
