Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,60.9,63.144,48.7994046195147,,94058.0,28588.0,30.3945129514131
YR1961,2350.0,340.0,,280.397058823529,,,,,,,,,,,,,,,,,,,57.1,63.553,48.9030843704601,1.34853912491693,95335.0,29163.0,30.5903083499239
YR1962,2350.0,340.0,,283.455882352941,,,,,,,,,,,,,,,,,,,53.3,63.752,49.0163424124514,1.08498273670856,96375.0,29681.0,30.7972262992318
YR1963,2350.0,340.0,,285.867647058824,,,,,,,,,,,,,,,,,,,49.5,63.783,49.1105509542672,0.847243793058263,97195.0,30139.0,31.0091496401403
YR1964,2350.0,340.0,,287.529411764706,,,,,,,,,,,,,,,,,,,46.0,64.199,49.3821603927987,0.579622560920894,97760.0,30522.0,31.221194851805
YR1965,2350.0,340.0,,288.432352941176,,,,,,,,,,,,,,,,,,,43.0,64.78,49.2869634380752,0.313542311843207,98067.0,30821.0,31.4284784133816
YR1966,2350.0,340.0,,288.591176470588,,,,,,,,,,,,,,,,,,,40.4,65.649,48.8705329616853,0.0550492398757289,98121.0,31032.0,31.6261168040256
YR1967,2350.0,340.0,,288.429411764706,,,,,,,,,,,,,,,,,,,38.4,66.46,48.7931597087676,-0.0560689560887035,98066.0,31194.0,31.8092265028927
YR1968,2350.0,340.0,,288.464705882353,,,,,,,,,,,,,,,,,,,36.7,66.912,48.9041829165711,0.0122359083275231,98078.0,31358.0,31.9729239891385
YR1969,2350.0,340.0,,288.835294117647,,,,,,,,,,,,,,,,,,,35.4,66.975,49.1846096665631,0.128386726553951,98204.0,31536.0,32.1123257419185
YR1970,2350.0,340.0,,289.452941176471,,,,,,,,,,,,,,,,,,,34.5,66.856,49.6306419818319,0.21361226322397,98414.0,31713.0,32.223663251327
YR1971,2350.0,340.0,,290.141176470588,,,,,,,,,,,,,,,,,139.160125732422,,33.7,66.874,50.1236720460628,0.237488820758765,98648.0,31881.0,32.3182727231583
YR1972,2350.0,340.0,,290.520588235294,,,,,,,,,,,,,,,,,138.195724487305,,33.1,67.151,50.6119845713071,0.130682556270758,98777.0,32009.0,32.4050941218202
YR1973,2350.0,340.0,,290.320588235294,,,,,,,,,,,,,,,,,135.474594116211,,32.6,67.557,51.1556755497247,-0.0688656438303512,98709.0,32065.0,32.4846483012786
YR1974,2350.0,340.0,,289.664705882353,,,,,,,,,,,,,,,,,135.235580444336,,32.1,67.884,51.7167501814988,-0.226172159599266,98486.0,32065.0,32.5579373970587
YR1975,2350.0,340.0,,288.605882352941,,,,,,,,,,,,,,,,,108.483238220215,,31.6,68.004,52.2685119132544,-0.366203896319444,98126.0,32015.0,32.6259635446858
YR1976,2350.0,340.0,,287.152941176471,,,,,,,,,,,,,,,,,106.99681854248,,31.1,67.949,52.7877785345918,-0.504705859918714,97632.0,31916.0,32.6897288796851
YR1977,2350.0,340.0,-0.139870908579716,285.344117647059,18.4568835098337,,,,,,10.8470749550638,115958618.0,60.0712491011416,,71494495.1851852,193035137.0,,736.927499151542,189535137.0,,105.083251953125,,30.5,67.869,53.2604942407298,-0.631908765475971,97017.0,31773.0,32.7502355375818
YR1978,2350.0,340.0,1.58510210005355,283.25,18.1353767560665,,,,,,10.5153480173641,145550616.0,61.0350759485946,17.2732863140987,88322386.2962963,238470443.0,5.34140218518347,917.111118802723,234470443.0,,104.556838989258,,29.8,67.856,53.6750619129947,-0.736598234331371,96305.0,31596.0,32.8084856539013
YR1979,2350.0,340.0,0.0,280.852941176471,20.8828828828831,,,,,,11.1990070498427,162487495.0,58.8595325900755,9.62158803206393,102244362.222222,276059778.0,5.60208348590967,1070.73371266334,271559778.0,1060.0,104.425262451172,,29.0,67.941,54.0077495025657,-0.849870857407454,95490.0,31383.0,32.8654813641687
YR1980,2350.0,340.0,0.0,278.052941176471,21.821433894768,,,,,,10.2001519988392,187265603.0,62.5404372477722,9.04926319601825,110900457.037037,299431234.0,-0.534783988422475,1173.07809597238,293531234.0,1220.0,104.551803588867,,28.0,68.117,54.2453828090292,-1.00196598874308,94538.0,31124.0,32.9222248039094
YR1981,2350.0,340.0,0.0,276.623529411765,18.7874709409026,,,,,,11.6960196087249,188774701.0,60.4542982058926,2.70869455121156,115651918.888889,312260181.0,1.53418747275683,1229.65932557403,299060181.0,1260.0,102.874046325684,,27.0,68.348,54.7463105516097,-0.515404926932069,94052.0,31018.0,32.9792059879697
YR1982,2350.0,340.0,1.51472161927887,277.597058823529,7.81274141216489,,,,,,13.7217069526074,203862992.0,60.1940899324122,4.16360439310404,125435590.0,338676093.0,4.12426157156393,1329.00617695983,324376093.0,1290.0,102.990013122559,,26.0,68.597,55.6845211292228,0.35131513831279,94383.0,31176.0,33.0315953384808
YR1983,2350.0,340.0,1.8967622327697,279.258823529412,6.09534728193344,,,,,,13.0204536076812,216538922.0,60.8478295072984,1.3934847006406,131803552.222222,355869591.0,3.63257489695788,1388.16565090599,343669591.0,1290.0,105.293212890625,,24.9,64.333,56.6725997388044,0.596840113021801,94948.0,31406.0,33.076694005368
YR1984,2350.0,340.0,1.92395815483648,280.876470588235,5.65961278703288,,,,,,12.4923419912273,244980572.0,62.345551491522,6.61240813915163,145533310.740741,392939939.0,3.56846533761095,1523.94092798531,379739939.0,1380.0,105.518890380859,,23.9,69.095,57.5247649165428,0.577593154030681,95498.0,31626.0,33.1173008892946
YR1985,2350.0,340.0,2.4510516755026,282.679411764706,2.50138492350979,,,,,,12.8475029024482,283826867.0,62.6733619741445,8.74808516645101,167728455.185185,452866829.0,5.97970814111039,1745.15357435866,438716829.0,1560.0,108.122909545898,,22.8,69.338,58.2571193723923,0.639846866661526,96111.0,31866.0,33.1558609455493
YR1986,2350.0,340.0,2.38898282779597,284.676470588235,0.557079903550532,,,,,,13.3665220041479,319116857.0,63.0053463994399,4.33505390638366,187589522.592593,506491711.0,7.19427376957988,1938.10850906698,491501711.0,1850.0,107.571220397949,,21.9,69.574,58.8750962129548,0.703990963536969,96790.0,32129.0,33.1948191294205
YR1987,2350.0,340.0,6.84724044961457,286.841176470588,-0.872333388457509,,,,,,14.1745909679906,347276696.0,59.8210576115649,5.05935040117993,215009569.62963,580525838.0,9.09742510698013,2204.6384515886,562595838.0,2240.0,119.777290344238,,20.9,69.808,59.3723724955397,0.757532596023518,97526.0,32414.0,33.236620396197
YR1988,2350.0,340.0,6.3384830094354,289.141176470588,4.00000000000013,,,,,,14.4188804971622,380127974.0,59.5657528951816,6.76144923509206,236357523.703704,638165314.0,2.96679168426633,2404.25523562379,621225314.0,2490.0,123.282386779785,,20.1,70.045,59.7313558847912,0.798639824026673,98308.0,32721.0,33.2837097011674
YR1989,2350.0,340.0,3.92083713990509,291.532352941176,5.59294871794896,,,,,,13.4415579703239,443948822.0,61.5071035164209,8.99639076532455,267327642.222222,721784634.0,3.76773076437745,2696.98290193019,696044634.0,2620.0,,13.0,19.3,70.289,59.9452181940164,0.823591868977177,99121.0,33045.0,33.3385319996203
YR1990,2350.0,340.0,4.62931727452113,293.991176470588,2.72423736530525,,,,,,13.3015856636916,473665034.0,63.0824431597482,0.0159320996657328,278098762.962963,750866660.0,4.01261191599704,2782.18396873619,718806660.0,2730.0,128.854553222656,12.3,18.5,70.546,60.0183078723851,0.839876746030971,99957.0,33389.0,33.4035322468443
YR1991,2350.0,340.0,5.07852815781561,296.45,2.64460367880678,,,,,,15.3237567857892,500044100.0,61.578274539272,6.66990965002674,300757888.888889,812046300.0,1.38554578702994,2983.91643158641,793456300.0,2910.0,130.576065063477,11.5,17.7,70.823,59.9570406675067,0.83288152698663,100793.0,33749.0,33.4838633944224
YR1992,2350.0,340.0,7.28058070781046,298.829411764706,3.77833753148618,,,,,,15.2737436251632,532070400.0,63.5358617260457,4.01158053146258,310160444.444444,837433200.0,-0.851148756391396,3052.70018744163,823023200.0,3010.0,137.060562133789,10.7,17.0,71.125,59.7815977126322,0.79943112085571,101602.0,34169.0,33.6304612487265
YR1993,2350.0,340.0,6.53562032624543,301.123529411765,2.80859916782245,,,,,,14.8867611428621,545914400.0,65.2622873427856,1.88342481748877,309812185.185185,836492900.0,-1.95881558143746,3026.04154231393,813612900.0,2990.0,138.745727539062,9.9,16.3,71.45,59.5216932663945,0.764769591406898,102382.0,34671.0,33.8645013126556
