Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,,58.552243902439,54.0796461555234,,32500.0,18931.0,58.2503899413268
YR1961,,341700.0,,0.0986245244366403,,,,,,,,,,,,,,,,,,,,59.4261219512195,53.6822575335907,3.62577480226244,33700.0,20146.0,59.7808394274457
YR1962,,341700.0,,0.102429031314018,,,,,,,,,,,,,,,,,,,,60.0291219512195,53.3381440323279,3.78502241310975,35000.0,21690.0,61.9725780718926
YR1963,,341700.0,,0.106526192566579,,,,,,,,,,,,,,,,,,,,60.4535365853659,52.9342134581105,3.92207131532813,36400.0,23495.0,64.5465944414405
YR1964,,341700.0,,0.110038045068774,,,,,,,,,,,,,,,,,,,,60.9083658536586,52.4839086792351,3.2435275753154,37600.0,25214.0,67.0576770317163
YR1965,,341700.0,,0.1147205150717,,,,,,,,,,,,,,,,,,,,61.4213902439024,51.9899368459274,4.16726964005681,39200.0,27046.0,68.9954462385956
YR1966,,341700.0,,0.118525021949078,,,,,,,,,,,,,,,,,,,,61.8018292682927,51.9553631746191,3.26252273160766,40500.0,28451.0,70.2491655445124
YR1967,,341700.0,,0.122622183201639,,,,,,,,,,,,,,,,,,,,62.3363414634146,52.4403647563259,3.39838528155986,41900.0,29822.0,71.1740142841281
YR1968,,341700.0,,0.127011998829382,,,,,,,,,,,,,,,,,,,,62.7596341463415,52.9633828496628,3.51736141782671,43400.0,31229.0,71.955335922125
YR1969,,341700.0,,0.131401814457126,,,,,,,,,,,,,,,,,,,,63.1216097560976,53.4744092258196,3.39783536418493,44900.0,32595.0,72.5947847620593
