Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,,62.882,58.1261551517069,,69525.0,55137.0,79.3049689455811
YR1961,,540.0,,132.057407407407,,,,,,,,,,,,,,,,,,,,63.226,57.499246254058,2.53641931005011,71311.0,57934.0,81.240944464179
YR1962,,540.0,,135.540740740741,,,,,,,,,,,,,,,,,,,,63.349,57.3139324384329,2.60355321567046,73192.0,60842.0,83.1264025434844
YR1963,,540.0,,139.064814814815,,,,,,,,,,,,,,,,,,,,63.833,57.4678740262334,2.56678532803099,75095.0,63592.0,84.6827264701074
YR1964,,540.0,,142.607407407407,,,,,,,,,,,,,,,,,,,,64.104,57.8182927858613,2.51553339032095,77008.0,66179.0,85.9381114117584
YR1965,,540.0,,146.17037037037,,,,,,,,,,,,,,,,,,,,64.367,58.2140323316272,2.46774097464259,78932.0,68608.0,86.9207525361477
YR1966,,540.0,,149.711111111111,,,,,,,,,,,,,,,,,,,,64.639,58.5334628015858,2.39346494593436,80844.0,70867.0,87.6588450109854
YR1967,,540.0,,153.183333333333,,,,,,,,,,,,,,,,,,,,64.916,58.7370571630631,2.29279499456687,82719.0,72942.0,88.1805840039818
YR1968,,540.0,,156.598148148148,,,,,,,,,,,,,,,,,,,,65.201,58.854936556177,2.20474969877352,84563.0,74850.0,88.5141646828472
YR1969,,540.0,,160.007407407407,,,,,,,,,,,,,,,,,,,,65.499,58.9182276386068,2.15371523347388,86404.0,76630.0,88.6877822152918
YR1970,,540.0,,163.638888888889,,,,,,,,,,,,,,,,,,,,65.811,58.9645221524359,2.24419926070945,88365.0,78410.0,88.7338102941305
YR1971,,540.0,,167.52962962963,,,,,,,,,,,,,,,,,,,,66.064,59.1119364626685,2.34981258669886,90466.0,80282.0,88.7423942291572
YR1972,,540.0,,171.516666666667,,,,,,,,,,,,,,,,,,,,66.469,59.4213930187111,2.35202146814251,92619.0,82199.0,88.74929904439
YR1973,,540.0,,175.52037037037,,,,,,,,,,,,,,,,,,,,66.93,59.8682232292167,2.30746630427126,94781.0,84122.0,88.7542652620078
YR1974,,540.0,,179.516666666667,,,,,,,,,,,,,,,,,,,,67.532,60.411390609607,2.25129474719659,96939.0,86041.0,88.7579861576801
YR1975,,540.0,,183.438888888889,,,,,,,,,,,,,,,,,,,,68.011,60.9876131924044,2.16135273206952,99057.0,87924.0,88.7611550070765
YR1976,,540.0,,187.344444444444,,,,,,,,,,,,,,,,,,,,68.275,61.4910147678074,2.1067289998351,101166.0,89799.0,88.7644650858665
YR1977,,540.0,,191.292592592593,,,,,,,,,,,,,,,,,,,,69.024,61.8966485314333,2.08552828300454,103298.0,91696.0,88.7686096697198
YR1978,,540.0,,195.22962962963,,,,,,,,,,,,,,,,,,,,69.57,62.2716946411379,2.03722993175201,105424.0,93589.0,88.7742820343059
YR1979,,540.0,,199.325925925926,,,,,,,,,,,,,,,,,,,,70.116,62.5573109493527,2.07648500900313,107636.0,95562.0,88.7821754552944
YR1980,,540.0,,203.964814814815,,,,,,,,,,,,,,,,,,,,70.674,62.7439497732442,2.3006198885173,110141.0,97801.0,88.796202619978
YR1981,,540.0,,209.077777777778,,,,,,,,,,,,,,,,,90.9607391357422,,,71.18,62.9501691732653,2.47588226438941,112902.0,100316.0,88.8519526830834
YR1982,,540.0,,214.27962962963,,,,,,,,,,,,,,,,,89.1101379394531,,,71.681,63.2502527849556,2.45755173557328,115711.0,102940.0,88.9626286756888
YR1983,,540.0,,219.459259259259,,,,,,,,,,,,,,,,,87.336311340332,,,72.141,63.6599906335832,2.38847656986792,118508.0,105612.0,89.1179154321913
YR1984,,540.0,,224.633333333333,,,,,,,,,,,,,,,,,85.4617080688477,,,72.589,64.1969456523979,2.330283501527,121302.0,108333.0,89.308866885648
YR1985,,540.0,,229.846296296296,,,,,,,,,,,,,,,,,85.4406661987305,,,73.07,64.823371590401,2.29413652699201,124117.0,111118.0,89.5265369691159
YR1986,,540.0,,235.12037037037,,,,,,,,,,,,,,,,,84.1548385620117,,,73.324,65.3978080487065,2.2686788795191,126965.0,113966.0,89.7619796156522
YR1987,,540.0,,240.477777777778,,,,,,,,,,,,,,,,,84.3482208251953,,,73.468,65.8405110177616,2.25300878350915,129858.0,116880.0,90.0062487583139
YR1988,,540.0,,245.924074074074,,,,,,,,,,,,,,,,,84.1541595458984,,,73.429,66.1342851441459,2.23951611330527,132799.0,119852.0,90.2503983301582
YR1989,,540.0,,251.47962962963,,,,,,,,,,,,,,,,,77.9228591918945,,,73.503,66.2233660654126,2.23391444337327,135799.0,122878.0,90.4854822642422
YR1990,,540.0,,256.685185185185,,,,,,,,,,,,,,,,,,,,73.455,66.0111103095015,2.0488382898029,138610.0,125729.0,90.7067343821472
YR1991,,540.0,,261.246296296296,,,,,,,,,,,,,,,,,,,,73.518,65.6494664128982,1.76132526731674,141073.0,128291.0,90.9393667531683
YR1992,,540.0,,265.542592592593,,,,,,,,,,,,,,,,,,,,73.632,65.352093031365,1.63116255707427,143393.0,130772.0,91.1984367719938
YR1993,,540.0,,269.72962962963,,,,,,,,,,,,,,,,,,,,74.004,65.1233921601609,1.56448336556319,145654.0,133235.0,91.4732873968821
YR1994,,540.0,,273.82962962963,,,,,,,,,,,,,,,,,,,,74.344,64.9652560569429,1.50860377751961,147868.0,135677.0,91.7555535281099
YR1995,,540.0,,277.877777777778,,,,,,,,,,,,,,,,,,,,74.511,64.8467723393834,1.46752454118036,150054.0,138105.0,92.0368700659536
YR1996,,540.0,,281.794444444444,,,,,,,,,,,,,,,,,,,,74.638,64.747534821367,1.39965160010713,152169.0,140465.0,92.3088719106896
YR1997,,540.0,,285.583333333333,,,,,,,,,,,,,,,,,,,,74.7,64.6869630061927,1.33559873499167,154215.0,142746.0,92.5631939625945
YR1998,,540.0,,289.327777777778,,,,,,,,,,,,,,,,,,,,74.753,64.6498588682579,1.30263524924074,156237.0,144975.0,92.7914711219447
YR1999,,540.0,,293.127777777778,,,,,,,,,,,,,,,,,,,,74.789,64.6039838523208,1.30483910040137,158289.0,147186.0,92.9853382890167
YR2000,,540.0,,296.416666666667,,,,,,,,,,,,,,,,,,,,74.894,64.5087933027208,1.11575065774253,160065.0,149084.0,93.1395316242857
YR2001,,540.0,,298.757407407407,,,,,,,,,,,,,,,,,,,,75.195,64.3846909585662,0.786577544702888,161329.0,150485.0,93.2781071591292
YR2002,,540.0,,300.583333333333,,,,,,68.8862698880377,,,,,3394000000.0,3394000000.0,,20909.9590302806,,,,,,75.506,64.3045929211718,0.609313350805491,162315.0,151629.0,93.4166219465011
YR2003,,540.0,,302.105555555556,,,,,,64.023536004483,,,,4.23956469911589,3569000000.0,3569000000.0,0.879314134974734,21877.3178371553,,,,,,75.885,64.2967698828895,0.505144689798619,163137.0,152615.0,93.5502870629964
YR2004,,540.0,,303.351851851852,,,,,,68.0020677177565,,,,1.79534074166956,3869000000.0,3869000000.0,6.49378949662236,23618.8266894573,,,,,,76.114,64.3900384287846,0.411688102683209,163810.0,153450.0,93.6758326459328
YR2005,,540.0,,304.37962962963,,,,,,66.4372181343461,,,,5.0644082344359,4213000000.0,4213000000.0,3.64231634949867,25631.9776108052,,,,,,76.427,64.5810708451591,0.338234496297291,164365.0,154158.0,93.7899888326279
YR2006,,540.0,,305.257407407407,,,,,,72.7701746106654,,,,4.40688073216,4238000000.0,4238000000.0,-3.65251727541954,25709.9351488422,,,,,,76.477,64.8341715249425,0.287967538398627,164839.0,154766.0,93.8894857603993
YR2007,,540.0,,306.05,,,,,,79.4632704116443,,,,3.01294733451209,4397000000.0,4397000000.0,0.717213114754102,26605.4324214756,,,,,,76.397,65.1191707963477,0.259310790976279,165267.0,155303.0,93.9710535665648
YR2008,,540.0,,306.838888888889,,,,,,78.2739373121511,,,,3.82348519599265,4658000000.0,4658000000.0,2.03458799593082,28112.2316573422,,,,,,76.233,65.3823637691393,0.257433064578674,165693.0,155803.0,94.0314223884421
YR2009,,540.0,,307.727777777778,,,,,,72.0173985086993,,,,3.19692668414319,4828000000.0,4828000000.0,0.438683948155543,29054.0581201519,,,,,,76.141,65.5602895777292,0.289273583143063,166173.0,156314.0,94.0673223633488
YR2010,,540.0,,308.374074074074,,,,,,72.0347544958577,,,,0.237584677615857,4949000000.0,4949000000.0,2.26325193567601,29719.7967836082,,,,,,76.095,65.6692979585219,0.209801847347007,166522.0,156658.0,94.0765173267308
YR2011,,540.0,,308.412962962963,,,,,,77.7889245585875,,,,0.62907025079673,4984000000.0,4984000000.0,0.0776548243059523,29926.2052442913,,,,,,76.153,65.7454831484962,0.0126101511883972,166543.0,156679.0,94.0771054436498
YR2012,,540.0,,308.02037037037,,,,,,76.7521367521368,,,,3.43097913322632,5265000000.0,5265000000.0,2.13385063045585,31653.7506538168,,,,,,76.237,65.7684549736819,-0.127375540693071,166331.0,156480.0,94.0777276704115
YR2013,,540.0,,307.344444444444,,,,,,79.5332468975736,,,,0.84049308927905,5399000000.0,5399000000.0,1.69040835707501,32530.7593121483,,,,,,76.361,65.7235044421615,-0.219683082780057,165966.0,156138.0,94.0782751403862
YR2014,,540.0,,306.455555555556,,,,,,78.3600713012478,,,,2.07782277044168,5610000000.0,5610000000.0,1.79305192379529,33900.1486530583,,,,,,76.423,65.601621889465,-0.289634900711689,165486.0,155687.0,94.0787476782557
YR2015,,540.0,,305.37962962963,,,,,,71.3398861872737,,,,2.52246816503092,5799000000.0,5799000000.0,0.825688073394488,35165.7014644795,,,,,,76.444,65.4008835416862,-0.351704858120325,164905.0,155141.0,94.079145108702
