Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,19483284.6251218,315800000.0,105.688827964359,27.8615490061686,112300000.0,38.4852638793694,,170216241.126064,291800000.0,,299.074645785091,267900600.0,,,40.2,71.7,57.51,49.7502385165064,,569143.0,165144.0,29.0161728416049
YR1961,,214970.0,,2.96155762289665,,,,22166611.2501385,321500000.0,105.053358443189,28.1230382925298,122300000.0,38.3866917765223,4.29350364903,185849535.376162,318600000.0,4.68952431164918,319.017754796284,296700500.0,,,39.1,69.0,57.912,49.4448716716332,2.33141961707474,582568.0,169750.0,29.1382492742653
YR1962,2387.0,214970.0,,3.02710080829648,,,,22516610.3751407,294900000.0,101.526032315978,31.8073010173549,120500000.0,36.0562537402753,3.75006064804575,194949512.626218,334200000.0,1.10492580955443,327.392579238974,298301200.0,290.0,,38.2,66.8,58.303,49.1211423763625,2.1889978642927,595461.0,174334.0,29.2771731090196
YR1963,2387.0,214970.0,,3.09357429718876,,,,21349946.6251334,250700000.0,109.060736807169,29.6382343179555,110100000.0,36.5416528377033,2.77498341516986,175757893.938598,301300000.0,-12.2786572607531,288.820390442321,273800700.0,260.0,,37.5,65.0,58.644,48.8791149921862,2.17218203710158,608537.0,179062.0,29.4250797371791
YR1964,2387.0,214970.0,,3.16081541355295,,,,27183265.3751699,321900000.0,110.631925726265,31.6262353998203,121300000.0,36.3282419886193,-0.485362841371426,194774513.063717,333900000.0,11.3602823799386,313.261161893769,305200700.0,290.0,,36.9,63.5,58.958,48.7288997683206,2.15028836810201,621764.0,183886.0,29.5748662575551
YR1965,2387.0,214970.0,,3.22875298663006,,,,32000000.0,371200000.0,112.910344827586,31.3931034482759,133100000.0,36.7172413793103,-1.78719178625894,213235294.117647,362500000.0,10.5410187618772,335.73593687831,337500000.0,320.0,,36.4,62.4,59.137,48.6827064780643,2.12659538635,635128.0,188756.0,29.7194297689584
YR1966,2387.0,214970.0,,3.29747343805602,,,,34764705.8823529,408900000.0,115.149176954732,31.6872427983539,144700000.0,37.2170781893004,1.92134906094627,228705882.352941,388800000.0,5.23327389402719,352.589675035291,356100000.0,330.0,,36.0,61.6,59.329,48.7418031238895,2.10605599618178,648646.0,193632.0,29.8516673702001
YR1967,2387.0,214970.0,,3.36694118245132,,,,39176470.5882353,435300000.0,117.234893016694,32.518222431225,156500000.0,36.7975546672937,4.86440616678965,250176470.588235,425300000.0,4.31362182924127,377.732621967981,393300000.0,350.0,,35.7,61.0,59.53,48.898704687073,2.08481207963798,662311.0,198458.0,29.9644761600913
YR1968,2387.0,214970.0,,3.43734431396472,,,,34950000.0,445300000.0,113.384113166485,34.4722524483134,167000000.0,36.3438520130577,6.94537686460902,229750000.0,459500000.0,1.02482755310702,339.786441079035,417500000.0,340.0,,35.5,60.6,59.69,49.1423264151041,2.0694500287124,676160.0,203191.0,30.050753237443
YR1969,2387.0,214970.0,,3.50883534136546,,,,39550000.0,479600000.0,114.68110709988,34.8776574408343,174600000.0,35.0180505415162,1.4158336466819,249300000.0,498600000.0,6.99438665753721,361.187616176221,457600000.0,350.0,,35.2,60.4,59.835,49.4586898301782,2.05849993552871,690223.0,207781.0,30.1033957010663
