Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,103275511.340436,7556353800.0,,,,,,1320796651.69457,7116188200.0,,426.773807917233,7148409900.0,,,,,65.6971219512195,56.6768788246115,,3094840.0,2636804.0,85.1999969482422
YR1961,,1070.0,,3105.98039215686,,,,87419726.0477375,8021000000.0,173.682092555332,,,,,1383681651.13776,7455000000.0,,436.754411520393,8214789100.0,,,,,66.4416585365854,54.977536498619,2.33958305946293,3168100.0,2699425.0,85.2064180853235
YR1962,,1070.0,,3240.39215686275,,,,92431047.9230855,9409000000.0,165.005180154253,,,,1.95494818229709,1612346412.26475,8687000000.0,14.2914823397233,487.821134050813,9278638100.0,,,,,66.9104634146342,51.7813861103751,4.2364946734332,3305200.0,2818678.0,85.2800991951516
YR1963,,1070.0,,3353.82352941176,,,,105423363.89621,11169000000.0,153.275151050158,,,,3.68523217194887,1935298266.45384,10427000000.0,15.7637662237923,565.727810358046,10630903800.0,570.0,,,,67.6451707317073,48.0212769393537,3.44066885043933,3420900.0,2922696.0,85.4364684432748
YR1964,,1070.0,,3435.88235294118,,,,119714911.466647,12799000000.0,153.507738896366,,,,4.95641085904504,2206466461.26434,11888000000.0,8.6276669143403,629.591525784494,12203275300.0,630.0,,,,68.2190975609756,53.5888465299343,2.41727169428962,3504600.0,3002057.0,85.6604800828049
YR1965,,1070.0,,3527.35294117647,,,,126003490.401396,14433000000.0,141.087938077833,,,,2.37995748144438,2435078534.03141,13953000000.0,14.6420261266268,676.805507110096,13916000100.0,700.0,,,,68.8668048780488,59.0937227210365,2.62739506314664,3597900.0,3091989.0,85.9387185773589
YR1966,,1070.0,,3558.72549019608,,,,141908265.197608,14787000000.0,155.349390841619,,,,0.553253963674166,2489845016.64894,14282000000.0,1.79473246819664,685.926614135084,14240000400.0,710.0,,,,69.2658536585366,58.9062116506071,0.885475776428606,3629900.0,3131071.0,86.2577683905539
YR1967,,1070.0,,3649.80392156863,,,,162157459.765115,14755000000.0,156.600969305331,,,,6.6431752835086,2692474989.12571,15475000000.0,1.60347489337207,723.239225616661,15432000300.0,710.0,,,,69.8278536585366,53.4011268439159,2.52709736414843,3722800.0,3224102.0,86.6042139860069
YR1968,,1070.0,,3728.13725490196,,,,168444232.63381,15643000000.0,175.043851690558,,,,3.32643107976907,2716964388.42418,16533000000.0,3.39739066387156,714.48296958061,16478999800.0,740.0,,,,70.2170243902439,49.0072674138844,2.12352674143938,3802700.0,3307004.0,86.964639827335
YR1969,,1070.0,,3788.13725490196,,,,184127609.294998,17722000000.0,181.113340536091,,,,5.58778736305017,3189740055.13982,19437000000.0,11.3432464071334,825.523449142012,19373000600.0,840.0,,,,70.6271707317073,53.6136801412331,1.59656953543841,3863900.0,3374175.0,87.3256303781553
YR1970,,1070.0,1.31084289269194,3881.37254901961,,,,214991857.615186,21326000000.0,178.672206353328,,,,8.85466531126042,3800766535.62088,23106000000.0,9.20649975840655,960.031961510704,23021000100.0,930.0,,,,70.9346829268293,57.3890028546096,2.4314432025797,3959000.0,3471005.0,87.6737701020847
YR1971,,1070.0,1.32894029576909,3965.98039215686,,,,235199382.643561,25560000000.0,174.509950901391,,,,7.62311866669425,4476001946.01486,26681000000.0,7.29309200553885,1106.46971695915,26565999700.0,1060.0,,,,71.4680487804878,59.7038756293185,2.1564245272915,4045300.0,3559961.0,88.0023896106757
