Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,-1.74623815710751,7840000.0,1.16840536512668,37600000.0,946400000.0,36.3502575423105,14.7482392515505,442400000.0,46.504782928624,,475650000.0,951300000.0,,230.667390861566,968300100.0,,,,141.8,47.149,49.7600215318662,,2062060.0,481482.0,23.349577439198
YR1961,1976.0,112490.0,,18.9582804540173,1.56299237392687,7660000.0,1.07584269662921,41600000.0,973400000.0,38.4363202861117,15.2692231273594,455800000.0,45.2811444466521,4.08163265306105,503300000.0,1006600000.0,1.66356461642803,237.266657929647,1004600000.0,,,,138.0,47.71,49.4425790544928,2.82962830633886,2121242.0,492870.0,23.2349791761308
YR1962,1976.0,112490.0,,19.5018679059791,1.09215017084013,7660000.0,0.988387096774193,39350000.0,1029500000.0,38.7360315522584,15.9169875105644,482500000.0,45.3094187247629,3.52941176470603,532450000.0,1064900000.0,2.18523652981222,244.01209130438,1056299900.0,240.0,,,134.4,48.647,49.1780834159577,2.82694516718677,2182064.0,509899.0,23.3677603403326
YR1963,1976.0,112490.0,,20.0632585575118,3.08145601867274,7640000.0,0.931707317073171,53100000.0,1098600000.0,53.7127371273713,15.672990063234,501000000.0,45.2574525745258,2.65151515151503,553500000.0,1107000000.0,1.26827909278258,246.561283063044,1095000000.0,240.0,,,130.8,49.385,48.9853905233624,2.83799588633448,2244878.0,531457.0,23.6741871308527
YR1964,1976.0,112490.0,,20.6439806953258,4.47210147080726,11700000.0,1.2800875273523,56950000.0,1162400000.0,56.3187277956353,17.848079851125,554100000.0,46.8702419218406,5.16605166051659,591100000.0,1182200000.0,1.54715605635589,255.903509094727,1168200000.0,250.0,,,127.1,50.197,48.8909260537999,2.8533575267603,2309855.0,557338.0,24.1287142867622
YR1965,1976.0,112490.0,,21.2454821699884,3.18627450998763,12500000.0,1.2291052114061,63150000.0,1236500000.0,65.2868443283926,17.5255356731434,593700000.0,45.5955763766224,7.36842105263177,651050000.0,1302100000.0,2.58333582121715,273.877577290856,1275900000.0,260.0,,,123.5,50.863,48.8684274678592,2.87204838385043,2377157.0,587333.0,24.7073538563781
YR1966,1976.0,112490.0,,21.8674680489767,1.78423465718738,13000000.0,1.18181818181818,66500000.0,1343000000.0,71.7763490572853,17.7707144405115,641700000.0,46.3555587661634,7.51633986928091,692150000.0,1384300000.0,-1.11932816500057,282.88534468771,1353300000.0,270.0,,,119.8,51.588,48.8652807059813,2.88557861898522,2446751.0,621135.0,25.3861178880174
YR1967,1976.0,112490.0,,22.5100366431316,2.09184098667308,13600000.0,1.1371237458194,70000000.0,1467800000.0,72.2285105532991,19.2822424928424,680900000.0,45.3359078500566,4.5592705167174,750950000.0,1501900000.0,3.76437003674084,298.155994803561,1459500000.0,280.0,,,116.1,52.331,48.8818110188857,2.89612275858102,2518648.0,658400.0,26.1410184299968
YR1968,1976.0,112490.0,,23.1750558584324,1.86122448972086,14100000.0,1.08545034642032,75500000.0,1594400000.0,74.9156907229137,19.6394628732602,716900000.0,43.9573241768349,9.88372093023233,815450000.0,1630900000.0,-1.17815493672721,314.474382938748,1584700000.0,290.0,,,112.5,53.041,48.9179661145062,2.91152389599076,2593057.0,698779.0,26.9480675306334
YR1969,1976.0,112490.0,,23.8653052104746,1.25821445737097,14400000.0,1.06824925816024,87250000.0,1689800000.0,71.6721932733302,20.5826622453813,771500000.0,45.683325438181,2.64550264550276,844400000.0,1688800000.0,0.881367760385189,316.220454040742,1651600000.0,310.0,,,108.8,53.712,48.96678767107,2.93492176801875,2670289.0,741894.0,27.7832772382441
