Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,,65.7464878048781,65.7246663543054,,4140181.0,1247386.0,30.1287842196594
YR1961,,56540.0,,,,,,,,,,,,,,,,,,,,,,66.3461463414634,65.7005081418478,0.652691769096606,4167292.0,1293084.0,31.0293667366837
YR1962,,56540.0,,,,,,,,,,,,,,,,,,,,,,67.0652682926829,65.7278800962817,0.703493717452063,4196712.0,1342399.0,31.9869156024686
YR1963,,56540.0,,,,,,,,,,,,,,,,,,,,,,67.4221463414634,65.8491138817706,0.687764980815768,4225675.0,1394977.0,33.0119239911468
YR1964,,56540.0,,,,,,,,,,,,,,,,,,,,,,67.8488780487805,66.0146383857824,0.641644859454767,4252876.0,1449458.0,34.0818359058508
YR1965,,56540.0,,,,,,,,,,,,,,,,,,,,,,68.2781951219512,66.1849646818723,0.657318059279203,4280923.0,1505911.0,35.1772548111985
YR1966,,56540.0,,,,,,,,,,,,,,,,,,,,,,68.7118292682927,66.3636354284221,0.693189535270421,4310701.0,1563870.0,36.2787841718078
YR1967,,56540.0,,,,,,,,,,,,,,,,,,,,,,68.8450243902439,66.5650213657392,0.647030993696805,4338683.0,1621237.0,37.3670274522966
YR1968,,56540.0,,,,,,,,,,,,,,,,,,,,,,68.6990731707317,66.8102678054241,0.619120481082276,4365628.0,1677387.0,38.4225881172827
YR1969,,56540.0,,,,,,,,,,,,,,,,,,,,,,68.7662926829268,67.0951714684832,0.590652659639334,4391490.0,1731392.0,39.4260696313841
YR1970,,56540.0,,,,,,,,,,,,,,,,,,,,,,68.9891219512195,67.377178724816,0.471663946773186,4412252.0,1780700.0,40.3580754592184
YR1971,,56540.0,,,,,,,,,,,,,,,,,,,,,,69.2641707317073,67.5563517569231,0.430213631742067,4431275.0,1825760.0,41.2016890347163
YR1972,,56540.0,,,,,,,,,,,,,,,,,,,,,,69.5739268292683,67.6029943811444,0.434347668881993,4450564.0,1868390.0,41.9809632229508
YR1973,,56540.0,,,,,,,,,,,,,,,,,,,,,,69.9239024390244,67.5847997169025,0.439359615379226,4470161.0,1909598.0,42.7187716854379
YR1974,,56540.0,,,,,,,,,,,,,,,,,,,,,,70.4333414634146,67.5375770326688,0.457525839624875,4490660.0,1949915.0,43.4215702223125
YR1975,,56540.0,,,,,,,,,,,,,,,,,,,,,,70.0019512195122,67.4799771258149,0.475900351929317,4512082.0,1989673.0,44.096555822845
YR1976,,56540.0,,,,,,,,,,,,,,,,,,,,,,70.4553658536585,67.4243451632307,0.527232826556227,4535934.0,2029872.0,44.7509254763058
YR1977,,56540.0,,,,,,,,,,,,,,,,,,,,,,70.7443902439024,67.3658964552193,0.519752409818,4559571.0,2069675.0,45.3918761719654
YR1978,,56540.0,,,,,,,,,,,,,,,,,,,,,,70.5387804878049,67.3001600448859,0.470732947991721,4581085.0,2108518.0,46.0266048990942
YR1979,,56540.0,,,,,,,,,,,,,,,,,,,,,,70.4273170731707,67.2652275501036,0.298457162326635,4594778.0,2144029.0,46.6623086469628
YR1980,,56540.0,,,,,,,,,,,,,,,,,,,,,,70.1753658536586,67.3775567564867,0.108846981129012,4599782.0,2175981.0,47.3061844048415
YR1981,,56540.0,,,,,,,,,,,,,,,,,,,,,19.2,70.3443902439025,67.6855817489532,0.254622426666637,4611509.0,2212128.0,47.9697280958491
YR1982,,56540.0,,,,,,,,,,,,,,,,,,,,14.0,18.4,70.4826829268293,68.0854401090516,0.491578573238622,4634234.0,2256000.0,48.6811775021638
YR1983,,56540.0,,,,,,,,,,,,,,,,,,,,13.5,17.5,70.2748780487805,68.4364605621526,0.516977874983413,4658254.0,2303158.0,49.4425228230101
YR1984,,56540.0,,,,,,,,,,,,,,,,,,,,12.9,16.7,70.2185365853659,68.5929152838612,0.471830569469422,4680285.0,2350767.0,50.2269948944448
YR1985,,56540.0,,,,,,,,,,,,,,,,,,,,12.1,15.8,70.8860975609756,68.5663819817398,0.450494712765103,4701417.0,2398214.0,51.0104602718882
YR1986,,56540.0,,,50.0,,,,,,,,,,,,,,,,,11.2,14.8,71.4190243902439,68.522286005085,0.425115597334071,4721446.0,2444235.0,51.7687855107607
