Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,-5.03004159593691,,,,,,,,,,273187200.0,1365936000.0,,70.8024454423715,,,,88.8,195.4,43.44,56.0846880354734,,3858443.0,587889.0,15.2364282608032
YR1961,1440.0,27750.0,,142.562772133527,3.77970638342675,,,,,,,,,2.2206246641594,271066000.0,1355330000.0,-2.93198029126782,68.99056510131,,,,88.5,192.8,43.825,56.0123816835684,1.81288418514548,3929030.0,613076.0,15.60373878479
YR1962,1440.0,27750.0,,145.195029027576,-0.554904259869525,,,,,,,,,-3.60740687843058,281896800.0,1409484000.0,7.88757589385567,70.4464617057034,,,,88.5,190.2,44.196,55.9134535668398,1.82954575428606,4001575.0,639414.0,15.9790678024292
YR1963,1440.0,27750.0,,147.789114658926,4.30682175435956,,,,,,,,,6.62505430580862,294883400.0,1474417000.0,-1.89279255057041,72.3983493523801,,,,88.1,187.9,42.724,55.8281074399086,1.770849021679,4073068.0,666454.0,16.3624668121338
YR1964,1440.0,27750.0,,150.444267053701,9.16214587129442,,,,,,,,,12.1560239523543,325281200.0,1626406000.0,-1.64735736887533,78.4520158485608,,,,87.7,185.3,44.928,55.7232039407232,1.78063403498411,4146244.0,694659.0,16.753942489624
YR1965,1440.0,27750.0,,153.259071117562,2.26394257289731,,,,,,,,,6.30088810429544,353251800.0,1766259000.0,2.16179786144892,83.6332514169638,,,,86.9,182.8,45.371,55.6005516806408,1.85370676722767,4223820.0,724535.0,17.1535377502441
YR1966,1440.0,27750.0,,156.118976777939,8.301835853323,,,,,,,,,5.0483705808166,368948600.0,1844743000.0,-0.575786801046178,85.7493738145357,,,,85.9,180.1,45.565,55.5032853093183,1.84886235204673,4302639.0,755597.0,17.5612411499023
YR1967,1440.0,27750.0,,159.034796806967,-2.93531098100653,,,,,,,,,2.21212681089182,369124200.0,1845621000.0,-2.11768620106355,84.217267674485,,,,84.9,177.2,46.135,55.4169074645009,1.85046379023367,4382999.0,787933.0,17.9770240783691
YR1968,1440.0,27750.0,,162.02206095791,1.31621187827357,,,,,,,,,-3.38687121639593,367968800.0,1839844000.0,3.18161732148926,82.4057717596557,,,,83.8,174.3,46.522,55.3403965688079,1.86094785943373,4465328.0,821662.0,18.4009304046631
YR1969,1440.0,27750.0,,165.070174165457,1.41318124201974,,,,,,,,,2.57197701133911,391820400.0,1959102000.0,3.81194328486592,86.1269803448153,,,,82.5,171.1,46.903,55.274881993716,1.86381767460696,4549334.0,856771.0,18.832878112793
YR1970,1440.0,27750.0,0.845410597826087,168.183018867925,1.36849340736673,,,,,,,,,-16.0183260014754,331200000.0,1656000000.0,0.651153708034172,71.4543990624631,,,,81.0,168.0,47.265,55.2235975538521,1.86821030037024,4635124.0,893321.0,19.2728691101074
YR1971,1440.0,27750.0,0.937155457739802,171.380406386067,9.57958328225631,,,,,,,,,2.87440962006281,362800000.0,1814000000.0,6.48038050132288,76.8116150679491,,,52.1492500305176,79.3,164.8,47.619,55.1812001263115,1.88329000322047,4723244.0,957593.0,20.2740631733654
YR1972,1440.0,27750.0,1.09139688362039,174.668650217707,3.18969396917928,,,,,,,,,1.54364161360957,371998958.402916,1860000000.0,0.977107758966667,77.2765182599349,,,54.5060615539551,77.3,161.2,47.884,55.132650085129,1.90050673012893,4813868.0,981464.0,20.3882713508093
YR1973,1440.0,27750.0,1.49529034946785,178.038570391872,22.7389194789195,,,,,,,,,19.7875854535674,466798973.042259,2334000000.0,4.75532209168918,95.1341802581181,,,56.1522216796875,75.1,157.4,48.194,55.0767892265806,1.91094626168109,4906743.0,1002727.0,20.4357020274151
YR1974,1440.0,27750.0,1.40431604957924,181.487518142235,14.9506973439721,,,,,,,,,14.5043139953154,565399321.520814,2827000000.0,5.77988915170621,113.039260601755,,,57.8142395019531,73.0,153.6,48.458,55.0182929310085,1.91866663603968,5001796.0,1023835.0,20.4693421938564
YR1975,1440.0,27750.0,0.38743762848958,185.01763425254,16.7735703245816,,,,,,,,,19.1783680523534,681400000.0,3407000000.0,1.12275449104284,133.631792050575,,,59.2773818969727,70.7,149.7,48.72,54.9535009758122,1.92642600457307,5099086.0,1044925.0,20.4923977999005
YR1976,1440.0,27750.0,0.885096700973379,188.619629898403,7.03815227823619,,,,,,,,,18.9602589781071,879000000.0,4395000000.0,8.43883542963357,169.091888071558,,,62.7964096069336,68.5,145.7,48.972,54.8841778277252,1.92813061396008,5198357.0,1066083.0,20.5080747953143
YR1977,1440.0,27750.0,0.844772967434002,192.288679245283,6.49190058113337,,,,,,,,,3.88389669512306,947000000.0,4735000000.0,3.7081464367304,178.696912675895,,,63.2732810974121,66.1,141.9,49.226,54.8144948670397,1.92653336232361,5299476.0,1087430.0,20.519579129865
YR1978,1440.0,27750.0,1.02648326852802,196.029753265602,-2.67359498369291,,,,,,,,,-3.14157908924248,974200000.0,4871000000.0,6.20886353648547,180.321253919424,,,62.9334182739258,63.6,138.2,49.484,54.7498232326037,1.92686695027529,5402580.0,1109156.0,20.5301167533196
YR1979,1440.0,27750.0,1.11049417012771,199.839985486212,13.0939242998193,,,,,,,,,3.12509055791705,1080600000.0,5403000000.0,7.5604214016743,196.20196855612,,,62.966911315918,61.2,134.4,49.749,54.697417563762,1.92505236649981,5507590.0,1131418.0,20.5428936154453
YR1980,1440.0,27750.0,0.939442116100593,203.718904208999,17.7783052456577,,,,,,,,,19.2631974142908,1383800000.0,6919000000.0,7.37468791939079,246.46927157982,6847500000.0,250.0,67.6527404785156,58.8,130.8,49.971,54.6516796216791,1.92241493443839,5614493.0,1154402.0,20.5611156660091
YR1981,1440.0,27750.0,0.563742057703664,207.68232946299,10.8583333329997,,,,,,,,,10.0478587441753,1479400000.0,7397000000.0,-2.85270971115165,258.468043101302,7331700000.0,260.0,73.2746734619141,56.5,127.3,50.31,54.6061087840523,1.92685269558144,5723725.0,1178400.0,20.5879888547781
YR1982,1440.0,27750.0,0.480260480356532,211.753882438316,7.35924227605051,,,,,,,,,3.33095824071361,1474200000.0,7371000000.0,-3.56374522434297,252.607250558051,7300900000.0,250.0,73.3552322387695,54.5,123.8,50.626,54.5598333223954,1.94150183234173,5835937.0,1203690.0,20.6254834497434
YR1983,1440.0,27750.0,0.51860064065558,215.93236574746,10.2436633526545,,,,,,,,,9.14309279925085,1623600000.0,8118000000.0,0.908181461269791,272.823694996686,8047000057.0,250.0,78.7165908813477,52.6,120.2,50.946,54.5128157905703,1.95405687380052,5951096.0,1232908.0,20.7173240342271
YR1984,1440.0,27750.0,0.245567668779411,220.218795355588,6.40203239106075,,,,,,,,,11.5269242012741,1816200000.0,9081000000.0,0.300917036236442,299.247186216373,8990700000.0,260.0,83.2813110351562,50.9,116.9,51.254,54.4645943554619,1.96563393724075,6069230.0,1270069.0,20.9263676988077
YR1985,1440.0,27750.0,0.244849208719021,224.632148040639,10.6488390138928,,,,,,,,,9.97375895388627,2009400000.0,10047000000.0,0.603631294369663,324.575156092964,9948001795.0,290.0,85.2076797485352,49.1,113.6,51.583,54.4133757140767,1.98425902195087,6190862.0,1315606.0,21.2507708625418
YR1986,1440.0,27750.0,0.207937877480587,229.177140783745,3.27992663366622,,,,,,,,,15.9345984327886,2318000000.0,11590000000.0,-0.497504788372368,366.997344256492,11513315088.0,330.0,88.7219009399414,47.3,110.4,51.874,54.3660456816735,2.00310783625627,6316122.0,1369711.0,21.6859466012783
YR1987,1440.0,27750.0,0.228604923798359,233.857873730044,-11.4494646121705,,,,,,,,,-10.9759466585695,2047200000.0,10236000000.0,-0.793648700197082,317.635520687503,10131496888.0,350.0,75.9636611938477,45.2,107.3,52.245,54.3303948063051,2.02183085410755,6445123.0,1432577.0,22.2273079908661
YR1988,1440.0,27750.0,0.386391845402863,238.684506531205,4.10546805875063,9654000.0,0.0867385444743935,,15183528000.0,48.7783590573386,22.0816053456432,5570115000.0,42.6187527516073,27.427621559444,2613926800.0,13069634000.0,0.200426837325949,397.365336276412,12934009316.0,390.0,,42.9,104.4,52.554,54.3059976867337,2.04290699274167,6578145.0,1504439.0,22.8702681071541
YR1989,1440.0,27750.0,0.342074781494251,243.640420899855,6.92390503711238,10363250.0,0.0827735623003195,,15669415000.0,40.5631325688157,22.7193132424823,5465931000.0,39.9520759078559,7.82070964861587,2736243800.0,13681219000.0,-2.91342439807192,407.498708064211,13553328148.0,380.0,,40.6,101.4,52.88,54.2968037655128,2.05508299802243,6714730.0,1585364.0,23.6102400259911
YR1990,1440.0,27750.0,0.258373747832002,248.709760522496,21.2760320067832,12154000.0,0.0930058157330885,,18979404000.0,46.4148543201609,23.0856556127272,6739854000.0,43.5350334455128,11.9957500830468,3096289800.0,15481449000.0,1.03812280198248,451.720249689216,15390449000.0,430.0,,38.7,98.6,53.215,54.3064999757092,2.05931426942796,6854441.0,1675406.0,24.4426368232261
