Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,4220000000.0,,,,,,,,,,182775700392.225,,,183958745618.204,,,28.2,48.0,68.0031707317073,65.645041445908,,9983512.0,5334791.0,53.4360120616323
YR1961,589.0,93030.0,,111.372256774767,,4860000000.0,,,,,,,,0.980850017531793,,193243173308.0,4.70000000000022,,194490831040.531,,,27.4,45.9,68.9360975609756,65.5963561012509,0.444205978707489,10027958.0,5373001.0,53.580207241608
YR1962,589.0,93030.0,,111.762108420351,,6810000000.0,,,,,,,,-0.586487546821473,,203828525557.315,6.09999999999982,,205144698949.798,,,27.0,44.0,67.8658536585366,65.6859678590298,0.327217724697106,10060825.0,5406138.0,53.7345427094181
YR1963,589.0,93030.0,,112.050949683439,,8240000000.0,,,,,,,,-0.450355833225714,,214476474501.143,5.69999999999999,,215862607649.612,,,27.0,42.5,68.8741463414634,65.8973946534857,0.269217562055452,10087947.0,5437275.0,53.8987296989357
YR1964,589.0,93030.0,,112.405142730201,,8180000000.0,,,,,,,,0.399055313206304,,225452974918.824,4.70000000000022,,226914368339.488,,,27.3,41.1,69.3809756097561,66.0986827554576,0.31560144966103,10119835.0,5472046.0,54.0724794440342
YR1965,589.0,93030.0,,112.729782270607,,6710000000.0,,,,,,,,-30.1874927989251,,224145980545.415,42.4104142671799,,225612554204.246,,,27.7,39.9,69.0712195121951,66.3161728010489,0.277287713495036,10147935.0,5505813.0,54.2555031785867
YR1966,589.0,93030.0,,113.083579602266,,6900000000.0,,,,,,,,2.88012520063208,,247666188658.188,7.39999999999996,,249286653622.963,,,28.0,38.9,69.8224390243902,66.5139818185206,0.302244758289581,10178653.0,5542023.0,54.4475121364666
YR1967,589.0,93030.0,,113.517822222222,,7400000000.0,,,,,,,,0.588129487519467,,267806995535.125,7.49999999999996,,269559240586.974,,,28.1,37.8,69.4070731707317,66.636879365988,0.372155583052453,10216604.0,5583192.0,54.6482175515471
YR1968,589.0,93030.0,,113.96616290699,,9010000000.0,,,,,,,,4.3583223881849,4886222554.66355,293173353279.813,4.90000000000038,476.434350138292,295091568883.524,,,27.9,36.8,69.230243902439,66.8177666082551,0.3830621867148,10255815.0,5626066.0,54.8573306577015
YR1969,589.0,93030.0,,114.442971441271,,10400000000.0,,,,,,,,3.95224539084482,5429812386.53195,325788743191.917,6.89999999999982,527.231617602682,327920359328.625,,,27.8,35.9,69.3146341463415,67.1947546240177,0.417504517274341,10298723.0,5671977.0,55.074562688803
YR1970,589.0,93030.0,,114.89119804401,,13400000000.0,4.03007518796992,,,,,,,1.68716631447401,5780929202.60333,346855752156.2,4.70000000000033,559.197091346639,345282746249.827,570.0,,27.9,35.2,69.1646341463415,67.6216122258315,0.379781402332206,10337910.0,5716825.0,55.2996248787249
YR1971,589.0,93030.0,,115.233266644437,,13500000000.0,3.74168514412417,,,,,,,2.17490505309283,6291568220.79393,376372306633.868,6.19999999999965,606.852738581394,374752629552.12,620.0,,28.2,34.7,69.0524390243903,67.9026880300975,0.286176098681919,10367537.0,5757324.0,55.5322284613404
YR1972,589.0,93030.0,,115.57729243081,,12800000000.0,3.27365728900256,,,,,,,2.11600393785257,7379313742.13684,407780877390.482,6.09999999999948,709.652502602719,406445963608.726,710.0,,28.3,34.6,69.6646341463415,67.9390042907459,0.298102515341836,10398489.0,5799454.0,55.7720846705229
YR1973,589.0,93030.0,,115.950372346338,3.38797814176702,12900000000.0,3.00699300699301,,,,,,,2.64867396810273,9138292402.1882,447463798107.067,6.90000000000038,875.981999921224,445970551983.53,870.0,,28.0,34.8,69.5180487804878,67.7806182673759,0.32227702792653,10432055.0,5843923.0,56.0189047401455
YR1974,589.0,93030.0,,116.469045237301,1.79704016823474,14400000000.0,3.2078413900646,,,,,,,-1.1818476208922,10016338178.9993,468263809868.216,5.89999999999975,955.874207823024,465830610736.796,1050.0,,27.2,34.2,69.2480487804878,67.4308318808469,0.446325661927294,10478720.0,5896627.0,56.2723999040815
YR1975,589.0,93030.0,,117.155996443259,3.84215991793819,16100000000.0,3.33540501346592,,,,,,,0.984560191076,11420392514.6172,502192346163.017,6.20000000000007,1083.47473343284,497583294508.554,1200.0,,25.9,32.2,69.29,66.9103874871477,0.588081809047071,10540525.0,5958799.0,56.5322813962041
YR1976,589.0,93030.0,,117.828538076709,5.2283983330866,15900000000.0,3.00623936471923,,,,,,,5.76608843245118,13235612078.8396,550270572177.757,3.60000000000056,1248.79851313891,549146629657.458,1260.0,,23.9,29.3,69.5731707317073,66.3753278572362,0.550182988827917,10598677.0,6019864.0,56.7982604503868
YR1977,589.0,93030.0,,118.364061805247,3.90889569564822,17200000000.0,2.9553264604811,,,,,,,2.27554257392042,14783674054.829,605564421531.691,7.59999999999965,1388.39509904029,602114662533.521,1390.0,,21.9,26.6,69.8480487804878,65.8121546836507,0.464581042574049,10648031.0,6076836.0,57.0700483005026
YR1978,589.0,93030.0,,118.759831054796,4.68714274853112,20400000000.0,3.23963792282039,,,,,,,3.66343928537995,17286744153.707,655369858332.095,4.39999999999998,1617.87853402771,649117452441.252,1600.0,,20.0,24.5,69.3939024390244,65.2893785738113,0.344923733135305,10684822.0,6127463.0,57.3473561804248
YR1979,589.0,93030.0,,119.040836298932,8.97641234700303,22100000000.0,3.23904440861791,,,,,,,5.51245490418293,19959731324.801,710167240536.421,2.69999999999983,1864.67188851588,700588401010.305,1860.0,,18.3,22.8,69.6153658536585,64.8595736300204,0.180747381922393,10704152.0,6168792.0,57.6298953240268
YR1980,589.0,93030.0,,119.131598264932,9.28585743921337,24100000000.0,3.34257975034674,,,,,,,5.68664848448468,23116977148.0216,752053059068.014,0.200000000000884,2158.22181355246,743703600917.824,2170.0,,17.0,21.4,69.0617073170732,64.6701447771799,0.0650937293271125,10711122.0,6203601.0,57.9173769651817
YR1981,589.0,93030.0,,119.152925472747,4.66141394394755,26000000000.0,3.33376073855623,,,,,,,5.15179155003381,23705883891.9445,813467405752.074,2.86674495956183,2213.05267699322,788984638558.36,2300.0,,16.0,20.4,69.1392682926829,64.8286470058184,0.0067777717121333,10711848.0,6235314.0,58.2095123377629
YR1982,589.0,93030.0,0.0,119.095950606297,6.8358050825954,27500000000.0,3.24330699374926,,,,,,,5.71035013438777,24141667188.0517,884350309932.553,2.84108854244893,2255.06405686887,847717678313.517,2280.0,,15.5,19.8,69.3578048780488,65.1866590040874,-0.0589521155113363,10705535.0,6263382.0,58.5060126756435
YR1983,589.0,93030.0,0.0,118.930384957721,7.27989573279491,29900000000.0,3.33593662836104,,,,,,,4.96090458128937,21910365258.2514,934932813861.794,0.722965871831008,2049.71617921793,907003592389.998,2110.0,,15.4,19.7,68.9736585365854,65.6714084896445,-0.150240752751468,10689463.0,6286109.0,58.8065892126969
YR1984,589.0,93030.0,0.0,118.692645749889,8.46785487646018,30800000000.0,3.14767501277466,,,,,,,6.33162430558521,21242726264.4854,1020553676561.54,2.65804768265939,1991.23894795513,984359311919.011,2030.0,,15.3,19.7,69.0258536585366,65.9794414912312,-0.20009784947921,10668095.0,6306013.0,59.1109531827963
YR1985,589.0,93030.0,0.0,118.477002670227,6.94234501879147,51400000000.0,4.97242913804779,,,,,,,5.90976432501364,21510643750.177,1078130673273.87,-0.253067484662495,2020.02286569062,1039563903789.34,1960.0,,14.9,19.3,68.9721951219512,65.9867368459975,-0.181847163431744,10648713.0,6327339.0,59.4188158198149
