Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,39.5904436860067,,,,387200000000.0,24.0902101486417,,,,,,390200000000.0,,,387000000000.0,,,58.0,146.7,46.835,57.7969540433679,,88296070.0,12897985.0,14.6076543358271
YR1961,2702.0,1910930.0,,50.1174390169853,13.6919315403424,,,,489110000000.0,24.6756009359711,,,,13.9360155113771,,470100000000.0,5.74064582266813,,465100000000.0,,,56.9,142.9,47.385,57.464400561336,2.78673050525734,90791249.0,13465707.0,14.8315031668716
YR1962,2702.0,1910930.0,,51.5441578299486,131.397849462365,,,,1338100000000.0,10.5610066661673,,,,178.866740354512,,1335100000000.0,1.84197770236842,,1326100000000.0,,,55.9,139.3,48.141,57.0885807197471,2.80698421797939,93375850.0,14058308.0,15.0556141743538
YR1963,2702.0,1910930.0,,53.0210944098213,145.910780669145,,,,3217800000000.0,18.4181002243829,,,,145.841086266625,,3208800000000.0,-2.23702998571657,,3168100000000.0,,,54.9,135.7,48.742,56.6705752327004,2.82509682257967,96051424.0,14663519.0,15.2663218061679
YR1964,2702.0,1910930.0,,54.5569583289633,108.994708994709,,,,7191500000000.0,25.3171654867877,,,,114.731159309575,,7133500000000.0,3.52969814993797,,7013500000000.0,,,53.9,132.3,49.44,56.2049116248991,2.85554207780566,98833749.0,15286422.0,15.4668037669967
YR1965,2702.0,1910930.0,,55.9542993094388,306.763110307415,,,,23819000000000.0,11.0122311261071,,,,228.818940763081,,23710000000000.0,1.08158946626055,,23537000000000.0,,,53.6,142.7,42.762,55.7153537132772,2.52900109189077,101365130.0,15877047.0,15.663223950935
YR1966,2702.0,1910930.0,,57.2943656607252,1136.2541122077,,,,345400000000.0,34.8528015194682,,,,-98.7038313429157,,315900000000.0,2.79134682484525,,311000000000.0,,,52.1,125.4,48.406,55.2621831157028,2.36670145600789,103792754.0,16463343.0,15.8617462520776
YR1967,2702.0,1910930.0,,58.8033545488168,106.0,,,417828248.696695,916400000000.0,25.6428402925218,,,,164.721840659326,5667756627.92093,847800000000.0,1.38040280607036,53.2051866988581,838200000000.0,,,51.2,122.0,51.309,54.8787604213728,2.59966150696535,106526393.0,17117230.0,16.0685345645194
YR1968,2702.0,1910930.0,,60.4172104859321,128.843042071197,,,527857668.188346,2195400000000.0,26.4463204082606,,,,122.972806488692,7076465299.81141,2096700000000.0,10.9151785714295,64.6547730642556,2067900000000.0,,,50.4,118.6,51.888,54.5909928958798,2.70751027453981,109450006.0,17829135.0,16.2897527823552
YR1969,2702.0,1910930.0,,62.1105665251688,15.4798773314404,,,610429447.852761,2876000000000.0,23.841059602649,,,,21.3532019257833,8337423312.88344,2718000000000.0,6.82229824913614,74.0988114128793,2683000000000.0,70.0,,49.4,115.4,52.588,54.3956365810342,2.76421216767215,112517639.0,18600926.0,16.5315647996801
YR1970,2702.0,1910930.0,1.58873353293413,63.843790193037,12.399468513041,,,802739726.027397,3440000000000.0,28.6826347305389,,,,14.2530718766209,9150684931.50685,3340000000000.0,7.55463451394223,79.118823484002,3290000000000.0,80.0,84.181022644043,48.5,112.2,53.254,54.2746133930819,2.7523193721547,115657495.0,19430615.0,16.8001345105888
YR1971,2702.0,1910930.0,3.20425172245555,65.5970798809872,4.23374587741607,,,866758143.287439,3753600000000.0,31.062091503268,,,,2.72473710516689,9333536369.94567,3672000000000.0,7.02399719740848,78.5428393869752,3605300000000.0,80.0,84.9481964111328,47.6,109.1,53.823,54.2232070064467,2.70918593790289,118833702.0,20321929.0,17.1011495609793
YR1972,2702.0,1910930.0,2.30523225241017,67.3668922536805,6.52174091852604,,,997590361.445783,4672600000000.0,35.4119193689746,,,,16.1198390331289,10997590361.4458,4564000000000.0,7.03764320785962,90.1147549138956,4404000000000.0,90.0,85.5888137817383,46.6,106.1,54.364,54.2299256191263,2.66225034303759,122039841.0,21299817.0,17.453166786076
YR1973,2702.0,1910930.0,3.57027571297421,69.1601842600617,31.0418824339182,,,1725301204.81928,6714700000000.0,39.5341605709717,,,,36.8784795094045,16273253012.0482,6753400000000.0,8.1039755351653,129.886231088685,6507700000000.0,110.0,85.6217422485352,45.5,103.3,54.916,54.2822923553687,2.62716406889288,125288515.0,22399287.0,17.8781647506989
YR1974,2702.0,1910930.0,0.705825550989914,70.9633329101277,40.491811600695,289750000000.0,2.70592080687337,2026506024.09639,9896600000000.0,50.4183787822189,,,,47.3104966295127,25802409638.5542,10708000000000.0,7.6346729055067,200.710984454591,10200900000000.0,160.0,84.3972015380859,44.5,100.6,55.443,54.3895128907213,2.57379806865858,128555045.0,23613411.0,18.3683266057108
YR1975,2702.0,1910930.0,4.24128851064663,72.778776420453,19.1656916610533,441500000000.0,3.49218904488827,3020963855.42169,12569900000000.0,44.5212576626458,,,,12.4680583694691,30463855421.6867,12642500000000.0,4.97730086669512,231.060120618497,12086800000000.0,210.0,86.4356002807617,43.3,98.0,55.998,54.546716713497,2.52610742568257,131843848.0,24937204.0,18.914196501399
YR1976,2702.0,1910930.0,2.00592143120381,74.6168544411753,19.8286499927534,529250000000.0,3.42186762528529,3832530120.48193,15259200000000.0,43.0065883478699,,,,14.456794601306,37269156626.506,15466700000000.0,6.88656497352524,275.713167824796,15034500000000.0,260.0,89.0282211303711,42.2,95.6,56.445,54.7373422922634,2.49420325253991,135173655.0,26367404.0,19.5063185880508
YR1977,2702.0,1910930.0,0.513000573361318,76.4715362917249,11.0520846464477,609500000000.0,3.20608920239654,5005542168.6747,18362100000000.0,43.5701999400338,,,,13.0123626584209,45808915662.6506,19010700000000.0,8.76132560106353,330.670214101079,18332200000000.0,300.0,91.5327377319336,41.1,93.3,57.09,54.9618377256379,2.45521844395398,138533541.0,27894057.0,20.1352370159536
YR1978,2702.0,1910930.0,0.811785370804867,78.3591928548165,8.11259425677378,719500000000.0,3.16319352853249,6014930601.0161,22514100000000.0,42.7147630352589,,,,12.0648985566186,51455719075.8254,22746000000000.0,6.76706985763171,362.483779779007,21879300000000.0,350.0,99.6736907958984,40.1,91.1,57.607,55.2093113444421,2.43846955711898,141953163.0,29514186.0,20.7914959353946
YR1979,2702.0,1910930.0,0.439687121934464,80.2811009235083,16.2327695334308,967250000000.0,3.02025891948266,5992039309.19025,29951400000000.0,53.6555359183648,,,,31.1871886076168,51400186342.8889,32025400000000.0,7.32430948559606,353.424175826329,30541000000000.0,390.0,,39.2,89.0,58.18,55.4784682996869,2.42309448317805,145434834.0,31218517.0,21.4656394966611
YR1980,2702.0,1910930.0,0.248336362296103,82.2217965632021,18.035422125313,1325750000000.0,2.91721769056258,7477312357.09202,41676300000000.0,52.6540464774445,,,,29.1454997737451,72482337397.4439,45445700000000.0,9.88007752166418,486.620172021155,43435000000000.0,470.0,,38.2,86.9,58.701,55.7825834528112,2.38861945340176,148950540.0,32987502.0,22.1466142996691
YR1981,2702.0,1910930.0,0.155522389416403,84.1728638694613,12.2659075874853,1676750000000.0,2.88462200140382,9161548544.35943,52901300000000.0,53.1773002387695,,,,10.1507146481633,85518233419.0479,54027000000000.0,7.92715682412874,560.830336032961,52102100000000.0,530.0,109.634269714355,37.2,84.8,59.096,56.12642104888,2.34521555543862,152485035.0,34828594.0,22.8406637690508
YR1982,2702.0,1910930.0,0.249560636589718,86.1419387603018,9.44542534921144,1813000000000.0,2.90192826971126,10328838220.1782,61969100000000.0,48.6762274326459,,,,7.9505038995089,90158449294.9921,59632600000000.0,2.24644534036375,577.745632722784,57675100000000.0,560.0,114.457229614258,36.2,82.7,59.7,56.4948814147245,2.312379898873,156052152.0,36785268.0,23.5724196827312
YR1983,2702.0,1910930.0,0.360261287911682,88.1287397119626,11.7997382076652,1861500000000.0,2.39812942040375,8883377594.05035,74485000000000.0,56.5592366644233,41.9483131065326,28943130000000.0,39.2728257093854,18.6127003508106,81052283383.7155,73697600000000.0,4.1929673681999,507.682945653414,70337900000000.0,520.0,116.972297668457,35.2,80.6,60.343,56.8773305603998,2.2802310222151,159651381.0,38864445.0,24.3433192272382
YR1984,2702.0,1910930.0,0.261626776354664,90.1158243954139,10.4550392231412,2054250000000.0,2.28542025922011,8890773850.86424,84649804000000.0,50.1106199773017,40.3901450580554,34303870000000.0,39.4049150649935,10.4218296841676,84853700027.651,87054800000000.0,6.97552780884124,519.774063103241,82886600000000.0,520.0,120.102462768555,34.3,78.5,60.891,57.28138386355,2.229708398269,163251124.0,41058512.0,25.150523426766
YR1985,2702.0,1910930.0,0.36346800280403,92.0616840640991,4.72453518543398,2136000000000.0,2.17059935369795,10264996668.4075,92610330000000.0,44.7183723110447,36.7098673153098,39711990000000.0,41.9253110193326,6.19136369122812,85289488375.4435,94720800000000.0,2.46214356422551,511.400883618027,90788800000000.0,500.0,121.856018066406,33.4,76.3,61.387,57.7221001307831,2.13630506735178,166776185.0,43347121.0,25.9911933055087
YR1986,2702.0,1910930.0,0.322685251406443,93.9378908902223,5.82266576732484,2224750000000.0,2.00976539562951,8988818823.02558,105473870000000.0,41.0095381677863,33.7882060618708,43163260000000.0,42.0916487153558,2.25377148401233,79954072544.5279,102545900000000.0,5.87504510359864,469.834241253429,98353400000000.0,510.0,120.130958557129,32.6,74.1,61.736,58.199812229247,2.01749973418514,170175065.0,45713260.0,26.8624898876605
YR1987,2702.0,1910930.0,0.507048517276106,95.7794366212733,9.27865406602839,2215250000000.0,1.72218767006142,7156066655.562,123142210000000.0,46.9742478782921,36.2542892829417,50449410000000.0,40.4187333606266,16.0038157135078,75929617557.7521,124816900000000.0,4.92592736496611,437.60655039936,118794900000000.0,500.0,118.521118164062,32.0,71.8,62.087,58.6872864668977,1.94141842112657,173511154.0,48169428.0,27.7615741974155
YR1988,2702.0,1910930.0,0.683272607101238,97.6253001540101,8.04535671530907,2287000000000.0,1.53084105893772,7567064347.62185,143827786000000.0,47.2545614222743,36.2073483795058,56374500000000.0,39.6710737427589,7.62910933335303,84300174485.7973,142104800000000.0,5.7804984881177,476.662483405818,135183100000000.0,510.0,117.328399658203,31.3,69.4,62.386,59.1663861615544,1.90886698268871,176855065.0,50731949.0,28.6856072589677
YR1989,2702.0,1910930.0,0.722064256022232,99.4726287143196,6.41554079916364,2495000000000.0,1.38913634136564,8868399645.64163,167228936000000.0,49.0818836891175,37.1076420270515,65982510000000.0,39.4668351828846,9.4850296359315,94451427876.6628,167184700000000.0,7.45658692516847,524.143027322576,159110900000000.0,520.0,116.410507202148,30.7,66.9,62.883,59.6258648149461,1.87458353064795,180201630.0,53396897.0,29.6317500965114
YR1990,2702.0,1910930.0,1.02976494269192,101.293959383297,7.81919756505635,2974250000000.0,1.41049291967411,10119925224.4802,206808626000000.0,52.8918614376893,39.3849400707168,76412680000000.0,39.0663465530181,9.09394969768371,106140727333.636,195597200000000.0,7.24213163856464,578.420121135382,185981700000000.0,560.0,114.242050170898,30.1,64.4,63.249,60.0810534661789,1.81442604896274,183501098.0,56141276.0,30.5945178088725
YR1991,2702.0,1910930.0,1.2707722797342,103.10296483161,9.41906784347004,3309750000000.0,1.32406418395881,10657020932.8224,239343872000000.0,54.8395648805761,41.2047736163784,89009020000000.0,39.1334103025629,8.76703888583599,116621996217.133,227450200000000.0,6.91198283591309,624.387495384411,216550900000000.0,600.0,112.321380615234,29.5,61.8,63.703,60.5333114342796,1.77013689509296,186778238.0,59020420.0,31.5991952251753
YR1992,2702.0,1910930.0,1.38798883350104,104.905548226124,7.52351006242677,3831750000000.0,1.35687600701146,12183386537.4005,266464898000000.0,57.4274341101528,39.9799603285306,105249680000000.0,40.4986368944666,7.28885625784123,128026966579.964,259884500000000.0,6.49750651682714,673.67103954742,247437700000000.0,650.0,110.819923400879,28.9,59.3,64.182,60.975457839854,1.7332257161332,190043744.0,62128149.0,32.6914992355049
YR1993,2702.0,1910930.0,1.26830064559013,106.705878326534,9.6719108926401,4035000000000.0,1.22355780893698,14257437867.9777,315977916000000.0,50.5233858882307,39.6804980838497,139955750000000.0,42.4396665856015,19.1525782553043,158006700301.533,329775800000000.0,6.49640812045304,817.395116417856,317223200000000.0,730.0,110.764526367188,28.2,56.8,64.851,61.4227105439382,1.70158442607601,193305168.0,65444513.0,33.8555422228307
YR1994,2702.0,1910930.0,1.1922519299764,108.520138885056,8.53199829189143,4839500000000.0,1.26615561718382,14353349531.4127,372158294000000.0,51.877101049475,40.6420443530252,160806370000000.0,42.0717116360041,7.77657280267769,176892143931.505,382219700000000.0,7.53997109551439,899.793982949817,371971300000000.0,840.0,112.164291381836,27.5,54.3,65.041,61.8662639981817,1.6859518715422,196591828.0,68939251.0,35.0672005338812
YR1995,2702.0,1910930.0,2.15007984011937,110.339681602146,9.42030300572996,5573750000000.0,1.22630986064236,15825045991.9485,453768382000000.0,53.9585900635426,41.8008374217654,186627200000000.0,41.0608163751136,9.88204513093129,202132028723.115,454514100000000.0,8.22000739903493,1011.22614205568,441148000000000.0,970.0,112.026466369629,26.7,52.0,65.263,62.2928622493939,1.66278546327292,199888057.0,72564063.0,36.3023505153847
YR1996,2702.0,1910930.0,2.72419788646708,112.170298691191,7.97328096513346,6733750000000.0,1.26439252827808,17204969474.4482,540697660000000.0,52.264743657148,43.4557840501119,212345000000000.0,39.8719036817834,8.6765097553662,227369679374.973,532568000000000.0,7.81818707670867,1118.92133024129,518295800000000.0,1070.0,111.440757751465,25.8,49.7,65.465,62.6952179258862,1.64546182640737,203204348.0,76276549.0,37.5368685140699
YR1997,2702.0,1910930.0,2.16779685196237,114.00944760622,6.22615154887214,9401250000000.0,1.49774173762735,14763283406.1994,620362708000000.0,55.9938588086777,44.3289567972257,248435100000000.0,39.5789011173884,12.5713762956895,215748998609.635,627695800000000.0,4.69987885390397,1044.60674832472,609340400000000.0,1080.0,111.167846679688,25.0,47.5,65.774,63.0807225245544,1.62630782020292,206536095.0,80025778.0,38.746630876665
YR1998,2702.0,1910930.0,-0.252290447660406,115.825934410484,58.4510413515526,9740250000000.0,1.01911684387405,5434199705.76814,964397970000000.0,96.1861923602686,45.2277705496239,350635600000000.0,36.686823537659,75.2711687734718,95445547872.715,955753500000000.0,-13.1267254923818,454.877800792123,901859800000000.0,640.0,112.03003692627,24.1,45.4,65.942,63.4610685088954,1.58071800042293,209826788.0,83736655.0,39.9075139498987
YR1999,2702.0,1910930.0,-1.33257354110795,117.580147606772,20.4778324428892,8916750000000.0,0.810812654015076,9246328959.29841,1129281532000000.0,62.9439128601924,43.3600616732301,407200600000000.0,37.0272710177647,14.1611959857791,140001351215.462,1099731600000000.0,0.79112608199847,657.268934667018,1015967400000000.0,560.0,112.157676696777,23.2,43.4,66.001,63.8390044578741,1.50317096427875,213004668.0,87322103.0,40.9953940804992
YR2000,2702.0,1910930.0,-2.75743993350903,115.08687262286,3.68862037056682,9512750000000.0,0.684483763500435,10779164212.8096,1256742000000000.0,71.4368759173731,41.9690746433564,463747266220300.0,33.3686365074031,20.4474568521459,165021012077.81,1389769900000000.0,4.9200677470169,763.711124950924,1297608100000000.0,570.0,108.993591308594,22.5,41.4,66.292,64.184485133803,1.43244007763682,216077790.0,90722754.0,41.9861540600656
YR2001,2702.0,1910930.0,-1.85568619300523,116.695437968937,11.5001160550887,9430000000000.0,0.572792652704213,11053285490.1216,1524140000000000.0,69.7932075256238,47.8935007853871,632471560000000.0,38.4172452290621,14.2957154362836,160446947784.909,1646322000000000.0,3.64346644721492,732.307093405708,1585270800000000.0,700.0,109.43041229248,21.7,39.6,66.583,64.4690706907569,1.38801892806803,219097902.0,93997140.0,42.9018895186157
YR2002,2702.0,1910930.0,0.0741516383181159,118.288280970792,11.9001200338414,12755000000000.0,0.700120208801041,14199987339.966,1754129800000000.0,59.0794617663723,47.7453311592597,730642350000000.0,40.104784004948,5.89605169318483,195660611165.183,1821833400000000.0,4.49947539085764,881.002913569131,1767320300000000.0,780.0,110.116897583008,21.1,37.9,66.954,64.7183952505059,1.35572575488289,222088495.0,97235689.0,43.7824069030376
YR2003,2702.0,1910930.0,-0.254256320381005,119.864570212072,6.75731256333564,18310000000000.0,0.909285036773652,19085795197.2016,2051249860000000.0,53.6164937473016,43.7495660917608,826917200000000.0,41.0650856896144,5.48742913790147,234772463823.808,2013674600000000.0,4.78036912167654,1043.2105838671,1936260700000000.0,880.0,110.176658630371,20.5,36.3,67.134,64.9657466974019,1.32378197652859,225048008.0,100439322.0,44.6301761521872
YR2004,2702.0,1910930.0,0.738243979887563,121.397785588322,6.06406189133648,21712000000000.0,0.945714621727218,21373625751.5732,2276236288000000.0,59.761294836691,44.6276159754602,942129100000000.0,41.0366037289756,8.55072703186366,256836875295.452,2295826200000000.0,5.03087394501685,1126.84004447173,2190476087360000.0,1060.0,109.678840637207,20.0,36.9,65.521,65.2086011671237,1.27101139474106,227926649.0,103587360.0,45.4476736441888
