Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,0.450837269431776,11700000.0,1.33038674274387,,,,,,,,1998550221.80554,906298693.611839,,706.551022345168,974204201.720242,,,21.1,30.4,70.1942682926829,57.8897718437615,,2828600.0,1269181.0,44.8695987621473
YR1961,1118.0,70280.0,,40.9986935694586,2.7569993586355,12500000.0,1.32014208497048,,,,,,,2.52392209617722,2151772979.96956,975781853.975053,5.01616911525804,761.851359570018,1049797102.80048,,,20.1,29.2,69.6782926829268,57.7678101244649,-0.148593694420762,2824400.0,1281958.0,45.3886927459708
YR1962,1118.0,70280.0,,41.1678037451009,4.26372712149085,13225000.0,1.29021997609629,,,,,,,4.88024367528608,2329372971.89171,1056319555.20885,3.21644442741555,821.344113076887,1134624024.74649,860.0,,19.2,28.1,69.9910487804878,57.8748403449696,0.411628631985577,2836050.0,1306449.0,46.0657794516136
YR1963,1118.0,70280.0,,41.4087676005226,2.45362058668928,13700000.0,1.24281713383915,,,,,,,2.6714349174529,2505073357.88508,1135995826.81589,4.7446342195897,878.156576476286,1218007034.71839,930.0,,18.4,27.1,70.2300975609756,57.9479176119596,0.583614784297507,2852650.0,1337533.0,46.8873936107826
YR1964,1118.0,70280.0,,41.610538539701,6.71728971926295,16350000.0,1.30320786489055,,,,,,,9.66097835485682,2851091646.43165,1292907531.83787,3.78596155115387,994.607331611746,1383765857.573,1010.0,,17.7,26.0,70.4899268292683,57.8973433994834,0.486082926587529,2866550.0,1369159.0,47.7632999301661
YR1965,1118.0,70280.0,,41.7665844099289,4.98812351543946,17725000.0,1.32690805500519,,,,,,,4.45389166434029,3035655793.5247,1376603324.70461,1.93345000050924,1055.03624701098,1481572084.87735,1090.0,,17.1,24.8,70.695,57.7270611288471,0.374313833111706,2877300.0,1398624.0,48.6089077192659
YR1966,1118.0,70280.0,,41.9335172013355,3.05429864140273,17375000.0,1.23436045763536,,,,,,,4.44218889984525,3198820903.82796,1450595123.70843,0.893092501243231,1107.31823034754,1555710316.47179,1170.0,,16.4,23.5,70.2169512195122,57.6301703735729,0.398883656123275,2888800.0,1425559.0,49.3478045796129
YR1967,1118.0,70280.0,,42.1316591667876,3.1833150395518,18250000.0,1.18712684797857,,,,,,,3.24189028156144,3445739914.73101,1584269795.87703,5.78570426266425,1187.18321236576,1698053043.11403,1280.0,,15.5,22.0,71.2453658536585,57.6928464731433,0.471401693156575,2902450.0,1451858.0,50.021799154292
YR1968,1118.0,70280.0,,42.3218173900421,4.6808510638299,19650000.0,1.13285129943636,,,,,,,4.23662923575228,3378701146.84197,1787528802.36548,8.24392880348537,1158.85549787929,1921873965.17206,1380.0,,14.6,20.7,70.941,57.7634862799968,0.45032733373721,2915550.0,1477526.0,50.6774259588724
YR1969,1118.0,70280.0,,42.5700391929162,7.41869918597554,22025000.0,1.09928037099096,,,,,,,9.11139075397959,3902721631.54663,2064766021.26382,5.86385507267597,1330.78329549951,2207577439.8743,1450.0,,13.8,19.8,70.8528292682927,57.7874710639539,0.584796988242312,2932650.0,1504202.0,51.2915782108973
YR1970,1118.0,70280.0,0.727935299608198,42.9271302075773,8.20719016091027,26975000.0,1.15860929602813,716325836.325836,2567655000.0,74.4260445647122,,,,9.72879654891297,4395995085.99509,2325921000.0,2.6605292978217,1486.51452734638,2481306000.0,1520.0,,13.0,19.1,70.9015609756098,57.7318659885423,0.835333131123753,2957250.0,1533201.0,51.8454815445478
YR1971,1118.0,70280.0,0.490364313055795,43.4322833502685,8.96174863417669,33125000.0,1.24394513227465,864699118.436182,2917812000.0,72.2038426969925,,,,10.53919195768,5098250287.46646,2660267000.0,3.46988866612384,1703.93218277317,2829306000.0,1720.0,,12.6,18.6,71.6758536585366,57.7147662447937,1.16989887588371,2992050.0,1565551.0,52.3236946036989
YR1972,1118.0,70280.0,0.490656896947855,44.082595442009,8.60581745301066,42725000.0,1.32881101131957,1077555074.7443,3457985000.0,67.6291724235407,,,,13.3851183358927,6318060582.21873,3212102000.0,6.48980775082018,2080.46514718169,3412416000.0,2070.0,,12.3,18.3,71.021756097561,57.8418505751933,1.48620227950675,3036850.0,1602170.0,52.7576343945787
YR1973,1118.0,70280.0,0.695078158768606,44.7953258818406,11.4148503873296,50950000.0,1.31269490105501,1302880571.09782,4230126000.0,75.235642007772,,,,15.2725835187207,7481173065.79201,3877492000.0,4.72142803863792,2424.26904706558,4084333000.0,2540.0,,12.2,18.0,71.2399756097561,57.9885713248247,1.60387576085984,3085950.0,1640931.0,53.1742670372942
YR1974,1118.0,70280.0,0.648358917502276,45.5436202641893,16.9761273212048,60400000.0,1.40693235636944,1508944945.68219,5019491000.0,90.6766601729861,,,,6.08761474307056,7896860614.98803,4288785000.0,4.26023030161873,2516.92768605196,4525655000.0,2990.0,,11.9,17.5,71.1755609756098,58.0882628778222,1.656675285169,3137500.0,1680773.0,53.5704404923808
YR1975,1118.0,70280.0,1.66778992000303,46.2991725939904,20.8758503401952,88600000.0,1.62595896710865,1962515679.44251,5908035000.0,83.0466781269966,,,,20.1333435332316,9483808362.36934,5443706000.0,5.65664652614466,2973.40012301715,5714153000.0,3390.0,,11.4,16.9,71.7530487804878,58.1778006071157,1.64535365574099,3189550.0,1720596.0,53.9447772582623
YR1976,1118.0,70280.0,1.82657559314158,47.0031934968791,17.9856958613386,108000000.0,1.61516249948012,1897345032.55024,7371870000.0,91.2384296822886,,,,21.022926119025,9453756014.71837,6680024000.0,1.39480668315268,2919.58308695615,6949764000.0,3280.0,,10.8,16.1,71.8566097560976,58.2793528004494,1.50914557515468,3238050.0,1758128.0,54.2958998333622
YR1977,1118.0,70280.0,1.21120089520006,47.6440702569313,13.4722552937948,125000000.0,1.52517744005848,2134752026.37725,9122397000.0,97.9998453771996,,,,13.2685997880515,11248340431.3779,8187667000.0,8.21130051013432,3427.0734359204,8421538000.0,3580.0,,10.0,15.2,71.9973902439024,58.392448980339,1.35426324965316,3282200.0,1792817.0,54.6224307161041
YR1978,1118.0,70280.0,2.56185213330257,48.3248657279721,7.71111214621869,144000000.0,1.48308354739001,2787689519.78254,10881581000.0,99.7121723794558,,,,10.5264466357778,14647996073.6937,9699903000.0,7.18672760788444,4399.98680535092,9826784000.0,4120.0,,9.2,14.2,71.9963170731707,58.5414799967439,1.41880679291003,3329100.0,1828441.0,54.9229924049116
YR1979,1118.0,70280.0,1.83783970791835,48.9730004354768,13.2954688248281,180000000.0,1.58220056709233,3684766279.81947,13490481000.0,105.299140410978,,,,13.6760608502834,18319334300.4513,11365315000.0,3.07303639266831,5429.96200087479,11490470000.0,5120.0,,8.2,13.0,72.2680243902439,58.7151760426636,1.33228881575867,3373750.0,1862182.0,55.1962073982082
YR1980,1118.0,70280.0,1.31714135242008,49.539846131514,18.1544622557972,224000000.0,1.66526701222097,4808310406.2146,15583842000.0,102.303103140348,,,,14.7047957885589,21747855640.0712,13438000000.0,3.07932918345945,6372.43777545453,13550624000.0,6380.0,,7.4,11.9,72.5954146341464,58.8621676459294,1.15081833848717,3412800.0,1892080.0,55.4406981944175
