Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,9.82241081297867,7475000000.0,2.29490883301967,441628884.173349,373777455137.237,31.2375416706824,25.747575219078,138402674337.266,43.5113011730715,,4199134389.9037,318084430035.205,,195.57752721271,310050440661.86,,,,,43.297,52.3530288209358,,21470434.0,7292611.0,33.9658279418945
YR1961,228.0,1745150.0,,13.5843991748324,3.16256439585745,8025000000.0,2.34664218166081,463370613.855729,387261929170.347,29.595243518665,27.8282147162268,143930222559.072,42.920505837503,-4.49823287158488,4426949094.8403,335341393934.153,10.3909183549937,200.081529294917,326758520487.651,,,,,43.9,51.88374275004,3.00641779761326,22125726.0,7660053.0,34.6205711364746
YR1962,228.0,1745150.0,,14.003233748373,0.721320571656337,8325000000.0,2.30741087712102,482394627.327813,400488558279.597,28.1759999579277,29.5449602403599,151155567544.88,42.5146436596321,-1.74838598504724,4693566416.48346,355537656048.622,7.90926792965325,205.786809656996,345821650754.673,210.0,,,,43.769,51.5335756148076,3.03662701704347,22807907.0,8046899.0,35.2811813354492
YR1963,228.0,1745150.0,,14.4398223188192,0.371849607221666,9750000000.0,2.59035696447359,547619816.374953,396811813889.22,27.7909132791522,30.8629517793278,159293990686.372,42.6668630359467,-1.90010248777531,4928628018.38759,373343572392.86,7.04207522912871,209.559376274106,362469974390.194,210.0,,,,45.105,51.2731076150307,3.07015436284033,23519005.0,8454487.0,35.9474678039551
YR1964,228.0,1745150.0,,14.8965218939561,3.81448957223043,11775000000.0,2.88182674775756,672634762.04864,446090857128.643,32.7286498118115,31.4020558314607,179449528235.941,44.0341754190211,0.626693254366756,5379845647.70139,407523307813.38,8.4752282487856,221.731727810865,395184873391.582,220.0,,,,45.735,51.2240045577481,3.11379271685126,24262859.0,8884871.0,36.6192245483398
YR1965,228.0,1745150.0,,15.3718030894668,2.15437483520967,15150000000.0,3.24952490444466,890052058.872443,518000410678.724,32.6260355705187,32.8271292371268,209324169568.731,44.5895226563287,-1.5726706863673,6197319929.04038,469446984624.809,17.0357115203008,247.526675505342,453998667482.396,250.0,,,,46.372,51.3666845096081,3.14071071653765,25036978.0,9298707.0,37.1398936876466
YR1966,228.0,1745150.0,,15.8582418526978,-0.388148532154432,19400000000.0,3.8189953679917,1006913855.91524,579114497774.731,33.9069788697103,33.5632308867464,227710691379.615,44.2725903680242,-1.73978924473283,6789938671.75094,514337854385.134,11.5024072848285,262.877683796365,498744578395.021,270.0,,,,47.072,51.5031512698578,3.11544929495017,25829270.0,9738465.0,37.7032128843461
YR1967,228.0,1745150.0,,16.3488985485891,1.59761007964354,25075000000.0,4.45799176138232,1152311673.16616,644966143270.956,36.9554383859175,35.1854983613906,251074136463.671,43.8695132934473,0.0183557037140076,7555383690.16,572320314529.62,11.2528030961675,283.733705768331,553721098940.1,280.0,,,,47.803,51.6008368123058,3.04711721337762,26628432.0,10346778.0,38.856128692627
YR1968,228.0,1745150.0,,16.8455702497606,0.690360521996233,33125000000.0,5.17636359090398,1358858105.14877,743894804557.526,37.9919397932741,36.3029454808022,283920480941.309,43.4657309829223,-0.23719076577261,8623172959.89803,653205351712.276,14.4041826754728,314.285456656503,628269680050.053,320.0,,,,47.946,51.687187598981,2.99272010313839,27437391.0,10903821.0,39.7407341003418
YR1969,228.0,1745150.0,,17.3589000221027,3.59319451551281,42875000000.0,5.9690541955316,1629270868.07337,847436524510.732,39.0781431690247,38.5389825609322,315811413826.556,42.7906110199432,-2.18961228853523,9743089607.49587,738039037767.812,15.5166589080891,344.60168745738,708240308819.822,350.0,,,,49.382,51.7888113637509,3.00176153959819,28273482.0,11488111.0,40.6321067810059
