Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,1.98839723902034,,,,,,,,,,260984498.826389,94451597.2922311,,1486.46439009414,93788664.1660089,,,11.3,17.3,74.0400731707317,57.0578233714304,,175574.0,141077.0,80.3518905639648
YR1961,1940.0,103000.0,,1.78582543640898,4.71161499679353,,,,,,,,,13.2708468939021,266711460.241466,106906757.59678,-0.074183976261267,1489.76679890669,106259414.482224,,,11.2,17.0,73.5034146341464,56.880682691099,1.94871974343751,179029.0,144983.0,80.982795715332
YR1962,1940.0,103000.0,,1.8192319201995,11.016292445577,,,,,,,,,11.146744282461,299309938.066264,128703275.523525,8.31477357089841,1641.15155373051,128083235.916684,1610.0,,11.2,16.7,73.7219512195122,56.8155269522488,1.85336524391391,182378.0,148705.0,81.5369720458984
YR1963,1940.0,103000.0,,1.85190024937656,12.9280230755903,,,,,,,,,8.22791211895235,357240895.712432,153613587.72848,10.2810143934202,1924.23982220827,153024753.311281,1830.0,,11.1,16.3,73.0429268292683,56.8346234439219,1.77978836016473,185653.0,152282.0,82.0250244140625
YR1964,1940.0,103000.0,,1.88511720698254,19.2450543572579,,,,,,,,,16.2181321099464,456206298.792753,196168711.765569,9.88191423244254,2414.00707361378,195633175.368266,2150.0,,10.9,15.9,73.5417073170732,56.9104250208966,1.77777239918805,188983.0,156196.0,82.6508560180664
YR1965,1940.0,103000.0,,1.91806483790524,7.31706942783346,,,,,,,,,12.3920388923936,550150987.996732,236564928.799682,7.29638009049766,2861.10787055081,235479292.923784,2550.0,,10.8,15.5,73.8687804878049,57.0494922868151,1.73267831081437,192286.0,159959.0,83.1879806518555
YR1966,1940.0,103000.0,,1.95082294264339,10.6866430342387,,,,,,,,,10.4248181042121,660663763.278256,284085422.966429,8.75065893516079,3378.14472198321,282970048.041723,3120.0,,10.6,14.9,73.3004878048781,57.2463138305487,1.69345245722007,195570.0,163377.0,83.5386734008789
YR1967,1940.0,103000.0,,1.9825536159601,3.32021867821532,,,,,,,,,2.75595676618707,652609075.682946,288235691.952369,-1.26030053320396,3283.55115538008,286711128.981954,3260.0,,10.4,14.4,73.7831707317073,57.4782551827873,1.6134413363767,198751.0,166749.0,83.8983154296875
YR1968,1940.0,103000.0,,2.00985536159601,15.2317984034252,,,,,,,,,13.7412170020207,498365199.686946,309817063.785998,-5.49828178694162,2473.42372591393,307079139.475136,2920.0,,10.2,13.9,74.0058536585366,57.8008377004923,1.3677041295166,201488.0,170054.0,84.3988265991211
YR1969,1940.0,103000.0,,2.02861845386534,21.7632949193453,,,,,,,,,20.8561468613899,435659609.943615,383380454.659215,2.38961038961043,2142.21248048432,379198562.908121,2610.0,,9.9,13.4,73.7763414634147,58.1754574017711,0.929223668931563,203369.0,172362.0,84.7535705566406
YR1970,1940.0,103000.0,0.82551250568061,2.03928179551122,13.3724751491846,,,69875000.0,474249000.0,84.1284797645205,,,,16.4400087960377,545115909.090909,479702000.0,7.45814307458133,2666.41186614479,476624675.061115,2640.0,,9.6,12.9,73.9339024390244,58.5672821347966,0.524268807805472,204438.0,173856.0,85.0411682128906
YR1971,1940.0,103000.0,2.85434393009609,2.05584039900249,6.73187452980988,,,91893181.8181818,659397000.0,77.5205671992897,,,,12.5531964222952,693679545.454545,610438000.0,13.0608375831739,3365.77524019906,607630556.452964,3100.0,98.8965225219727,9.2,12.4,73.5704878048781,59.0016031198993,0.808703279129674,206098.0,175854.0,85.3253631591797
YR1972,1940.0,103000.0,0.322208332365036,2.08615461346633,9.81132391279972,,,127682982.098346,790009000.0,68.4735756510583,,,,18.3346123139072,869002945.841831,766982000.0,6.17733454676718,4155.18509800672,760761013.591003,3810.0,99.3602828979492,8.8,11.9,74.4558536585366,59.436386102527,1.46377557871447,209137.0,179326.0,85.7456665039062
