Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,2.22811242067084,34250.0,7.46024831191462,,,,,,,,3070585807.33625,614117.161467249,,1452.48664030437,608712.276906436,,,,38.4,,59.7346789754085,,2114020.0,1625827.0,76.9069002716268
YR1961,435.0,22070.0,,100.970425138632,6.78982340440244,43525.0,7.86501626310083,,,,,,,8.60934375923006,3708586471.46387,741717.294292774,11.2038906187628,1697.29357961733,735282.044348297,,,,36.7,72.0065853658537,59.8849088947253,3.30244804063226,2185000.0,1704312.0,78.0005646084167
YR1962,435.0,22070.0,,105.961182994455,9.40819406826555,61075.0,9.16079196040198,,,,,,,8.9100430885274,2966154031.33123,889846.209399368,10.1561172182462,1293.56913708296,882102.974580855,1550.0,,,35.1,72.1121951219512,59.7981784071327,4.82451753282139,2293000.0,1807918.0,78.8450881467936
YR1963,435.0,22070.0,,109.935304990758,6.58113736464057,77775.0,9.7535741158766,,,,,,,7.69150877930606,3535949088.90947,1060784.72667284,10.6957231497209,1486.31739760801,1051529.85397512,1570.0,,,33.5,,59.6756455730827,3.68192274450533,2379000.0,1895040.0,79.6570180638979
YR1964,435.0,22070.0,,114.371534195933,5.17275042328815,83575.0,8.98462696194367,,,,,,,5.44308224852017,4024344852.54797,1207303.45576439,7.93718642275164,1625.9979202214,1196702.43374797,1540.0,,,32.1,,59.6484986703885,3.9560164699833,2475000.0,1990632.0,80.4295805088071
YR1965,435.0,22070.0,,118.438077634011,7.708333264205,94175.0,8.56915377616015,,,,,,,-1.30786440112556,4329084428.62583,1298725.32858775,8.99794750184594,1689.06922693166,1287361.70903191,1700.0,,,30.7,,59.6870789907229,3.49380513612804,2563000.0,2080234.0,81.1640162342173
YR1966,435.0,22070.0,,121.487985212569,7.9303675444845,112650.0,9.43467336683417,,,,,,,8.73082288465228,4703300098.0703,1410990.02942109,-0.0796470240325675,1789.00726438581,1396623.79664684,1730.0,,,29.4,72.2856097560976,59.7682874968928,2.54250983658102,2629000.0,2152141.0,81.8615659928241
YR1967,435.0,22070.0,,126.84842883549,1.70609316005932,186700.0,15.4425144747725,,,,,,,-1.68818351341645,4762386782.7194,1428716.03481582,2.99502646342917,1734.93143268466,1409575.1216874,1740.0,,,28.2,71.509756097561,59.8778409214006,4.31775292137498,2745000.0,2265269.0,82.5234705373233
YR1968,435.0,22070.0,,129.52865064695,2.07922185813625,241500.0,17.4280147218013,,,,,,,-1.39929452148722,5458427927.8861,1637528.37836583,16.2419518797076,1947.35209699825,1616678.58301785,2030.0,,,27.1,71.0565853658537,60.0030051370834,2.09091972211573,2803000.0,2330722.0,83.1509706204109
YR1969,435.0,22070.0,,132.948243992606,2.45805425617799,305200.0,19.0893169877408,,,,,,,1.59626266238027,6297852761.13463,1889355.82834039,13.5657021560076,2189.03467540307,1860398.97241752,2250.0,,,26.2,70.9704878048781,60.1284530983528,2.60578123867595,2877000.0,2409352.0,83.7453069947824
