Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,2.3501614137705,325262900.0,2.71382598828575,,,,,,,,42012422612.3955,13539009382.8162,,836.905850281885,13635261294.1065,,,24.2,44.2,69.1239024390244,65.4830231232008,,50199700.0,29763090.0,59.2893774438496
YR1961,832.0,301340.0,,171.828057529496,2.05069731278698,343091600.0,2.57386907530496,,,,,,,2.78215888207644,46649487320.4225,15057780716.5963,8.20724591384787,923.08778375214,15156819927.9822,,,23.5,42.6,69.760243902439,65.3916748926451,0.668382874410405,50536350.0,30226243.0,59.8108936598119
YR1962,832.0,301340.0,,172.994627860324,4.69114360740471,394448900.0,2.63383835685955,,,,,,,5.79372991590665,52413872628.0045,16918441034.9261,6.20365045787119,1030.15800343763,17021603630.4553,1010.0,,23.0,40.9,69.149756097561,65.4683198410495,0.676622989670017,50879450.0,30691079.0,60.3211698045279
YR1963,832.0,301340.0,,174.261330794601,7.45471822539103,472327500.0,2.75343795360876,,,,,,,8.45785990027885,60035924617.9277,19378729326.7658,5.60972797819841,1171.3869628098,19493909859.1264,1110.0,,22.6,39.1,69.2480487804878,65.5655265031317,0.729553242231653,51252000.0,31190042.0,60.8562430814637
YR1964,832.0,301340.0,,175.700758219714,5.91232253218587,512153800.0,2.72735589826609,,,,,,,6.48980793678638,65720771779.4768,21213715880.38,2.79770227911476,1271.80119301518,21351573375.4669,1210.0,,22.7,37.4,70.3117073170732,65.5390743771041,0.822623699867765,51675350.0,31734189.0,61.4106892183191
YR1965,832.0,301340.0,,177.186596851518,4.51926830743458,555173300.0,2.74758016222984,,,,,,,4.19704019609377,70717012186.1774,22826430119.5472,3.26802371964186,1357.0106162201,23014033592.0497,1330.0,,22.8,35.8,70.1717073170732,65.3963757602299,0.842108616866269,52112350.0,32295203.0,61.9722633910981
YR1966,832.0,301340.0,,178.569242800313,2.34658893413318,614779700.0,2.98871998055421,,,,,,,2.23239628591665,76622444787.3696,24732618467.0119,5.98479422519713,1458.94713889011,24958650041.1276,1480.0,,22.5,34.4,70.9260975609756,65.2013045611933,0.77730440730804,52519000.0,32839459.0,62.5287207758048
YR1967,832.0,301340.0,,179.86637652579,3.73333832073822,622585300.0,2.767746940336,,,,,,,2.77525898114048,84401995573.2456,27243745095.3224,7.17861246556186,1595.48578129215,27467022607.0682,1620.0,,21.8,33.1,70.9565853658537,64.9578538361576,0.723778172767654,52900500.0,33363190.0,63.0678165484433
YR1968,832.0,301340.0,,181.00625616266,1.27731335390797,642720200.0,2.64896159188232,,,,,,,1.73445112915131,91485448147.84,29530181275.2535,6.54455465470525,1718.49646427147,29788537095.1644,1770.0,,21.0,32.0,70.78,64.7216077134239,0.631737252752781,53235750.0,33845856.0,63.5773058850175
YR1969,832.0,301340.0,,182.033762877835,2.65725273386972,646800400.0,2.42240082694152,,,,,,,4.05131666023577,100996667239.335,32600265420.9487,6.09805999558608,1886.45002730465,32907835539.9832,1940.0,,20.7,30.9,70.8119512195122,64.489457499893,0.56605850865814,53537950.0,34288350.0,64.0449439615316
YR1970,832.0,301340.0,0.549162667416517,182.999047975247,4.96831987329335,715542900.0,2.05821005427826,17048370508.0545,36728623000.0,30.0296336389733,,,,6.86503492441044,113656669764.56,36688373000.0,5.31050242854884,2111.71986404332,37003189000.0,2120.0,,20.5,29.7,71.5587804878049,64.2597914744167,0.528877031717835,53821850.0,34692750.0,64.4584859539895
YR1971,832.0,301340.0,0.439413593455755,183.854646220802,4.79166438333786,848415500.0,2.2389709472173,20490252808.9888,39830430000.0,30.3261935207482,,,,7.17883962286399,124959712858.926,40037092000.0,1.81810794624113,2310.92376058816,40386978000.0,2290.0,,20.3,28.2,71.8068292682927,64.0590184726353,0.466452872314018,54073490.0,35040229.0,64.8011235401742
YR1972,832.0,301340.0,0.462366084010996,184.901380435891,5.74950393730007,990779000.0,2.39117601629548,24718545816.7331,43594768000.0,31.749631565923,,,,5.63297178052346,145594833997.344,43853164000.0,3.69048578366487,2677.29372999774,44255935000.0,2620.0,,19.6,26.4,72.0753658536586,63.8790485515229,0.567712498645759,54381345.0,35399674.0,65.0952520132444
YR1973,832.0,301340.0,0.382669860166223,186.159620550134,10.7986174547602,1095445000.0,2.19581741427764,28668067087.3464,54169670000.0,33.9863350341926,,,,12.7386323440565,175896529392.229,52962445000.0,7.12586233109471,3212.63949627574,53319129000.0,3260.0,,18.5,24.5,72.0263414634146,63.7216018338248,0.678187647585975,54751406.0,35797488.0,65.3818598204908
YR1974,832.0,301340.0,0.297638851948152,187.381823127401,19.1597695854699,1306551000.0,2.07062677398957,30974796070.259,70114997000.0,40.7090687382642,,,,20.2463800212717,200024444775.231,67188211000.0,5.50014109691006,3629.49182319594,67243076000.0,3940.0,,17.2,22.4,72.7343902439025,63.5915321201931,0.654388935648374,55110868.0,36187460.0,65.6630191855156
YR1975,832.0,301340.0,0.282408969633418,188.504304511917,16.9505025668306,1421861000.0,1.97523216803617,36352689798.3393,77112516000.0,37.3144454322672,,,,16.983089323791,228220643534.994,76956001000.0,-2.09016289171086,4116.45964933054,77136388000.0,4330.0,,15.9,20.5,72.6473170731708,63.5418063774556,0.597247218554801,55441001.0,36553252.0,65.93180430874
YR1976,832.0,301340.0,0.04849843416309,189.44700962225,16.6141664725788,1652481000.0,1.82814366885272,34573254245.1733,98283867000.0,41.0974307543282,,,,17.4542759905838,225235205861.828,96828615000.0,7.12538510094043,4042.39482463789,96983069000.0,4520.0,,14.8,18.8,72.9919512195122,63.5808612155316,0.498851058340731,55718260.0,36875063.0,66.1812893905852
YR1977,832.0,301340.0,0.437288015996005,190.253343986944,17.13004878665,2076467000.0,1.89080851218824,40399455782.3129,116840651000.0,41.7134160400496,,,,18.4771576136904,258190019749.835,117657192000.0,2.56050082604729,4614.21004931651,117980454000.0,4740.0,,13.9,17.3,73.3646341463415,63.6692718805705,0.424722057350148,55955411.0,37156938.0,66.4045486314727
YR1978,832.0,301340.0,0.151264767878804,190.932450443712,12.0940138425074,2428606000.0,1.87975510456818,51241900524.7547,135786125000.0,41.1732919288899,,,,13.9449743037558,315784469541.41,138408333000.0,3.24013978059317,5623.42917622719,138827451000.0,5280.0,,13.1,16.1,73.6931707317073,63.8167003642568,0.356312950366128,56155143.0,37396324.0,66.5946562318235
YR1979,832.0,301340.0,0.105268596579242,191.485325218456,14.7985735661484,2962580000.0,1.87395946663968,64337995805.1736,167943542000.0,43.6099072426685,,,,15.4510270987543,394584507107.9,169316212000.0,5.95915952688955,7006.39699054556,170277178000.0,6760.0,,12.2,15.1,74.0026829268293,64.0730145416959,0.289147207649738,56317749.0,37589105.0,66.7446863920592
YR1980,832.0,301340.0,0.120862983162359,191.880191084968,21.0641682770745,3501255100.0,1.76364323708972,78984628080.4884,218053714000.0,42.8738408491883,,,,20.8157944369936,478356755595.749,211577193000.0,3.43001634618649,8476.41045000836,212912678000.0,8450.0,,11.3,14.2,73.9431707317073,64.5235570048825,0.20599975185947,56433883.0,37724760.0,66.8477133126008
YR1981,832.0,301340.0,0.260463577703247,192.110689877937,17.9692987519672,4337252600.0,1.82111250603573,76956172713.3367,259323575000.0,45.1779120778045,,,,18.7872261549602,431695533980.583,253448448000.0,0.844227628121416,7640.40241250516,253125302000.0,8730.0,,10.5,13.4,74.3539024390244,65.1068719741203,0.12005432007943,56501675.0,37797195.0,66.8957067261538
YR1982,832.0,301340.0,0.143648074746814,192.253061779606,16.4804146202214,5631829100.0,2.0053729031431,76658460987.8311,303863309000.0,43.4082419852183,,,,17.5409500183955,428257421617.752,299137809000.0,0.413585694308892,7573.93967597775,298446101000.0,8240.0,,9.9,12.6,74.8146341463415,65.7375687698422,0.0740818599916188,56543548.0,37826133.0,66.8973453437563
YR1983,832.0,301340.0,0.269084823048681,192.322851994152,14.646576674877,6596601260.0,2.01650141992046,81248207547.1698,347364404000.0,40.0972777577362,,,,15.0967394318764,444063496940.337,348323407000.0,1.16920342741862,7850.62789042275,347995329000.0,7650.0,,9.3,11.9,74.640243902439,66.4505054217075,0.0362946366697159,56564074.0,37832838.0,66.8849239308828
YR1984,832.0,301340.0,0.299200696000769,192.365842711911,10.7944960076811,7527880300.0,2.00860777360645,79410936742.3408,401018421000.0,42.3380867149025,,,,10.7618450140697,438896930791.272,398255075000.0,3.22585239030356,7757.55374836822,397807305000.0,7780.0,,8.8,11.2,75.389512195122,67.1286170949212,0.0223509131041464,56576718.0,37829750.0,66.8645181676116
YR1985,832.0,301340.0,0.235365520148509,192.421444357553,9.20599144253118,8139023300.0,1.93636892016635,82680266707.2305,449973146000.0,42.539111003159,,,,9.17464253004685,453259761687.456,446959451000.0,2.79808575480784,8009.10347642127,445893483000.0,8050.0,,8.3,10.5,75.4707317073171,67.5247270050855,0.0288999392122477,56593071.0,37825981.0,66.838537979828
YR1986,832.0,301340.0,-0.0238376159388179,192.431930230186,5.82354691862017,9194464600.0,1.97714264210667,115128160800.104,488802816000.0,36.0801894012968,,,,7.48841786504084,641862313287.44,494169795000.0,2.85997186889063,11341.0939892903,491641276000.0,9400.0,,7.9,9.9,75.7707317073171,67.7806147981167,0.0054492818967762,56596155.0,37811548.0,66.8093932934176
YR1987,832.0,301340.0,0.518607364007332,192.451569140798,4.74728490389789,10477598800.0,2.06035364400414,150717393187.93,539487307000.0,35.4808325109317,,,,6.00928293529807,807570134448.76,540587448000.0,3.19196062140115,14267.5368168757,538936567000.0,12190.0,,7.5,9.5,76.219512195122,68.0194919047037,0.0102051195547741,56601931.0,37798483.0,66.779494034266
YR1988,832.0,301340.0,0.759731631080557,192.544585359219,5.05824747667119,11699352600.0,2.07285745924484,170312865218.685,601834981000.0,35.0303636931745,,,,6.65040253993669,893663934840.821,600720897000.0,4.19437725054567,15780.9495122174,599121306000.0,15990.0,,7.1,9.0,76.3707317073171,68.2056058106738,0.0483205970471755,56629288.0,37800758.0,66.7512501282587
