Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,3.27424913835588,,,,,,,,,,699064380.374248,499331900.0,,423.674098184095,488071600.0,,,34.4,65.3,63.828,54.5861210765661,,1650005.0,490876.0,29.7499461367826
YR1961,2051.0,10990.0,,154.502400738689,6.69845053635209,,,,,,,,,,748043500.7826,534317000.0,,447.057273660594,520682200.0,,,33.2,62.4,64.257,53.9218788706241,1.39960987986487,1673261.0,514415.0,30.7432816023984
YR1962,2051.0,10990.0,,156.688088642659,1.40750670241315,,,,,,,,,,777727688.908924,555520000.0,,458.313997796567,531552400.0,,,32.0,60.0,64.619,53.2732602131376,1.40474977266368,1696932.0,541293.0,31.8983242236801
YR1963,2051.0,10990.0,,158.919575253924,1.76250275391075,,,,,,,,,,826706669.317332,590505000.0,,480.336499711715,577207200.0,,,30.9,57.9,64.999,52.6081743723558,1.41411255336515,1721099.0,570772.0,33.1632524418887
YR1964,2051.0,10990.0,,161.178947368421,2.01342281879186,,,,,,,,,,897949000.8204,641392400.0,,514.416511313452,626123100.0,,,29.9,56.0,65.347,51.8630611926891,1.41169638530914,1745568.0,602121.0,34.494280828651
YR1965,2051.0,10990.0,,163.360295475531,2.63157894736852,,,,,,,,,,972159611.136156,694400000.0,,549.493560414107,678300000.0,,,29.0,54.4,65.663,51.143233747383,1.34429410610837,1769192.0,634213.0,35.8476239555937
YR1966,2051.0,10990.0,,165.417820867959,1.90239867659225,,,,,,,,,,1096759561.29618,783400000.0,,612.210363692586,730500000.0,,,28.1,52.9,65.928,50.5353830043353,1.25163576949704,1791475.0,666061.0,37.1794963943434
YR1967,2051.0,10990.0,,167.392890120037,3.02353896103856,,,,,,,,,4.24178110994302,1148014310.8255,831400000.0,1.80863851891935,633.259680574944,776200000.0,,,27.3,51.4,66.086,49.9736604766488,1.18691639039353,1812865.0,696976.0,38.4461127165269
YR1968,2051.0,10990.0,,169.32271468144,5.92869805002995,,,,,,,,,2.73481216062201,1083839132.92869,903200000.0,5.74413221562098,591.045817173244,854400000.0,620.0,,26.5,49.9,66.319,49.4924514612146,1.14627636177528,1833765.0,726239.0,39.6036874937708
YR1969,2051.0,10990.0,,171.295198522622,6.30345853477095,,,,,,,,,4.10566063066078,1191239047.00876,992700000.0,5.57467387070459,642.133421058915,941500000.0,640.0,,25.7,48.3,66.516,49.1608660754762,1.15819269270333,1855127.0,753338.0,40.6084352977019
YR1970,2051.0,10990.0,11.5396626308158,173.425300092336,14.7280041962567,,,,,,,,,5.22592582093601,1404720441.88818,1170599900.0,12.0644090390182,747.909399172491,1119700000.0,720.0,,24.9,46.6,66.731,49.0090491088257,1.23585843597285,1878196.0,778084.0,41.4272087135995
YR1971,2051.0,10990.0,11.3776442854585,175.782825484765,5.33617929585868,,,,,,,,,6.92243514850151,1539861815.89381,1282400000.0,2.45807345173883,808.866506083755,1208100000.0,760.0,109.351783752441,24.2,44.8,66.997,49.0326745646766,1.35023273338022,1903728.0,802438.0,42.1508557503623
YR1972,2051.0,10990.0,5.19959349593496,178.351061865189,5.42770299630751,,,,,,,,,-4.90581290550031,1875146587.4443,1439100000.0,18.0085552919373,970.802906405502,1413900000.0,980.0,111.591743469238,23.6,43.0,67.304,49.2192893603373,1.45045786244823,1931542.0,827666.0,42.850003524192
YR1973,2051.0,10990.0,3.84591661781266,181.091320406279,17.6825919824838,,,,,,,,,26.448541353541,1905917553.19149,1719900000.0,-5.48550909116167,971.802513228502,1692500000.0,1020.0,108.672409057617,23.1,41.2,67.607,49.5276535849251,1.52475710484234,1961219.0,853478.0,43.5177150811773
YR1974,2051.0,10990.0,1.28414435902186,183.832502308403,27.1581894550216,,,,,,,,,31.0861588853668,2375122375.12238,2159200000.0,-4.22926130986501,1192.98569350958,2210900000.0,1190.0,112.710922241211,22.7,39.6,67.913,49.8971699058544,1.50235928172952,1990906.0,879029.0,44.152225307985
YR1975,2051.0,10990.0,2.14652084508583,186.424838411819,17.3761467885801,,,,,,,,,20.742701965804,2860442750.44275,2600399900.0,-0.25609225691494,1416.77546764568,2620100100.0,1380.0,106.153762817383,22.4,38.0,68.168,50.3248668511492,1.400311717565,2018981.0,903530.0,44.7517690912819
YR1976,2051.0,10990.0,-0.0202289727128383,188.880701754386,9.79365327534651,24950000.0,0.925307817831182,,,,,,,11.1311301002111,2966042856.04286,2696399900.0,-6.6942450951283,1449.977882067,2629854512.0,1380.0,106.490043640137,22.2,36.7,68.412,50.7860614457136,1.30874614591223,2045578.0,926945.0,45.3145813177345
YR1977,2051.0,10990.0,-0.298486047405004,191.196398891967,11.1910016370359,27800000.0,0.941001252411739,,,,,,,12.4864965386378,3249733139.73314,2954299900.0,-2.59754869763765,1569.42127051131,2869299985.0,1460.0,105.957122802734,22.0,35.5,68.586,51.2399563906634,1.21855580774246,2070657.0,949166.0,45.8388968740097
YR1978,2051.0,10990.0,-1.00585063932545,193.428993536473,34.8998015240508,,,,,,,,,26.5751041037213,2644527821.53011,3737400100.0,-0.0537003148015742,1262.40327239465,3536010788.0,1420.0,106.677841186523,21.8,34.3,68.739,51.7126400348285,1.16093204633623,2094836.0,970390.0,46.3229506467742
YR1979,2051.0,10990.0,-1.08863096011403,195.705078485688,29.0792596109786,,,,,,,,,15.7369435838898,2425064229.04184,4279700000.0,-1.06004131730283,1144.17562986584,3984982018.0,1330.0,107.890991210938,21.6,33.3,68.813,52.2315551978168,1.16983377702703,2119486.0,991177.0,46.7649775226947
YR1980,2051.0,10990.0,1.03382149965431,198.121698984303,27.3081589882307,,,,,,,,,18.2880107849138,2679379371.51261,4773100000.0,-5.71415924592799,1248.74484727418,4395438960.0,1230.0,105.8447265625,21.4,32.2,68.992,52.77360138475,1.22726587882467,2145658.0,1011961.0,47.1632123884379
YR1981,2051.0,10990.0,-0.386031958393789,200.72188365651,12.7397181145091,80025000.0,1.50794248996589,,,,,,,8.32434287847963,2979027966.45373,5306900000.0,2.63944799408762,1370.41277901541,5017953676.0,1310.0,104.902717590332,21.1,31.2,69.12,53.3157559648508,1.30388032977093,2173818.0,1032909.0,47.5158901306706
YR1982,2051.0,10990.0,-0.479733344250708,203.498522622345,6.54540796720066,95500000.0,1.62772067972252,,,,,,,8.31478842761348,3293496311.93093,5867100200.0,2.06923162402543,1494.40208283218,5554995416.0,1370.0,106.226150512695,20.8,30.3,69.253,53.8519303494709,1.37384585027548,2203889.0,1053924.0,47.8211020738558
YR1983,2051.0,10990.0,-0.516679880216784,206.35567867036,11.5821110844253,96925000.0,1.38598924669679,,,,,,,16.9605968125078,3619262277.47712,6993200100.0,1.90907840238197,1619.4784563122,6693926885.0,1410.0,105.863059997559,20.5,29.5,69.546,54.3370150418465,1.39425304090534,2234832.0,1074650.0,48.0863989128291
YR1984,2051.0,10990.0,0.513994869134901,209.100831024931,27.8147693237453,99175000.0,1.05973179462521,,,,,,,35.9191957218217,2373564549.4932,9358499800.0,-1.54234579969579,1048.13405395534,8308384332.0,1150.0,104.282279968262,20.1,28.6,69.809,54.75239803547,1.32153052966596,2264562.0,1094226.0,48.319534412407
YR1985,2051.0,10990.0,-0.428522654770816,211.510249307479,25.6731012391772,104025000.0,0.891059849412813,,,,,,,28.5288463899541,2100239018.82467,11674300400.0,-2.94363557496624,916.872292838674,10108062187.0,940.0,102.529739379883,19.9,27.9,70.101,55.1352756590252,1.14568766738698,2290656.0,1111610.0,48.5279997041476
YR1986,2051.0,10990.0,-0.166996449444444,213.492613111727,15.1053754209796,128850000.0,0.853933328915104,,,,,,,26.8611221808266,2754549581.92409,15088962600.0,1.88258818544895,1191.34976782142,13551466236.0,970.0,101.155349731445,19.5,27.2,70.446,55.5018651673244,0.932877566698888,2312125.0,1126442.0,48.7189137335525
YR1987,2051.0,10990.0,1.62457806679125,215.125854108957,6.65244804962684,138950000.0,0.770446354311062,,,,,,,10.8225945755829,3287007321.56699,18034714600.0,7.850354826906,1410.84598702428,16151364230.0,1190.0,102.461883544922,19.2,26.5,70.87,55.8534955380539,0.762099175349716,2329813.0,1139264.0,48.8993954461234
YR1988,2051.0,10990.0,-0.313451552358751,216.599907663897,8.26676574400908,169775000.0,0.807990671996954,,,,,,,12.0555766552993,3828342820.3494,21012066300.0,3.97430201540247,1632.01481656159,19172302943.0,1510.0,100.157730102539,19.0,25.9,71.161,56.2266362062549,0.682868345368861,2345777.0,1151227.0,49.0765637873617
YR1989,2051.0,10990.0,1.29627254459442,218.090120036934,14.3295390328572,235150000.0,0.929262991503655,,,,,,,12.3692212815601,4404937853.39452,25304791000.0,7.17330434565815,1864.98497550062,23293592560.0,1720.0,101.508728027344,18.7,25.3,71.512,56.6047861143241,0.685646376089344,2361916.0,1163422.0,49.2575377027692
YR1990,2051.0,10990.0,3.00291270335979,219.748568790397,21.9601751165083,277375000.0,0.840785086389815,,,,,,,25.1171058836009,4592208086.69235,32990537700.0,4.2005351147029,1929.59891905857,29901402364.0,1800.0,100.750381469727,18.4,24.7,71.705,56.9481111838973,0.757565161496706,2379877.0,1176836.0,49.4494361378472
YR1991,2051.0,10990.0,3.24386907297879,221.686888273315,51.0710977304313,386400000.0,0.75852456763707,,,,,,,43.8422876372491,4106207649.05547,49750298600.0,4.83823875455573,1710.30058243722,44433852600.0,1760.0,100.020919799805,18.2,24.1,71.787,57.2639234510345,0.878194947525997,2400869.0,1192236.0,49.6585107146052
YR1992,2051.0,10990.0,4.02776431872453,223.887442289935,77.2965929559651,1083550000.0,1.1078382456987,,,,,,,60.0357338885633,3535460089.80719,81175224300.0,1.95554250017773,1458.10146892635,74427177400.0,1630.0,,17.9,23.5,71.816,57.5191332869496,0.987746266754911,2424701.0,1209425.0,49.8793624099619
YR1993,2051.0,10990.0,1.43196537407347,226.215697137581,22.0699494185292,1111275000.0,0.821906410171071,,,,28.4493302485964,77570000000.0,57.1535933746924,52.8063996683113,5440075675.74067,135722000000.0,9.41710256580915,2220.51518327186,130834579100.0,1860.0,96.6774215698242,17.7,22.9,71.758,57.7398893961853,1.03455204361498,2449916.0,1227533.0,50.1051175348913
YR1994,2051.0,10990.0,1.44886099843129,228.55216989843,35.0633942484772,1132150000.0,0.629920602685154,,,,28.1680459859315,105482000000.0,58.4702028236781,31.1072465235653,5452558947.03045,180403000000.0,1.38338980682033,2202.85831038471,168756751500.0,1900.0,,17.4,22.3,71.624,57.9910355461261,1.0275542704578,2475220.0,1245897.0,50.3347875926727
YR1995,2051.0,10990.0,1.54769563682143,230.854201292705,19.9087488364168,1240475000.0,0.538709243142773,,,,27.4616263173378,132340000000.0,57.2533614826864,25.186852407472,6577520642.82297,231148000000.0,2.34995703773234,2630.84935382822,218120817400.0,2330.0,,17.2,21.7,71.488,58.2850312411193,1.00218490909892,2500151.0,1264251.0,50.5669713966556
YR1996,2051.0,10990.0,1.83529866886737,233.099076638966,26.4066566074043,1551275000.0,0.567656626792595,,,,25.485137981039,166200000000.0,60.5557134424939,18.8721078282007,7393891920.80358,274458000000.0,-0.113731205844019,2928.89692611996,266117235200.0,2560.0,,16.9,21.0,71.328,58.6296092732611,0.96772367916816,2524463.0,1282434.0,50.8002677601895
