Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,20050000.0,20.3967446592065,,,,,,,,,,,,,,,40.0,110.6,52.678,49.7543560355302,,853471.0,364522.0,42.7105675086699
YR1961,111.0,88780.0,,10.1721554850408,,19825000.0,16.5070774354704,,,,,,,,,,,,,,,39.2,105.6,53.68,49.2968118535123,5.040294406168,897591.0,390797.0,43.538418025749
YR1962,111.0,88780.0,,10.6590435176791,,21575000.0,18.1455004205214,,,,,,,,,,,,,,,38.3,100.7,54.633,48.8542662865363,4.6754555380581,940554.0,417278.0,44.3650815096396
YR1963,111.0,88780.0,,11.1594968268359,,22100000.0,17.1185127807901,,,,,,,,,,,,,,,37.5,96.1,55.489,48.4505145656505,4.58821803200926,984714.0,444900.0,45.1806394824036
YR1964,111.0,88780.0,,11.7366273798731,,22100000.0,14.8421759570181,,,,,,,,,,,,,,,36.6,91.8,56.456,48.0640241473755,5.04236284023077,1035640.0,476247.0,45.9857787947279
YR1965,111.0,88780.0,,12.4596554850408,,22475000.0,13.4099045346062,,,,17.6937441643324,128100000.0,59.8039215686275,,599759760.096096,214200000.0,,545.513861689675,217200000.0,,,35.6,87.8,57.317,47.7042641234337,5.9781366163419,1099440.0,514355.0,46.7833650838614
YR1966,111.0,88780.0,,13.3540344514959,,27175000.0,19.4942611190818,,,,18.4255319148936,147300000.0,62.6808510638298,,657999736.800105,235000000.0,,558.402981092455,239200000.0,,,34.6,84.1,57.762,47.4057365345635,6.93226819944056,1178360.0,560620.0,47.576263987053
YR1967,111.0,88780.0,,14.4059723481414,,37400000.0,23.4924623115578,,,,15.2482269503546,139800000.0,61.968085106383,,631679747.328101,225600000.0,,496.922746235673,229900000.0,,,33.7,80.5,58.97,47.1538716298125,7.58243217013965,1271183.0,614837.0,48.3673411415514
YR1968,111.0,88780.0,,15.5537171350861,,45625000.0,24.0638185654008,,,,21.5568862275449,120900000.0,60.3293413173653,,561119775.55209,200400000.0,,408.842352820548,205700000.0,,,32.9,77.2,59.767,46.9340283381562,7.66567871185993,1372460.0,674694.0,49.1594621846056
YR1969,111.0,88780.0,,16.6942429737081,,,,,,,18.7900641025641,151200000.0,60.5769230769231,,698879720.448112,249600000.0,,474.427887073594,256300000.0,,,32.0,74.1,60.504,46.7527142599668,7.07642737598949,1473100.0,735894.0,49.9554927534643
YR1970,111.0,88780.0,,17.7375679963735,5.89999999899992,39200000.0,18.5080264400378,,,,17.5569176882662,146600000.0,64.1856392294221,,639519744.192102,228400000.0,,408.596257509347,235100000.0,,,31.1,71.1,59.833,46.6179560850851,6.06209480844096,1565163.0,794450.0,50.7582984853765
YR1971,111.0,88780.0,,18.6439823209429,4.81586402365268,38800000.0,17.1529619805482,,,,16.3501238645747,155200000.0,64.0792733278282,,678159728.736109,242200000.0,,412.218818849468,247500000.0,,92.8538208007812,30.3,68.2,61.772,46.5284660405211,4.98385543062054,1645145.0,848414.0,51.5707450175908
YR1972,111.0,88780.0,0.0710226773005083,19.4305870353581,7.6576576576576,46200000.0,18.3551847437426,,,,18.4659090909091,174300000.0,61.8963068181818,,788479684.608126,281600000.0,,459.874244108895,285700000.0,,94.821662902832,29.5,65.5,62.477,46.4818724153286,4.13250455003549,1714555.0,898353.0,52.3956979873563
YR1973,111.0,88780.0,0.225733725030589,20.1506572982774,11.1297071121337,49500000.0,18.6651583710407,,,,22.2508868107062,190800000.0,61.5285391809094,,943783839.718052,310100000.0,,530.783996638002,316700000.0,,99.0643692016602,28.8,62.8,63.065,46.4783920310175,3.63884323559544,1778094.0,946587.0,53.2360230319217
YR1974,111.0,88780.0,0.570392088051573,20.8429510426111,19.4277108435204,52600000.0,17.5099866844208,,,,16.256157635468,227600000.0,59.009592947887,,1197483948.68547,385700000.0,,651.095948462669,394800000.0,,103.067512512207,28.1,60.2,63.611,46.5198115249062,3.37789034694094,1839182.0,994898.0,54.0945857885359
YR1975,111.0,88780.0,1.88116737161573,21.5214755213055,11.9798234553088,57800000.0,15.2466367713004,,,,20.7616425785731,261500000.0,59.9908235833907,,1363073497.77355,435900000.0,,717.7640972871,449500000.0,,104.815292358398,27.4,57.7,64.148,46.6106563527649,3.20354864675523,1899055.0,1043991.0,54.9742518944477
