Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,3.5745115253591,173000000000.0,1.08059488934833,,,,,,,,47419238274.4619,17070925778806.3,,508.702779291773,16929989609527.0,,,,30.4,67.6956097560976,64.4237840296967,,93216000.0,58966696.0,63.2581272441637
YR1961,1668.0,377800.0,,256.490319061903,5.36846178480055,177250000000.0,0.916660202208259,,,,,,,7.78571761614081,57266758179.5883,20616032944651.8,12.0435364080117,608.864581144951,20431763027895.8,,,,27.9,68.3519512195122,65.0130565101882,0.89603367679599,94055000.0,60451434.0,64.2724301568983
YR1962,1668.0,377800.0,,258.884646850286,6.8354403481973,193750000000.0,0.882981583852488,,,,,,,4.19957756961351,64987857541.6256,23395628714985.2,8.90897299558067,684.565509797705,23176890259125.3,650.0,,,25.4,68.6348780487805,66.051437825176,0.929166208260758,94933000.0,61928409.0,65.2338060537393
YR1963,1668.0,377800.0,,261.521679847287,6.7069055639799,226750000000.0,0.902911616201838,,,,,,,5.51046905914609,74379284603.3875,26776542457219.5,8.473642382794,775.592123080162,26514629789975.1,740.0,,,23.1,69.7124390243902,67.1128306648893,1.0134602261801,95900000.0,63432778.0,66.1447111189244
YR1964,1668.0,377800.0,,264.25688573766,3.80038945305753,258500000000.0,0.87504612187006,,,,,,,5.32870588356649,87490590817.9803,31496612694472.9,11.676708196398,902.867721515126,31161417514002.0,860.0,,,21.0,70.2065853658537,67.981764433336,1.04044962804068,96903000.0,64944946.0,67.0205733570673
YR1965,1668.0,377800.0,,267.117534769566,6.65599094260621,295700000000.0,0.899713990141788,,,,,,,5.13685728464004,97338107605.8236,35041718738096.5,5.81970787298197,993.732722209078,34682261103309.8,960.0,,,19.1,70.2668292682927,68.5837073666981,1.07670845932027,97952000.0,66487693.0,67.8778304862691
YR1966,1668.0,377800.0,,269.569130079084,5.04083205887676,335675000000.0,0.879421011265392,,,,,,,4.97086914705388,113046784179.289,40696842304544.0,10.6385615591631,1143.60789652395,40291025053548.3,1110.0,,,17.5,70.9158536585366,69.1457935091073,0.91361031403398,98851000.0,67928029.0,68.7175938053346
YR1967,1668.0,377800.0,,272.372511589855,3.98984808881518,374050000000.0,0.836230312650205,,,,,,,5.49539007608493,132475614226.519,47691221121546.8,11.0821423246932,1326.36103912253,47225785974935.8,1290.0,,,16.2,71.4660975609756,69.5206514626946,1.03457874436927,99879000.0,69443549.0,69.5276778884656
YR1968,1668.0,377800.0,,275.459503681484,5.33943295739344,420550000000.0,0.793866529243094,,,,,,,4.91886318178823,156897496759.128,56483098833286.0,12.8824681383231,1553.27139379996,55902433061861.2,1530.0,,9.6,15.1,71.6109756097561,69.6376857608144,1.12699684549535,101011000.0,71026927.0,70.3160321311653
YR1969,1668.0,377800.0,,278.753749659122,5.24982091102027,480750000000.0,0.772551017292608,,,,,,,4.43339870469985,184298841304.667,66347582869680.1,12.4778945144981,1802.98028061972,65681788488526.8,1790.0,,9.1,14.2,71.8580487804878,69.6797827852744,1.18881486689276,102219000.0,72670423.0,71.0928717875749
