Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,,57.946,57.5185199206658,,9429981.0,4218258.0,44.7324092180001
YR1961,,2724902.0,,,,,,,,,,,,,,,,,,,,,,58.169,56.8505487711588,3.25610786569672,9742085.0,4422176.0,45.3925045262029
YR1962,,2724902.0,,,,,,,,,,,,,,,,,,,,,,58.392,56.6655832179342,3.20054379033543,10058928.0,4631380.0,46.0424759886721
YR1963,,2724902.0,,,,,,,,,,,,,,,,,,,,,,58.612,56.6787719024457,3.1176126263308,10377466.0,4844083.0,46.6788642175969
YR1964,,2724902.0,,,,,,,,,,,,,,,,,,,,,,58.83,56.8575540305919,2.97009055176438,10690309.0,5056325.0,47.2982098251666
YR1965,,2724902.0,,,,,,,,,,,,,,,,,,,,,,59.042,57.1687582582425,2.79377232769481,10993183.0,5265411.0,47.8970534235706
YR1966,,2724902.0,,,,,,,,,,,,,,,,,,,,,,59.247,57.5412396299952,2.65524724637546,11288989.0,5471991.0,48.4719356249982
YR1967,,2724902.0,,,,,,,,,,,,,,,,,,,,,,59.446,57.9261635565363,2.58339565955531,11584428.0,5678617.0,49.0193970416385
YR1968,,2724902.0,,,,,,,,,,,,,,,,,,,,,,59.643,58.3343364888256,2.51256738703841,11879182.0,5884469.0,49.535978285681
YR1969,,2724902.0,,,,,,,,,,,,,,,,,,,,,,59.843,58.7488890453704,2.30528585048095,12156212.0,6080321.0,50.018219969315
YR1970,,2724902.0,,,,,,,,,,,,,,,,,,,,,,60.049,59.1527078102629,2.13918328470641,12419057.0,6266822.0,50.4613362061313
YR1971,,2724902.0,,,,,,,,,,,,,,,,,,,,,76.3,60.262,59.5738975418873,2.11733034246472,12684813.0,6452982.0,50.8717121225821
YR1972,,2724902.0,,,,,,,,,,,,,,,,,,,,26.9,74.3,60.48,60.0240445380634,2.08291690852369,12951798.0,6637968.0,51.2513244419389
YR1973,,2724902.0,,,,,,,,,,,,,,,,,,,,26.5,72.5,60.697,60.495922906221,1.95972474835684,13208121.0,6816517.0,51.608530815696
YR1974,,2724902.0,,,,,,,,,,,,,,,,,,,,26.1,70.7,60.908,60.9674459693827,1.84869575980645,13454570.0,6989668.0,51.9501425639142
YR1975,,2724902.0,,,,,,,,,,,,,,,,,,,,25.7,69.1,61.11,61.426342942049,1.81385384993218,13700843.0,7163208.0,52.2829710066543
YR1976,,2724902.0,,,,,,,,,,,,,,,,,,,,25.5,67.7,61.301,61.6341273049042,2.15098189072775,13998738.0,7365272.0,52.6138274639771
YR1977,,2724902.0,,,,,,,,,,,,,,,,,,,,25.2,66.5,61.517,61.6054953350335,2.50102597628851,14353265.0,7599985.0,52.9495232559436
YR1978,,2724902.0,,,,,,,,,,,,,,,,,,,,25.0,65.0,61.765,61.6097430465438,2.46518544825942,14711497.0,7840767.0,53.2968697026145
YR1979,,2724902.0,,,,,,,,,,,,,,,,,,,,24.7,63.6,62.072,60.6472052039777,1.79996279603722,14978696.0,8039433.0,53.6724488047352
YR1980,,2724902.0,,,,,,,,,,,,,,,,,,,,24.4,61.8,62.516,59.8434291517588,1.15662415773415,15152949.0,8197435.0,54.0979508522279
YR1981,,2724902.0,,,,,,,,,,,,,,,,,,,107.993217468262,24.1,59.9,62.996,60.14467455518,1.11651525360104,15323082.0,8362244.0,54.5728602107034
YR1982,,2724902.0,,,,,,,,,,,,,,,,,,,,23.9,57.8,63.586,60.4117095941642,1.10018488204719,15492595.0,8531719.0,55.0696601222248
YR1983,,2724902.0,,,,,,,,,,,,,,,,,,,,23.6,55.8,64.224,60.6400438771672,1.11019299055626,15665551.0,8704607.0,55.5652784663909
YR1984,,2724902.0,,,,,,,,,,,,,,,,,,,,23.4,53.8,64.839,60.8106309390423,1.13659758991543,15844621.0,8878794.0,56.0366431228003
