Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,1.24378109452731,18500000.0,0.327317763623496,86715965.3136139,,64.7658510634232,16.8899002147668,,,,791265459.493816,5651898400.0,,102.824417465582,5463999000.0,,,48.6,112.7,48.477,48.0763600464543,,7695307.0,633595.0,8.23352130661889
YR1961,630.0,580370.0,,14.0348069016411,2.45700245700254,6400000.0,0.112994350282486,95381961.8472153,,63.8471214284396,17.1380695104351,,,8.6621766402076,792959472.816211,5663998500.0,-7.77463490371655,99.2716957068382,5502199300.0,,,47.0,108.1,49.33,47.8887879776701,3.73009594178482,7987770.0,673843.0,8.43593866814932
YR1962,630.0,580370.0,,14.582190673648,3.11750599520378,4800000.0,0.077319587628866,100701959.719216,,62.1629631488411,15.4286588458886,,,0.0183081363800852,868111400.75544,6200798200.0,9.45735874072126,104.600455936259,6035898900.0,100.0,,45.5,104.1,50.104,47.7114388505982,3.82605158835613,8299308.0,716569.0,8.63407949596207
YR1963,630.0,580370.0,,15.159663703131,0.697674418604589,13300000.0,0.206489675516224,106287957.484817,,60.9957123202273,13.9790024866669,,,-1.87731665934527,926589349.36426,6618498000.0,8.77834021621184,107.393655978243,6420799000.0,110.0,,44.2,100.7,50.758,47.5607764560173,3.88372295387027,8627971.0,760585.0,8.81534505126462
YR1964,630.0,580370.0,,15.7668324138173,-0.0993048669314341,42000000.0,0.589887640449438,138319944.672022,6835999300.0,62.6016440907098,15.4723912808443,,,2.69073005412181,998759334.496266,7133998100.0,4.96446728844091,111.300544823892,6921599000.0,110.0,,43.0,97.9,51.323,47.4690884100252,3.92703224813929,8973535.0,805133.0,8.9723034255813
YR1965,630.0,580370.0,,16.4073479284535,3.57852882806742,70700000.0,0.990334780781622,148119940.752024,7077999100.0,62.0931711821468,16.6666713430615,,,-2.05197379851083,997919320.832272,7127998000.0,2.00909417103099,106.865601340262,6941998000.0,110.0,,42.0,95.7,51.886,47.2553106080657,3.98207596273243,9338078.0,851351.0,9.11698114874609
YR1966,630.0,580370.0,,17.0745616192852,5.01439539323414,93200000.0,1.13326848249027,159879936.048026,8189998000.0,63.2844357676802,16.280353897529,,,1.71378886704562,1164519674.19213,8318001000.0,14.7285664015687,119.833476389359,8072001000.0,120.0,,41.3,94.0,52.383,46.9123720803111,3.98604523872044,9717816.0,900091.0,9.26227467484218
YR1967,630.0,580370.0,,17.7655005798222,1.75919579598299,114200000.0,1.304993715004,174159930.336028,8884002000.0,57.8373466606088,17.4670604270786,,,2.40080913829186,1232559506.9762,8804000000.0,3.36123203258556,121.90214207834,8528999900.0,120.0,,40.8,92.4,52.796,46.6372084855821,3.96686756505209,10111057.0,952571.0,9.42108045795278
YR1968,630.0,580370.0,,18.4819605018097,0.366711570051019,116900000.0,1.21834288692027,205799917.680033,9656399000.0,58.6981709840271,17.6611768600513,,,1.67884084901533,1353295458.68182,9666400000.0,7.9826899693479,128.654646882243,9383542700.0,130.0,,40.3,90.8,53.302,46.4395040414457,3.9536741403055,10518823.0,1010469.0,9.60629495216106
YR1969,630.0,580370.0,,19.2214481498401,-0.17150100656233,112500000.0,1.08006912442396,239679904.128038,10266999000.0,57.6173562446002,18.0435826053566,,,-0.179866673006771,1458379416.64823,10417000000.0,7.9592244594956,133.310793093247,10227714200.0,140.0,,39.8,89.2,53.734,46.3014919520151,3.92315983423203,10939695.0,1075295.0,9.82929171820225
YR1970,630.0,580370.0,0.860645653616457,19.9753856696068,2.18852703907439,121600000.0,1.05748325941386,260679895.728042,11549199000.0,60.4896448154228,17.9722697586701,,,15.3156610773873,1603447358.62106,11453200000.0,-4.65544691647621,141.039390962597,11289628500.0,130.0,60.2659912109375,39.2,87.6,54.143,46.1987142608781,3.84740523915883,11368791.0,1153242.0,10.1439264299252
YR1971,630.0,580370.0,0.416106401738199,20.7135397266051,3.78020612544907,157700000.0,1.22771506422733,319759872.096051,13534799000.0,63.828463016028,18.2873067355229,,,-9.21915791457236,1778391288.64348,12702800000.0,22.1738919255764,150.852979093178,12527103600.0,160.0,61.7012405395508,38.5,86.0,54.543,46.0724847704248,3.62867804375875,11788904.0,1249202.0,10.5964179687854
YR1972,630.0,580370.0,0.298963707718004,21.4464982253927,5.83164474311005,212400000.0,1.5418118466899,371559851.376059,15371200000.0,55.3149083178315,18.6805740100983,,,1.20524585346172,2107279157.08834,15052000000.0,17.082429349983,172.642044778441,14808814900.0,190.0,65.2331085205078,37.7,84.3,55.013,45.9579280309155,3.47737996329827,12206060.0,1361950.0,11.1579861872809
YR1973,630.0,580370.0,0.687923112376181,22.1998717363039,9.28119422332106,262000000.0,1.65927802406586,412786851.153346,17789999900.0,56.0628486849596,18.643971308209,,,10.2038414811637,2509001324.34591,17566000000.0,5.89658021016672,198.578083872556,16849380000.0,200.0,67.9078598022461,36.8,82.5,55.5,45.9085971443236,3.45251320661983,12634835.0,1490534.0,11.7970225025571
YR1974,630.0,580370.0,0.788563124351843,22.9646097620972,17.8099480331818,333650000.0,1.77700255645505,505959797.616081,22745800000.0,74.5734043556142,18.3228056943528,,,16.049272207671,2969958812.01648,21214000000.0,4.06561734893735,227.233442066411,20492315500.0,230.0,100.311813354492,36.0,80.6,56.039,45.8894315703395,3.38678136919723,13070078.0,1631396.0,12.4819183317594
YR1975,630.0,580370.0,0.526447707435349,23.7405049724145,19.1201840136051,397200000.0,1.87890255439924,597287991.749638,25055603100.0,64.3352678198379,17.886688393081,,,11.8351086252531,3259345083.26283,23934000000.0,0.882203175319148,241.224426147057,23251661400.0,250.0,102.894416809082,35.2,78.7,56.62,45.8811662110914,3.3228334998343,13511671.0,1780982.0,13.1810650920333
YR1976,630.0,580370.0,1.33461750150882,24.5240591067224,11.4490304932756,635150000.0,2.48474297785776,606658663.140175,28871400000.0,64.206108970831,16.3573163181068,,,18.9061718629036,3474542391.69992,29072000000.0,2.15396450322561,248.935108198575,27883669500.0,250.0,99.1563110351562,34.6,76.6,57.153,45.8731225223665,3.24719801479584,13957623.0,1934925.0,13.8628542005242
YR1977,630.0,580370.0,1.25813218311747,25.3519678813649,14.8209644818935,1223000000.0,3.74017554053641,773268027.62645,35924601000.0,66.5519651594172,15.8669847841282,,,16.8998206192357,4494378764.32011,37198000000.0,9.45379784408087,311.48625291648,35888136600.0,280.0,98.9096374511719,33.9,74.6,57.684,45.9270193908455,3.32017154246189,14428819.0,2091555.0,14.4956770743776
YR1978,630.0,580370.0,0.648865920299351,26.239810942826,16.9317824582842,1851000000.0,5.19929215471476,1035011462.10506,45012000000.0,67.623540661453,17.4325155020417,,,3.080995548347,5303735110.55151,40994600000.0,6.91249354626197,355.141982232607,39544968200.0,330.0,95.5679321289062,33.3,72.5,58.234,46.0532824637104,3.44214036466766,14934126.0,2247276.0,15.0479251307389
YR1979,630.0,580370.0,1.34752378783443,27.1649611694838,7.97935261848786,2175500000.0,5.50160584679969,1196739827.07604,47458600000.0,57.3641747489486,17.3203995365205,,,5.63864406355114,6234391113.46434,46604000000.0,7.61522604591983,403.242079834358,44925568600.0,400.0,115.58464050293,32.7,70.5,58.691,46.2065541031674,3.46501914434705,15460666.0,2393994.0,15.4844182465257
YR1980,630.0,580370.0,1.08699673317041,28.145024071406,13.8581814562484,2016000000.0,4.51531983515499,1438777755.87057,57325800000.0,65.4167959407607,17.7777789731857,,,9.55072003641222,7265315820.20777,53910002000.0,5.5919762059677,453.558973444809,52263461800.0,460.0,117.302932739258,32.1,68.8,59.175,46.41003544723,3.54426236090347,16018459.0,2536561.0,15.8352387726023
YR1981,630.0,580370.0,0.206398341226068,29.169460941069,11.6030534351142,2182000000.0,4.22532483879088,1274164415.39971,64024000000.0,64.2801857585139,17.3890608875129,,,10.8530772679157,6854491705.88377,62016000000.0,3.77354419402822,412.883704225392,60074406500.0,460.0,115.051246643066,31.6,67.1,59.562,46.6271692495395,3.57517296207229,16601507.0,2683491.0,16.16414108945
YR1982,630.0,580370.0,0.202141561739419,30.2318849492216,20.6667146662827,2662000000.0,4.57278317930395,1185535131.02751,72914600000.0,58.2157371476402,17.3095812253195,,,11.5925537512913,6431579356.95926,70247800000.0,1.50647825757706,373.794835688888,67469166900.0,410.0,117.921989440918,31.1,65.7,59.904,46.836722862577,3.57748566435714,17206175.0,2834746.0,16.4751642144151
YR1983,630.0,580370.0,0.397023838932397,31.3567382366377,11.3977827368523,2778000000.0,4.19523392431061,1101467248.24827,79983000000.0,54.1627053907292,16.9086920577645,,,11.8380374880106,5979198313.76093,79592200000.0,1.3090502411486,335.037151735189,77057690400.0,350.0,118.230651855469,30.6,64.4,60.342,47.0766819936835,3.65320193175194,17846374.0,2992354.0,16.7672965803142
YR1984,630.0,580370.0,0.173683868473434,32.5313736514742,10.284098213138,2522500000.0,3.47691247415576,1076185272.87076,90507800000.0,58.8038975780625,16.4291493076177,,,10.1907199754761,6191437070.18411,89242600000.0,1.75521697703473,334.40283575753,86305047200.0,320.0,114.483093261719,30.0,63.5,60.611,47.3246177971414,3.67757870524855,18514906.0,3154852.0,17.0395266199639
YR1985,630.0,580370.0,0.470183996306104,33.7382155532909,13.0065664218827,2395500000.0,2.37575745554443,1071194904.46666,101847400000.0,55.4454345531665,16.7407322173242,,,8.30578269594497,6135034213.78998,100811600000.0,4.30056181879613,319.503611010714,97372361500.0,320.0,109.841903686523,29.4,63.0,60.856,47.5558148488154,3.64262207395944,19201768.0,3320148.0,17.2908427661806
YR1986,630.0,580370.0,0.452068028927285,34.9679270478265,2.53427598892888,2941000000.0,2.50357532007627,1326176639.56446,117471800000.0,55.7413855927369,16.1804594237027,,,8.71172359110277,7239126568.14092,117460200000.0,7.17755539065963,363.745117772717,113572522300.0,350.0,109.913497924805,28.8,62.9,60.818,47.7642778893766,3.5800083750048,19901646.0,3486815.0,17.5202334517811
YR1987,630.0,580370.0,0.494068896020697,36.2232420845486,8.63767318980084,4110500000.0,3.13374349122125,1480082156.28899,137859800000.0,47.7027680056848,15.929756823564,,,5.40195208383581,7970820369.2949,131155800000.0,5.93710744420895,386.630929992512,126550185500.0,390.0,109.734260559082,28.2,63.3,60.721,47.9527053048088,3.52696880389304,20616096.0,3654551.0,17.7266871095817
YR1988,630.0,580370.0,0.004720678148345,37.5236655304494,12.2649630481582,4453500000.0,2.94555339497599,1537873793.46485,156286400000.0,49.9749820917703,16.7532821189209,,,6.45562427885882,8355380879.12955,148283780000.0,6.20318382314591,391.238771204282,142539043700.0,420.0,108.00080871582,27.6,64.3,60.32,48.156003176405,3.52708553980729,21356219.0,3824726.0,17.9091921723993
YR1989,630.0,580370.0,0.750803543300878,38.8629054362723,13.7893172763883,4703000000.0,2.74085168629691,1495649500.85957,190518199600.0,53.156377223318,16.3699112873458,,,9.76900937253662,8283114514.17081,170404100000.0,4.69034876792047,374.489193682103,165381629500.0,410.0,108.858200073242,27.0,65.8,59.99,48.386492913558,3.50683931732563,22118434.0,3996111.0,18.0668782773996
YR1990,630.0,580370.0,0.665873838508099,40.223233299364,17.78181442992,5647500000.0,2.88821495785942,1598096109.81425,206640687700.0,57.0209136817269,16.3257927194842,,,10.6371987367347,8572359038.16958,196433610000.0,4.19205097155167,374.458992895562,188052428200.0,390.0,105.313667297363,26.7,67.5,58.334,48.6466148318381,3.44045635367696,22892651.0,4165614.0,18.1962956954221
YR1991,630.0,580370.0,0.231012730760901,41.5477984327231,20.0844955754632,5279000000.0,2.35425808983553,1367114360.41188,227046929000.0,55.5976992243654,17.0035108667738,,,12.5319618961838,8151488783.19064,224230069300.0,1.43834679171559,344.722642127742,213954396600.0,360.0,103.02709197998,26.4,69.1,57.826,48.9030190433782,3.23997624716531,23646514.0,4326915.0,18.2983212940893
YR1992,630.0,580370.0,0.0775129679334538,42.8408827353551,27.3323644475784,5027000000.0,1.90074676245392,1287376695.28225,264226872700.0,52.9308701038286,15.8460707265979,,,18.8972340828787,8209120763.04955,264471872700.0,-0.799493958641349,336.68139978696,253051281200.0,340.0,101.50138092041,26.3,70.4,57.095,49.1671359076799,3.06483168454324,24382460.0,4481582.0,18.3803510644475
YR1993,630.0,580370.0,2.53235257436033,44.1318269670028,45.9788813036218,6131000000.0,1.83774159512733,832856720.723987,317652552400.0,72.8584813635643,14.3670196698653,,,25.698483612532,5751786642.55871,333611292400.0,0.353197256227247,228.998032843434,312720700300.0,280.0,100.392936706543,26.3,71.2,56.668,49.4585520481035,2.96883713169678,25117188.0,4634125.0,18.4500145151536
YR1994,630.0,580370.0,0.10397675056386,45.4319323892188,28.8143894306731,6576500000.0,1.64125280758672,1083296647.71503,388095437200.0,71.2661252293107,14.5520570887762,,,17.0164147872542,7148148564.04239,400657837200.0,2.632784517837,276.447871981244,380349386400.0,270.0,96.3266296386719,26.3,71.3,56.101,49.7731322076348,2.903399231403,25857130.0,4787432.0,18.5149411548647
YR1995,630.0,580370.0,0.467474589272783,46.7402589872439,1.55432816055009,7668000000.0,1.64671623136492,1342738172.99776,492814140000.0,71.7457416403035,13.5565179326743,,,11.2210708426678,9046320255.40507,465250740000.0,4.40621652482287,340.064842175429,448785222500.0,280.0,93.3242416381836,26.4,70.9,55.856,50.0837905353713,2.83906557159965,26601751.0,4943340.0,18.5827604922377
YR1996,630.0,580370.0,0.902159604566332,48.044788628457,8.86408741577522,9755500000.0,1.4179547033567,1828630713.61087,731025000000.0,57.3121107038102,16.3920534652717,,,41.9887739085188,12045865396.1323,687998000000.0,4.14683926876013,440.527078880876,675095721100.0,350.0,,26.5,70.2,55.575,50.3771968406768,2.75278021555245,27344211.0,5102731.0,18.6611020359295
YR1997,630.0,580370.0,0.473451703489222,49.3758442562463,11.3618450505783,10327100000.0,1.34063859838611,2037685111.25532,830834000000.0,54.0571168602893,15.926383171516,,,11.4352163318294,13115764358.2846,770313000000.0,0.474901921293579,466.723814611399,760199690500.0,400.0,,26.6,69.1,55.478,50.6777162682027,2.73276496655617,28101768.0,5271216.0,18.7575952945971
YR1998,630.0,580370.0,0.188365603434476,50.7573830691921,6.72243650753928,10380900000.0,1.22012251882916,2290269304.10309,941306000000.0,48.8972419400753,15.5421633218862,,,6.93140266888905,14093998843.7334,850808200000.0,3.29021372249065,487.883239905452,842966137000.0,450.0,92.9180221557617,26.6,67.7,55.568,50.9766501260945,2.75957646009425,28888057.0,5454028.0,18.8798697768976
YR1999,630.0,580370.0,0.402864561234926,52.2426959974699,5.74200109520484,10683800000.0,1.18697414805458,2031546784.32369,996303000000.0,48.1922749889095,14.915302558375,,,4.19393904906435,12896010459.3711,906927630000.0,2.30538859522412,433.721235701305,894770855100.0,450.0,90.6962814331055,26.5,66.0,55.866,51.3147963280024,2.88430050146184,29733408.0,5657926.0,19.0288523643308
YR2000,692.0,580370.0,0.872896453431273,53.8406894612925,9.98002515350979,12613500000.0,1.31374203224597,1912700535.8229,1071968000000.0,53.3090443862273,15.0158560285564,,,6.07984848923864,12705350097.8044,967836930000.0,0.599695390807426,414.626365130846,957950861000.0,430.0,94.2572402954102,26.3,63.7,56.084,51.6946704439431,3.01293994477925,30642890.0,5961692.0,19.4553832211834
YR2001,630.0,580370.0,0.0408333582871574,55.55604947816,5.73859814341467,15348500000.0,1.50475490196078,2074243506.17529,1166455000000.0,55.9468360286644,15.3096240912508,,,1.57312029702597,12986007425.8781,1020221000000.0,3.77990649795343,410.700452474814,1008632957500.0,410.0,95.1509170532227,26.1,61.2,56.501,52.0976704954621,3.13629206541925,31619170.0,6463474.0,20.4416297068833
YR2002,630.0,580370.0,0.210062364887451,57.3317777699687,1.96130821739162,16844000000.0,1.63240781121287,2245370495.59219,1147511000000.0,55.1726722640053,15.4535611803669,,,0.93320555589554,13147736898.5176,1035373000000.0,0.546859530175595,402.936385605382,1025798216000.0,390.0,89.2491912841797,25.8,58.3,56.759,52.4853601270752,3.14626442047843,32629808.0,7132438.0,21.8586568137501
YR2003,630.0,580370.0,0.548412532071825,59.1281986857364,9.81569062979654,18675500000.0,1.65009984272562,2702385577.23331,1264570000000.0,54.132265895729,15.6231500412624,,,6.19731323900996,14904517649.8476,1131782000000.0,2.93247554570904,442.898457253405,1119170974400.0,420.0,103.90389251709,25.5,55.5,57.369,52.837659491321,3.08528898836117,33652223.0,7929773.0,23.563889811899
YR2004,630.0,580370.0,0.286194263505208,60.992822504129,11.6240355442426,20570000000.0,1.61419423692636,2874637822.10782,1406187000000.0,59.4770033484289,16.2050773387406,,,7.12684155505391,16095337093.8366,1274329000000.0,5.10429977629738,463.662781300121,1263118984800.0,460.0,103.729431152344,25.1,52.6,57.947,53.1746083301906,3.10482476419105,34713455.0,8822339.0,25.4147539714454
YR2005,630.0,580370.0,0.113202068934601,62.8957444565485,10.3127783574683,23935500000.0,1.69058701379422,3256685880.57865,1563375000000.0,64.4788661639796,17.0126260396617,,,4.89964972058961,18737895512.7378,1415725000000.0,5.90666607980057,523.456312433863,1415257000000.0,520.0,103.62956237793,24.7,49.5,58.51,53.4620215773147,3.07223123352542,35796484.0,9761227.0,27.2686745625048
YR2006,630.0,580370.0,0.196219632064752,64.8417050286397,14.4537342081708,27096000000.0,1.45517741016444,3705185938.55397,2033579000000.0,55.2364851257303,19.3841059353688,937662000000.0,50.3566785049309,23.5301332510109,25825512284.2891,1862041000000.0,6.47249430015484,699.80237063381,1856988000000.0,590.0,101.201988220215,24.3,47.0,59.059,53.6949401268285,3.04704867411558,36904008.0,10695917.0,28.9830768551925
YR2007,630.0,580370.0,2.28124317373484,66.8312699862951,9.75888023027529,33301000000.0,1.54791227998168,4675359787.03935,2365220000000.0,53.8947888046059,19.3021680815154,1080572000000.0,50.2276478618764,8.12948559613378,31958195182.2406,2151349000000.0,6.85072976998784,840.201439476765,2141643000000.0,710.0,107.582710266113,24.0,45.0,59.407,53.8699632571207,3.02220921188685,38036349.0,11568902.0,30.4153861196239
YR2008,630.0,580370.0,0.266291327300955,68.8870067118811,26.2398166445063,40122500000.0,1.61585029427424,5626198946.73388,2746616000000.0,57.5785986473131,18.5827717274425,1244627000000.0,50.1247655109144,15.1511749642626,35895153327.8497,2483058000000.0,0.232282744812977,915.54435473604,2480868000000.0,830.0,107.076469421387,23.7,42.6,59.955,54.0128682976277,3.02964938264436,39206351.0,12319823.0,31.4230276259143
YR2009,630.0,580370.0,0.274534230856511,70.9999139051903,9.23412592394652,44715000000.0,1.36507571681354,5739993794.6013,3441000000000.0,45.9451918127805,18.386624667775,1913447000000.0,58.4144115871026,27.6968163767013,42347217912.9176,3275642000000.0,3.30693981631089,1047.9678324485,2860234000000.0,830.0,107.945739746094,23.5,42.1,60.483,54.1502747501781,3.0211086032266,40408891.0,12874397.0,31.8603086707305
YR2010,630.0,580370.0,0.392164287395035,73.0902185753945,3.96138889115385,49287000000.0,1.3699852575929,5881376522.79692,3851000000000.0,50.3942873502834,18.5746727706851,2050586000000.0,56.99824606755,1.63919964802533,45405615063.7551,3597630000000.0,8.05847360290906,1091.51873101194,3157638000000.0,930.0,,23.4,41.5,60.915,54.2828921761042,2.90158845467743,41598567.0,13258016.0,31.8713287706458
YR2011,630.0,580370.0,3.09471103381268,75.1281951716625,14.0224913014704,57432000000.0,1.37974304585955,5945224886.57626,4603000000000.0,58.4022059745625,19.6629008334867,2298286000000.0,55.2138923736953,10.0650129672316,46869473150.61,4162514000000.0,5.1211061197056,1096.14499807675,3726671000000.0,1010.0,,23.3,41.0,61.283,54.4379122999773,2.75013743696978,42758461.0,13626008.0,31.8673949025409
