Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,,55.0285853658537,55.1451506505166,,2172300.0,746198.0,34.350573366068
YR1961,,199950.0,,,,,,,,,,,,,,,,,,,,,,55.3341219512195,54.5029506271339,3.7762492331493,2255900.0,784644.0,34.7818405057919
YR1962,,199950.0,,,,,,,,,,,,,,,,,,,,,,55.641756097561,54.107622458385,3.37774249953788,2333400.0,821293.0,35.1972555240042
YR1963,,199950.0,,,,,,,,,,,,,,,,,,,,,,55.9325853658537,53.8135362259964,3.38344084827971,2413700.0,859107.0,35.5929328179983
YR1964,,199950.0,,,,,,,,,,,,,,,,,,,,,,56.22,53.5887275284926,3.324812256572,2495300.0,897434.0,35.9649867850676
YR1965,,199950.0,,,,,,,,,,,,,,,,,,,,,,56.5190487804878,53.5903232702002,3.07801594606672,2573300.0,934353.0,36.3095318225054
YR1966,,199950.0,,,,,,,,,,,,,,,,,,,,,,56.8273902439024,53.7663844995994,3.1368520744,2655300.0,972442.0,36.6226823276052
YR1967,,199950.0,,,,,,,,,,,,,,,,,,,,,,57.1559512195122,53.9563062533249,3.01220889410319,2736500.0,1009784.0,36.9005526976602
YR1968,,199950.0,,,,,,,,,,,,,,,,,,,,,,57.4480975609756,54.1701778288295,2.9454134689543,2818300.0,1046696.0,37.1392573299639
YR1969,,199950.0,,,,,,,,,,,,,,,,,,,,,,57.7547804878049,54.3827076542855,2.67821577184567,2894800.0,1080771.0,37.3349106218097
YR1970,,199950.0,,,,,,,,,,,,,,,,,,,,,,58.0186341463415,54.5613966945359,2.22394599716648,2959900.0,1109669.0,37.4900688899904
YR1971,,199950.0,,,,,,,,,,,,,,,,,,,,,,58.3217804878049,54.6949451255255,2.08626469472026,3022300.0,1137372.0,37.6326611151445
YR1972,,199950.0,,,,,,,,,,,,,,,,,,,,,,58.6458292682927,54.8261878596472,2.15702659759237,3088200.0,1166429.0,37.7705217664009
