Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,119999991.428571,24099998700.0,,,,,,,,,,,,,,,42.134,53.5614674991979,,5449966.0,554675.0,10.1775901678028
YR1961,1904.0,181040.0,,31.5611148878314,,,,122857134.285714,23800000500.0,,,,,,,,,,,,,,,42.588,53.450344703301,2.19953566262663,5571168.0,572377.0,10.2739138569467
YR1962,1904.0,181040.0,,32.2771244051666,,,,134285705.714286,25199999500.0,,,,,,,,,,,,,,,43.079,53.3387198515575,2.24329352395046,5697558.0,585181.0,10.2707259841133
YR1963,1904.0,181040.0,,32.9878200770451,,,,142857128.571429,26399998900.0,,,,,,,,,,,,,,,43.612,53.2183612942447,2.17796481919923,5823010.0,593559.0,10.1933402645208
YR1964,1904.0,181040.0,,33.6855767051892,,,,151428562.857143,27600000000.0,,,,,,,,,,,,,,,44.044,53.1382214644246,2.0931350037974,5946178.0,611897.0,10.2905911419145
YR1965,1904.0,181040.0,,34.4000056650804,,,,139999991.428571,30699999500.0,,,,,,,,,,,,,,,44.497,53.1128168378665,2.09869742617993,6072289.0,629398.0,10.365090321623
YR1966,1904.0,181040.0,,35.1304781327895,,,,151428562.857143,33600000500.0,,,,,,,,,,,,,,,44.948,53.1028592382933,2.10123475071927,6201232.0,646663.0,10.4279841533175
YR1967,1904.0,181040.0,,35.8766372082484,,,,168571437.142857,34099999200.0,,,,,,,,,,,,,,,45.193,53.1091658864214,2.10172329362237,6332944.0,663195.0,10.4721445983652
YR1968,1904.0,181040.0,,36.6379107183322,,,,174285705.714286,38099999700.0,,,,,,,,,,,,,,,45.586,53.1337499971974,2.09972067952141,6467324.0,730394.0,11.2936069596535
YR1969,1904.0,181040.0,,37.4162984364378,,,,157277002.347418,43199998500.0,,,,,,,,,,,,,,,45.935,53.1770169706523,2.10228802628673,6604725.0,924405.0,13.9961232011907
YR1970,1904.0,181040.0,,37.6115001133016,,,,162045363.701837,40699998700.0,,,,,,,,,,,,,,,38.628,52.6601204289835,0.520346114578801,6639182.0,1168351.0,17.5978154762729
YR1971,1904.0,181040.0,,37.5078178110129,,,,,,,,,,,,,,,,,30.2818603515625,,,38.7,51.938322398231,-0.276047150037129,6620880.0,1493524.0,22.5577833897132
