Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,145.1,47.958,51.990711778864,,47157.0,7177.0,15.2200002670288
YR1961,,810.0,,59.658024691358,,,,,,,,,,,,,,,,,,,142.0,48.468,51.8303913250419,2.44251773778024,48323.0,7737.0,16.0120038028723
YR1962,,810.0,,61.158024691358,,,,,,,,,,,,,,,,,,,138.3,49.042,51.7183604671114,2.48324140372162,49538.0,8438.0,17.0329565078386
YR1963,,810.0,,62.7049382716049,,,,,,,,,,,,,,,,,,,134.2,49.688,51.6927044879557,2.4979121705241,50791.0,9247.0,18.2063338065588
YR1964,,810.0,,64.3061728395062,,,,,,,,,,,,,,,,,,,129.9,50.356,51.7624020887728,2.52154224000907,52088.0,10134.0,19.4556111236637
YR1965,,810.0,,65.9740740740741,,,,,,,,,,,,,,,,,,,125.4,51.028,51.8581934542188,2.56062205438966,53439.0,11064.0,20.7042638837846
YR1966,,810.0,,67.1913580246914,,,,,,,,,,,,,,,,,,,121.0,51.736,51.6655948553055,1.82827906421535,54425.0,11906.0,21.8757675115524
YR1967,,810.0,,67.8962962962963,,,,,,,,,,,,,,,,,,,116.6,52.454,51.1809949814532,1.04368481943762,54996.0,12591.0,22.8935974315981
YR1968,,810.0,,68.5543209876543,,,,,,,,,,,,,,,,,,,112.3,53.129,50.714041311747,0.964495149256687,55529.0,13143.0,23.6684731551541
YR1969,,810.0,,69.5802469135803,,,,,,,,,,,,,,,,,,,108.4,53.763,50.5997161107168,1.48542802229254,56360.0,13633.0,24.1892833644704
YR1970,,810.0,,71.0,,,,,,,,,,,11560877.2811451,10359702.1316341,,201.023774667798,,,,,104.9,54.38,50.7772561293688,2.01991586951833,57510.0,14109.0,24.5333605646173
YR1971,,810.0,,72.4098765432099,,,,,,,,,,7.11338229255179,12356134.3838676,10842507.9218438,-2.29006002273755,210.668594146279,,,95.1261215209961,,101.6,54.934,50.9240946600286,1.96628293891699,58652.0,14550.0,24.8079783428282
YR1972,,810.0,,73.8,,,,,,103.249433827389,,,,5.22769783035733,15314346.4925323,12787479.3212645,12.0792270711954,256.187000109277,,,116.204742431641,,98.8,55.313,51.0932115493994,1.90160251759414,59778.0,15002.0,25.0966164689799
YR1973,,810.0,,75.0913580246914,,,,,,113.638077756789,,,,16.255284639578,25645040.4712955,17974608.866331,20.9098828890047,421.626997094822,,,94.1426010131836,,96.6,55.79,51.3773459271499,1.73467476353613,60824.0,15498.0,25.4796986871281
YR1974,,810.0,,75.579012345679,,,,,,115.244938376848,,,,12.9896620320748,69256488.5160763,29510189.7567001,45.3027533157077,1131.29075149996,,,,,95.1,56.102,51.8388748683018,0.647315092652204,61219.0,16002.0,26.1393190357789
YR1975,,810.0,,75.2925925925926,,,,,,117.980488835168,,,,9.46098936676918,44547453.6024265,34028507.9307391,5.34441976886055,730.441792552945,,,120.038772583008,,93.8,56.358,52.4103497466673,-0.379687214562077,60987.0,16709.0,27.3973551696405
YR1976,,810.0,,74.8901234567901,,,,,,113.885738182653,,,,9.17210947673549,33246816.5018414,27205337.9943928,-26.768232358117,548.075641711172,,,103.864891052246,,93.0,56.562,52.9767645046693,-0.535973925442524,60661.0,17573.0,28.968705560387
YR1977,,810.0,,74.4037037037037,,,,,,116.231585389688,,,,8.89635036300112,31335458.7039851,28259100.0457214,-4.61262962866989,519.943894734849,,,112.807189941406,,92.3,56.057,53.5185093002804,-0.651629720448959,60267.0,18379.0,30.4955327542434
YR1978,,810.0,,73.9061728395062,,,,,,125.013943329043,,,,11.856019453333,36563964.5510014,31944436.7056633,1.05959352122285,610.783852582543,36444436.7056633,690.0,114.265129089355,,91.6,56.924,54.0896524651505,-0.670936747006456,59864.0,18905.0,31.5803111115808
YR1979,,810.0,0.0,74.2864197530864,,,,,,149.463887948425,14.7495997936777,19038804.7272408,61.7443916163834,9.17443409141487,34466197.0333233,30834872.9800894,-11.584994159295,572.794606018137,36100872.9800894,690.0,116.249557495117,,90.8,57.106,54.7177650548848,0.513180505752,60172.0,19325.0,32.1160561907744
YR1980,,810.0,0.0,75.4913580246914,,,,,,113.303096205351,15.0619653449574,20063904.5015966,68.8994190517994,-4.52913974427868,33157723.1094117,29120571.3745022,-1.0793657199724,542.253599617514,28733571.3745022,620.0,119.223487854004,,89.8,57.303,55.3587636452839,1.60900273032104,61148.0,19833.0,32.4352012502084
YR1981,,810.0,0.0,76.6925925925926,,,,,,122.872260198374,15.1671872105049,21287086.2658369,69.3609627412634,-0.689539821395897,35267489.2425442,30690298.1512006,6.12219427064029,567.722497103141,28254298.1512006,590.0,123.436637878418,,88.7,57.525,55.9749845061694,1.57869408872097,62121.0,20303.0,32.6823276264719
YR1982,,810.0,0.0,77.9432098765432,,,,,,115.387529121387,14.317542036728,24507719.8869167,75.9227068539532,6.33851278203579,32742712.6527597,32279828.9239876,-1.09015193891933,518.62249584629,36424828.9239876,640.0,129.976516723633,,87.4,57.773,56.5123388348592,1.61753556642088,63134.0,20762.0,32.8862222766202
YR1983,,810.0,-2.90604150668372,79.220987654321,,,,,,107.346589705408,13.7161789082125,24008944.2762416,69.770988546035,18.1555789328943,31000545.7710517,34411070.814054,-9.77794175437276,483.107821082637,42901070.814054,590.0,129.158355712891,,85.8,58.05,56.9316959902757,1.62607763447457,64169.0,21224.0,33.0756721577086
YR1984,,810.0,0.0,80.5283950617284,,,,,,112.254846118291,12.7048255028688,24519041.7545887,62.5600556218531,-0.0198072627327122,34394167.0416706,39192806.8331574,13.9184874692011,527.291455228898,35581806.8331574,470.0,125.370582580566,,84.2,58.357,57.2005672454103,1.63685965640789,65228.0,21708.0,33.2794642267923
YR1985,,810.0,0.839334986133455,82.0938271604938,,,,,,92.8657576372184,14.3370831115145,26277424.1124538,70.2406413864578,10.0193375254948,26126615.2284866,37410569.7125938,-13.2401226513068,392.905065394709,35842569.7125938,410.0,126.996131896973,,82.3,58.719,57.2804583699894,1.92529708777315,66496.0,22293.0,33.5247822932253
YR1986,,810.0,0.408899403224746,84.0234567901235,,,,,,91.5681710361609,14.8575804786551,28139602.0759874,72.366463999025,6.56853881719603,25993008.7943576,38884865.3381303,-2.4657236254406,381.918758641144,37663865.3381303,400.0,122.798446655273,,80.2,59.118,57.2131737670715,2.3233180570042,68059.0,23007.0,33.804244131291
YR1987,,810.0,0.741547644061334,86.0901234567901,,,,,,159.219499957702,14.0973683805669,29286417.5788076,69.3842618484383,7.16337570754011,29554412.5328693,42209020.8911933,1.29273394156704,423.822473332128,47083020.8911933,480.0,118.010871887207,,77.7,59.576,57.063779442871,2.42986873497064,69733.0,23775.0,34.0945160150785
YR1988,,810.0,0.671519455205416,88.1814814814815,,,,,,122.036005334661,11.3640805471889,31599968.4494079,64.4984775808265,-4.89344770072843,38278810.3176488,48993355.5560413,22.0454150997514,535.915134580045,52684355.5560413,600.0,116.287651062012,,75.0,60.055,56.8647490777233,2.40022857283643,71427.0,24565.0,34.39144545272
YR1989,,810.0,0.478929766652854,90.3049382716049,,,,,,130.515095044413,12.3178335667502,32558915.3448725,68.3922351681525,4.81195035186872,37645319.1994276,47606157.7236386,-7.29244160715844,514.652948165033,53039157.7236386,590.0,118.091857910156,35.3,72.1,60.539,56.6348815749,2.37951658802999,73147.0,25375.0,34.689792049254
YR1990,,810.0,0.820468958480232,92.4135802469136,,,,,,151.071702815406,12.9012253690129,33842178.3311849,72.3084624562701,5.01761740706553,36534294.7991591,46802514.0925263,-6.38533433567764,488.067527876014,57667514.0925263,610.0,116.525390625,34.4,69.2,61.018,56.408766340033,2.3081793896625,74855.0,26189.0,34.9862195296306
YR1991,,810.0,1.03678621107612,94.2802469135802,,,,,,134.208841575688,15.4179451006876,37973449.085887,71.7128293040068,19.9129378830518,41247791.6364169,52952100.0,-5.64868397369625,540.125861123481,89637300.0,830.0,118.511192321777,33.5,66.4,61.502,56.1286689844369,1.99977567861685,76367.0,26926.0,35.2581279892105
YR1992,,810.0,0.661653542331577,95.8530864197531,,,,,,111.772658653571,8.57218209731739,41809508.9851007,49.9339647927384,27.560715673161,61491369.281929,83729600.0,23.9592331951046,791.99610105394,123997200.0,1020.0,117.742172241211,32.8,63.8,61.968,55.8045632812349,1.65449724886793,77641.0,27554.0,35.4883396105748
YR1993,,810.0,-1.3057299861122,97.3345679012346,,,,,,98.1598665663915,9.05537283435146,43178501.0353109,49.8051798208323,3.64918957713898,58953595.9090414,86694800.0,-0.103994679118841,747.75302075115,124585500.0,1080.0,116.885162353516,32.0,61.5,62.406,55.538996207557,1.53375279442251,78841.0,28159.0,35.7162203273478
YR1994,,810.0,0.643297248971474,98.7913580246914,,,,,,82.9457558741754,8.3751253065906,47720810.6962346,52.0316313539057,3.67033440719706,67055333.9021503,91715000.0,2.04525656211744,837.971706204,132062700.0,1180.0,117.277488708496,31.2,59.4,62.797,55.3960835280739,1.4855934105912,80021.0,28798.0,35.9876137513594
YR1995,,810.0,0.565175476416379,100.288888888889,,,,,,101.957881450808,9.02431402271018,48965583.8143824,52.9135711878503,-1.80433201799201,68596394.6026524,92538800.0,2.75220829710202,844.429605862723,139833500.0,1290.0,116.212516784668,30.5,57.5,63.146,55.3484049264783,1.5044778514244,81234.0,29515.0,36.3333481846524
YR1996,,810.0,0.660963409026935,102.003703703704,,,,,,86.6836326396114,8.27730273746036,57838024.6067133,55.5650260846678,12.5418787157576,81456854.1385109,104090700.0,-0.052046772241269,985.885941426854,137707200.0,1200.0,115.632736206055,29.9,55.8,63.47,55.374746588399,1.69542133889923,82623.0,30613.0,37.0518305378991
YR1997,,810.0,0.638482449427535,103.885185185185,,,,,,93.8161911468459,8.60158449570282,60287903.0516299,55.7871621692975,2.61281693641631,80205806.8250976,108067700.0,1.17713309543956,953.162998384941,167915700.0,1440.0,115.385620117188,29.2,54.1,63.797,55.5168008556404,1.82771772474094,84147.0,32483.0,38.6030123331399
YR1998,,810.0,0.587071431686473,105.749382716049,,,,,,85.0146347190889,10.6112209472229,67555636.9353773,56.6566056973735,5.64253479092361,74905705.8928477,119237000.0,4.44227399222601,874.484349123221,197480600.0,1540.0,113.161460876465,28.5,52.5,64.1,55.7382599305373,1.77856800157891,85657.0,34719.0,40.5328905371864
YR1999,,810.0,0.584074966853931,107.562962962963,,,,,,100.617113467609,11.9356786457721,70426625.8976222,58.7631413191695,4.60724665770411,77323978.1928449,119848300.0,-3.91423190476861,887.496019475758,186193300.0,1340.0,105.175071716309,27.8,50.8,64.393,56.0527282326745,1.70043973834358,87126.0,36852.0,42.2976634213444
YR2000,,810.0,0.963562834776875,109.398765432099,,,,,,94.1665241313018,11.6259006310839,75130554.5305103,58.1471185776934,0.999325838938006,74910527.2586758,129207700.0,6.74266531257052,845.367240231973,201747600.0,1370.0,105.911437988281,27.1,49.2,64.674,56.4499565526503,1.69232269333491,88613.0,38394.0,43.3274808848011
YR2001,,810.0,-0.421154107226063,111.524691358025,,,,,,110.784733057905,12.2821953709095,76058222.3934003,60.5801705566802,0.323190067549888,64935850.1573877,125549700.0,-3.14412917759699,718.833787096781,212529000.0,1340.0,112.923652648926,26.3,47.8,64.918,56.8503727811633,1.92464085158861,90335.0,39276.0,43.4777440627131
YR2002,,810.0,0.334194634159284,113.906172839506,,,,,,125.625496108186,11.613827046897,83364714.4175932,60.5976809160034,8.01167764318924,74743869.1313473,137570800.0,1.44715494184476,810.10870037444,219695300.0,1220.0,105.259788513184,25.7,46.6,65.123,57.2639382641117,2.11290506977471,92264.0,40133.0,43.4985457088421
YR2003,,810.0,0.697940457936143,116.265432098765,,,,,,103.928965237073,10.1856785309025,88991832.2833296,60.053899801554,9.44081222953122,96105619.3795504,148186600.0,-1.57546689217141,1020.50033851394,215602100.0,1200.0,110.661247253418,25.1,45.6,65.287,57.7143615609238,2.05007206544672,94175.0,40976.0,43.510668313316
YR2004,,810.0,1.87697867593672,118.623456790123,,,,,,101.359702114731,8.95312920919141,89826712.3783188,63.4678709104852,-3.90618406449028,104085892.133271,141531000.0,-0.608967597152244,1083.2688987175,205512700.0,1430.0,107.773559570312,24.6,45.0,65.416,58.1368482949903,2.00784628062857,96085.0,41820.0,43.5238025326975
YR2005,,810.0,2.28808112178245,121.030864197531,,,,,,123.594268587865,8.42015582448247,96746038.0406847,64.8679710349696,4.03376313815957,113895437.324786,149143000.0,1.29243029465849,1161.78341739977,210550600.0,1620.0,109.628982543945,24.2,44.5,65.517,58.5165577775398,2.00913413829946,98035.0,42689.0,43.5443274444527
YR2006,,810.0,0.506000711616138,123.477777777778,,,,73996866.0432102,260661331.932408,94.046808140823,9.76537798158119,98171512.259686,65.8064075025563,-5.43651976317979,112338353.264712,149182300.0,5.77693449836185,1123.19258990684,208066700.0,1670.0,107.576568603516,23.9,44.1,65.601,58.8781963156448,2.00156137723437,100017.0,43742.0,43.7349826427011
YR2007,,810.0,0.835207086847366,126.00987654321,3.59252131266417,,,86312306.4468082,272830882.976492,96.1590422982734,11.3340080213383,102648157.577425,62.2164343902892,7.31473017738978,138054945.643442,164985600.0,3.05507981566669,1352.57814048911,232655600.0,1790.0,104.204116821289,23.7,43.6,65.677,59.1875024493475,2.02990862877029,102068.0,45544.0,44.6212141757087
YR2008,,810.0,-0.86226187796661,128.669135802469,13.6653995252441,,,92493269.6208117,291773191.425499,95.441924758027,11.0150397953615,110427219.897397,63.0035230470424,9.50278674158118,147017894.97877,175271500.0,-2.98473121631831,1410.62246914058,251920200.0,1860.0,105.912109375,23.5,43.2,65.746,59.4195111420279,2.08839816441385,104222.0,47886.0,45.9461325515373
YR2009,,810.0,3.56373391370914,131.440740740741,9.81643884508657,,,86360321.7817342,302260358.162333,97.6360324868749,10.5783627345128,110512750.610801,61.4868706520033,1.99846395791808,140177384.145395,179733900.0,0.536801194648319,1316.62753853678,244258300.0,1850.0,102.407890319824,23.3,42.7,65.808,59.6100200061991,2.1311838506713,106467.0,50413.0,47.3510238975116
YR2010,,810.0,-3.99041060819927,134.202469135802,-3.89955040651649,,,95741845.945408,292632779.018064,85.6972485309313,11.9776131472528,113394308.909607,62.8655191985669,-0.858180747963971,165458433.127645,180376000.0,1.2259519892488,1522.10068744154,259401200.0,2030.0,,23.2,42.3,65.859,59.7880482778923,2.07935139998903,108704.0,52678.0,48.4603839564718
YR2011,,810.0,-0.177954446979993,136.601234567901,1.4974097987597,,,112580013.631183,319302567.746417,93.4313938880945,13.2156381400186,115188731.560837,60.6301794980662,1.99868992907571,195970140.170383,189985800.0,3.26372719532225,1771.12926848792,258965800.0,2110.0,,23.2,42.0,65.896,60.0311800989629,1.77163616343889,110647.0,54353.0,49.1228169536795
YR2012,,810.0,-1.15262125678328,138.622222222222,-3.04586292775571,,,121531251.432674,346895545.840756,96.1287092438882,13.4930209021933,120720033.258957,60.3834756097529,-0.542072006291406,207001545.867109,199922300.0,5.80365974645258,1843.55336349889,294330500.0,2630.0,,23.2,41.9,65.908,60.3429696127676,1.46864224692138,112284.0,55670.0,49.5800786695548
YR2013,,810.0,0.415473344082877,140.540740740741,-1.488059084681,,,113459548.959099,370327780.237609,96.7814002828914,14.3769824347141,126225152.30948,60.4059371269253,-2.97924243453944,201730860.757856,208961500.0,7.73092188699647,1772.08718317132,332613200.0,3040.0,,23.1,42.0,65.898,60.6490774210834,1.37450090282755,113838.0,56883.0,49.9687043258795
YR2014,,810.0,1.31418451065811,142.377777777778,2.10398520925043,,,127997255.529344,404953998.607813,104.187980044647,14.115070360461,134216398.359724,60.4057847268205,5.00431379686643,200287281.98074,222191300.0,1.26366268044595,1736.70535682101,397934900.0,3260.0,109.117865085248,23.2,42.2,65.869,60.9300551044209,1.29865154429976,115326.0,58114.0,50.3909308922385
YR2015,,810.0,-0.427973964466896,144.216049382716,0.572015743634256,,,106444224.510615,467242847.546691,109.889112537487,14.7267735467294,153310334.529029,60.1257553564511,3.13925041295022,191559398.688293,254982800.0,11.2653312371772,1639.85274740652,496058100.0,3490.0,105.430103966625,23.3,42.6,65.831,61.1492530924967,1.28285862528713,116815.0,59522.0,50.9541970402064
YR2016,,810.0,0.875179449056022,146.269135802469,1.91731090233378,,,122544088.133921,495809408.728541,111.269797688379,14.6506389824021,168562307.982671,60.6899418609663,1.71662321745593,206467818.503227,277743400.0,7.08802960050427,1742.66799324117,465592100.0,2990.0,108.727858293076,23.4,42.9,65.799,61.2425935616739,1.41358025249878,118478.0,61337.0,51.7710553002321
YR2017,,810.0,0.352123235920718,148.487654320988,0.355520888546828,,,127157072.723831,510694920.661246,100.561253988425,12.4167579233588,179853556.592524,61.8480869743744,0.917050313444378,222875736.343445,290798900.0,3.74913001948165,1853.05122713319,513999800.0,3130.0,103.304250974568,23.5,43.2,65.787,61.2079035872109,1.50534982546091,120275.0,63714.0,52.9734697275451
YR2018,,810.0,-0.490061067482829,150.720987654321,0.564030491493476,,,140439465.457166,514482004.659609,83.3664311213492,11.0818123847419,195899273.017288,62.6799649634935,3.86213725020603,233514717.441266,312538900.0,3.47943880004293,1912.73809378187,540480200.0,3280.0,,23.4,43.2,65.807,61.093841510114,1.49285448135933,122084.0,66536.0,54.5004023142497
YR2019,,810.0,-0.257289445431518,152.988888888889,-1.81307995302947,,,134676183.947206,525947789.464049,98.3140421834046,9.56440607223913,208987386.110252,66.9541660211934,-3.28622046040152,216985388.322754,312135000.0,3.26425930432951,1750.9977188915,592553500.0,3610.0,,23.3,42.9,65.866,60.9709450817258,1.4934933399344,123921.0,69749.0,56.2846727145489
