Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,12366635.7500773,21200000.0,,221.584586097067,,,,,,56.84,49.3477871349221,,55810.0,15368.0,27.5366169176044
YR1961,1427.0,350.0,,158.097142857143,,,,,,,,,,,12483302.125078,21400000.0,,225.599127572162,,,,,,57.338,49.1709362321198,-0.856551699171642,55334.0,15432.0,27.8893775857455
YR1962,1427.0,350.0,,155.602857142857,,,,,,,,,,,12541635.3125784,21500000.0,,230.286541058342,,,,,,57.84,48.9648460811047,-1.59026986309692,54461.0,15499.0,28.4581724866762
YR1963,1427.0,350.0,,152.688571428571,,,,,,,,,,,12833301.2500802,22000000.0,,240.139616588017,,,,,,58.43,48.6878175200921,-1.8906607549494,53441.0,15595.0,29.181940816948
YR1964,1427.0,350.0,,149.502857142857,,,,,,,,,,,13416633.1250839,23000000.0,,256.40471515277,,,,,,59.04,48.3344799908267,-2.1084862155259,52326.0,15702.0,30.008300102617
YR1965,1427.0,350.0,,146.111428571429,,,,,,,,,,,13593932.3220537,23300000.0,,265.823194079933,,,,,,59.595,47.9003510006942,-2.29459639660854,51139.0,15794.0,30.8848678697393
YR1966,1427.0,350.0,,142.565714285714,,,,,,,,,,,14469078.1796966,24800000.0,,289.973108735753,,,,,,60.081,47.3641492229225,-2.4566493712897,49898.0,15847.0,31.7592616443712
YR1967,1427.0,350.0,,138.871428571429,,,,,,,,,,,16742338.2519864,29500000.0,,344.457118650064,,,,,,60.445,46.7436142743985,-2.62545155208889,48605.0,15835.0,32.5790989525686
YR1968,1427.0,350.0,,134.985714285714,,,,,,,,,,,14600000.0,29200000.0,,309.027410307969,,,,,,60.776,46.0942543576501,-2.83795780384431,47245.0,15729.0,33.2919973203877
YR1969,1427.0,350.0,,130.66,,,,,,,,,,,15850000.0,31700000.0,,346.592027290022,,,,,,61.079,45.5249174520566,-3.25704233206626,45731.0,15478.0,33.8455742738846
YR1970,1427.0,350.0,,127.445714285714,,,,,,,,,,,16300000.0,32600000.0,,365.421692149038,,,,,,61.372,45.755663412283,-2.49080257881605,44606.0,15255.0,34.2001838866985
YR1971,1427.0,350.0,,126.302857142857,,,,,,,,,,,19624746.4503043,38700000.0,,443.938525320189,,,,,,61.74,46.9167081391666,-0.900785264851564,44206.0,15236.0,34.4664939768163
YR1972,1427.0,350.0,,125.808571428571,,,,,,,,,,,22944849.1155047,44100000.0,,521.083031260752,,,,,,62.137,48.2047555242659,-0.392117366844328,44033.0,15292.0,34.7277910885109
YR1973,1427.0,350.0,,125.371428571429,,,,,,,,,,,24196018.3767228,47400000.0,,551.413363188761,,,,,50.4,62.517,49.3681559726068,-0.34807174017776,43880.0,15346.0,34.9736695240867
YR1974,1427.0,350.0,,124.965714285714,,,,,,,,,,,31514856.3078422,64700000.0,,720.537205812844,,,,,49.4,62.888,50.3966802322923,-0.324134594089811,43738.0,15396.0,35.199830853403
YR1975,1427.0,350.0,,124.588571428571,,,,,,,,,,,33364055.2995392,72400000.0,,765.12533365911,,,,,48.4,63.191,51.2561200738422,-0.302253390027498,43606.0,15437.0,35.4019766463193
YR1976,1427.0,350.0,,124.234285714286,,,,,,,,,,,30095602.2944551,78700000.0,,692.139328790191,,,106.961486816406,,47.4,63.49,51.9559817855664,-0.284769621065704,43482.0,15469.0,35.5758084726951
YR1977,1427.0,350.0,,123.88,,,,,,,20.4428167138339,72670000.0,60.4877642750125,,44496296.2962963,120140000.0,,1026.25343180719,116641192.0,,110.73876953125,24.2,46.3,63.73,52.5007207518884,-0.285582874887504,43358.0,15486.0,35.7170279023898
YR1978,1427.0,350.0,,123.477142857143,,,,,,,17.5320296695887,83930000.0,62.883044878999,6.91511034230714,49433333.3333333,133470000.0,3.90990418237138,1143.84000123408,129971642.0,,107.998420715332,24.1,45.1,63.995,52.8958511696786,-0.325729424584638,43217.0,15481.0,35.8213365052629
YR1979,1427.0,350.0,,122.951428571429,,,,,,,17.4041669289356,100250000.0,63.1019072197394,10.625525795504,58840740.7407407,158870000.0,7.5976750284066,1367.339965625,155369789.0,1390.0,105.123031616211,24.1,43.5,64.198,53.209165059373,-0.426667313937569,43033.0,15442.0,35.8844358511739
YR1980,1427.0,260.0,1.46072278727548,164.807692307692,17.7366548046812,,,,,,18.9190651374161,110260000.0,59.6515905648128,7.29119208424707,68459259.2592593,184840000.0,8.44012103734693,1597.6489908812,181480000.0,1680.0,112.997421264648,24.0,41.7,64.385,53.6557759626604,-0.426161817731342,42850.0,15384.0,35.9019481424905
YR1981,1427.0,260.0,1.11263736263736,164.223076923077,10.476363196689,,,,,,17.2893772893773,141050000.0,64.5833333333333,16.3563233341415,80888888.8888889,218400000.0,1.54690338408525,1894.44210241437,215580000.0,1860.0,98.5389404296875,23.8,39.6,64.62,54.3222164972598,-0.355356431365653,42698.0,15319.0,35.876847682934
YR1982,1427.0,260.0,2.5574786876776,163.584615384615,5.92722298201993,,,,,,18.7677602686644,152350000.0,65.5945922672867,5.76682868672047,86022222.2222222,232260000.0,0.547738044741152,2022.52944188428,233880000.0,1950.0,99.4237518310547,23.5,37.4,64.868,54.9703752468729,-0.389534694129255,42532.0,15233.0,35.8155380783139
YR1983,1427.0,260.0,15.5397339699864,162.823076923077,2.29153537034707,,,,,,19.112380627558,156510000.0,66.724931787176,-0.194146962278353,86874074.0740741,234560000.0,1.18672046955245,2052.11116535348,237530000.0,2020.0,,23.1,35.2,65.118,55.4577880663297,-0.466618809086107,42334.0,15123.0,35.7232516700643
YR1984,1427.0,260.0,6.08496412876085,161.973076923077,2.71490470548818,,,,,,17.3984900274199,179790000.0,67.5318333771551,4.25851652009244,98603703.7037037,266230000.0,8.86580745735674,2341.40772929271,266500000.0,2240.0,117.861839294434,22.6,33.0,65.334,55.7903735188659,-0.523406407645538,42113.0,14994.0,35.6050720001667
YR1985,1427.0,260.0,7.20672627785934,161.053846153846,2.61954629955699,,,,,,16.5754704390765,209460000.0,69.8852262111304,3.71190961041509,111007407.407407,299720000.0,8.55006826734157,2650.9864691075,296210000.0,2510.0,113.930641174316,22.0,31.1,65.482,56.0054448411324,-0.569137235845381,41874.0,14851.0,35.4660826106028
YR1986,1427.0,260.0,7.04265268527703,160.069230769231,-0.0066855337242675,,,,,,18.1635255774408,233100000.0,66.0620660337254,6.19676818536649,130685185.185185,352850000.0,10.8569938490329,3140.11209537184,348290000.0,3060.0,117.021278381348,21.2,29.5,65.554,56.1709335992407,-0.613234327248169,41618.0,14696.0,35.3113670433543
YR1987,1427.0,260.0,11.2679233931615,159.030769230769,0.96301264865157,,,,,,18.7957485210067,258100000.0,64.699689160734,6.10621614011968,147748148.148148,398920000.0,6.55034522837651,3573.284031831,394160000.0,3660.0,117.19783782959,20.4,28.1,65.516,56.2796265841153,-0.650871328434948,41348.0,14532.0,35.1460088404027
YR1988,1427.0,260.0,7.605035708924,157.930769230769,0.232525033997813,,,,,,22.8665794496751,288900000.0,61.9598086945332,7.01092521196738,172692592.592593,466270000.0,9.22537497565092,4205.65468298165,455140000.0,4350.0,114.352478027344,19.7,26.9,65.451,56.299696796269,-0.694093309566577,41062.0,14361.0,34.9750915437297
YR1989,1427.0,260.0,21.1927664486341,156.761538461538,5.16996495562573,,,,,,22.3624470950366,326930000.0,62.8953443632166,5.68893659993266,192518518.518518,519800000.0,5.47979407673375,4723.45351878204,495050000.0,4610.0,113.021781921387,19.2,26.0,65.45,56.2564404534079,-0.743098017335274,40758.0,14185.0,34.803698695317
YR1990,1427.0,260.0,22.4548244118649,155.507692307692,4.01098407755617,,,,,,23.9720422775315,365760000.0,62.3525400613706,7.60302634203465,217259259.259259,586600000.0,4.87725151603959,5373.44824048425,574560000.0,5200.0,116.171569824219,18.7,25.2,65.641,56.1659081915315,-0.80305887913815,40432.0,14004.0,34.6369138371462
YR1991,1427.0,260.0,9.72525442515028,155.223076923077,4.3237394435542,,,,,,22.5204043932422,401790000.0,67.4755651093272,3.43921877652862,220540740.740741,595460000.0,-1.86468912891613,5464.61025672087,576540000.0,5260.0,110.050102233887,18.5,24.7,65.958,56.3803954606274,-0.183191040214603,40358.0,13915.0,34.4786979982536
YR1992,1427.0,260.0,5.17460268901906,156.596153846154,2.85844672514458,,,,,,22.0444498829864,439780000.0,67.268305367331,5.29731458386074,242137037.037037,653770000.0,4.26897382542985,5947.1211356266,624910000.0,5710.0,110.355346679688,18.3,24.2,66.339,57.0975942231883,0.880693467540221,40715.0,13972.0,34.315544470369
YR1993,1427.0,260.0,5.21667087932146,158.623076923077,1.79486146433782,,,,,,21.2135254303929,482290000.0,67.7240430252479,1.99085029890244,263755555.555556,712140000.0,6.80194941601546,6395.31437746849,680010000.0,6180.0,108.288650512695,18.0,23.8,66.708,57.988918928749,1.28605796589797,41242.0,14078.0,34.1362064106915
YR1994,1427.0,260.0,5.19995482664724,160.676923076923,1.44226958804943,,,,,,19.4910468924498,561530000.0,70.4616465687074,6.27211761970925,295159259.259259,796930000.0,5.30171905117815,7065.28291984056,761810000.0,6680.0,109.124481201172,17.8,23.5,67.002,58.8560554378658,1.28648573786985,41776.0,14181.0,33.9452400262317
YR1995,1427.0,260.0,6.5299323023121,162.792307692308,2.9568002509262,,,,,,20.7960680993845,570180000.0,67.3645160146974,0.783506444546504,313485185.185185,846410000.0,5.38314265701612,7406.44486096454,816820000.0,7260.0,107.167129516602,17.6,23.1,67.23,59.6784482351273,1.30795424814889,42326.0,14283.0,33.7463783110243
YR1996,1427.0,260.0,10.5329118837686,164.911538461538,2.08657385169121,,,,,,20.2617423612266,609050000.0,67.5483835191039,0.645815916917087,333944444.444444,901650000.0,5.84283802585985,7788.42839854571,859560000.0,7620.0,,17.2,22.7,67.488,60.4508244513375,1.29339971902145,42877.0,14382.0,33.543354259104
YR1997,1427.0,260.0,5.25045422158887,167.030769230769,8.90518339116016,,,,,,19.4335589597435,686140000.0,67.8996952064284,4.91515472666765,374641307.974641,1010520000.0,6.82396677607342,8626.72257471312,957650000.0,7980.0,,16.8,22.2,67.811,61.1633047803261,1.27688427411293,43428.0,14479.0,33.3399008645055
YR1998,1427.0,260.0,8.33015400092864,169.223076923077,3.44635865955273,,,,,,20.659534127844,695460000.0,67.2748026621266,2.80018158531561,383257331.40548,1033760000.0,-0.486745779185156,8710.78984057184,965300000.0,7690.0,100.298316955566,16.4,21.6,67.891,61.8216944144554,1.30397839701118,43998.0,14581.0,33.1397511212637
YR1999,1427.0,260.0,14.2001176245315,171.542307692308,3.36303630363045,,,,,,22.4781391616745,724340000.0,66.0466303763073,2.7800211954283,406595484.373262,1096710000.0,3.21988642181456,9116.28627997718,1019880000.0,8100.0,,15.8,20.9,68.725,62.4100356494249,1.36121019596059,44601.0,14695.0,32.9466380234133
YR2000,1427.0,260.0,20.4345179371461,174.030769230769,2.14885532743696,,,,,,26.842734561823,761350000.0,66.9353987902659,-5.75137393409402,421695769.843918,1137440000.0,10.042808415173,9319.65545093525,1056150000.0,8890.0,111.089706420898,15.2,20.2,69.249,62.9349687828057,1.44021899747842,45248.0,14825.0,32.764294564989
