Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,7.96556575482592,17400000000.0,7.15754833401892,563960396.039604,275000000000.0,14.5534290271132,17.2647527910686,98600000000.0,39.3141945773525,,3973069306.93069,250800000000.0,,158.844150776359,253000000000.0,,,28.5,74.4,53.7975609756098,55.5610038138638,,25012374.0,6924882.0,27.6858239622977
YR1961,1274.0,99260.0,,267.112512958739,8.19565288254092,19600000000.0,6.72614962251201,321335473.432929,332500000000.0,17.9267084846484,17.8276658963354,114400000000.0,37.7682403433476,12.9564975549714,2427244760.66918,302900000000.0,6.9203873483396,94.2045938667769,306700000000.0,,,28.4,71.8,54.4768536585366,55.0788663785965,2.96724397295283,25765673.0,7330003.0,28.4487165107257
YR1962,1274.0,99260.0,,274.860356624508,6.61831097492391,24200000000.0,6.8671963677639,381538461.538462,407100000000.0,19.4013605442177,17.8231292517007,142000000000.0,38.6394557823129,16.7485744312482,2826923076.92308,367500000000.0,3.92175773832845,106.623915747203,371700000000.0,120.0,,28.2,69.4,55.0549512195122,54.5326538864019,2.85932081160452,26513030.0,7750689.0,29.2335073020446
YR1963,1274.0,99260.0,,282.622299398715,20.6916473186476,24100000000.0,4.82385908726982,420000000.0,572700000000.0,18.5220729366603,18.0038387715931,174900000000.0,33.5700575815739,30.0513315247667,4007692307.69231,521000000000.0,9.00980852779276,147.00790480127,525700000000.0,120.0,,28.0,67.0,55.0254634146342,54.0151867755957,2.78482005271866,27261747.0,8194300.0,30.0578676824386
YR1964,1274.0,99260.0,,290.111496993572,29.4628314500798,29400000000.0,4.13443960061876,283848195.927269,791700000000.0,17.2562205783457,19.2602555480834,224600000000.0,30.2084734364492,30.4127020126718,3476789681.58031,743500000000.0,9.42671363350965,124.24136735879,751400000000.0,140.0,,27.7,64.4,55.392243902439,53.621537077591,2.61539463516021,27984155.0,8662876.0,30.9563602392687
YR1965,1274.0,99260.0,,297.581111341489,13.5481947104654,35200000000.0,4.41047487783486,279278440.605283,896200000000.0,21.3193116634799,23.15965583174,286100000000.0,34.1897705544933,4.87833254087803,3141131708.31319,836800000000.0,7.31363967906637,109.429276511316,848500000000.0,140.0,,27.3,61.5,55.8645853658537,53.3825223124819,2.54215095083813,28704674.0,9175032.0,31.9635475598961
YR1966,1274.0,99260.0,,305.158314327182,11.261384877581,48000000000.0,4.68887369346488,380338139.770581,1179400000000.0,26.4692185899227,22.9207413616466,392300000000.0,36.53720778616,14.5545294587731,3957064541.39218,1073700000000.0,12.0079930944014,134.431383763277,1096600000000.0,140.0,,26.8,58.4,55.5229756097561,53.2725966534712,2.51438743184719,29435571.0,9744191.0,33.1034551656567
YR1967,1274.0,99260.0,,312.367644619531,10.8824400571964,59000000000.0,4.68514253950608,479452839.695294,1469400000000.0,28.5606403866485,23.1913608216282,524900000000.0,39.6390273372602,12.990314864662,4895076717.9993,1324200000000.0,9.15142541597389,162.459907730169,1364400000000.0,150.0,,26.2,55.1,60.9287317073171,53.3760040094796,2.33501369333053,30130983.0,10412915.0,34.5588302969076
YR1968,1274.0,99260.0,,319.70041467966,10.7718213969351,77100000000.0,4.73064179653945,621373963.021201,1921200000000.0,32.524471015767,23.9259129007678,677100000000.0,39.6870054510287,13.7932962356055,6167109472.42856,1706100000000.0,13.222886263609,199.982134957643,1752900000000.0,190.0,,25.5,51.7,60.9432682926829,53.6214883646632,2.32035109131777,30838302.0,11266236.0,36.5332576645622
YR1969,1274.0,99260.0,,327.019137466307,12.3895647111187,100000000000.0,4.69439489249836,761727479.934814,2496500000000.0,32.7851221151692,24.4230338337441,887500000000.0,39.7714541788035,14.1413765519381,7743940188.95006,2231500000000.0,14.5906815127852,245.494385222026,2288600000000.0,240.0,,24.8,48.4,61.4829024390244,53.9697123900813,2.26343403916519,31544266.0,12210782.0,38.7099888112837
YR1970,1274.0,99260.0,0.726472063514567,334.240379431889,15.9503423646945,120000000000.0,4.40334654337296,890983198.510541,3096500000000.0,32.2464024952151,24.59771744524,1141100000000.0,40.4444601970653,14.7667500937263,9085001793.55852,2821400000000.0,10.1670415997143,281.785631415674,2872200000000.0,280.0,,24.0,45.3,62.1634146341463,54.49452905715,2.18417394689467,32240827.0,13124766.0,40.7085270995502
YR1971,1274.0,99260.0,0.419779316500158,340.894712834335,13.5117023313079,160000000000.0,4.73498860643367,1008216968.29158,3836300000000.0,35.2949644430369,23.0904327296807,1448900000000.0,41.7153715486713,11.2553022748572,10005257131.3347,3473300000000.0,10.6514008040897,304.271118680953,3499600000000.0,320.0,,23.3,42.5,62.6121951219512,55.0288203741454,1.97132365752048,32882704.0,13925080.0,42.3477332957849
YR1972,1274.0,99260.0,4.5129923623816,347.350259174787,11.6889866806845,209000000000.0,5.010068079394,1137201821.7627,4522300000000.0,37.5350269794586,24.5941502049513,1814100000000.0,42.0115328500961,15.8248271764861,10990490569.7259,4318100000000.0,7.33682343209188,328.021411521648,4327400000000.0,350.0,,22.5,40.1,63.009756097561,55.53836035164,1.87599936966995,33505406.0,14671795.0,43.7893372123996
YR1973,1274.0,99260.0,0.0284342863261591,353.547055774414,3.22102904692326,217000000000.0,4.03473216443858,1232671983.47466,5808900000000.0,50.8155762572724,27.2852196880465,2307600000000.0,41.182139415355,12.8643224863239,14067523813.0386,5603400000000.0,14.9746910473879,412.499262547237,5608800000000.0,430.0,,21.9,38.1,63.4073170731707,56.1740875122789,1.7682927120788,34103149.0,15396676.0,45.1473735759202
YR1974,1274.0,99260.0,0.0100700219090773,359.65442670537,24.3041995402397,345000000000.0,4.54144562770677,1877259887.87866,8906900000000.0,54.5560922172982,26.2373649355176,3354400000000.0,41.756709654932,30.7472731054481,19860929976.698,8033200000000.0,9.64890876792887,572.488691764846,8061600000000.0,560.0,,21.2,36.5,63.8048780487805,56.9452840081981,1.712705419969,34692266.0,16135166.0,46.5094025449477
YR1975,1274.0,99260.0,0.0271173779064338,365.75497615592,25.2492564056733,499000000000.0,4.87871647715607,2415909090.90909,11634300000000.0,53.0413670744234,26.3329909421982,4333200000000.0,40.4631618265011,23.512831590718,22126033057.8512,10709000000000.0,7.93151191415265,627.142244323246,10623700000000.0,670.0,,20.6,35.0,64.1536585365854,57.8650393089425,1.68200005474822,35280725.0,16923245.0,47.9673969434303
YR1976,1274.0,99260.0,0.266701134724754,371.641333195107,15.3273205213194,827000000000.0,5.90815568383151,3233471074.38017,15117700000000.0,52.9647065226265,27.3034640398378,5886000000000.0,40.0419059022014,21.190280485325,30371074380.1653,14699600000000.0,13.2631948828989,847.205737881176,14635500000000.0,820.0,,20.0,33.6,64.5024390243902,58.8760092276166,1.59655859407233,35848523.0,17771423.0,49.5736556126164
YR1977,1274.0,99260.0,0.240627908944741,377.480769230769,10.0966653313387,1083000000000.0,6.03493912122816,4118595041.32231,19255800000000.0,52.968181433528,28.1120419734281,7601500000000.0,40.2042608106965,14.4572034161702,39064462809.9174,18907200000000.0,12.3772941278967,1072.85188247153,18854000000000.0,980.0,,19.5,32.3,64.9,59.8293756938274,1.55903938603208,36411795.0,18680235.0,51.3027034426193
YR1978,1274.0,99260.0,0.168481491911512,383.259226622434,14.4602850195024,1544000000000.0,6.37145061919441,5149380165.28926,26650900000000.0,53.2506492693764,29.8343189711818,10209000000000.0,39.9300666478926,21.7478519928279,52824793388.4297,25567200000000.0,11.0694555184031,1428.88714989064,25640200000000.0,1300.0,,18.9,30.9,65.1975609756098,60.7131040811052,1.5191967189167,36969185.0,19629003.0,53.0955799830981
YR1979,1274.0,99260.0,0.252629534543557,389.117105535973,18.3234963421791,1715000000000.0,5.5258765683501,6556404958.67769,35335000000000.0,53.5162627531667,31.163246602696,13211800000000.0,40.0933462002998,18.5303342735136,68083884297.5207,32952600000000.0,8.73691533999403,1813.9142168105,32896100000000.0,1710.0,,18.3,29.4,65.5463414634146,61.4708575364379,1.51687486775835,37534236.0,20605837.0,54.8987778188484
YR1980,1274.0,99260.0,0.0707760127797266,395.228851337342,28.6976086362017,2418000000000.0,6.39877211320904,7739296135.78463,43944000000000.0,64.2288872286844,31.6705175715056,17662400000000.0,43.6935042574351,24.5701297145454,66547970350.6151,40423400000000.0,-1.52426391001066,1745.57662116658,40061800000000.0,1910.0,,17.5,27.8,66.0463414634146,62.1417170998959,1.55846267819582,38123775.0,21599193.0,56.6554425515705
