Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,117.0,59.2033414634146,60.2996206519643,,311060.0,234543.0,75.4013550052817
YR1961,121.0,17820.0,,19.4132996632997,,,,,,,,,,,,,,,,,,,109.1,60.235,59.9736373898125,10.6293983268332,345945.0,264198.0,76.3700197161683
YR1962,121.0,17820.0,,21.604657687991,,,,,,,,,,,1828107502.79955,653000000.0,,4748.39284354226,460000000.0,,,,101.9,61.259512195122,59.4938895310329,10.695054430572,384995.0,297381.0,77.2427865900079
YR1963,121.0,17820.0,,24.000785634119,,,,,,,,,,,1900895856.66293,679000000.0,,4444.5230858112,500000000.0,,,,95.0,62.2694146341463,58.9315024293069,10.517763941933,427694.0,333593.0,77.9980407125789
YR1964,121.0,17820.0,,26.5496632996633,,,,,,,,,,,2071668533.03471,740000000.0,,4378.78429775998,542000000.0,,,,88.4,63.2567073170732,58.4449430317608,10.093050129514,473115.0,371935.0,78.6141671696597
YR1965,121.0,17820.0,,29.2465768799102,,,,277199889.120044,415000000.0,90.7877169559412,,,,,2097199161.12034,749000000.0,,4023.99037772478,591000000.0,,,,82.2,64.217487804878,58.031906779783,9.6745471220419,521174.0,412075.0,79.0666680854608
YR1966,121.0,17820.0,,32.131874298541,,,,330399867.840053,501000000.0,90.0468384074941,,,,,2391199043.52038,854000000.0,,4176.11038180964,682000000.0,,,,76.6,65.1482682926829,57.4033404384817,9.40859691877663,572590.0,454450.0,79.3675119894763
YR1967,121.0,17820.0,,35.2462962962963,,,,377999848.800061,601000000.0,87.9587155963303,,,,,2441599023.36039,872000000.0,,3887.34562038245,734000000.0,,,,71.5,66.031,56.5704064232935,9.25119478590066,628089.0,499810.0,79.5763574782492
YR1968,121.0,17820.0,,38.5923681257015,,,,403199838.720065,612000000.0,87.8023133543638,,,,,2662798934.88043,951000000.0,,3871.94559219275,793000000.0,,,,66.9,66.8460487804878,55.8123235553074,9.06940858420087,687716.0,548626.0,79.7750246608338
YR1969,121.0,17820.0,,42.0567901234568,,,,425599829.760068,647000000.0,92.4165824064712,,,,,2769198892.32044,989000000.0,,3694.96497750415,840000000.0,,,,62.7,67.5747804878049,55.1369833311651,8.59663107825654,749452.0,599879.0,80.0424138541563
