Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,,41.036,55.5498232747517,,2121514.0,166499.0,7.84814202598587
YR1961,1834.0,236800.0,,9.40119584055459,,,,,,,,,,,,,,,,,,,,41.344,55.4296937199842,2.25031691737593,2169796.0,171508.0,7.90432861841945
YR1962,1834.0,236800.0,,9.61832755632582,,,,,,,,,,,,,,,,,,,,42.272,55.3362648342196,2.28335006052227,2219910.0,177113.0,7.97837837038716
YR1963,1834.0,236800.0,,9.83995233968804,,,,,,,,,,,,,,,,,,,,41.544,55.230695087163,2.2780468654744,2271061.0,183221.0,8.06763081413555
YR1964,1834.0,236800.0,,10.0642374350087,,,,,,,,,,,,,,,,,,,,41.859,55.0358916251153,2.2537424663802,2322826.0,189762.0,8.16942548191116
YR1965,1834.0,236800.0,,10.2954939341421,,,,,,,,,,,,,,,,,,,,42.222,54.8974949283509,2.27180252016465,2376200.0,196776.0,8.28110190596055
YR1966,1834.0,236800.0,,10.5332928942808,,,,,,,,,,,,,,,,,,,,42.347,54.867776089231,2.28346753765842,2431084.0,204211.0,8.39999961853027
YR1967,1834.0,236800.0,,10.7786611785095,,8530750000.0,,,,,,,,,,,,,,,,,,42.869,54.8237438774136,2.30273700577367,2487715.0,213209.0,8.57046396421839
YR1968,1834.0,236800.0,,11.0328292894281,,8510850000.0,,,,,,,,,,,,,,,,,,43.183,54.7688146727684,2.33069461091738,2546377.0,224668.0,8.82304048899681
YR1969,1834.0,236800.0,,11.2953162911612,,8672150000.0,,,,,,,,,,,,,,,,,,43.46,54.7038330867497,2.35128433530066,2606959.0,238129.0,9.13436902717287
