Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,72600000.0,,,,,,,,,,,,,,,,,65.5,63.927,51.7851032597974,,1794406.0,747686.0,41.6676311519583
YR1961,661.0,10450.0,,180.848875855327,,85700000.0,,,,,,,,,,,,,,,,,63.3,64.267,51.2397004676544,3.05569955105057,1850084.0,800319.0,43.2585062349918
YR1962,661.0,10450.0,,186.664516129032,,123000000.0,,,,,,,,,,,,,,,,,61.4,64.595,50.7873076636062,3.16512317739473,1909578.0,858894.0,44.978192138843
YR1963,661.0,10450.0,,192.601759530792,,105000000.0,,,,,,,,,,,,,,,,,59.6,64.879,50.465179189531,3.13116607387943,1970316.0,922005.0,46.7947672255983
YR1964,661.0,10450.0,,198.489051808407,,117000000.0,3.65625,,,,,,,,,,,,,,,,58.1,65.103,50.275160455888,3.01093089923864,2030543.0,988393.0,48.6763098573436
YR1965,661.0,10450.0,,204.186803519062,,137000000.0,3.88873119500426,,,,,,,,,,,,,,,,56.8,65.317,50.3591363684128,2.83013343797485,2088831.0,1056758.0,50.5908983961652
YR1966,661.0,10450.0,,209.996089931574,,161000000.0,4.16343418670804,,,,,,,,,,,,,,,,55.7,65.504,50.6765124620594,2.80536328023449,2148260.0,1127979.0,52.5066112041493
YR1967,661.0,10450.0,,215.711730205279,,185000000.0,4.84293193717278,,,,,,,,,,,,,,,,54.9,65.677,51.0237657022459,2.68540227823191,2206731.0,1200275.0,54.3915266433821
YR1968,661.0,10450.0,,221.541348973607,,207000000.0,4.84437163585303,,,,,,,,,,,,,,,,54.2,65.802,51.3972135151926,2.66663151919523,2266368.0,1274010.0,56.2137230759496
YR1969,661.0,10450.0,,227.581524926686,,212000000.0,4.64403066812705,,,,,,,,,,,,,,,,53.7,65.918,51.7927040206446,2.68992763796577,2328159.0,1348965.0,57.9412788639381
YR1970,661.0,10450.0,,233.246725317693,,211000000.0,4.33621043978627,,,,,,,,,,,,,,,,53.2,66.018,52.2049868531009,2.45882747374997,2386114.0,1420465.0,59.5304742166014
YR1971,661.0,10450.0,,239.13137829912,,216000000.0,4.00074087794036,,,,,,,,,,,,,,126.660461425781,,52.8,66.12,52.6322362199285,2.49163006360347,2446314.0,1492906.0,61.0267563041276
YR1972,661.0,10450.0,,245.330303030303,,324000000.0,5.09033778476041,,,,,,,,,,,,,,,,52.4,66.201,53.0718960238129,2.5592377307695,2509729.0,1569347.0,62.5305268532813
YR1973,661.0,10450.0,,251.508797653959,,271000000.0,3.81528931437421,,,,,,,,,,,,,,,33.3,52.0,66.298,53.5141579557976,2.48724914536029,2572935.0,1648159.0,64.0575298077639
YR1974,661.0,10450.0,,257.593841642229,,417000000.0,,,,,,,,,,,,,,,125.324462890625,33.0,51.4,66.41,53.9529482749788,2.39061176166333,2635185.0,1728601.0,65.5969556657538
YR1975,661.0,10450.0,,263.264027370479,,382000000.0,,,,,,,,,,,,,,,,32.6,50.7,57.744,54.3306535501295,2.17733476763527,2693191.0,1808154.0,67.1379949254296
YR1976,661.0,10450.0,,266.517008797654,,497000000.0,12.1249085142718,,,,,,,,,,,,,,,34.8,112.4,36.436,54.7174752399532,1.22806294973931,2726469.0,1872262.0,68.6698380849699
YR1977,661.0,10450.0,,270.005376344086,,388000000.0,4.73228442492987,,,,,,,,,,,,,,,32.2,59.3,60.331,55.1653771845937,1.30038067358211,2762155.0,1938527.0,70.1816756425532
YR1978,661.0,10450.0,,275.921994134897,,747000000.0,8.48960109103307,,,,,,,,,,,,,,104.279426574707,31.6,57.8,59.996,55.6042366097627,2.16763246381261,2822682.0,2022810.0,71.6626980963581
YR1979,661.0,10450.0,,281.782502443793,,1123000000.0,10.0717488789238,,,,,,,,,,,,,,,31.0,56.3,59.557,56.0534968781173,2.1017309604416,2882635.0,2107267.0,73.1020959445631
YR1980,661.0,10450.0,,287.855620723363,,1730000000.0,12.3571428571429,,,,,,,,,,,,,,104.756462097168,30.3,54.6,59.909,56.4974668589628,2.13235320736596,2944763.0,2193526.0,74.4890596853469
YR1981,661.0,10450.0,,294.133040078201,,1610000000.0,9.58333333333333,,,,,,,,,,,,,,108.371627807617,29.6,52.9,60.279,56.9224526380281,2.15731447545801,3008981.0,2281192.0,75.812779816888
YR1982,661.0,10450.0,,298.624731182796,,1170000000.0,9.28645130565918,,,,,,,,,,,,,,106.117683410645,29.7,73.3,47.19,57.3449613100918,1.51555232059698,3054931.0,2354205.0,77.0624468373649
YR1983,661.0,10450.0,,302.541153470186,,2230000000.0,13.4556205877029,,,,,,,,,,,,,,101.6611328125,27.7,43.7,60.752,57.7268435888124,1.30296072848368,3094996.0,2421130.0,78.2272512449562
YR1984,661.0,10450.0,,308.186119257087,,3090000000.0,10.9687267047673,,,,,,,,,,,,,,,26.7,41.9,61.167,58.0300842694491,1.84865710229521,3152744.0,2500012.0,79.2963835378406
YR1985,661.0,10450.0,,314.504007820137,,3730000000.0,6.28697601510223,,,,,,,,,,,,,,85.3037796020508,25.7,40.0,61.574,58.2941437827198,2.02929357553818,3217376.0,2582235.0,80.2590342141964
YR1986,661.0,10450.0,,322.616324535679,,5690000000.0,5.2638395500296,,,,,,,,,,,,,,,24.7,38.1,62.011,58.5302294548892,2.54669479096914,3300365.0,2676741.0,81.1043937722024
YR1987,661.0,10450.0,,330.943792766373,,8310000000.0,1.12184657836794,,,,,,,,,,,,,,97.9808578491211,23.9,41.4,62.539,58.7573173020845,2.54847831489116,3385555.0,2770117.0,81.821652710037
YR1988,661.0,10450.0,-0.0081483849437339,337.697849462366,,16090000000.0,1.18657817109145,,,,,,,,3313540067.93246,1356000002000.0,,959.153901867443,,,,22.7,39.6,62.92,58.977777629829,2.02030085974711,3454649.0,2846631.0,82.4000015258789
YR1989,661.0,10450.0,0.0584989244913733,344.602639296188,,,,491253073.855068,,109.925088646489,,,,72.9964555217472,2717998687.71002,1350000050200.0,-42.4511182157698,771.001121245521,1692723052600.0,,81.5575637817383,21.2,29.7,65.114,59.1223488487241,2.02404238967668,3525285.0,2922099.0,82.8897319076857
YR1990,661.0,10450.0,0.227233865800903,351.434506353861,,149000000000.0,7.55195134313229,535688453.147726,3295697527070.0,117.905808025004,,,,15.5018483856034,2838485353.96187,1972999946200.0,26.5331600932491,789.526338484738,2405551570900.0,1020.0,,20.0,28.3,65.479,59.205012162831,1.96313846488939,3595175.0,2996498.0,83.3477779215982
YR1991,661.0,10450.0,0.0347517217099537,358.642424242424,,213000000000.0,5.15488867376573,656715545.227622,6468395904400.0,92.4546720066934,23.6303821818249,,,47.6556598595665,4690415092.53663,4353769930100.0,49.4473791849141,1278.42125745633,4447452459300.0,1350.0,,18.9,26.9,70.865,59.3396953456917,2.03024916398365,3668912.0,3073568.0,83.7732936330693
YR1992,661.0,10450.0,0.315902283373073,366.3119257087,,758400000000.0,7.98399831561217,818172634.823884,16128503777300.0,82.844256447048,22.8292606552612,,,97.4338199086854,5843579160.90122,10008823951000.0,16.4383457045728,1559.38100628446,10424105325000.0,1580.0,77.2161636352539,18.0,25.6,71.169,59.5729245916671,2.1159367104979,3747371.0,3153991.0,84.1654331075521
YR1993,661.0,10450.0,0.0931785202512423,373.474780058651,,788800000000.0,6.01127876848041,950668903.902697,21850824075500.0,76.3510747169767,22.629902485752,,,24.7430178138061,7941744492.23595,13829436189000.0,10.7656697971889,2078.63864215562,14127011987000.0,1880.0,76.5777130126953,17.0,24.5,71.559,59.8727780922969,1.93652525509607,3820647.0,3229339.0,84.5233504104997
YR1994,661.0,10450.0,0.23502137102756,380.234506353861,,1071000000000.0,6.99771316563215,1207826274.74555,24921960309700.0,70.2721154740452,22.616203471055,9981087342800.0,61.8886464366007,7.87371706042556,9599127050.17558,16127493357000.0,8.10524197734502,2467.76942720577,16676518093000.0,2280.0,78.8943405151367,16.2,23.3,72.03,60.2243971989298,1.79377053397478,3889799.0,3300347.0,84.8461996073652
YR1995,661.0,10450.0,0.29866550632029,387.16862170088,,1210000000000.0,6.71192798911137,1450007305.97015,28790566299500.0,73.1353869918234,22.2342520972663,11477660231000.0,60.4060195644658,10.6790055674445,11718795528.5556,19000855070000.0,6.44886256985258,2958.74263957462,19798583882000.0,2820.0,79.0194091796875,15.4,22.3,72.383,60.6311833535947,1.8072128760113,3960735.0,3371898.0,85.1331347636015
YR1996,661.0,10450.0,0.584358875032073,394.406744868035,,1156000000000.0,5.66185242685313,1967529958.57197,30635092556900.0,68.0966127579704,22.3064225544938,13173566844000.0,61.2359257757386,1.73810973618646,13690217333.5879,21512807518000.0,11.2859357161668,3393.05090749359,22139612578000.0,3330.0,78.5222930908203,14.6,21.3,72.614,61.0777387917709,1.85224110517078,4034781.0,3445030.0,85.3833099446618
YR1997,661.0,10450.0,11.4246771134021,401.603616813294,,1044000000000.0,4.30515463917526,2683988307.89217,32258000000000.0,62.0865979381443,22.2721649484536,14698000000000.0,60.6103092783505,11.5467672117432,15751867489.4446,24250000000000.0,1.05496666740667,3834.0590787531,24739475140000.0,3560.0,80.5919799804688,13.9,20.4,72.94,61.542423397888,1.80828501715332,4108405.0,3516625.0,85.5958792159991
YR1998,661.0,10450.0,6.5802246247728,408.727370478983,,1052000000000.0,4.02325225638672,2879696490.80687,33259000000000.0,54.7171975983785,23.6835060614173,15252000000000.0,58.3272782898008,4.01791826450849,17247179005.5219,26149000000000.0,3.66572378505683,4124.85527892575,26371832890000.0,3750.0,83.2726364135742,13.3,19.5,73.201,62.0212083330443,1.75827835901774,4181281.0,3586285.0,85.7699966430664
YR1999,661.0,10450.0,5.01221157296938,415.960606060606,,1251000000000.0,4.77043929225137,2946591291.93736,32172000000000.0,50.8141707661214,21.2294550585364,15487000000000.0,59.058841475041,0.812850465455782,17391056369.2265,26223000000000.0,-0.525584634783087,4086.93872789633,26536630720000.0,3950.0,86.5208282470703,12.6,18.5,73.513,62.5077873896341,1.75422008711836,4255277.0,3655460.0,85.9041501933228
YR2000,661.0,10450.0,5.75581691967717,423.200391006843,,1402000000000.0,5.39210030383447,2980431177.4461,31682000000000.0,50.1152959262106,19.9654112221368,16008000000000.0,61.52190622598,-2.08798314732812,17260364842.4544,26020000000000.0,1.34187161970405,3986.83513941026,26503907500000.0,4090.0,85.1220779418945,12.0,17.6,73.895,62.9821592878082,1.72552456653499,4329340.0,3723232.0,86.0
YR2001,661.0,10450.0,8.23754952644041,430.295014662757,,1445000000000.0,5.44789624491027,3105804311.77446,33085000000000.0,55.5568083587026,20.4307137219529,16348000000000.0,61.4424775435036,-1.52515154552069,17649751243.7811,26607000000000.0,3.83966927702973,4009.55929751102,26495445000000.0,4040.0,84.4280319213867,11.4,16.7,74.354,63.4424130572173,1.66252495800846,4401918.0,3792038.0,86.1451238111303
YR2002,661.0,10450.0,6.97552914588529,436.315151515152,,1368000000000.0,4.75330090340514,3275621890.54726,34313000000000.0,51.0425325574951,19.1154059296204,17370000000000.0,60.1620947630923,4.92118791987299,19152238805.9701,28872000000000.0,3.42314982843781,4290.85283803266,27559902150000.0,3940.0,85.5243682861328,10.8,15.8,74.836,63.9109766676584,1.38937527602441,4463504.0,3851749.0,86.2942846645228
YR2003,661.0,10450.0,14.2410590326381,442.3761485826,,1392000000000.0,4.67569110879715,3340630182.42123,36517000000000.0,54.0908340214699,18.3121387283237,18038000000000.0,59.5805119735756,1.58125248896708,20082918739.6352,30275000000000.0,3.22709826879041,4437.71588507526,25268155325000.0,3670.0,86.7726821899414,10.2,15.0,75.275,64.4113694626803,1.37957282493925,4525508.0,3912190.0,86.4475351790771
YR2004,661.0,10450.0,8.97351609461343,449.587390029325,,1439000000000.0,4.51119229815156,3057498804.64345,38553408528200.0,90.9727970270956,14.5751663754257,22033527255000.0,69.0739947560555,-1.2346616322255,21159827992.0398,31898440698000.0,6.67944461641103,4600.68371412993,30670627173000.0,4700.0,88.6836776733398,9.6,14.2,75.693,64.9568443227732,1.6169716035759,4599279.0,3983202.0,86.6049279736931
YR2005,661.0,10450.0,12.2038495910608,456.608211143695,,1451000000000.0,4.47739527979241,3125959071.11111,38731694229000.0,92.762656272585,14.7600382336009,23055201063000.0,71.1421422568266,-1.06220705635945,21497336498.8391,32407234772000.0,2.68577931016345,4602.19804637945,32108719622000.0,4910.0,89.1887664794922,9.1,13.5,76.074,65.5252229559534,1.54954660675644,4671102.0,4052952.0,86.7665156672703
YR2006,661.0,10450.0,12.1444381288428,464.431671554252,,1521000000000.0,4.58143085334009,3198918003.91376,39802590192000.0,91.0693970298409,15.008151375903,24167152722000.0,72.7943057979431,0.880737586375261,22022709851.4096,33199235101000.0,1.54951500083213,4635.2514117486,33426716851000.0,4870.0,88.5270919799805,8.7,12.9,75.677,66.0677397923634,1.69887292002787,4751136.0,4130274.0,86.9323508787087
YR2007,661.0,10450.0,13.5978268963012,473.520821114369,,1737000000000.0,4.64100507400197,3407443976.91542,46291756902000.0,97.9677079660494,15.5098773512385,26480182054000.0,70.7510991777324,3.13292372272159,24827355014.9254,37427237685000.0,9.31062252641144,5125.25809960149,38550355335000.0,5320.0,88.3269729614258,8.4,12.3,76.732,66.5652997547438,1.93814380795793,4844118.0,4219347.0,87.1024862269079
YR2008,661.0,10450.0,14.8805177180667,481.461779081134,,1763000000000.0,4.01624119377376,3901693627.79436,56861396822000.0,106.625673176194,16.212003826201,31797969119000.0,72.4380677565016,7.53328390625055,29118916105.4726,43896766029000.0,9.06912826789082,5912.04532820842,44549332629000.0,5860.0,86.235969543457,8.1,11.9,76.956,67.0112713737197,1.66309647863534,4925354.0,4298700.0,87.2769743307677
