Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,190495600.0,190495600.0,,167.171498224694,187371800.0,,,,198.3,38.073,56.0525185351922,,1139522.0,211855.0,18.5915235768282
YR1961,2391.0,111370.0,,12.1233077242525,,,,,,,,,,-5.75102700812056,183920900.0,183920900.0,2.43998542296508,157.504686495101,181412800.0,,,,198.9,38.104,56.0068064436846,2.44416842967272,1167717.0,224763.0,19.248108845249
YR1962,2391.0,111370.0,,12.4277304817276,,,,,,,,,,2.93351234585369,191861800.0,191861800.0,1.3446060733405,160.280325035358,189244800.0,160.0,,,198.9,38.167,55.8861908425707,2.48004469712784,1197039.0,238507.0,19.9247802177828
YR1963,2391.0,111370.0,,12.7430855481728,,,,,,,,,,2.0404974950855,200229600.0,200229600.0,2.27446063593885,163.131266223133,197417300.0,160.0,,104.2,198.5,38.309,55.6713953075327,2.50585096336426,1227414.0,253326.0,20.6389939801611
YR1964,2391.0,111370.0,,13.0683658637874,,,,,,,,,,3.98192049017435,218929100.0,218929100.0,5.15196130203739,173.926490274043,231554300.0,180.0,,103.1,197.7,38.451,55.3946986879789,2.52056757157595,1258745.0,268981.0,21.3690176711614
YR1965,2391.0,111370.0,,13.4048588039867,,2700000.0,1.17749672917575,,,,,,,-0.0711752427931316,229260800.0,229260800.0,4.79378627844778,177.562432424897,243728700.0,190.0,,101.5,196.7,38.693,55.1369683976872,2.54227482770536,1291156.0,285553.0,22.116057146124
YR1966,2391.0,111370.0,,13.7498235049834,,2800000.0,1.14519427402863,,,,,,,-0.996464871529469,244459500.0,244459500.0,7.70265600116069,184.583689159405,258088200.0,200.0,,99.7,195.2,38.955,54.9168556225805,2.5408749482202,1324383.0,303013.0,22.8795299372063
YR1967,2391.0,111370.0,,14.1033534053156,,3050000.0,1.16858237547893,,,,,,,0.0283860331695536,261024300.0,261024300.0,6.74579084966074,192.150746999304,276346100.0,210.0,,97.7,193.1,39.262,54.7125385876169,2.53866112422504,1358435.0,321390.0,23.658853576566
YR1968,2391.0,111370.0,,14.4677117940199,,3050000.0,1.10187861271676,,,,,,,1.22443373162953,276820700.0,276820700.0,4.76887169722187,198.647104834485,294674800.0,220.0,,95.4,190.5,39.588,54.5243570372927,2.55067943838122,1393530.0,340766.0,24.4534455963608
YR1969,2391.0,111370.0,,14.8422446013289,,3050000.0,0.993485342019544,,,,,,,3.35528912320706,306961800.0,306961800.0,7.28847299452673,214.717911590964,324857500.0,230.0,,93.0,187.6,39.991,54.3495930694143,2.55580861053517,1429605.0,361157.0,25.2627235287481
YR1970,2391.0,111370.0,17.6849436876605,15.2271179401993,,3550000.0,1.09873104302074,,,,,,,-1.31806816825541,323099700.0,323099700.0,6.66319270701399,220.293848130057,355305148.0,250.0,35.6062698364258,90.5,184.5,40.359,54.2025300748086,2.56004335334434,1466676.0,382599.0,26.0861049058858
YR1971,2391.0,111370.0,-9.94310820508451,15.615417358804,,4050000.0,1.18594436310395,,,,,,,0.7658739015816,341543100.0,341543100.0,4.90483027900189,227.078201448463,374965203.0,260.0,36.4992790222168,88.3,181.6,40.72,54.0796448586076,2.51808051534252,1504077.0,404943.0,26.9230072599313
YR1972,2391.0,111370.0,5.60991907046493,16.016092192691,,4050000.0,1.10024449877751,,,,,,,3.4899796539606,368098000.0,368098000.0,4.14049563165185,238.610979665126,408307205.0,280.0,37.5202789306641,86.1,178.6,41.199,53.9668885762995,2.5335260395927,1542670.0,428443.0,27.7728481230422
YR1973,2391.0,111370.0,19.3400854798701,16.4409053156146,,3750000.0,0.968992248062015,,,,,,,7.55279815759292,386968300.0,386968300.0,-2.25597518400502,244.361727924182,431314610.0,290.0,,84.1,175.7,41.619,53.858217496665,2.6178477128425,1583588.0,453461.0,28.6350450273763
YR1974,2391.0,111370.0,11.8511977492787,16.8849875415282,,4550000.0,0.93429158110883,,,,,,,20.1285236835633,486955000.0,486955000.0,4.75320033514291,299.413660673331,542591749.0,340.0,,82.3,172.8,42.063,53.7451686647868,2.6652460023066,1626362.0,480171.0,29.5242558741251
YR1975,2391.0,111370.0,31.2371601870178,17.3475186877076,,5500000.0,0.952380952380952,,,,,,,22.8659605383095,577549300.0,577549300.0,-3.46858948909045,345.648935641772,637690273.0,370.0,39.4977416992188,80.5,169.9,42.463,53.6259218762437,2.70245650528251,1670913.0,509346.0,30.4830838449125
YR1976,2391.0,111370.0,13.9388951150516,17.8266196013289,,6400000.0,1.07256577844813,,,,,,,-1.89827377755729,596675700.0,596675700.0,5.31073407721753,347.498456664298,669790112.0,410.0,36.9558982849121,78.9,167.2,42.851,53.4936034540446,2.72433423498357,1717060.0,541253.0,31.5220573773807
YR1977,2391.0,111370.0,25.3264955856564,18.3349148671096,,7750000.0,1.15156017830609,,,,,,,11.0302221983718,673010600.0,673010600.0,1.58798454932254,381.089104930355,765989451.0,440.0,,77.4,164.6,43.22,53.3736330130084,2.81143349250645,1766019.0,575827.0,32.6059167539197
YR1978,2391.0,111370.0,20.1731525441121,18.8771490863787,,8900000.0,1.2409369771333,,,,,,,1.67503798617574,717240400.0,717240400.0,4.81622063946101,394.468078319392,824429837.0,470.0,45.4183082580566,76.0,162.1,43.567,53.2715155665002,2.91449892122345,1818247.0,612863.0,33.7062311029961
YR1979,2391.0,111370.0,5.06223129544845,19.4426183554817,,9400000.0,1.15464930598207,,,,,,,9.91159113864998,814067900.0,814067900.0,3.26481969521633,434.69976445937,931133641.0,530.0,45.8630409240723,74.6,159.7,43.89,53.1615237256119,2.95153314958743,1872713.0,651602.0,34.7945695530767
YR1980,2391.0,111370.0,8.41453519696412,20.0296200166113,,12750000.0,1.49175149175149,,,,,,,9.47952427977854,854711500.0,854711500.0,-4.09836407281566,443.027171656595,964029717.0,530.0,48.7294311523438,73.2,157.5,44.088,53.0595917330676,2.97446997538905,1929253.0,691493.0,35.8425012326281
YR1981,2391.0,111370.0,34.0159560054789,20.6277720099668,,26350000.0,3.11281748375665,,,,,,,1.20342730356739,846514500.0,846514500.0,-2.13675012435537,426.054939761947,947708716.0,520.0,,71.6,155.7,44.344,52.9629947457466,2.94261448886312,1986867.0,731596.0,36.8215952701168
YR1982,2391.0,111370.0,0.0867398694639903,21.2320701827243,,43350000.0,5.01794189142262,,,,,,,4.60261250257095,863933200.0,863933200.0,-2.43293723906788,422.446142509338,936182391.0,460.0,,70.1,154.2,44.447,52.8679531566958,2.88744594277441,2045073.0,771062.0,37.7034207940095
YR1983,2391.0,111370.0,0.128411391607564,21.8761731727575,,38750000.0,4.70609667233422,,,,,,,-2.8518532860636,823374900.0,823374900.0,-1.89685282159904,390.759726697144,962601136.0,450.0,,68.5,153.3,44.576,52.8290478894469,2.98852784594373,2107113.0,810386.0,38.4595469327728
YR1984,2391.0,111370.0,0.0918729189285898,22.5634551495017,,24950000.0,2.94048320565704,,,,,,,5.26715327312898,848478300.0,848478300.0,-2.10731569730636,390.407957992226,918127882.0,410.0,40.1734580993652,67.0,153.4,44.683,52.8321060206726,3.0933507132753,2173312.0,849493.0,39.0874764959255
YR1985,2391.0,111370.0,-0.0409783110232634,23.2614098837209,,25150000.0,2.95430518031246,,,,,,,1.18541540464065,851296100.0,851296100.0,-0.843318161003538,379.951475961811,950360791.0,410.0,,65.6,154.7,44.026,52.8218656314396,3.04641906500415,2240539.0,885163.0,39.5066909790039
YR1986,2391.0,111370.0,-0.0422499322014726,23.9670992524917,,24350000.0,2.89536266349584,,,,,,,0.472892541338069,840964400.0,840964400.0,-1.67859810155988,364.288669189794,873858634.0,390.0,,64.4,157.2,44.494,52.796282972011,2.98862660310745,2308511.0,848175.0,36.7412033081055
YR1987,2391.0,111370.0,0.08522300650595,24.6805336378738,,22250000.0,2.28721217105263,,,,,,,16.8470569176321,972800000.0,972800000.0,-1.00160074690007,409.215940071402,924554063.0,380.0,,63.5,160.5,44.267,52.7882562453478,2.93327957094677,2377229.0,968678.0,40.7482147216797
YR1988,2391.0,111370.0,27.9447173167678,25.4042877906977,,25000000.0,2.40778195126649,,,,,,,8.95795186633018,1038300000.0,1038300000.0,-2.04189816424886,424.325719336919,994732041.0,410.0,,62.7,164.3,44.065,52.8302276188923,2.89031493513992,2446941.0,1011109.0,41.3213653564453
YR1989,2391.0,111370.0,83.4338038789266,26.1405523255814,,,,,,,,,,3.27008939773434,786300000.0,786300000.0,-26.6684493323435,312.289255390892,1033595137.0,430.0,,62.0,168.0,43.863,52.9185720560889,2.85698670551551,2517858.0,1054126.0,41.8659858703613
YR1990,2391.0,111370.0,58.5952133194589,23.0862437707641,,,,,,,,,,-0.167333709077994,384400000.0,384400000.0,-51.0308649467486,172.867610123278,528422663.0,250.0,,61.1,170.9,37.644,52.8862909779207,-12.4250905106672,2223667.0,963629.0,43.3351173400879
YR1991,2391.0,111370.0,2.41666666666667,20.3126868770764,,25000000.0,7.18390804597701,,,,,,,5.54464950008735,348000000.0,348000000.0,-14.2252140499536,177.867006590279,478384700.0,250.0,,60.2,172.3,43.575,52.8167131608296,-12.7991272233588,1956518.0,1134780.0,58.0
YR1992,2391.0,111370.0,-4.85458612975391,21.5164140365449,,22650000.0,10.1342281879195,,,,,,,-1.06322322403601,223500000.0,223500000.0,-35.0856779208949,107.842801384441,307238500.0,150.0,,59.3,171.9,43.566,52.9129732928694,5.75704272691874,2072461.0,1169619.0,56.436256072998
YR1993,2391.0,111370.0,-33.428927680798,22.3746470099668,,30450000.0,18.9837905236908,,,,,,,7.07610747991372,160400000.0,160400000.0,-32.9753952616656,74.4272028642409,220496900.0,100.0,,58.5,169.8,43.022,53.0398686666116,3.91124005265588,2155126.0,1135909.0,52.7073282470703
YR1994,2391.0,111370.0,13.1467473524962,22.3206810631229,,39300000.0,29.7276853252648,,,,,,,5.34435624144021,132200000.0,132200000.0,-21.7623463097001,61.490431307467,181731200.0,80.0,,57.7,166.1,42.621,53.2035832819557,-0.241483731724842,2149928.0,1037484.0,48.256672454834
YR1995,2391.0,111370.0,3.41246290801187,22.5203696013289,,,,,,,,,,6.51068108696143,134800000.0,134800000.0,-4.26620499022189,62.1438140627579,185305300.0,80.0,,57.1,161.0,44.573,53.3702077968837,0.890656464561814,2169162.0,965879.0,44.5277446289062
YR1996,2391.0,111370.0,-82.892095357591,23.1757578903654,,,,,,,,,,5.46556253380952,159400000.0,159400000.0,12.1212036605122,71.4065248720036,219122200.0,100.0,,56.1,155.1,44.945,53.5098173914348,2.86865985716056,2232289.0,959081.0,42.9640007019043
YR1997,2391.0,111370.0,72.2608989523488,25.0517960963455,,,,,,,,,,-10.008826322699,295900000.0,295900000.0,106.279814466616,122.627993745516,371639900.0,160.0,,54.9,148.3,48.302,53.6283215547191,7.78387115678537,2412989.0,1038148.0,43.0233158123711
YR1998,2391.0,111370.0,52.9226918798665,27.7213870431894,,,,,,,,,,-6.66669927646055,359600000.0,359600000.0,30.2081273744464,134.675393352518,455988600.0,180.0,71.421028137207,53.2,141.0,49.367,53.7119163214735,10.1258685289522,2670124.0,1153211.0,43.189424629289
YR1999,2391.0,111370.0,58.0036215482119,29.2948920265781,,,,,,,,,,0.917752457711245,441800000.0,441800000.0,21.7414468042611,156.573166945696,466255200.0,170.0,90.1342620849609,51.4,133.4,50.412,53.7807837058976,5.52089565583152,2821684.0,1225869.0,43.4445723809339
YR2000,2391.0,111370.0,2.37986270022883,30.3998857973422,,,,,,,4.24715102974828,172004900.0,19.6801945080092,53.8122567933531,874000000.0,874000000.0,28.6159342546183,298.485340578945,772600000.0,190.0,108.483879089355,49.6,125.5,51.852,53.8388414532004,3.70256844774732,2928117.0,1281666.0,43.7710042955819
YR2001,2391.0,111370.0,0.916114790286976,31.3054194352159,,,,,,,4.18618101545254,175635300.0,19.3857947019868,0.720025735561336,906000000.0,906000000.0,2.92027476569781,300.463828598983,749500300.0,210.0,,47.6,117.5,53.109,53.885046035477,2.9352375714594,3015338.0,1331301.0,44.1509656015089
YR2002,2391.0,111370.0,0.302049622437972,32.1302117940199,14.1596470116325,,,,,,3.24309600862999,165596600.0,17.8637108953614,-1.39272821423994,927000000.0,927000000.0,3.76301761700071,299.536445539621,763200400.0,250.0,,45.5,109.5,54.061,53.9092339798464,2.60055374367034,3094782.0,1379242.0,44.566701526991
YR2003,2391.0,111370.0,49.7620320855615,32.3871677740864,10.3302881236823,,,,,,4.14903743315508,178009600.0,23.7980748663102,15.5114915940543,748000000.0,748000000.0,-30.145132727942,239.779556677091,595100100.0,180.0,,43.4,102.0,53.045,53.9066350486812,0.79655231018503,3119532.0,1403804.0,45.0004573003041
YR2004,2391.0,111370.0,8.4004160144418,32.7750415282392,7.82908704883235,4525000.0,0.504459308807135,,,,7.72698996655518,243760200.0,27.1750501672241,16.8582781254993,897000000.0,897000000.0,2.61984689477413,284.140223992458,730700200.0,210.0,,41.6,95.0,55.949,53.8737235663627,1.19050087276777,3156892.0,1434317.0,45.4344781497244
YR2005,2391.0,111370.0,8.72519614731938,34.2713351328904,10.8343588481414,6467000.0,0.685063559322034,,,,7.2181875658588,253641700.0,26.7272602739726,0.490010500603105,949000000.0,949000000.0,5.28121245309295,287.487333441381,793400200.0,240.0,,39.9,89.0,56.765,53.807231080021,4.46419976403406,3301015.0,1513549.0,45.8510093035277
YR2006,2391.0,111370.0,9.63866591009294,36.2415593853821,7.34144608278558,3900500.0,0.351713255184851,,,,7.7032618409294,339054800.0,30.2998033958892,9.13488162981633,1119000000.0,1119000000.0,8.04390997190059,320.55808618515,966999900.0,270.0,89.2062301635742,38.5,83.8,57.495,53.7117208399883,5.58972152870902,3490787.0,1613871.0,46.2322959899902
YR2007,2391.0,111370.0,9.58759370688019,38.0922965116279,11.3918966807102,2882000.0,0.214434523809524,,,,7.92931536780772,390982900.0,28.4765404224326,12.0176471387966,1373000000.0,1373000000.0,9.53527536282282,374.211308104278,1218799900.0,310.0,,37.3,79.8,58.147,53.6077940621951,4.98055607463838,3669050.0,1710162.0,46.6104850769043
YR2008,2391.0,111370.0,16.4273509506381,39.6698816445183,17.489448642993,4895000.0,0.292064439140811,,,,7.0949594438007,478547000.0,27.7257821552723,17.3263455514491,1726000000.0,1726000000.0,7.14569112811476,451.713856283285,1566400000.0,370.0,88.4250335693359,36.3,76.5,58.675,53.6015865989131,4.05801806274783,3821003.0,1800000.0,47.1080497871025
YR2009,2391.0,111370.0,7.22870048206176,40.9367524916943,7.42764305914919,6739500.0,0.381841359773371,,,,5.00973981900453,653355800.0,36.9545135746606,-2.72284314110513,1768000000.0,1768000000.0,5.30054050291531,448.386367025545,1623399900.0,410.0,95.9832763671875,35.4,73.8,59.106,53.6348021919705,3.14360024630264,3943028.0,1877848.0,47.6245255922562
YR2010,2391.0,111370.0,103.337387099033,42.1396387043189,7.28992796890218,8982000.0,0.456866734486267,,,,4.99961461461461,1049554070.0,52.5302337337337,6.51200368905668,1998000000.0,1998000000.0,6.09982524004147,492.252808033724,1818599900.0,440.0,,34.8,71.7,59.358,53.6525256905213,2.89605811562763,4058890.0,1953980.0,48.1407517057907
YR2011,2391.0,111370.0,86.9894467611897,43.8245224252492,8.488167518494,12540500.0,0.535918803418803,,,,8.30011676396997,1183829210.0,49.3673565471226,10.9234453589782,2398000000.0,2398000000.0,8.20076822497064,568.087865520004,2273155200.0,500.0,100.745734764563,34.4,69.9,59.486,54.0719374932853,3.92046987945605,4221178.0,2053955.0,48.6583302770849
YR2012,2391.0,111370.0,82.7471577822006,45.4011939368771,6.83178703418548,15179000.0,0.567439252336449,,,,14.5889259761557,964700900.0,34.5571020921947,7.79715716365929,2791614000.0,2791614000.0,7.99381444555367,638.368751462083,2529644000.0,540.0,,34.2,68.3,59.785,54.3794613522596,3.53448694358844,4373043.0,2150546.0,49.1773247639526
YR2013,2391.0,111370.0,62.9068538615833,46.4102886212625,7.577306817414,15111500.0,0.496435611038108,,,,19.5182541497806,1168466000.0,36.7766177374964,4.71530813283255,3177198100.0,3177198100.0,8.68728781639683,710.744570927863,2875704600.0,610.0,52.1977055032725,34.1,67.0,59.992,54.3063418204644,2.19827693086756,4470239.0,2221610.0,49.6977986242077
YR2014,2391.0,111370.0,15.558740639735,47.3867628737542,9.86111285574904,14531000.0,0.470258899676375,,,,18.554810004303,1313722900.0,40.7273599259933,0.817921326764434,3225652000.0,3225652000.0,0.701393100287518,706.714490064507,2892652000.0,620.0,92.5530201850852,34.1,68.0,59.21,54.317124873762,2.08217532534285,4564293.0,2292180.0,50.2198153156642
YR2015,2391.0,111370.0,7.21023781604438,48.3744912790698,7.74869687621322,14799000.0,0.478622250970246,,,,16.8248454785241,1436445300.0,44.5122901827187,0.062713425558087,3227075700.0,3227075700.0,-0.0185649695590939,692.590082351257,2947075700.0,620.0,89.990046454263,34.0,65.1,59.248,54.4159576566323,2.06297096669961,4659431.0,2364355.0,50.7434382961363
YR2016,2391.0,111370.0,9.1719033259717,49.3730066445183,8.83424868336488,14712000.0,0.451842751842752,,,,13.7704420019235,1564615800.0,46.0395120131722,6.97295697153928,3398419600.0,3398419600.0,-1.5549586174878,714.613063145659,3117419600.0,610.0,83.8891158492465,33.9,64.2,60.483,54.550690469021,2.04312155500225,4755608.0,2438140.0,51.2687310234384
YR2017,2391.0,111370.0,7.30948578439651,50.3418293189369,12.4196323907138,13335500.0,0.4015507377296,,,,15.4416514284322,1501695900.0,44.2886245963006,-2.61793415299387,3390703400.0,3390703400.0,2.45515592012239,699.269095727404,3087813500.0,620.0,79.5952338903314,33.8,63.7,60.777,54.6785684124387,1.94324776688719,4848925.0,2511537.0,51.7957569553849
YR2018,2391.0,111370.0,3.77268493884788,51.3364410299003,23.5635148953742,13229000.0,0.405300245098039,,,,16.9238649522893,1469640300.0,42.9373526844517,-0.209872797387817,3422754800.0,3422754800.0,1.15757512207355,692.203127129794,2985754800.0,620.0,,33.7,63.4,60.999,54.8464060495971,1.95645231379837,4944726.0,2587307.0,52.3245795497906
YR2019,2391.0,111370.0,2.61121194879185,52.3642130398671,26.9662760197878,12901000.0,0.418863636363636,,,,16.9896070200098,1372694800.0,41.3512545877187,-0.560426634044902,3319596500.0,3319596500.0,-2.46729763532686,658.164180770507,2965834700.0,600.0,,33.5,63.3,61.232,55.0727285542488,1.98225492944197,5043721.0,2665872.0,52.85526226447
