Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,1990000.0,1.592,,,,,,,,401644248.9423,143444432.0,,269.038073094669,135199154.0,,,,194.0,40.752,52.0884994875711,,1492890.0,347367.0,23.2680672317826
YR1961,56.0,1759540.0,,0.884150971276584,,2560000.0,1.85507246376812,,,,,,,0.569889386613113,443905612.037755,158537782.0,9.89580391901764,285.341580882777,148865903.0,,,,182.3,42.362,51.5946363677561,4.12111236306,1555699.0,366235.0,23.5415174725755
YR1962,56.0,1759540.0,,0.921809109198995,,5960000.0,3.10416666666667,,,,,,,5.3446038203175,619725784.909686,221330726.0,32.5246410009676,382.084505727445,208163778.0,350.0,,,171.4,44.075,51.0923820562776,4.17103321634044,1621960.0,386899.0,23.8538177111532
YR1963,56.0,1759540.0,,0.96073803380429,,6670000.0,2.40794223826715,,,,,,,6.6413405190743,892327910.668836,318688667.0,35.0203767261421,527.861939504427,297957738.0,470.0,,,160.6,45.584,50.5627914336799,4.13636121041533,1690457.0,409157.0,24.2039511100692
YR1964,56.0,1759540.0,,0.996675835729793,,7670000.0,1.84375,,,,,,,3.6214489060585,1341395421.44183,479069985.0,45.0716938128605,764.898389420845,381200587.0,590.0,,,150.6,47.652,50.1141877331867,3.67238030924911,1753691.0,431015.0,24.5776029112969
YR1965,56.0,1759540.0,,1.02527649271969,11.4249999996678,10400000.0,1.85714285714286,,,,,,,5.00275311569196,1804979680.40813,644635858.0,28.1488789645187,1000.53474079103,539779830.0,820.0,,,141.1,49.278,49.2307159308542,2.82920267884131,1804015.0,463385.0,25.6863211852176
YR1966,56.0,1759540.0,,1.05087863873512,12.2429137683409,20900000.0,2.91492329149233,,,,,,,8.02938109244052,2312438535.82459,825871236.0,18.5921637345644,1250.60018821673,691356854.0,1010.0,,,131.7,50.946,47.942837009113,2.46642878344011,1849063.0,521660.0,28.2121451136458
YR1967,56.0,1759540.0,,1.07880411925844,7.29610874230891,28400000.0,3.36094674556213,,,,,,,6.13518178314088,2726986912.80523,973924287.0,11.1100869677181,1436.61803256942,843385238.0,1200.0,,,122.8,52.462,46.9106118719344,2.62265176030982,1898199.0,604235.0,31.8320327764143
YR1968,56.0,1759540.0,,1.10982472691726,0.391231447309205,34100000.0,2.85594639865997,,,,,,,5.48347649914098,3850623094.95076,1375223084.0,33.8639151717893,1971.86632548697,1139648607.0,1610.0,,,114.4,53.849,46.1949394222906,2.8348968531033,1952781.0,706971.0,36.2032778713434
YR1969,56.0,1759540.0,,1.14478386396445,9.78597055547384,51100000.0,3.76288659793814,,,,,,,0.606235009802575,4380987481.20501,1564639012.0,13.0878908208299,2174.95045716041,1349958475.0,1930.0,,,106.6,55.173,45.8287483924264,3.10137549132728,2014293.0,825521.0,40.9831740962536
