Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,89.2,57.865,49.0811196137624,,92585.0,18773.0,20.2760166627749
YR1961,2301.0,620.0,,153.262295081967,,,,,,,,,,,,,,,,,,,86.4,59.095,48.0187826570614,0.972733721344508,93490.0,19100.0,20.4303091589622
YR1962,2301.0,620.0,,154.926229508197,,,,,,,,,,,,,,,,,,,83.2,59.877,47.1551769747632,1.07982644496954,94505.0,19451.0,20.5821936383701
YR1963,2301.0,620.0,,156.588524590164,,,,,,,,,,,,,,,,,,,79.8,60.538,46.4659048675925,1.06724374248466,95519.0,19806.0,20.7350274625006
YR1964,2301.0,620.0,,158.204918032787,,,,,,,,,,,,,,,,,,,76.1,61.339,45.9090202580177,1.02696398964051,96505.0,20162.0,20.8918767146077
YR1965,2301.0,620.0,,159.824590163934,,,,,,,,,,,,,,,,,,,72.2,61.924,45.4645229120189,1.01857600804602,97493.0,20528.0,21.0558074779451
YR1966,2301.0,620.0,,161.414754098361,2.47900839657731,,,,,,,,,,,,,,,,,,68.2,62.533,45.5244836919264,0.990026253732732,98463.0,20904.0,21.2298858357668
YR1967,2301.0,620.0,,163.12131147541,3.20717908718529,,,,,,,,,,,,,,,,,,64.1,63.161,45.8702872734399,1.05170012695748,99504.0,21311.0,21.4171778713264
YR1968,2301.0,620.0,,165.040983606557,3.96945410534389,,,,,,,,,,,,,,,,,,60.1,63.749,45.9193150269927,1.16996623759844,100675.0,21767.0,21.6207496678778
YR1969,2301.0,620.0,,167.014754098361,2.25438149968916,,,,,,,,,,,,,,,,,,56.1,64.026,45.7339307711561,1.18883278563869,101879.0,22254.0,21.8436673086749
YR1970,2301.0,620.0,,169.122950819672,13.3987625348182,,,,,,,,,,,,,,,,,,52.2,64.29,45.4337490124994,1.25438136432885,103165.0,22792.0,22.0930377744035
YR1971,2301.0,620.0,,171.416393442623,8.3913452492058,,,,,,,,,,,,,,,,94.4118423461914,,48.5,64.492,45.2088922042587,1.34696758941029,104564.0,23421.0,22.3988861537292
