Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,,70.8882195121951,63.181831963858,,16451.0,3363.0,20.4396544804587
YR1961,,160.0,,105.48125,,,,,,,,,,,,,,,,,,,,70.9554390243902,63.2877606097452,2.55654826170639,16877.0,3446.0,20.420605474338
YR1962,,160.0,,109.01875,,,,,,,,,,,,,,,,,,,,70.8495853658537,63.4661031667921,3.29866737816506,17443.0,3542.0,20.3055159614396
YR1963,,160.0,,113.08125,,,,,,,,,,,,,,,,,,,,70.9008536585366,63.6751412429379,3.65867011009615,18093.0,3638.0,20.1074502911318
YR1964,,160.0,,117.21875,,,,,,,,,,,,,,,,,,,,71.0428048780488,63.8650830830279,3.59352603968912,18755.0,3723.0,19.8501040130191
YR1965,,160.0,,119.96875,,,,,,,,,,,,,,,,,,,,71.2156585365854,63.9860233839538,2.31894449189104,19195.0,3754.0,19.5571726767058
YR1966,,160.0,,122.5625,,,,,,,,,,,,,,,,,,,,71.6317804878049,64.0931501101437,2.13898117554939,19610.0,3775.0,19.2523518317963
YR1967,,160.0,,126.09375,,,,,,,,,,,,,,,,,,,,72.0426341463415,64.2247110565613,2.84045739477576,20175.0,3825.0,18.9593370278949
YR1968,,160.0,,130.21875,,,,,,,,,,,,,,,,,,,,72.3931219512195,64.233958317771,3.21900507184043,20835.0,3897.0,18.7018238146061
YR1969,,160.0,,131.775,,,,,,,,,,,,,,,,,,,,72.6079024390244,64.1523615556202,1.18801941185437,21084.0,3901.0,18.5035077415342
YR1970,,160.0,,132.125,,,,,,,,,,,90099360.8433666,394000000.0,,4262.03220640334,387271000.0,,,,,72.8831951219512,64.1402795185282,0.265252144913112,21140.0,3888.0,18.3924334400423
YR1971,,160.0,,135.0,,,,,,,,,,8.2437051827085,104889795.333846,433599100.0,1.66922206623059,4856.0090432336,426193800.0,,,,,73.0916829268293,64.2284893952024,2.15263342480278,21600.0,3966.0,18.3598255507924
YR1972,,160.0,,138.325,,,,,,,,,,8.24372589275724,124940289.32382,477178200.0,1.6692195289189,5645.23266418851,469028600.0,5130.0,,,,73.4018048780488,64.5106286233943,2.43312103457439,22132.0,4060.0,18.3458722192724
YR1973,,160.0,,142.40625,,,,,,,,,,8.24371114019915,165928881.55552,525137200.0,1.6692256792973,7282.37355960148,516168500.0,6430.0,,,,73.6489512195122,64.8903871054159,2.90778996799825,22785.0,4178.0,18.3356013098623
YR1974,,160.0,,146.56875,,,,,,,,,,8.24370709171764,193980464.882101,577916300.0,1.66922246260894,8271.73531542796,568046200.0,8050.0,,,,73.9874390243903,65.1967985966451,2.88107131904572,23451.0,4298.0,18.3279490119914
YR1975,,160.0,,149.0375,,,,,,,,,,8.2436997153211,246389101.853613,636000000.0,1.66923225070657,10332.5128681378,625137900.0,9980.0,,,,74.2641951219512,65.5307684017674,1.67033504776372,23846.0,4369.0,18.3218515150889
YR1976,,160.0,,150.3625,,,,,,,,,,2.23042512371055,272489300.467827,681125700.0,4.75867210711398,11326.3488431219,669492900.0,11130.0,,,,74.4749512195122,65.9197863229745,0.885109318794072,24058.0,4407.0,18.3162450085841
YR1977,,160.0,,152.7625,,,,,,,,,,2.23043780662513,303493119.480763,729453300.0,4.75867708458514,12416.8693020523,716995100.0,12370.0,,,,74.6583170731707,66.2912208247294,1.58353824439279,24442.0,4475.0,18.3100656819063
YR1978,,160.0,,156.425,,,,,,,,,,2.23041630949865,436912067.784287,781209700.0,4.75867684230937,17456.9309487089,767867600.0,14730.0,,,,74.5905609756098,66.748808937079,2.36922341203083,25028.0,4581.0,18.3022497244848
YR1979,,160.0,,159.84375,,,,,,,,,,2.2304415869109,503173104.391887,836638500.0,4.75867142807277,19674.4126839447,822349700.0,18430.0,,,,74.6135609756098,67.2228626903707,2.16201137015731,25575.0,4678.0,18.2917333257488
YR1980,,160.0,,159.45,,,,,,,,,,2.230427607572,534699362.896161,896000000.0,4.75867251061639,20958.7395302666,880697400.0,22930.0,,,,74.6580975609756,67.74945694414,-0.246638212993366,25512.0,4663.0,18.2781897387842
YR1981,,160.0,,160.45625,,,,,,,,,,7.01270900324123,511647750.124475,1005000000.0,4.81482023600704,19929.4102802351,987835800.0,23110.0,,,,74.8312195121951,68.2304656049329,0.629092628599556,25673.0,4685.0,18.2505045658245
YR1982,,160.0,,164.09375,,,,,,,,,,7.17686350251816,522096760.291094,1060000000.0,-1.59010688585576,19885.6126562976,1041896500.0,20540.0,,,,74.9551707317073,68.6133787286726,2.24165910960706,26255.0,4773.0,18.178841120986
YR1983,,160.0,,165.2875,,,,,,,,,,3.21765465492794,524023624.89055,1100000000.0,0.538599963921854,19814.8538489961,1081213300.0,19020.0,,,,75.6130487804878,69.0919485469271,0.724847104480866,26446.0,4778.0,18.0669795458188
YR1984,,160.0,,166.225,,,,,,,,,,2.95143691854962,502620991.852944,1181000000.0,4.28570943461186,18898.3678693391,1160829900.0,19330.0,,,,76.0926341463415,69.5791786378232,0.565591040557742,26596.0,4767.0,17.9239911919501
YR1985,,160.0,,167.9875,,,,,,,,,,2.85520121349667,529073612.453579,1300000000.0,7.02055443563529,19684.2626852288,1277797600.0,20030.0,,,,76.6388048780488,70.0149952792639,1.05472795846639,26878.0,4773.0,17.7589474110067
YR1986,,160.0,,170.2375,,,,,,,,,,3.69822480831714,779357802.50006,1402000000.0,4.00000004388119,28612.8865004795,1378055500.0,23130.0,,,,77.1143170731708,70.2873940987438,1.33049490218932,27238.0,4789.0,17.5809195546159
YR1987,,160.0,,172.23125,,,,,,,,,,2.51954068651507,1052848995.97101,1570000000.0,9.23076795685181,38206.2269467289,1543186300.0,31480.0,,,,77.614756097561,70.4546273280738,1.16435296629896,27557.0,4795.0,17.3989789744046
YR1988,,160.0,,174.675,,,,,,,,,,2.50531223225421,1161757671.01756,1700000000.0,5.63379830669763,41568.5441182755,1670966000.0,41760.0,,,,77.8447317073171,70.6545874411582,1.40890538804493,27948.0,4813.0,17.2221970219999
YR1989,,160.0,,176.98125,,,,,,,,,,3.14382399738243,1119983801.21338,1832209500.0,4.49198530248391,39551.6404002324,1800917500.0,43830.0,,,,78.1208536585366,70.8099677555026,1.31166903207128,28317.0,4831.0,17.0596450490288
YR1990,,160.0,,179.6375,,,,,,,,,,5.40244440000993,1421509216.37424,1974700900.0,2.25287099550282,49457.5609343203,1940975400.0,45550.0,,,,78.3315365853659,70.9649502379922,1.48971366411381,28742.0,4864.0,16.9214495973985
YR1991,,160.0,,182.55625,,,,,,,,,,5.87012986174227,1484160302.14952,2128274000.0,1.80117005853981,50811.7464531317,2091925600.0,47500.0,,,,78.4712926829268,71.0111515275714,1.61174133104902,29209.0,4911.0,16.8123611423634
YR1992,,160.0,,185.16875,,,,,,,,,,4.02355414884856,1631177029.45063,2293790500.0,3.60829384387156,55057.1110625654,2254615300.0,54210.0,,,,78.4636585365854,70.9405016232947,1.42092267625387,29627.0,4956.0,16.7281990656039
