Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,-1.54467680609201,79300000.0,1.18305236461286,191423445.378151,7034331454.0,62.8658933094919,20.687159082104,3168172098.0,47.2086439874832,,1409873949.57983,6711000000.0,,145.928701305768,6694619600.0,,,39.9,57.1,60.602,54.81356769715,,9661389.0,1695901.0,17.5533825543367
YR1961,1712.0,65610.0,,157.859543932387,1.1344436397999,81350000.0,1.18327272727273,193072412.605042,7084458583.0,56.0229732218182,20.55453456,3199315713.0,46.53550128,,1444327731.09244,6875000000.0,,145.900945139998,6697446900.0,,,38.9,55.2,61.158,54.9533568920656,2.43338940773861,9899372.0,1783424.0,18.0155308751702
YR1962,1712.0,65610.0,,161.756561951842,1.50357995251549,75475000.0,1.08285509325681,198110645.26749,7140207257.0,56.9939692539455,21.0862170157819,3333141853.0,47.8212604447633,-2.34660744506223,1434156378.60082,6970000000.0,3.81801955808436,141.383197837884,6992409600.0,,,38.2,54.3,61.627,55.1623716013998,2.43868258271047,10143754.0,1872608.0,18.4606989280411
YR1963,1712.0,65610.0,,165.763674055175,2.27290539996214,66275000.0,0.897791926307234,169771677.142857,7686127618.0,53.2493792197237,20.6927667976158,3466402042.0,46.9574917637497,3.31096996147278,1240672268.90756,7382000000.0,2.51674859433071,119.352332353465,7281718300.0,140.0,,37.7,54.0,62.031,55.3858357151986,2.44706226942492,10395040.0,1961607.0,18.8706034571545
YR1964,1712.0,65610.0,,169.88354329453,3.19564717604592,66375000.0,0.851725907866034,181510184.87395,8071381729.0,51.3372618247145,20.3913657898114,3791003100.0,48.6462607468241,1.5987104542955,1309747899.15966,7793000000.0,3.90643383678592,122.941808998544,7774579700.0,130.0,,37.1,53.6,62.376,55.5420752433273,2.45500391259614,10653397.0,2057374.0,19.3119033650933
YR1965,1712.0,65610.0,,174.086509328656,0.222783306254021,68925000.0,0.852610094012865,243067226.890756,8246318000.0,51.3978228599703,21.5525265462642,4032508299.0,49.8825865784265,1.16754671114469,1698319327.73109,8084000000.0,2.5369535357154,155.566984755479,8013000000.0,130.0,,36.4,52.9,62.793,55.648449713288,2.44391928516342,10916965.0,2165686.0,19.8378040937703
YR1966,1712.0,65610.0,,178.343613458778,-0.155601659973846,72775000.0,0.872915916996522,243277310.92437,8610712000.0,48.2187837351565,20.3183267122466,4251788334.0,50.9990204390068,-1.80354437387193,1751470588.23529,8337000000.0,5.0237894383188,156.606032177183,8333000000.0,150.0,,35.7,51.8,63.156,55.7769034378215,2.41597464184751,11183928.0,2282325.0,20.4071896667004
YR1967,1712.0,65610.0,,182.703364694626,2.18923933203517,76375000.0,0.845136660396149,255144032.921811,9390620000.0,43.7645236250968,19.9937191767179,4512088160.0,49.9290490206927,1.8388755588425,1859465020.57613,9037000000.0,6.43902442038787,162.294823066611,9018000000.0,170.0,,35.0,50.7,63.556,55.9239878650595,2.41517775850964,11457328.0,2403523.0,20.9780408678962
YR1968,1712.0,65610.0,,187.148588741827,5.86056644898579,85150000.0,0.79453205188019,236660736.134454,11129454871.0,44.2101334297444,21.4572284754618,5028341996.0,46.9149281209181,12.0983735353411,1801344537.81513,10718000000.0,5.80109416633509,153.48764748655,10539000000.0,170.0,,34.2,49.6,63.869,56.0818604972969,2.40390138208222,11736088.0,2524238.0,21.5083384813705
YR1969,1712.0,65610.0,,191.5780258332,7.45695273372576,94425000.0,0.807396323215049,247226890.756303,12466293000.0,43.0098332620778,23.2755748353997,5543572904.0,47.4012219238991,1.2984852011726,1965546218.48739,11695000000.0,7.71681966188686,163.60657987529,11624000000.0,170.0,,33.3,48.8,64.138,56.2641058461031,2.33922777058424,12013858.0,2637770.0,21.9560632911361
YR1970,1712.0,65610.0,-0.0130635245901639,195.935416998884,5.86695607765968,125250000.0,0.916642271662763,272773109.243697,14410620000.0,54.0544496487119,24.1812630342506,6429040215.0,47.0509383416276,12.5084703962389,2296470588.23529,13664000000.0,3.84662985663837,186.900791824546,12746000000.0,170.0,104.458106994629,32.3,48.3,64.352,56.4603027074715,2.24899285825847,12287110.0,2737469.0,22.2791960812058
YR1971,1712.0,65610.0,0.0126619217081851,200.158029022484,2.66538020859991,191450000.0,1.3626334519573,297470489.038786,14633940000.0,51.2241992882562,25.0724245907473,6660208636.0,47.4036201850534,1.49845269631929,2369308600.33727,14050000000.0,1.30690539651886,188.760802167739,12798000000.0,170.0,105.430397033691,31.1,48.0,64.24,56.6688535848329,2.13220998361039,12551910.0,2815764.0,22.432952322804
YR1972,1712.0,65610.0,0.0117465730963468,204.26096316377,6.34948605013613,,,317755443.886097,15883060000.0,46.2254869810454,24.5598843510199,7425505227.0,48.7014181609497,8.9668600238453,2553936348.40871,15247000000.0,-0.410479911058076,199.38289288123,14042000000.0,190.0,95.1142272949219,29.9,47.7,64.625,56.9152261986595,2.02912078599148,12809205.0,2873825.0,22.4356202327961
YR1973,1712.0,65610.0,0.0173875244512063,208.274852495615,9.62664310171122,161000000.0,0.874809823951315,315000000.0,18222400000.0,49.907628776353,25.7291496033471,8576574614.0,46.6016877526625,12.748594492614,2875625000.0,18404000000.0,7.05739893467769,220.170239208337,16784000000.0,210.0,92.3668670654297,28.6,47.3,64.785,57.2252359635419,1.94602061213073,13060916.0,2925445.0,22.3984635027226
YR1974,1712.0,65610.0,0.0391653667704346,212.178169350981,12.3028867952472,189000000.0,0.795086449875899,412481203.007519,24120300000.0,60.329813638467,25.3417767195322,9776894407.0,41.129504046948,24.378742627687,3574586466.16541,23771000000.0,3.84583083633434,268.650905004753,21482000000.0,250.0,86.8790893554688,27.4,46.5,64.966,57.5917842084587,1.8567729541151,13305693.0,2971817.0,22.3349262088303
YR1975,1712.0,65610.0,0.0037641733391278,216.057789826184,6.62599255320979,213570000.0,0.803589569928886,353780313.837375,26316880000.0,62.4487338676299,26.6875633291944,11338546714.0,42.6630045302329,5.35029466940327,3791298145.50642,26577000000.0,6.12623316072201,279.82158260032,23619000000.0,280.0,83.769401550293,26.3,45.2,65.355,57.9628796507133,1.81195742093226,13548984.0,3014473.0,22.2487000824801
YR1976,1712.0,65610.0,2.78449160679403e-05,220.009089459416,1.3295186805823,199110000.0,0.659239148428964,359215219.976219,30269420000.0,60.4277720756216,27.3774401979936,13078485252.0,43.3019410389696,9.97557315176998,3591319857.31272,30203000000.0,3.33510669179992,260.301495010261,25704000000.0,260.0,83.1721115112305,25.4,43.4,65.84,58.2888262357358,1.81229438316652,13796770.0,3055085.0,22.1434768550332
YR1977,1712.0,65610.0,-0.0296884971590161,224.037171105087,1.22487958802845,249160000.0,0.684373884143159,351521984.21646,35282520000.0,63.9712143269151,28.9434923256517,14591446649.0,40.0786844535392,14.691083615889,4104509582.86359,36407000000.0,5.10059026388485,292.148992496788,31256000000.0,260.0,87.8018798828125,24.8,41.0,66.391,58.5686270734602,1.81431192980305,14049371.0,3094086.0,22.0229482578506
YR1978,1712.0,65610.0,0.053944134412781,228.195311752512,12.141597276466,342600000.0,0.803000117192078,259000640.61499,44082420000.0,74.3161842259463,27.5348972202039,17782736644.0,41.6799171311379,10.9178858054526,2733183856.50224,42665000000.0,5.65383685776763,190.996464636951,39045000000.0,240.0,110.7470703125,24.5,38.3,66.844,58.7987542808841,1.83899122278722,14310128.0,3132602.0,21.8908060222932
YR1979,1712.0,65610.0,1.3942692352575,232.492648700367,10.731921430873,437150000.0,0.834462748391777,308156711.62492,56929820000.0,79.4643709317197,28.5258037547483,23174906869.0,44.2378965563976,15.3972960658955,3364611432.24149,52387000000.0,6.40355692592513,230.775069370251,52291000000.0,270.0,114.039398193359,24.4,35.7,67.514,58.9765819588914,1.86567132850764,14579614.0,3171174.0,21.7507418797223
YR1980,1712.0,65610.0,1.06868442099929,236.77202997927,26.1454101014465,509450000.0,0.765779307649526,343920145.190563,77104810000.0,87.0173012461106,29.9249109774979,28112382084.0,42.257101754175,19.9775120060433,4024621899.57653,66527000000.0,5.84602651617143,271.055290073685,67230000000.0,280.0,118.747581481934,23.4,33.2,68.006,59.1300671728008,1.82391733574432,14847974.0,3208120.0,21.6064475614988
YR1981,1712.0,65610.0,1.11563163647885,240.781597831287,17.9689954960101,532810000.0,0.62679842362214,327792207.792208,92382650000.0,76.9954708546556,28.2529601176401,37219820782.0,43.7854488347744,20.8853013323643,4415844155.84416,85005000000.0,5.69952476661454,292.45135975768,84540000000.0,310.0,121.987327575684,21.0,30.8,68.38,59.2540710520289,1.67925101560856,15099414.0,3239587.0,21.4550510669985
YR1982,1712.0,65610.0,1.3329993952062,243.766018178919,10.8257491675687,540590000.0,0.544740925855015,396059586.737146,111585800000.0,73.6139382091537,26.5174036477962,46525896580.0,46.8831461536911,12.1010603605335,4768765016.81884,99238000000.0,4.14149570229377,311.957878889278,100258000000.0,320.0,122.484039306641,18.3,28.7,68.665,59.3573639078884,1.2318533776583,15286567.0,3249923.0,21.2599901402247
YR1983,1712.0,65610.0,0.731028082171103,245.396172859193,13.9643880065001,1081200000.0,0.889137424856704,420271993.20017,134118910000.0,67.7601335515333,26.5398441657552,54701132268.0,44.9841138378796,16.9068302725532,5167913302.16745,121601000000.0,4.81399096956454,335.823151714647,120979000000.0,320.0,122.336380004883,16.9,26.6,68.726,59.4592253473786,0.666511330978769,15388794.0,3231542.0,20.9993175577374
YR1984,1712.0,65610.0,0.539629797470405,246.242385584436,16.6382537479217,1418200000.0,0.922430502256969,469143081.761006,164132000000.0,63.5476695328659,26.4969513275142,68642342698.0,44.6465876822812,20.3005158881179,6043474842.76729,153746000000.0,5.09914655789932,391.369617569858,149357000000.0,340.0,123.063041687012,16.6,24.3,68.761,59.5528861015735,0.344242145520742,15441860.0,3194050.0,20.6843591593567
YR1985,1712.0,65610.0,0.437605602559793,247.873608674853,1.48118012235429,5132300000.0,3.16076982294072,611156111.929308,173912600000.0,63.9772132409546,26.5476366682063,73709957642.0,45.3948930820631,0.583905559480783,5978460972.01767,162375000000.0,4.99940636872589,384.611537689196,161694000000.0,380.0,123.749282836914,16.8,22.1,68.881,59.7940730577577,0.660261572342523,15544154.0,3159024.0,20.3229060427251
