Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,5739997.70400092,31300000.0,50.2024291497976,,1618400.0,6.55222672064777,,34579986.1680055,24700000.0,,46.9517802688466,,,,63.0,138.4,50.171,50.3731839782756,,736500.0,26944.0,3.65841406461029
YR1961,788.0,30360.0,,24.9942028985507,,,,7559996.97600121,33900000.0,58.0392156862745,,1399300.0,5.48745098039216,1.3489167049038,35699985.7200057,25500000.0,1.86479515845272,47.0464636332084,,,,63.2,138.9,50.275,50.3506083097003,2.98606305457089,758824.0,32191.0,4.24218196844057
YR1962,788.0,30360.0,,25.7514492753623,,,,7979996.80800128,39900000.0,62.2073578595318,,1432700.0,4.79163879598662,1.66743897610179,41859983.2560067,29900000.0,15.331814336689,53.5421254364935,,,,63.6,140.1,50.307,50.3750569988149,2.98469941433202,781814.0,37960.0,4.85539105687054
YR1963,788.0,30360.0,,26.5274374176548,,,,7979996.80800128,45700000.0,65.7738095238095,2.36517857142857,2454800.0,7.30595238095238,1.59066208702379,47039981.1840075,33600000.0,10.61506995942,58.4076957931387,,,,64.0,141.9,50.26,50.5158479362978,2.9688663548783,805373.0,44075.0,5.47257375763996
YR1964,788.0,30360.0,,27.3200592885375,,,,7979996.80800128,49800000.0,64.9595687331536,3.67196765498652,2621700.0,7.06657681940701,2.00048603963722,51939979.2240083,37100000.0,8.25111816012223,62.6207647163176,,,,64.4,143.7,50.307,50.8271875983348,2.94416332386141,829437.0,50332.0,6.06826249848857
YR1965,788.0,30360.0,,28.1320816864295,,,,9659996.13600155,54000000.0,68.8775510204082,5.21301020408163,4276300.0,10.9089285714286,3.43233567368981,54879978.0480088,39200000.0,2.15410555150743,64.255497720391,,,,64.5,145.1,50.326,50.9905577811225,2.92894172735619,854090.0,56515.0,6.61698970715613
YR1966,788.0,30360.0,,29.0471014492754,,,,7139997.14400114,59000000.0,67.4074074074074,6.72765432098765,13556800.0,33.4735802469136,3.73700225815232,56699977.3200091,40500000.0,-0.405521384253262,64.2951651830872,51300000.0,80.0,,64.5,145.9,50.377,50.9262991859907,3.20080782005574,881870.0,62631.0,7.10204280897603
YR1967,788.0,30360.0,,30.1048089591568,,,,9519996.19200152,61230000.0,68.7455705173636,11.8008504606662,15645900.0,36.9617292700213,-5.76451552837381,59261976.2952095,42330000.0,10.9120615281481,64.8393253862871,52930000.0,90.0,,64.2,145.9,50.513,51.0689209038466,3.57662247527297,913982.0,69370.0,7.5899025441981
YR1968,788.0,30360.0,,31.2287549407115,,,,8679996.52800139,62790000.0,67.2134882661199,10.3465481886535,16768400.0,38.2055137844612,4.06738176268901,61445975.4216098,43890000.0,-0.367120035797669,64.809251529746,55590000.0,80.0,,63.5,145.2,50.791,51.4533999153047,3.66543780093525,948105.0,77019.0,8.12344466915734
YR1969,788.0,30360.0,,32.3847826086957,,,,8539996.58400137,65020000.0,65.1528013582343,11.3240662139219,18213100.0,38.6525891341256,5.7232020251156,65967973.6128106,47120000.0,1.54753668338866,67.0950360280091,59620000.0,80.0,,62.7,143.9,51.117,51.9107203246534,3.63493368085685,983202.0,85296.0,8.67535094591858
YR1970,788.0,30360.0,,33.5728919631094,,,,5599997.7600009,67100000.0,61.0997963340122,10.1737270875764,18132600.0,36.9299389002037,1.9818205402252,68739972.504011,49100000.0,2.17707116764228,67.4401975761263,63200000.0,90.0,90.076301574707,61.5,141.8,51.501,52.4123823609486,3.60303146328514,1019273.0,94013.0,9.22348907359089
YR1971,788.0,30360.0,,34.7907114624506,,,,8389062.34052043,77700000.0,67.6416819012797,10.1698354661792,29451700.0,53.8422303473492,5.98549623537153,76480285.0044113,54700000.0,5.11371769989597,72.4076446248424,70200000.0,90.0,86.157356262207,60.4,139.5,51.845,52.9303779611947,3.56314846252317,1056246.0,102939.0,9.74572675128337
YR1972,788.0,30360.0,,36.0363306982872,,,,10406842.4989431,95200000.0,85.2090032154341,10.9512861736334,23438900.0,37.6831189710611,13.9421219323893,80913200.4292822,62200000.0,-0.202708350280261,73.9566189783241,82900000.0,100.0,86.8352127075195,59.1,137.2,52.256,53.4420778328122,3.51771764791982,1094063.0,111812.0,10.2199316781051
YR1973,788.0,30360.0,,37.308860342556,,,,11528058.5740656,129100000.0,82.0451843043995,11.2043995243757,22124500.0,26.307372175981,6.96501754008038,121188715.759865,84100000.0,26.4048810769096,106.991292251913,113800000.0,140.0,90.4511032104492,57.7,134.6,52.62,53.9248156942305,3.47032255031086,1132697.0,120337.0,10.6239715531652
YR1974,788.0,30360.0,,38.6172595520422,13.4228345165924,,,16188921.7736583,167500000.0,90.7317073170732,12.5158048780488,35292500.0,34.4317073170732,9.82034432345058,150851316.52727,102500000.0,10.9800889492213,128.666618214693,162600000.0,210.0,103.097587585449,56.0,131.6,52.941,54.3485696252196,3.44684740511864,1172420.0,128212.0,10.9357140755726
