Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,40.5,69.8473170731707,64.9549338240353,,2778550.0,1104780.0,39.7610321044922
YR1961,,65300.0,,,,,,,,,,,,,,,,,,,,,36.2,70.1026829268293,64.5900934669488,1.60657495946158,2823550.0,1148280.0,40.6679420471191
YR1962,,65300.0,,,,,,,,,,,,,,,,,,,,,32.8,69.0953658536585,64.3043732201446,1.3997309541126,2863350.0,1188879.0,41.5205688476562
YR1963,,65300.0,,,,,,,,,,,,,,,,,,,,,29.8,70.2043902439024,64.0699885717132,1.23563344312338,2898950.0,1229779.0,42.4215240478516
YR1964,,65300.0,,,,,,,,,,,,,,,,,,,,,27.2,71.5090243902439,63.9105431680787,1.2426991594818,2935200.0,1273900.0,43.4007911682129
YR1965,,65300.0,,,,,,,,,,,,,,,,,,,,,25.3,71.3251219512195,63.7449298333621,1.22744551054822,2971450.0,1319678.0,44.4119110107422
YR1966,,65300.0,,,,,,,,,,,,,,,,,,,,,23.8,71.520243902439,63.5434549955222,1.22419791254519,3008050.0,1367177.0,45.4506149291992
YR1967,,65300.0,,,,,,,,,,,,,,,,,,,,,22.4,71.6039024390244,63.3556183117885,1.201180912123,3044400.0,1417300.0,46.554328918457
YR1968,,65300.0,,,,,,,,,,,,,,,,,,,,,21.0,71.3136585365854,63.103239768678,1.12523132285999,3078850.0,1471076.0,47.7800521850586
YR1969,,65300.0,,,,,,,,,,,,,,,,,,,,,19.6,70.9285365853659,62.8981032051903,0.920478952952093,3107321.0,1532889.0,49.3315353393555
YR1970,,65300.0,,,,,,,,,,,,,,,,,,,,,18.3,70.8043902439024,62.831215687375,1.03628102597155,3139689.0,1589891.0,50.6384767546272
YR1971,,65300.0,,,,,,,,,,,,,,,,,,,,,17.2,71.7353658536585,62.792943155616,1.24558285540271,3179041.0,1631661.0,51.3255729675293
YR1972,,65300.0,,,,,,,,,,,,,,,,,,,,,16.7,71.0246341463415,62.772630893485,1.08190709614434,3213622.0,1691224.0,52.6267242431641
YR1973,,65300.0,,,,,,,,,,,,,,,,,,,,,16.8,71.3321951219512,62.8956542536328,0.95434956902678,3244438.0,1747206.0,53.8523483276367
YR1974,,65300.0,,,,,,,,,,,,,,,,,,,,,17.4,71.2441463414634,63.1907455450437,0.903795649203906,3273894.0,1800998.0,55.0108833312988
YR1975,,65300.0,,,,,,,,,,,,,,,,,,,,,17.9,70.8673170731707,63.6093907471584,0.844284714491626,3301652.0,1856155.0,56.2189750671387
YR1976,,65300.0,,,,,,,,,,,,,,,,,,,,,17.9,70.9580487804878,64.0341692514637,0.814807301678743,3328664.0,1908859.0,57.3460998535156
YR1977,,65300.0,,,,,,,,,,,,,,,,,,,,,17.5,70.809512195122,64.3959027778295,0.789147833101285,3355036.0,1957596.0,58.3479881286621
YR1978,,65300.0,,,,,,,,,,,,,,,,,,,,,17.0,70.6046341463415,64.7331389786141,0.726941155491028,3379514.0,2008067.0,59.4188079833984
YR1979,,65300.0,,,,,,,,,,,,,,,,,,,,,16.5,70.4821951219512,65.0604187813681,0.540861205437315,3397842.0,2054352.0,60.4604820792967
YR1980,,65300.0,,,,,,,,,,,,,,,,,,,,,15.9,70.4821951219512,65.3829068150655,0.451032941179723,3413202.0,2097520.0,61.4531440734863
YR1981,,65300.0,,,,,,,,,,,,,,,,,,,,7.3,15.4,70.4607317073171,65.7449020720767,0.576822232379474,3432947.0,2144069.0,62.4556427001953
YR1982,,65300.0,,,,,,,,,,,,,,,,,,,,6.9,15.0,70.8368292682927,66.1196873864603,0.70338626338287,3457179.0,2189359.0,63.3279037475586
YR1983,,65300.0,,,,,,,,,,,,,,,,,,,,6.9,14.6,70.7778048780488,66.4435747781692,0.807019735359073,3485192.0,2233655.0,64.0898742675781
YR1984,,65300.0,,,,,,,,,,,,,,,,,,,,7.1,14.2,70.32,66.6723163466132,0.829019018784799,3514205.0,2277258.0,64.801513671875
YR1985,,65300.0,,,,,,,,,,,,,,,,,,,,7.1,13.5,70.5012195121951,66.8290109290438,0.859591157107066,3544543.0,2319993.0,65.4525299072266
