Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,26.7,69.7868292682927,67.1876008101648,,2120979.0,1210736.0,57.0838131478836
YR1961,,64594.0,,,,,,,,,,,,,,,,,,,,,25.1,70.0324390243903,66.8982279316613,1.48362675105514,2152681.0,1242491.0,57.718287158182
YR1962,,64594.0,,,,,,,,,,,,,,,,,,,,,23.6,69.430487804878,66.7626134991534,1.33380931662705,2181586.0,1272236.0,58.3170221862707
YR1963,,64594.0,,,,,,,,,,,,,,,,,,,,,22.2,69.8290243902439,66.7461389309371,1.33561309771935,2210919.0,1301957.0,58.8876095676281
YR1964,,64594.0,,,,,,,,,,,,,,,,,,,,,21.0,71.0280487804878,66.7828975162327,1.33456859999138,2240623.0,1331773.0,59.4376406377323
YR1965,,64594.0,,,,,,,,,,,,,,,,,,,,,19.8,70.7265853658537,66.8043717001618,1.12264639619669,2265919.0,1358978.0,59.9747067320615
YR1966,,64594.0,,,,,,,,,,,,,,,,,,,,,18.9,70.7073170731707,66.8069705205818,0.760499724364783,2283217.0,1381492.0,60.5063991860941
YR1967,,64594.0,,,,,,,,,,,,,,,,,,,,,18.1,70.3939024390244,66.776658550655,0.785400368393627,2301220.0,1404672.0,61.0403093353081
YR1968,,64594.0,,,,,,,,,,,,,,,,,,,,,17.4,70.0429268292683,66.6488440778083,0.968646698267354,2323619.0,1430978.0,61.584028515182
YR1969,,64594.0,,,,,,,,,,,,,,,,,,,,,16.9,69.7968292682927,66.506699417282,0.838010969142035,2343173.0,1456168.0,62.1451480611938
