Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,,63.780756097561,54.6912999702854,,173315.0,165084.0,95.2506574699247
YR1961,,20.0,,8666.15,,,,,,,,,,,,,,,,,,,,64.311,54.217559123717,0.004615766304582,173323.0,165104.0,95.2580242806369
YR1962,,20.0,,8890.5,,,,,,,,,,,,,,,,,,,,64.9175365853659,54.3983870378129,2.55586587221762,177810.0,169511.0,95.3325428429328
YR1963,,20.0,,9106.75,,,,,,,,,,,,,,,,,,,,65.4913414634146,54.8991132950833,2.40326058840166,182135.0,173878.0,95.4664342050951
YR1964,,20.0,,11282.75,,,,,,,,,,,,,,,,,,,,65.8860731707317,46.1941902461723,21.4259113885264,225655.0,215833.0,95.6471985446079
YR1965,,20.0,,13281.55,,,,,,,,,,,,,,,,,,,,66.2214634146342,41.4426403544767,16.3100843421728,265631.0,254640.0,95.8623360389554
YR1966,,20.0,,13147.1,,,,,,,,,,,,,,,,,,,,66.7044146341464,44.5025053005885,-1.01746521213197,262942.0,252686.0,96.0993468656216
YR1967,,20.0,,13021.15,,,,,,,,,,,,,,,,,,,,67.3226829268293,47.6599609097507,-0.962624345077011,260423.0,250906.0,96.3457312020907
YR1968,,20.0,,12896.65,,,,,,,,,,,,,,,,,,,,67.945,50.7569795256908,-0.960737081290516,257933.0,249135.0,96.588989225847
YR1969,,20.0,,12765.3,,,,,,,,,,,,,,,,,,,,68.1946341463415,53.7112327951556,-1.02370355399617,255306.0,247179.0,96.8166211143745
YR1970,,20.0,,12869.8,,,,,,,,,,,,,,,,,,,,68.6991463414634,55.8760739795373,0.815292929183084,257396.0,249708.0,97.0130701868515
YR1971,,20.0,,12370.0,,,,,,,,,,,,,,,,,,,,69.1089268292683,58.737792218144,-3.96092950673516,247400.0,240428.0,97.1818605041573
YR1972,,20.0,,12252.5,,,,,,,,,,,,,,,,,,,,69.6813902439025,63.8075122354776,-0.954418860283084,245050.0,238535.0,97.3411730703713
YR1973,,20.0,,12140.0,,,,,,,,,,,,,,,,,,,,70.1881463414634,52.1302392099839,-0.922421217021332,242800.0,236725.0,97.4980543470228
YR1974,,20.0,,12027.5,,,,,,,,,,,,,,,,,,,,70.5503902439024,36.4287424284172,-0.931009103988052,240550.0,234902.0,97.6519578369296
YR1975,,20.0,,11910.0,,,,,,,,,,,,,,,,,,,,70.7074390243902,41.7729262906888,-0.981731122426308,238200.0,232965.0,97.8023370429096
YR1976,,20.0,,11780.0,,,,,,,,,,,,,,,,,,,,71.4869756097561,47.0188277618229,-1.0975205143768,235600.0,230767.0,97.9486454677805
YR1977,,20.0,,11647.5,,,,,,,,,,,,,,,,,,,,71.3875365853659,52.1093638652668,-1.13116135146259,232950.0,228501.0,98.0903366143601
YR1978,,20.0,,11620.0,,,,,,,,,,,,,,,,,,,,71.9051463414634,56.877774320351,-0.236381328504968,232400.0,228279.0,98.2268639854662
YR1979,,20.0,,11760.0,,,,,,,,,,,,,,,,,,,,72.3346829268293,61.282664272548,1.19761910467158,235200.0,231337.0,98.3576810839166
YR1980,,20.0,,11982.5,,,,,,,,,,,,,,,,,,,,72.7648292682927,65.252319207467,1.87433095811686,239650.0,236013.0,98.4822414125289
YR1981,,20.0,,12240.0,,,,,,,,,,,,,,,,,,,,73.1919756097561,67.5149006950357,2.12620250325307,244800.0,241373.0,98.5999984741211
YR1982,,20.0,0.0227571570364122,12732.5,,,,66336504.6894126,6330000000.0,210.094193729791,,,,,1142497718.77916,7113000000.0,,4486.541208636,7158700000.0,,,,,73.7552926829268,67.9865698541875,3.94485026924426,254650.0,251380.0,98.7160061718438
YR1983,,20.0,0.719320811753577,13465.0,,,,64173269.435156,7550000000.0,214.165779827362,,,,8.06318541637887,1133013235.10045,8457000000.0,10.0235760796348,4207.25300817099,8565115900.0,,,,,73.906512195122,68.0839029511688,5.59359464869396,269300.0,266162.0,98.8346655192397
YR1984,,20.0,,14142.5,,,,80519205.75955,8678000000.0,211.439748115638,,,,14.2669499175551,1304361353.27024,10481000000.0,8.45903981224809,4611.49497355573,10651328500.0,4590.0,,,,74.0673902439025,68.1491963294381,4.90907219716118,282850.0,279893.0,98.9544506847143
YR1985,,20.0,-0.0278986687471317,14485.0,,,,98264223.7463873,9413000000.0,198.145938503901,,,,3.19435189192438,1362072159.94515,10895000000.0,0.732261858094873,4701.66434223387,10950130700.0,4500.0,,,,74.5358048780488,68.2045472101347,2.39291829861401,289700.0,287017.0,99.073835836673
YR1986,,20.0,0.0032634837501018,14802.5,,,,114811164.337456,10827000000.0,205.058238983465,,,,5.61387214400047,1532105070.18581,12277000000.0,6.6949970424333,5175.15646068506,12471474200.0,5220.0,,,,74.814512195122,68.2326762359603,2.16824542024803,296050.0,293656.0,99.1912951435215
YR1987,,20.0,-0.0045971731394681,15342.5,,,,146570304.806307,12777000000.0,202.072571902302,,,,11.7534760385684,1957724829.35921,15681000000.0,14.2932173963789,6380.07114016362,16028366800.0,6540.0,,,,74.9958292682927,68.1957094204269,3.58306698573209,306850.0,304718.0,99.3053027736653
YR1988,,20.0,0.0152921110688475,15800.0,,,,187050903.714552,15340000000.0,195.734391131881,,,,8.85603300839919,2288761822.51257,18403000000.0,7.81082461067145,7242.91715984991,18717575200.0,7600.0,,,,75.3718536585366,68.9674370229883,2.93831847518061,316000.0,314149.0,99.4143328955099
YR1989,,20.0,-0.0221756902976492,16255.0,8.77094554159181,,,253800061.564252,17894000000.0,190.987716796246,,,,12.4653155371857,2705665492.01675,21737000000.0,5.02492333558295,8322.56380195863,22061486100.0,8270.0,,,,76.0493658536586,69.6421964934519,2.83906137229477,325100.0,323529.0,99.5168596774608
YR1990,,20.0,0.0147852387096774,16747.5,7.96969384363221,,,330507747.670114,20613000000.0,175.664362519201,,,,10.9431048294476,3246481233.24397,26040000000.0,7.97943699762126,9692.43538809962,26175252500.0,9210.0,,,,76.3986829268293,69.4740874280523,2.98484396444169,334950.0,333648.0,99.6113572879236
YR1991,,20.0,0.284708872519743,17582.5,9.5688776593484,,,407033763.31324,25693000000.0,168.524785984471,18.6873714247793,24555000000.0,81.4752140155286,11.6515615039771,3765249711.09098,30138000000.0,3.65938964930415,10707.3786750774,30326915100.0,10050.0,,,,76.4601219512195,69.2313000752207,4.86550957997506,351650.0,350582.0,99.6962998953038
YR1992,,20.0,-0.396795908522423,18545.0,7.71392168356611,,,437387156.747666,32496000000.0,147.122182802011,17.3077413920723,32174000000.0,82.1205237499681,14.7395166222103,4914365189.04984,39179000000.0,13.2989545353826,13249.8387410349,39519404000.0,12280.0,,,,76.8933170731707,68.7795921273021,5.3296121741518,370900.0,370048.0,99.770161668007
YR1993,,20.0,-0.0635413039144015,19200.0,6.70588552770043,,,504546567.012444,37132000000.0,134.573890698035,15.2433486187723,37622000000.0,83.3433020978711,9.53651081883879,5665606114.80317,45141000000.0,5.18623877678014,14754.1825906333,45193019400.0,13800.0,,,,77.3012682926829,68.3225529828113,3.47100680921818,384000.0,383353.0,99.8314167744386
YR1994,,20.0,0.0551400004777165,19840.0,6.25206890210272,,,585155075.516788,41845000000.0,130.412627639881,14.0906467087323,41783000000.0,83.1684547861223,6.75269663959774,6311207779.92441,50239000000.0,4.25357492985363,15905.2615421482,50114039800.0,15260.0,,,,77.2664878048781,68.0686657874534,3.2789822822991,396800.0,396318.0,99.8785393830042
YR1995,,20.0,0.0310808129742439,20465.0,8.55866604308447,,,673464229.209773,43450000000.0,125.366036122689,12.8638096255922,46987000000.0,83.6931352641516,8.18395809958818,7046147736.91671,56142000000.0,3.29612425723712,17215.1178522275,55333204000.0,16420.0,,,,76.7585365853659,67.9739799795833,3.10160080876396,409300.0,408932.0,99.9100036621094
