Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,3.42429906542058,210500000.0,2.31573157315732,241083353.588289,10217369500.0,46.2702448807553,,,,,2037154741.93211,10309001200.0,,174.784133911133,10409002000.0,,,68.2,151.1,41.73,52.3278112656649,,11624933.0,3412455.0,29.3546242906663
YR1961,346.0,446550.0,,26.7309338172693,1.76312460493452,244300000.0,2.70243362831858,258868212.366787,10555605100.0,46.5320380049876,,,,,2025693539.55842,10251001900.0,,169.318435668945,10331001900.0,,,67.4,149.1,43.694,51.7654617427727,2.59949911503816,11931085.0,3538729.0,29.6597385406494
YR1962,346.0,446550.0,,27.4523726307299,5.09672908138148,272500000.0,2.56591337099812,288509590.968464,12413605000.0,39.1131104876505,,,,,2379611124.61442,12041998300.0,,193.647811889648,12112000000.0,,,66.4,147.0,44.226,51.2594882687361,2.66311341380874,12253092.0,3694455.0,30.1512069702148
YR1963,346.0,446550.0,,28.1791952323341,5.69971168745222,379000000.0,3.1956155143339,337911941.333744,13742242600.0,38.001041585476,,,,,2657252578.30763,13447000100.0,,210.635650634766,13607000100.0,,,65.4,144.9,44.768,50.8105226300103,2.61313490930163,12577502.0,3855657.0,30.6551895141602
YR1964,346.0,446550.0,,28.8992382488686,4.02154147421213,354200000.0,2.83586869495596,365577246.47218,14109593800.0,38.6272185441388,,,,,2798345298.57781,14160998400.0,,216.263046264648,14371002400.0,,,64.2,142.6,45.346,50.5468747668161,2.52312886520977,12898886.0,4020250.0,31.1674175262451
YR1965,346.0,446550.0,,29.6616279069767,3.4828212200169,319700000.0,2.42933130699088,353720687.127136,14730000000.0,35.0536193029491,27.5469168900804,,,,2948331090.46752,14920000000.0,,221.967697143555,14773000000.0,,,63.1,140.1,45.922,50.3748270945364,2.60389842059825,13239171.0,4195314.0,31.6886463165283
YR1966,346.0,446550.0,,30.4634695523592,-1.0135793646964,343800000.0,2.67757009345794,365577246.47218,14616000000.0,38.3347073371805,29.0533113492718,,,,2876401297.10759,14556000000.0,,210.824432373047,14349001100.0,,,61.8,137.4,46.495,50.2015655584496,2.66740253728853,13597065.0,4382292.0,32.2296943664551
YR1967,346.0,446550.0,,31.294920912309,-0.748276993897715,356000000.0,2.61764705882353,379409899.041397,15766000000.0,38.0773222625843,28.5352880124546,,,-3.74504063248415,3046345314.38655,15416000000.0,10.0288413593661,217.304306030273,15234000000.0,,,60.5,134.9,47.099,50.0829313779359,2.69275670272462,13968175.0,4577881.0,32.7736549377441
YR1968,346.0,446550.0,,32.1456714612179,0.436479069044525,460000000.0,3.00457217504899,418931763.524876,16815000000.0,38.5382059800665,28.1002718212021,,,-2.27797986896232,3271422332.61996,16555000000.0,9.89173930674043,227.120864868164,16317001200.0,240.0,,59.4,132.4,47.659,50.0338882356961,2.68219926809977,14347899.0,4783305.0,33.3380165100098
YR1969,346.0,446550.0,,33.0112806380786,2.94989135439242,430000000.0,2.39021678710395,436321383.897607,18563000000.0,37.209805725418,27.6421884301099,,,3.008154311181,3651622668.95103,18479000000.0,8.36216535672018,246.799652099609,18261000000.0,250.0,,58.2,130.1,48.187,50.0537947098854,2.65715346834029,14734255.0,4996203.0,33.9087562561035
