Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,,71.861,66.5558510638298,,21808.0,21808.0,100.0
YR1961,,2.027,,10804.6373951653,,,,,,,,,,,,,,,,,,,,72.177,66.8371307246244,0.425542292625302,21901.0,21901.0,100.0
YR1962,,2.027,,10891.9585594475,,,,,,,,,,,,,,,,,,,,72.437,66.7368707113255,0.804933971573009,22078.0,22078.0,100.0
YR1963,,2.027,,11043.4139121855,,,,,,,,,,,,,,,,,,,,72.476,66.0531605986151,1.38094540967689,22385.0,22385.0,100.0
YR1964,,2.027,,11191.9092254563,,,,,,,,,,,,,,,,,,,,72.706,65.3185815352743,1.3356902443922,22686.0,22686.0,100.0
YR1965,,2.027,,11317.710902812,,,,,,,,,,,,,,,,,,,,72.866,64.7544735293477,1.11777085933469,22941.0,22941.0,100.0
YR1966,,2.027,,11411.4454859398,,,,,,,,,,,,,,,,,,,,73.03,64.4149499578479,0.824800647396599,23131.0,23131.0,100.0
YR1967,,2.027,,11460.2861371485,,,,,,,,,,,,,,,,,,,,73.058,64.3765739006909,0.427083757815385,23230.0,23230.0,100.0
YR1968,,2.027,,11562.4074987667,,,,,,,,,,,,,,,,,,,,73.17,64.2659043392926,0.887142338741969,23437.0,23437.0,100.0
YR1969,,2.027,,11756.783423779,,,,,,,,,,,,,,,,,,,,73.249,63.8600981914313,1.66712839714896,23831.0,23831.0,100.0
YR1970,,2.027,,11953.1327084361,,,,,,,,,,,293127333.238065,248200000.0,,12098.2018753587,,,,,,73.349,63.588336050519,1.65630086840649,24229.0,24229.0,100.0
YR1971,,2.027,,12124.3216576221,,,,,,,,,,5.98215468961487,327706210.435217,276800000.0,5.22806002306334,13334.3998386726,,,136.832412719727,,,73.365,63.3999959310724,1.42200941399698,24576.0,24576.0,100.0
YR1972,,2.027,,12265.416872225,,,,,,,,,,6.84700423686932,402451900.821288,309500000.0,4.64830962143698,16187.4306500397,,,131.620895385742,,,73.381,63.1948354919154,1.15701764042621,24862.0,24862.0,100.0
YR1973,,2.027,,12369.0182535767,,,,,,,,,,7.76754781352058,523554039.203208,355400000.0,6.55375750568663,20882.02134665,,,,,,73.374,63.1860242501595,0.841115224414124,25072.0,25072.0,100.0
