Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,,59.44,60.5473890961364,,2058020.0,477879.0,23.2203502655029
YR1961,,33760.0,,,,,,,,,,,,,,,,,,,,,,59.856,60.0343460181616,2.17760212493563,2103327.0,505198.0,24.0190010070801
YR1962,,33760.0,,,,,,,,,,,,,,,,,,,,,,60.254,59.713500946953,2.06568654448388,2147227.0,525167.0,24.4579177985748
YR1963,,33760.0,,,,,,,,,,,,,,,,,,,,,,60.616,59.6449556022578,1.92196080501834,2188895.0,548691.0,25.0670166015625
YR1964,,33760.0,,,,,,,,,,,,,,,,,,,,,,60.962,59.8364380918778,1.77074717830388,2228000.0,573727.0,25.7507705688477
YR1965,,33760.0,,,,,,,,,,,,,,,,,,,,,,61.275,60.2147182552012,1.65971396595993,2265287.0,615138.0,27.1549797058105
YR1966,,33760.0,,,,,,,,,,,,,,,,,,,,,,61.552,60.6924262967371,1.60208087772257,2301871.0,655585.0,28.4805469512939
YR1967,,33760.0,,,,,,,,,,,,,,,,,,,,,,61.781,61.2364369942603,1.54431306592755,2337695.0,682488.0,29.1949043273926
YR1968,,33760.0,,,,,,,,,,,,,,,,,,,,,,61.975,61.8141528988965,1.50203385669015,2373073.0,714223.0,30.0969772338867
YR1969,,33760.0,,,,,,,,,,,,,,,,,,,,,,62.184,62.4019372276034,1.48055361956796,2408469.0,748799.0,31.090259552002
YR1970,,33760.0,,,,,,,,,,,,,,,,,,,,,,62.414,62.9676216688436,1.20185703614291,2437590.0,778936.0,31.955150604248
YR1971,,33760.0,,,,,,,,,,,,,,,,,,,,,51.2,62.672,63.5076275973357,0.939984680315135,2460611.0,806394.0,32.7720947265625
YR1972,,33760.0,,,,,,,,,,,,,,,,,,,,,49.9,62.932,64.0324561382252,0.975913813269245,2484742.0,840740.0,33.8360900878906
YR1973,,33760.0,,,,,,,,,,,,,,,,,,,,,48.8,63.175,64.5150338842991,1.03465641821004,2510584.0,873745.0,34.8024444580078
YR1974,,33760.0,,,,,,,,,,,,,,,,,,,,,47.7,63.437,64.9770977879317,1.09255896107614,2538164.0,901523.0,35.5187225341797
YR1975,,33760.0,,,,,,,,,,,,,,,,,,,,,46.5,63.7,65.3893617475982,1.12961377552511,2566998.0,933581.0,36.3686065673828
YR1976,,33760.0,,,,,,,,,,,,,,,,,,,,,45.4,63.968,65.7061398649328,1.14237953226183,2596491.0,965614.0,37.189208984375
YR1977,,33760.0,,,,,,,,,,,,,,,,,,,,,44.4,64.231,65.9267935488818,1.14143319292746,2626298.0,996573.0,37.9459381103516
YR1978,,33760.0,,,,,,,,,,,,,,,,,,,,,43.3,64.489,66.0421663934502,1.13254212088641,2656211.0,1030725.0,38.8043403625488
YR1979,,33760.0,,,,,,,,,,,,,,,,,,,,,42.4,64.823,65.9253753189529,1.00479452273086,2683035.0,1058929.0,39.4675827026367
YR1980,,33760.0,,,,,,,,,,,,,,,,,,,,,41.4,65.189,65.7535782662814,0.951096897994758,2708675.0,1084119.0,40.0239448547363
YR1981,,33760.0,,,,,,,,,,,,,,,,,,,,,40.3,65.595,65.7140244203624,1.00326628499094,2735987.0,1110820.0,40.6003341674805
YR1982,,33760.0,,,,,,,,,,,,,,,,,,,,21.5,39.1,65.859,65.6633895999954,0.986135145593283,2763101.0,1137557.0,41.1695785522461
YR1983,,33760.0,,,,,,,,,,,,,,,,,,,,21.0,37.6,66.149,65.5440960327664,1.01205190262368,2791207.0,1170706.0,41.9426574707031
YR1984,,33760.0,,,,,,,,,,,,,,,,,,,,20.6,35.9,66.433,65.330862679464,1.0446437255523,2820518.0,1206004.0,42.7582550048828
YR1985,,33760.0,,,,,,,,,,,,,,,,,,,,20.1,34.3,66.882,65.0427979147787,1.0674540486987,2850787.0,1240511.0,43.5146751403809
YR1986,,33760.0,,,,,,,,,,,,,,,,,,,,19.7,32.7,67.395,64.7078247705115,1.12560930209132,2883057.0,1276714.0,44.2833290100098
YR1987,,33760.0,,,,,,,,,,,,,,,,,,,,19.3,31.3,67.922,64.4158011903473,1.14665573797613,2916306.0,1321243.0,45.305362701416
YR1988,,33760.0,,,,,,,,,,,,,,,,,,,,18.8,30.1,68.191,64.1800947576988,1.11114205557319,2948891.0,1369301.0,46.434440612793
YR1989,,33760.0,,,,,,,,,,,,,,,,,,,,18.5,29.4,68.173,63.9874824862931,0.714591657341126,2970039.0,1401253.0,47.179615020752
YR1990,,33760.0,,,,,,,,,,,,,3592857043.05057,12856500.0,,1206.50208704977,12937605.0,,,18.5,29.1,67.92,63.874780169071,0.264729975010194,2977912.0,1398981.0,46.9786033630371
YR1991,,33760.0,,,,,,,,,,,,139.82680693032,3094565870.64237,25900000.0,-16.0000002715149,1037.89950336245,26063400.0,,,18.9,29.5,67.554,63.8132113242615,0.122628205285669,2981566.0,1398637.0,46.9094772338867
YR1992,450.0,33760.0,0.732997655028661,103.841049221444,1026.82626424702,,,,,,,,,945.030521954821,2319243435.96096,191900000.0,-29.0999999176414,778.017667420102,193110600.0,790.0,,19.7,30.4,66.749,63.7349307141925,-0.0201592243976584,2980965.0,1382645.0,46.3824577331543
YR1993,450.0,33840.0,0.590265678198792,103.37881682704,1613.60398876194,9653000.0,0.530067157581448,,,,,,,860.457221291034,2371813323.57343,1821000000.0,-1.1999999330268,796.989388848336,1832642300.0,800.0,,20.7,31.7,66.66,63.6546916268091,-0.167838142610697,2975966.0,1371646.0,46.0907783508301
