Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,79200000.0,,96004237.3396313,35421120700.0,26.6547090790703,,,,,673081724.751168,33230448600.0,,131.69201832961,32130060300.0,,,,,43.349,51.4439362406279,,5111029.0,554048.0,10.8402346122372
YR1961,1513.0,587040.0,,9.02114729855212,,418800000.0,1.50215208034433,107738206.543976,36208258200.0,34.1080898478586,,,,1.78945574498451,699161944.558097,34518044700.0,2.04863275061248,133.271232882825,33377701900.0,,,,,43.79,50.8834704257354,2.60952453699851,5246158.0,585126.0,11.1534219507544
YR1962,1513.0,587040.0,,9.25843450149603,,453200000.0,1.53731343283582,127294420.160986,38187676200.0,32.1385581058955,,,,3.39092839540686,739286907.592778,36499038200.0,2.27106970111232,137.308007316434,35278557200.0,130.0,,,,44.185,50.3817548156863,2.5963453104807,5384150.0,617449.0,11.4679062770173
YR1963,1513.0,587040.0,,9.5009543625546,,442200000.0,1.46036988110964,125516793.39526,40167566900.0,32.7067624137599,,,,3.67685878158819,759345863.732667,37489360900.0,-0.929401622790394,137.433563533649,36248989700.0,130.0,,,,44.626,49.9670916026258,2.58572787249008,5525185.0,651063.0,11.7835498438002
YR1964,1513.0,587040.0,,9.74973862503009,,466800000.0,1.45875,129428117.13854,42243034300.0,33.2306410079951,,,,1.65271309261479,802482183.728778,39619026900.0,3.96251884651457,141.534669132002,38318456800.0,140.0,,,,45.037,49.8188404199537,2.58482241841227,5669863.0,686066.0,12.100214903877
YR1965,1513.0,587040.0,,10.0063899301854,4.20186036589442,528800000.0,1.59085439229844,133339039.833423,43947052800.0,33.2117033424361,,,,4.34504835283016,833563472.9981,41153528800.0,-0.452253863397502,143.245722030305,39793298500.0,140.0,,,,45.447,49.8981202643151,2.59834049822697,5819116.0,722604.0,12.417763710022
YR1966,1513.0,587040.0,,10.273203906868,3.21157397897554,560000000.0,1.54227485541173,139384070.681742,47070441900.0,40.4927821401297,,24509112800.0,55.1428260230112,5.81727051278811,900264584.590829,44446602700.0,2.06455240789826,150.690080692721,44446602800.0,150.0,,,,45.98,49.9911746665309,2.631506090784,5974279.0,761239.0,12.7419357299805
YR1967,1513.0,587040.0,,10.5521305499192,0.815190376680787,598000000.0,1.55002592016589,146851032.800898,49103767700.0,39.0183149019239,,25939005200.0,54.9323999340854,0.673724706280694,956436932.101291,47219865200.0,5.52856560967709,155.860688364854,47219785300.0,160.0,,,,46.457,50.0658927601236,2.67888445416775,6136486.0,801613.0,13.0630597499923
YR1968,1513.0,587040.0,,10.8444698558999,0.956513164485543,644000000.0,1.54621848739496,162496323.723025,53501106900.0,40.5405141843049,,27978211200.0,54.9301632584457,0.970851321893122,1031669637.39553,50934149000.0,6.8287860983493,163.588485295319,50934109100.0,170.0,,,,46.932,50.1177001133831,2.73274719565462,6306493.0,843898.0,13.3814147971398
YR1969,1513.0,587040.0,,11.1509371668329,3.82887282683659,676000000.0,1.50724637681159,163238908.416555,57615919800.0,41.2208174054255,,29866873700.0,54.4310348363777,3.8643468368338,1056391055.59617,54871037800.0,3.72122216809368,162.904752589963,54611402000.0,170.0,,34.6,,47.322,50.1411858283385,2.78682858615491,6484716.0,889512.0,13.7170464163595
