Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,,38.244,58.9212573816064,,91189.0,10364.0,11.3650982240204
YR1961,1972.0,300.0,,311.5,,,,,,,,,,,,,,,,,,,,38.645,58.6177561142649,2.44922581308314,93450.0,10652.0,11.3986525988146
YR1962,1972.0,300.0,,319.34,,,,,,,,,,,,,,,,,,,240.0,39.09,58.1323980710215,2.48570276840475,95802.0,10946.0,11.425388262128
YR1963,1972.0,300.0,,327.406666666667,,,,,,,,,,,,,,,,,,,235.2,39.593,57.4657408727169,2.49466612698065,98222.0,11241.0,11.4449031172605
YR1964,1972.0,300.0,,335.54,,,,,,,,,,,,,,,,,,,230.4,40.152,56.5809342154934,2.45381471608925,100662.0,11533.0,11.4567950675123
YR1965,1972.0,300.0,,347.006666666667,,,,,,,,,,,,,,,,,,,225.3,40.759,55.3130583466216,3.36028177159204,104102.0,11931.0,11.4605254429144
YR1966,1972.0,300.0,,361.69,,,,,,,,,,,,,,,,,,,220.1,41.406,53.9820195103519,4.14434992962319,108507.0,12361.0,11.3917501970343
YR1967,1972.0,300.0,,375.093333333333,,,,,,,,,,,,,,,,,,,214.6,42.106,53.1114616427096,3.63873925371918,112528.0,12749.0,11.3295092952715
YR1968,1972.0,300.0,,386.916666666667,,,,,,,,,,,,,,,,,,,208.7,42.852,52.6760830328797,3.10344543403231,116075.0,13251.0,11.4161137710171
YR1969,1972.0,300.0,,398.546666666667,,,,,,,,,,,,,,,,,,,202.8,43.654,52.392661640049,2.96152589554649,119564.0,13901.0,11.6262434285497
YR1970,1972.0,300.0,,410.73,,,,,,,,,,,19328038.3157895,91808182.0,,156.859236934154,79947402.0,,,,196.5,44.522,52.1492308379018,3.01114671263878,123219.0,14676.0,11.9105130325225
YR1971,1972.0,300.0,,423.45,,,,,,,,,,5.61167215075959,21566404.0169133,102009091.0,5.20722636743771,169.767418561131,88831250.0,,,,189.9,45.454,51.978588577951,3.04993790538336,127035.0,15859.0,12.4839107439898
YR1972,1972.0,300.0,,436.56,,,,,,,,,,5.30431107357148,25177137.5286041,110024091.0,2.42424241756413,192.238848639394,95807657.0,160.0,,,182.4,46.431,51.9157351414086,3.04903795103684,130968.0,17644.0,13.4716927174096
YR1973,1972.0,300.0,-0.6480452672775,449.84,,,,,,,,,,10.1819588439988,30862041.60401,123139546.0,1.57790928646529,228.689027239389,107232672.0,190.0,,,174.5,47.459,51.9768066541932,2.99661411059698,134952.0,19898.0,14.7442385501367
YR1974,1972.0,300.0,0.178935822029898,463.26,,,,,,,,,,18.0878171030072,39120171.2468193,153742273.0,5.7281553146566,281.484632436928,133885016.0,240.0,,,166.3,48.535,52.017038606691,2.93964875648331,138978.0,22483.0,16.1775719825037
YR1975,1972.0,300.0,8.02742278322404,477.193333333333,,,,,,,,,,-0.0737859596174815,24540877.6041667,141355455.0,-7.98898069181037,171.425121922398,123078332.0,210.0,,,158.0,49.645,51.8909177272664,2.96332681946064,143158.0,25264.0,17.6477167548433
YR1976,1972.0,300.0,0.803590545945201,491.75,,,,,,,,,,31.6856890091499,22399467.1052632,187259545.0,0.598802385709703,151.835059178195,163089120.0,170.0,,,149.8,50.753,51.7276674202087,3.00487375257827,147525.0,28075.0,19.0306966074879
YR1977,1972.0,300.0,5.75435004449478,506.433333333333,,,,,,,,,,-12.2127611648618,20853788.7115165,182887727.0,11.2523540290923,137.259189834243,159276070.0,150.0,,,142.1,51.835,51.6846574080169,2.94222355124426,151930.0,30650.0,20.1736852114744
YR1978,1972.0,300.0,3.98044915948449,520.53,,,,,,,,,,4.21781516534506,24369109.1415831,218590909.0,14.6847228465679,156.053183880423,190235744.0,150.0,,,134.9,50.448,51.6321557904309,2.7454830500079,156159.0,32945.0,21.0970363318786
YR1979,1972.0,300.0,2.07666181465308,534.533333333333,,,,,,,,,,19.2797599920395,38523364.4859813,288540000.0,10.6642066212294,240.230509391253,251491238.0,190.0,,,128.0,53.871,51.5321776003991,2.65465688185522,160360.0,35224.0,21.9658554218035
YR1980,1972.0,300.0,-0.306144728633812,549.45,,,,,,,,,,-6.29296337282541,42463576.1589404,320600000.0,18.5728576106625,257.612619643525,279180005.0,240.0,130.942916870117,,121.6,54.819,51.4896714896715,2.75236857926909,164835.0,37619.0,22.8220761151526
YR1981,1972.0,300.0,-0.0669920141969831,565.106666666667,,,,,,,,,,-5.6423810673283,44781456.9536424,338100000.0,11.7647058888716,264.147517599287,293620298.0,270.0,,,115.7,55.729,51.5240440623479,2.80967259952847,169532.0,40052.0,23.6252747031197
YR1982,1972.0,300.0,-6.01110277644262,581.11,,,,,,,,,,4.81351976717966,47911340.1834794,343700000.0,-3.01221166353322,274.826568598483,300926784.0,240.0,139.530120849609,,109.9,56.614,51.6621972380365,2.79255637868145,174333.0,42424.0,24.3350274768987
YR1983,1972.0,300.0,0.415011037527594,597.093333333333,,,,,,,,,,2.03394994342932,57829787.2340426,407700000.0,16.2562954556645,322.84057899403,354055393.0,260.0,,,104.5,57.484,51.910365771962,2.71333707399412,179128.0,44622.0,24.9109107276834
YR1984,1972.0,300.0,-0.127849740932642,613.993333333333,,,,,,,,,,49.1506509195041,109503546.099291,772000000.0,26.9554753293923,594.488246882652,664965609.0,370.0,,,99.4,58.341,52.1330307603774,2.79106319099223,184198.0,46625.0,25.3125007466676
YR1985,1972.0,300.0,0.951326982720425,633.896666666667,,,,,,,,,,1.3230063571565,127190757.959989,902800000.0,15.4160435875059,668.830135090308,809700000.0,510.0,,,94.5,59.18,52.0061103544742,3.19018844984361,190169.0,48517.0,25.5124067627646
YR1986,1972.0,300.0,3.80597279716144,656.45,9.72219327678563,,,,,,,,,2.76434691938816,141882254.230178,1014600000.0,9.36058909491051,720.452201133255,859400000.0,630.0,147.692245483398,50.6,89.8,59.993,51.5582513056305,3.49605745567876,196935.0,50470.0,25.6279626534467
YR1987,1972.0,300.0,3.61130902111324,679.813333333333,9.7040723294332,,,,,,,,,17.9607741560118,141223029.383064,1302500000.0,8.8291556967326,692.459838892363,1094300000.0,670.0,,48.7,85.2,60.789,51.1010375397168,3.49717213013985,203944.0,52472.0,25.7283992169627
YR1988,1972.0,300.0,0.712104836530667,702.95,6.45636026801941,,,,,,,,,4.53232047835637,168514513.375071,1480400000.0,8.73034178146668,799.082501719284,1389400000.0,820.0,,46.8,80.9,61.59,50.7633325351081,3.34675148443986,210885.0,54415.0,25.8033419433099
YR1989,1972.0,300.0,2.32172289015992,725.793333333333,7.16585889470777,,,,,,,,,5.86514984488176,189514434.244,1713400000.0,9.32680833295309,870.378318180563,1554281000.0,820.0,,44.8,76.8,62.375,50.5340121292284,3.19795439440367,217738.0,56279.0,25.847241445217
YR1990,1972.0,300.0,2.60411859208412,749.206666666667,3.64991197717477,,,,,,,,,2.50712718211379,215043969.849246,2054100000.0,16.9522974545621,956.763019768672,1851603000.0,920.0,,42.9,72.8,63.148,50.3227858801755,3.17495594408846,224762.0,58106.0,25.8521000475719
YR1991,1972.0,300.0,2.65960970548328,772.673333333333,14.7136770282735,,,,,,,,,20.2552482877404,244396761.92334,2505800000.0,1.44269605394094,1054.33413828759,2182830000.0,900.0,,41.2,69.0,63.911,50.1491577923353,3.08414944112238,231802.0,59812.0,25.8030978579167
