Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,88.7,54.359,48.0122428158476,,14703.0,5122.0,34.833867624193
YR1961,,180.0,,,,,,,,,,,,,,,,,,,,,84.8,54.725,47.5458308693081,3.44930926571425,15219.0,5484.0,36.0365765667653
YR1962,,180.0,,,,,,,,,,,,,,,,,,,,,81.1,55.214,47.2040622024754,3.46131279565752,15755.0,5889.0,37.3762854328654
YR1963,,180.0,,,,,,,,,,,,,,,,,,,,,77.6,55.739,46.9435328037297,3.41300244630277,16302.0,6331.0,38.8378562184315
YR1964,,180.0,,,,,,,,,,,,,,,,,,,,,74.3,56.265,46.8120456905504,3.31815444445044,16852.0,6809.0,40.4061509194019
YR1965,,180.0,,,,,,,,,,,,,,,,,,,,,71.3,56.779,46.8266053727913,3.21157980270626,17402.0,7320.0,42.0660315317148
YR1966,,180.0,,,,,,,,,,,,,,,,,,,,,68.5,57.284,46.9946726912671,2.97228141288688,17927.0,7852.0,43.8023600513084
YR1967,,180.0,,,,,,,,,,,,,,,,,,,,,65.9,57.764,47.6923076923077,3.98062504004196,18655.0,8507.0,45.5999984741211
YR1968,,180.0,,,,,,,,,,,,,,,,,,,,,63.5,58.192,49.055986305508,6.26941518080457,19862.0,9520.0,47.9319522106638
YR1969,,180.0,,,,,,,,,,,,,,,,,,,,,61.2,58.504,50.6489239362576,7.01334284707085,21305.0,10862.0,50.9809930390646
YR1970,,180.0,,,,,,,,,,,,,8408486.0,8408486.0,,373.212871726587,10500910.0,,,,59.0,58.798,51.5179760319574,5.59059674922777,22530.0,12233.0,54.2966325066873
YR1971,,180.0,,,,,,,,,,,,5.97596716798124,9116810.0,9116810.0,2.30991167674838,390.174184712831,11385498.0,,,,57.0,59.133,50.9490081954936,3.64342198508036,23366.0,13419.0,57.4283821608957
YR1972,,180.0,,,,,,,,,,,,8.22763260507158,9973652.0,9973652.0,1.08184217262028,415.707402467489,12455562.0,520.0,,,55.3,59.491,49.7551318120246,2.64384671517513,23992.0,14377.0,59.9257535490537
YR1973,,180.0,,,,,,,,,,,,-13.0989393140367,11607366.0,11607366.0,33.9227598520054,472.208860502014,14495820.0,710.0,,,53.9,59.833,48.7917497253977,2.42533453461366,24581.0,15067.0,61.2940420013691
YR1974,,180.0,,,,,,,,,,,,13.6826213141264,15217532.0,15217532.0,15.3231418916795,601.578589500316,19004364.0,850.0,,,52.9,60.12,48.3021030993042,2.86724936742718,25296.0,15547.0,61.4619249418389
YR1975,,180.0,,,,,,,,,,,,9.61862176631874,16691301.0,16691301.0,0.0602602050046528,638.193048864418,20844876.0,860.0,,,52.2,60.273,48.104460206091,3.33558620171944,26154.0,16016.0,61.2361030838182
YR1976,,180.0,,,,,,,,,,,,8.36955055419347,18153647.0,18153647.0,0.361333947705901,671.834758151068,22671121.0,860.0,,,51.7,60.416,47.8387180341216,3.26121989854048,27021.0,16449.0,60.8750096347168
YR1977,,180.0,,,,,,,,,,,,8.68652666372347,20210069.0,20210069.0,2.43024226925175,724.219486848706,25239278.0,900.0,,,51.3,60.572,47.5425991292039,3.22273780002996,27906.0,16871.0,60.4572486873826
YR1978,,180.0,,,,,,,,,,,,4.04140944609404,22209370.0,22209370.0,5.62390414590249,770.91776875282,27736098.0,990.0,,,50.8,60.701,47.2170638157552,3.18461188539303,28809.0,17303.0,60.061424334664
YR1979,,180.0,,,,,,,,,,,,12.6158605676235,25545346.0,25545346.0,2.1353285160797,859.013585311722,31902220.0,1110.0,,,50.2,60.845,46.8971198950855,3.17378509510862,29738.0,17773.0,59.7661406694091
YR1980,,180.0,,,,,,,,,,,,12.6684664265555,26710653.0,26710653.0,-7.19522267447481,867.961688438292,33357510.0,1120.0,,,49.6,60.989,46.6717574615347,3.42444883601549,30774.0,18357.0,59.6500018889892
YR1981,,180.0,,,,,,,,,,,,9.11052632939737,31020000.0,31020000.0,6.43651281900321,968.86029296936,38739224.0,1240.0,,,48.8,61.139,46.5721335540494,3.95968341012167,32017.0,19181.0,59.9088115657703
YR1982,,180.0,,,,,,,,,,,,7.37839052604537,34918000.0,34918000.0,4.8312289320168,1045.54301284547,43607308.0,1270.0,,,47.9,61.293,46.5378108484422,4.21990638528802,33397.0,20239.0,60.6013253137473
YR1983,,180.0,,,,,,,,,,,,3.51055516897469,41749000.0,41749000.0,15.5080039135055,1199.30481744276,52137870.0,1410.0,,,46.7,61.452,46.505414955043,4.14673531986314,34811.0,21443.0,61.5992839574541
YR1984,,180.0,,,,,,,,,,,,4.10712382476071,45144000.0,45144000.0,3.8660250433562,1244.87094639312,56378183.0,1470.0,,,45.5,61.602,46.4551621442753,4.08920848506334,36264.0,22765.0,62.7744281210275
YR1985,,180.0,,,,,,,,,,,,3.68577732067554,43879000.0,43879000.0,-6.25729173068993,1162.01901432695,54798767.0,1390.0,,,44.3,61.712,46.3858692054076,4.04513103389294,37761.0,24166.0,63.9984984286044
YR1986,,180.0,,,,,,,,,,,,2.45388100758986,55989000.0,55989000.0,24.5424987637753,1425.16418062414,69922358.0,1800.0,,,43.0,61.778,46.3091177518709,3.9591397334607,39286.0,25592.0,65.1432355043216
YR1987,,180.0,,,,,,,,,,,,2.86016652017345,62983000.0,62983000.0,9.36375397249417,1542.64230430097,78656946.0,2060.0,,,41.8,61.808,46.2464485157245,3.84998992291675,40828.0,26979.0,66.0803799723158
YR1988,,180.0,,,,,,,,,,,,4.12325129887783,70688000.0,70688000.0,7.78904656015229,1670.28189314997,88278975.0,2270.0,,,40.4,61.778,46.3044351503981,3.5915296219223,42321.0,28212.0,66.6619310770257
YR1989,,180.0,,,,,,,,,,,,4.7570268608403,72798000.0,72798000.0,-1.69160864306495,1670.21520671775,90914190.0,2170.0,,19.0,39.1,61.733,46.5757353278576,2.94525811131444,43586.0,29166.0,66.9162617615489
YR1990,,180.0,,,,,,,,,,,,4.9898768786237,78476000.0,78476000.0,2.67624654001773,1758.40820990836,98005157.0,2210.0,,18.5,37.7,61.756,47.0209953169464,2.36478740634723,44629.0,29936.0,67.0769951458774
YR1991,,180.0,,253.155555555556,,,,,,,,,,5.04437403552917,82507000.0,82507000.0,0.0877993120756031,1810.63465589888,103038700.0,2240.0,,18.0,36.4,61.792,47.578866516706,2.08218438524189,45568.0,30623.0,67.2032730156839
YR1992,,180.0,,257.711111111111,,,,,,,,,,3.01392706066088,91063000.0,91063000.0,7.14088119818035,1963.07234629646,114233700.0,2500.0,,17.6,35.3,61.9,48.2338992185395,1.78350893049463,46388.0,31221.0,67.3038936005312
YR1993,,180.0,,261.627777777778,,,,,,,,,,3.03372401956675,99461000.0,99461000.0,6.00624977598774,2112.01240099378,125325200.0,2690.0,,17.3,34.4,62.085,49.0035779884698,1.50835649253379,47093.0,31735.0,67.3876551299815
YR1994,,180.0,,265.066666666667,,,,,,,,,,2.62469056467263,108071000.0,108071000.0,5.87769745883959,2265.0695841717,136784000.0,2890.0,,17.3,33.7,62.308,49.8883916875386,1.30585685625334,47712.0,32188.0,67.4633558335976
YR1995,,180.0,,268.144444444444,,,,,,106.864260168011,,,,2.80708815380007,120230000.0,120230000.0,8.21329431843584,2490.98744457796,152854100.0,3210.0,,17.4,33.4,62.515,50.856201634708,1.15444404510935,48266.0,32599.0,67.5397939409419
YR1996,,180.0,,270.972222222222,,,,,,113.293943603529,,,,2.79596467885315,110858000.0,110858000.0,-10.3029571066249,2272.84469502819,135250400.0,2790.0,,17.7,33.4,62.765,51.8769861609431,1.04905074757535,48775.0,32984.0,67.6257676815771
YR1997,,180.0,,273.661111111111,,,,,,107.516697046996,9.93641516971881,78578600.0,71.5100464395862,5.95130751582053,109884700.0,109884700.0,-6.4456755576108,2230.75377088451,134566500.0,2630.0,,18.2,33.6,63.015,52.9314440000812,0.987420553055034,49259.0,33363.0,67.7300752850655
YR1998,,180.0,,276.205555555556,,,,,,111.950823636278,13.0618246972208,79944900.0,71.3347271038395,2.680980274186,112070100.0,112070100.0,-0.674095984599532,2254.16054870567,141795800.0,2690.0,,18.8,33.9,63.218,53.9976265663656,0.925483489018507,49717.0,33739.0,67.8615149809697
