Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,,60.5017317073171,57.342659779145,,1435059.0,488028.0,34.0074973592179
YR1961,,25710.0,,,,,,,,,,,,,,,,,,,,,,61.7780975609756,57.3701106708041,1.39174561420741,1455171.0,512325.0,35.2071772994875
YR1962,,25710.0,,,,,,,,,,,,,,,,,,,,,,59.2847317073171,57.574327609174,1.13253521133034,1471745.0,537174.0,36.4991077587703
YR1963,,25710.0,,,,,,,,,,,,,,,,,,,,,,61.3576097560976,57.9625353697344,1.14793378870544,1488737.0,564253.0,37.9014560056915
YR1964,,25710.0,,,,,,,,,,,,,,,,,,,,,,61.5034146341463,58.4351710900788,1.47773902722615,1510900.0,594844.0,39.3701582085791
YR1965,,25710.0,,,,,,,,,,,,,,,,,,,,,,62.5633658536586,58.8506881961153,1.48250330596219,1533466.0,626680.0,40.8669264898131
YR1966,,25710.0,,,,,,,,,,,,,,,,,,,,,,63.4809024390244,59.2810924205172,1.54544839154421,1557349.0,659591.0,42.3534729717735
YR1967,,25710.0,,,,,,,,,,,,,,,,,,,,,,63.7112926829268,59.757584872467,1.60158029924347,1582492.0,692997.0,43.7915097768402
YR1968,,25710.0,,,,,,,,,,,,,,,,,,,,,,64.5210975609756,60.2389476235759,1.65685420499226,1608930.0,726315.0,45.1427490273931
YR1969,,25710.0,,,,,,,,,,,,,,,,,,,,,,63.9315365853659,60.7456677089282,1.68957343629718,1636345.0,758755.0,46.3689028458124
YR1970,,25710.0,,,,,,,,,,,,,,,,,,,,,,64.9018292682927,61.2505468066492,1.68842384431166,1664208.0,789362.0,47.4316833544778
YR1971,,25710.0,,,,,,,,,,,,,,,,,,,,,,65.1379268292683,61.6526328828982,1.60984622398533,1691216.0,816878.0,48.3012112883063
YR1972,,25710.0,,,,,,,,,,,,,,,,,,,,,,65.5685853658537,61.9716198079067,1.53608110473243,1717395.0,842460.0,49.0545491885119
YR1973,,25710.0,,,,,,,,,,,,,,,,,,,,,,66.9862682926829,62.2772808950942,1.52672074592861,1743816.0,867570.0,49.7512068081048
YR1974,,25710.0,,,,,,,,,,,,,,,,,,,,,,67.0261951219512,62.610778037271,1.52115934621923,1770545.0,892266.0,50.3949735412565
YR1975,,25710.0,,,,,,,,,,,,,,,,,,,,,,67.1628780487805,62.9221422803025,1.53719542736144,1797972.0,916839.0,50.9929561016132
YR1976,,25710.0,,,,,,,,,,,,,,,,,,,,,,67.7716829268293,63.153880700832,1.53753150978819,1825830.0,941257.0,51.5522612028213
YR1977,,25710.0,,,,,,,,,,,,,,,,,,,,,,68.1356585365854,63.3391037256804,1.48457401890924,1853138.0,965114.0,52.079995558527
YR1978,,25710.0,,,,,,,,,,,,,,,,,,,,,,68.9548780487805,63.5975161808381,1.43099721949474,1879847.0,988485.0,52.5832658823767
YR1979,,25710.0,,,,,,,,,,,,,,,,,,,,,,69.0623658536585,63.9270021919484,1.40907736829595,1906523.0,1011776.0,53.0691788880167
YR1980,,25710.0,,,,,,,,,,,,,,,,,,,,,,68.9679756097561,64.2952440665936,1.38116943604683,1933038.0,1035042.0,53.5448412890933
YR1981,,25710.0,,,,,,,,,,,,,,,,,,,,,51.9,69.3280975609756,64.7198626079628,1.33744600111419,1959065.0,1058160.0,54.0135319125395
YR1982,,25710.0,,,,,,,,,,,,,,,,,,,,20.1,50.3,69.7328536585366,65.0680624197967,1.0102114316094,1978956.0,1077632.0,54.4545826776788
YR1983,,25710.0,,,,,,,,,,,,,,,,,,,,20.1,48.3,69.6072926829268,65.3107257840626,0.652002621017606,1991901.0,1092686.0,54.8564489355435
YR1984,,25710.0,,,,,,,,,,,,,,,,,,,,20.0,46.2,70.0617804878049,65.5107394982228,0.575577891175978,2003399.0,1106504.0,55.2313569453645
YR1985,,25710.0,,,,,,,,,,,,,,,,,,,,19.9,44.9,70.0877804878049,65.6592103430892,0.544189230163083,2014331.0,1119752.0,55.5892865339781
YR1986,,25710.0,,,,,,,,,,,,,,,,,,,,19.8,44.4,70.1540975609756,65.7758409508024,0.51502157754377,2024732.0,1132639.0,55.9402175282211
YR1987,,25710.0,,,,,,,,,,,,,,,,,,,,19.6,43.0,70.2638048780488,65.8657292778886,0.513561967478139,2035157.0,1145674.0,56.2941297549298
YR1988,,25710.0,,,,,,,,,,,,,,,,,,,,19.1,39.7,70.3136097560976,65.9135152970506,0.518514997169033,2045737.0,1159135.0,56.6610030409407
YR1989,,25710.0,,,,,,,,,,,,,,,,,,,,18.1,35.8,70.9574634146342,65.9554233237289,0.483349740676951,2055649.0,1172765.0,57.0508172130905
YR1990,,25710.0,,,,,,851828621.908127,530171000.0,58.687030075188,37.4351503759399,210364000.0,39.5421052631579,,4699646643.10954,532000000.0,,2277.30372314314,525774000.0,,,17.1,32.9,71.1720975609756,66.0046969275174,0.390354479735865,2063689.0,1186075.0,57.4735520982155
YR1991,,25710.0,,,,,,1016928571.42857,962487000.0,46.3763429752066,28.2944214876033,390723000.0,40.3639462809917,93.9213213804937,4938775510.20408,968000000.0,-6.17076764806545,2402.13517656378,962316000.0,,,16.3,31.5,71.5829024390244,66.0990255808139,-0.373572867090514,2055994.0,1190996.0,57.9279731988744
YR1992,619.0,25710.0,,79.9261895399135,,,,452185621.685327,12373678000.0,102.38399161696,33.1861679832339,4618811000.0,37.2304610672255,1271.66403962857,2436849341.97604,12406000000.0,-6.56519867685854,1198.92829846257,12039448000.0,1710.0,,15.6,30.2,71.1484634146342,66.1923136909152,-1.14815508117598,2032523.0,1190181.0,58.5568077404273
YR1993,619.0,25710.0,,78.9167911915061,,,,537584353.448276,64246832000.0,96.4424485401636,29.7102132309225,28042426000.0,45.0603795414009,442.129422476342,2682456896.55172,62233000000.0,-7.46927131858557,1336.64775641463,60917768800.0,1440.0,96.9575271606445,14.6,27.9,71.5965609756098,66.1842948753883,-1.27095567119672,2006854.0,1191337.0,59.3634005625664
YR1994,619.0,25710.0,0.674231423376623,78.3588674793551,126.583368336245,,,644312278.178885,161365000000.0,82.3350649350649,24.2724512987013,69135504300.0,44.8931846103896,151.885706190481,3559608639.98379,154000000000.0,-1.75816618126913,1786.35488334914,151982220000.0,1390.0,99.4571380615234,13.5,24.9,71.6926829268293,66.0459655556927,-0.709488114346886,1992666.0,1190735.0,59.7558735093252
YR1995,619.0,25710.0,0.201612846891106,78.589618560755,16.3735889723569,,,831297216.987659,186061200000.0,72.0437886613838,24.0771785812429,81347563000.0,45.6211691931513,17.0916163109023,4707041315.24202,178311000000.0,-1.11472769414412,2355.24705371138,176803421200.0,1780.0,100.050132751465,12.5,22.0,71.8487804878049,65.9462135745501,0.294047115056872,1998534.0,1193680.0,59.7277853696842
YR1996,619.0,25710.0,0.241489630939744,79.1408965788439,2.46660008582917,5223000000.0,2.81367674231936,800003501.656721,204864500000.0,57.9231431142338,23.8170838878622,85475909000.0,46.0555672897146,2.86482093164999,4642021256.30689,185593000000.0,1.18510388873231,2306.53366957635,183542139900.0,2160.0,101.086738586426,11.7,19.4,72.4951219512195,66.0281741648543,0.699015358344186,2012553.0,1200658.0,59.6584367661814
YR1997,619.0,25710.0,0.402250343703204,78.5241447109713,1.29436487155047,4163000000.0,2.12824694412777,733948623.596348,234645598000.0,71.8342589043406,28.2036029806351,84177538700.0,43.0216948017765,3.92928882813115,3912986090.97363,195663000000.0,1.43998133659125,1959.56073782188,192953880000.0,2220.0,99.8079528808594,11.0,17.4,72.4463414634146,66.17772974083,-0.782361148312478,1996869.0,1189442.0,59.5653457641602
YR1998,619.0,25710.0,4.01398371553196,78.9430987023201,0.544199652523073,4302000000.0,2.09823976120451,725353341.216667,256616487800.0,76.5874821175197,27.7543953600632,89037630800.0,43.4141425429935,1.3917089531508,3765745023.2074,205089000000.0,3.37873564718296,1875.81662735988,202166262000.0,2010.0,97.9289932250977,10.4,16.1,72.2975609756098,66.3237496859001,0.532116992485007,2007523.0,1191301.0,59.3418252359274
YR1999,619.0,25710.0,2.36373528779129,79.3213527329925,-1.27928657572628,3769000000.0,1.71382060586219,755845664.57162,267359300000.0,72.6249786897251,26.5943719040969,97726186600.0,44.4519081906963,2.73806691562446,3863619284.77939,219847000000.0,4.33902791307588,1915.39281060996,215742803000.0,1910.0,95.8072814941406,9.8,15.1,72.790243902439,66.5338923590648,0.478003427125101,2017142.0,1189021.0,58.9458313681452
YR2000,619.0,25710.0,5.76504706871211,79.6834447502949,6.60742291038536,4602000000.0,1.850821459557,638778905.037545,284121000000.0,80.1601473580914,21.4063367196738,131273000000.0,52.7951384699533,8.17838315960276,3772859034.20508,248646000000.0,4.54913578288874,1861.89899780644,244031636900.0,1920.0,101.575706481934,9.2,14.2,72.9463414634147,66.8209663130802,0.455448702114895,2026350.0,1185249.0,58.4918382392587
YR2001,619.0,25710.0,12.6581341812696,80.0189539913488,5.19888525744048,15397000000.0,6.10039562766158,884090750.855125,285410000000.0,71.4782105684389,20.5865455856541,137229000000.0,54.3711592635295,4.71896097213485,3709636030.66578,252393000000.0,-3.06725662451662,1823.02267682636,250539375300.0,1820.0,101.231201171875,8.6,13.4,73.4365853658537,67.1026631647567,0.420168685369998,2034882.0,1182151.0,58.0943199277127
YR2002,619.0,25710.0,2.8417888915258,79.4399134880063,2.31459794083216,6841000000.0,2.64559751876128,833911009.378243,307534000000.0,71.5334846721143,19.3780672207161,136794000000.0,52.9017986627014,0.943966842274364,4018365747.00972,258581000000.0,1.49366547202928,1989.13537265159,255636896100.0,1850.0,99.6265335083008,8.3,12.9,73.0390243902439,67.3422884919816,-0.726260079023056,2020157.0,1169118.0,57.8726144171205
YR2003,619.0,25710.0,2.40668449308174,79.5408965788439,0.855562122724219,6292000000.0,2.34170115867248,894255905.194515,311031000000.0,71.0693204909674,22.4884068866443,140746000000.0,52.3815194980163,1.65164896737944,4946296599.08467,268694000000.0,2.22260165732409,2445.36286400013,265437942700.0,2120.0,97.4190902709961,8.5,12.6,73.2414634146342,67.5557830721563,0.127038105260946,2022725.0,1170150.0,57.8501791693323
YR2004,619.0,25710.0,5.4398972911896,79.283759339363,-0.448650206551934,6683000000.0,2.38010407130392,989092618.27981,335432000000.0,80.8704849956907,21.0384420875685,152169000000.0,54.1939412933693,-0.16604205392737,5682784471.69722,280786000000.0,4.67408957960916,2818.5814561242,279042356100.0,2610.0,97.4486389160156,8.9,12.5,73.5975609756098,67.8101563778632,-0.323800435972555,2016186.0,1166420.0,57.8527941292946
YR2005,619.0,25710.0,2.32207737874559,78.8568619740464,0.525515950714247,6259210000.0,2.02926330577443,1012951893.226,358496000000.0,85.8410034787176,20.3620070871171,172011000000.0,55.766792998473,4.89589936820212,6258602872.67898,308447000000.0,4.72408864201974,3120.98401394233,303066916500.0,3070.0,98.1046905517578,9.0,12.2,73.6975609756098,68.111832363427,-0.539897211401132,2005330.0,1160312.0,57.8614206464767
YR2006,619.0,25710.0,6.22985642423446,78.4226110892646,3.21362929606345,6149460000.0,1.83653768735825,1132827833.87741,391658000000.0,92.5516664675666,21.6625851152789,188468000000.0,56.2859873372357,3.25262417820976,6861226971.55617,334840000000.0,5.13702516153505,3440.4411057968,333499737900.0,3430.0,97.4777984619141,8.8,11.6,73.8951219512195,68.38985886208,-0.55220427661592,1994287.0,1154286.0,57.8796574341199
YR2007,619.0,25710.0,8.79828562205673,78.5942528735632,2.2517579830545,7271600000.0,1.95006969471653,1400788203.5377,439487000000.0,106.092966003288,20.5809235456128,211326000000.0,56.6726291201939,4.59255256903033,8336474973.72949,372889000000.0,6.47348685752347,4204.11328760452,355477797300.0,3730.0,97.6788101196289,8.3,10.9,73.8,68.5858407317678,-0.570953120211137,1982933.0,1148338.0,57.9111032054655
YR2008,619.0,25710.0,6.17271448582765,78.1408244153785,8.33189666968108,7228800000.0,1.74234086894233,1841515805.87825,519114000000.0,111.570054713298,19.5331292631782,228632000000.0,55.1066547759647,5.49119403600274,9909552434.51136,414890000000.0,5.47200139015595,5026.4202989873,409876216500.0,4540.0,91.8012084960938,7.7,10.2,74.4,68.7450080498968,-0.578593804248589,1971493.0,1142665.0,57.9593566737547
YR2009,619.0,25710.0,2.76045082206623,77.6678033306899,-0.739633963061192,6999500000.0,1.68816456224776,1793446003.82195,504038000000.0,87.1767537660809,18.9727028474128,236705000000.0,57.0893488526899,0.295077614209276,9401736825.42688,414622000000.0,-0.358614856979671,4799.78722768888,411675117600.0,4860.0,91.9132537841797,7.2,9.6,74.4463414634146,68.9080623906113,-0.646827222901633,1958782.0,1136642.0,58.0280165522288
YR2010,619.0,25710.0,3.20438209801498,77.1727993655829,1.50997522027613,6044100000.0,1.38215461102863,1720626557.26341,517327000000.0,97.8810691156562,21.0422688522191,240926000000.0,55.0944897735173,2.04128302301487,9407170321.37752,437296000000.0,3.35875085773812,4833.36586759968,431202506500.0,5010.0,92.3337936401367,6.8,9.2,74.9975609756098,69.0446769566733,-0.63937448291812,1946298.0,1131202.0,58.1206815541291
YR2011,619.0,25710.0,4.83981702288781,76.8199048374306,3.9047542206974,5858900000.0,1.26218709982742,1901660210.95017,552119000000.0,113.19191013947,21.5924220032487,255743000000.0,55.0949403902746,3.72217234010574,10494626767.6445,464186000000.0,2.33988604520331,5416.86672931659,455902602400.0,5140.0,,6.7,9.1,75.1,69.1461987100366,-0.458327097678151,1937398.0,1128359.0,58.2409503926967
YR2012,619.0,25710.0,3.46744163927686,76.5194686756542,3.31605566687647,5718600000.0,1.22531966171625,1817301016.38643,566887000000.0,112.214834702155,21.0808587045723,262808000000.0,56.3116157384889,1.00299826672435,9745261300.57788,466703000000.0,-0.456183223607937,5049.8265386157,456594542200.0,5090.0,92.9667129516602,6.9,9.2,74.9024390243903,69.1426503923837,-0.391858319665176,1929821.0,1126869.0,58.3924217811729
YR2013,619.0,25710.0,3.72036775399161,76.2377478191911,2.78500056726109,5869300000.0,1.16943718855289,1893616820.4127,592556000000.0,104.857229956305,22.1404647622691,275261000000.0,54.8447770531849,4.48329315377931,10817702346.0674,501891000000.0,2.92525766450484,5626.26115664893,489999186600.0,5400.0,96.9780578613281,7.4,9.5,75.4,68.9591860049273,-0.368848270904885,1922716.0,1126302.0,58.578694432799
YR2014,619.0,25710.0,0.535807905351314,76.0331879460745,-0.281705032928494,5766800000.0,1.09296080025624,1944349232.08327,618448000000.0,112.537928969299,22.822578658191,284006000000.0,53.8266326277266,1.44696785759902,11362265252.778,527631000000.0,3.62912351276373,5925.38592218015,517758320400.0,5630.0,95.9001388549805,7.9,9.8,75.4512195121951,68.7390615884657,-0.268678976911211,1917557.0,1127588.0,58.8033670608162
YR2015,619.0,25710.0,2.94702779153329,75.8298969072165,-0.299920475631462,5552800000.0,0.99342769175221,1708588361.91859,649629000000.0,113.698443879103,23.9221832208017,300327000000.0,53.7301817323071,2.00342084578241,10064519962.5655,558954000000.0,3.85586514041738,5262.68671928674,541343850000.0,5550.0,96.8858184814453,8.1,9.8,75.4024390243902,68.5500811466163,-0.267729528193655,1912430.0,1129673.0,59.0700383784659
YR2016,619.0,25710.0,5.14755489783813,75.5873513084853,-0.239290787684501,5770200000.0,0.970115977909212,1646764028.92607,683169000000.0,116.185408418026,23.9630460915105,318510000000.0,53.5495422792727,3.46525285653088,10672467073.2873,594795000000.0,2.84820519363306,5598.48622617967,571134546600.0,5440.0,,7.7,9.4,75.4,68.3122503676847,-0.320367473371963,1906313.0,1132013.0,59.3823070989891
YR2017,619.0,25710.0,3.36726558000357,75.2837827121332,1.35161889677442,5532300000.0,0.895041406541028,1687098276.94117,703688000000.0,124.13728389629,24.2589458765972,337110000000.0,54.5391890711302,2.80702703539038,11307067069.6658,618106000000.0,1.08177273813243,5955.2973863451,593634858900.0,5390.0,95.2024078369141,6.9,8.5,75.9536585365854,67.9961161917142,-0.40242158713311,1898657.0,1134329.0,59.7437719356273
YR2018,619.0,25710.0,5.11494867914756,74.9028945281523,1.45831298507126,6232800000.0,0.943108732670231,1811614645.74085,743256000000.0,133.215207648008,24.0504298826712,359000000000.0,54.3216751049362,3.92615528936682,12683068114.2388,660878000000.0,2.88059670964267,6713.98925398989,633152982600.0,6050.0,95.5603866577148,5.7,7.4,76.6487804878049,67.562678785047,-0.507220756968942,1889051.0,1136416.0,60.1580316016216
YR2019,619.0,25710.0,4.35892493383855,74.3957969865186,0.766439573459805,8029000000.0,1.15911628553257,1764566711.31559,787997000000.0,138.576231840539,23.7034834116039,380941000000.0,54.994997711796,0.86816868476069,12606338448.547,692683000000.0,3.91041953840173,6718.85826635458,660721788900.0,6520.0,93.6538467407227,4.5,6.3,76.6024390243903,66.9991320803039,-0.679308688552216,1876262.0,1137553.0,60.6286848102132
