Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,,30.459,57.001767683779,,5402550.0,379397.0,7.02254508027357
YR1961,282.0,1240190.0,,4.49297486457027,,962000000.0,2.70224719101124,,,,,,,,,,,,,,,,,30.637,56.9312182534174,1.46505557125963,5482283.0,404142.0,7.37178329948045
YR1962,282.0,1240190.0,,4.55987756005212,,1064000000.0,2.89130434782609,,,,,,,,,,,,,,,,,30.833,56.8766392453374,1.4780736581045,5563917.0,430150.0,7.7310651807141
YR1963,282.0,1240190.0,,4.62764405543399,,1072000000.0,2.64691358024691,,,,,,,,,,,,,,,,,31.02,56.7956674851526,1.47521229746136,5646605.0,457299.0,8.09865083071322
YR1964,282.0,1240190.0,,4.6960924118375,,1268000000.0,2.86877828054299,,,,,,,,,,,,,,,102.0,,31.231,56.6494011910735,1.46828658985497,5730125.0,485502.0,8.47280035621652
YR1965,282.0,1240190.0,,4.7660503692048,,1139000000.0,2.51991150442478,,,,,,,,,,,,,,,101.3,,31.529,56.5039264983311,1.47871858916455,5815487.0,514774.0,8.85177386396273
YR1966,282.0,1240190.0,,4.83711880936575,,1139000000.0,2.40803382663848,,,,,,,,,,,,,,,100.7,205.0,31.792,56.3682857820328,1.48013090887197,5902204.0,545000.0,9.23383146069055
YR1967,282.0,1240190.0,,4.90981404535359,,1250000000.0,2.40384615384615,32764957.180773,75869410300.0,35.2653522112636,8.81633849547724,12763597800.0,18.8331710027802,,275494477.586098,67771899900.0,,45.9854448702914,67612799000.0,,,100.2,202.0,32.197,56.2047042634286,1.49168122989301,5990906.0,576159.0,9.61723325313869
YR1968,282.0,1240190.0,,4.98527196584139,,1300000000.0,1.99081163859112,40219021.2955002,91174108100.0,28.3176926431761,10.3448880788603,17776601100.0,20.8876485629741,21.0864475019902,343771972.993855,85105803300.0,3.70841019648789,56.5137530466331,84615299100.0,,,99.8,199.3,32.568,56.0196538587141,1.5251890311925,6082979.0,608312.0,10.0002393480459
YR1969,282.0,1240190.0,,5.06290331833567,,1475000000.0,2.17551622418879,40854657.8297677,94663099400.0,30.2158556195448,10.0471685344441,18782601200.0,21.2558936195476,3.58935608902114,339913867.092785,88364204000.0,0.230999419524053,55.0226859514125,87659102200.0,50.0,,99.5,196.6,32.871,55.8184076155154,1.54521383143118,6177704.0,641314.0,10.3811098521508
YR1970,282.0,1240190.0,,5.14384808923201,,1700000000.0,2.22804718217562,40825875.6484374,104317096900.0,30.6710851866592,10.2276505929754,19423097900.0,19.5320483493142,6.0297446816833,359772315.102198,99442196500.0,6.13695486255882,57.3207870762744,97880997900.0,60.0,,99.3,193.8,33.396,55.6078319157641,1.58613577782131,6276472.0,675229.0,10.7581048721922
