Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,3.38461538461553,,,,,,,,,,,,,,,,,,35.8,68.3440975609756,57.046278943232,,326550.0,294305.0,90.1256237547625
YR1961,560.0,320.0,,1016.40625,2.51132153100695,,,,,,,,,,,,,,,,,,34.5,68.3216341463415,57.6451155135961,-0.398895895605156,325250.0,292747.0,90.0068971957132
YR1962,560.0,320.0,,1012.1875,0.168674698957635,,,,,,,,,,,,,,,,,,33.4,69.0752682926829,58.3174603654893,-0.415929121533107,323900.0,291097.0,89.8723641372175
YR1963,560.0,320.0,,1007.96875,1.87635313921265,,,,,,,,,,,,,,,,,,32.5,69.158512195122,58.9940131380465,-0.417666319903278,322550.0,289435.0,89.7332213287015
YR1964,560.0,320.0,,1003.90625,2.18024399859687,,,,,,,,,,,,,,,,,,31.6,69.2581951219512,59.6573481128446,-0.403852676882117,321250.0,287842.0,89.6006655195911
YR1965,560.0,320.0,,996.25,1.60221845610132,,,,,,,,,,,,,,,,,,30.7,69.3719024390244,60.3085541145639,-0.765568929336958,318800.0,285281.0,89.4858934593124
YR1966,560.0,320.0,,985.0,0.52312357869953,,,,,,,,,,,,,,,,,,29.6,69.6580975609756,60.9389129330052,-1.13565889323359,315200.0,281789.0,89.4001018972914
YR1967,560.0,320.0,,973.59375,0.693868315713048,,,,,,,,,,,,,,,,,,28.6,69.710512195122,61.5478686772921,-1.1647518993493,311550.0,278388.0,89.3558245936616
YR1968,560.0,320.0,,962.1875,2.03730057682276,,,,,,,,,,,,,,,,,,27.4,69.8187804878049,62.2357130492841,-1.17847840597764,307900.0,275110.0,89.3505272317533
YR1969,560.0,320.0,,950.9375,2.33428760186217,,,,,,,,,,,,,,,,,,26.2,69.9741463414634,62.9552305906335,-1.17609980275292,304300.0,271904.0,89.3538059193728
YR1970,560.0,320.0,4.62651285840265,945.78125,3.71565884809263,,,44801885.0720142,309813700.0,115.539678143387,45.8856481142845,86543600.0,35.5633394781028,,250728796.288378,243350600.0,,828.44472588263,262072400.0,,,19.1,24.9,70.2849512195122,63.5849710592587,-0.543703456522926,302650.0,270448.0,89.3600772636723
YR1971,560.0,320.0,4.36349218026976,945.9375,2.32381215838809,,,48715023.1201987,309496600.0,114.449956576516,41.9503939998669,99580200.0,39.6890248787271,0.633192913579947,264578484.770195,250901100.0,2.45399361227831,874.061727024101,270188800.0,,,18.1,23.7,70.0765365853659,64.1542351260722,0.0165193689976679,302700.0,270521.0,89.3693363657681
YR1972,560.0,320.0,1.50969128660903,945.15625,3.37276106781155,,,52750285.4860576,317331400.0,113.984501018105,47.259504439745,88756500.0,33.8376392626642,-1.22328469989226,295106628.339343,262301100.0,5.83832702652094,975.720378043786,283723700.0,1090.0,,17.1,22.5,70.5963170731707,64.6846251928584,-0.0826241474749714,302450.0,270335.0,89.3815783267766
YR1973,560.0,320.0,1.49063955889666,944.375,7.68928991786149,,,62803978.7443325,349825500.0,133.809610897969,49.1412285408177,94384500.0,31.7892792584337,8.6867780882407,345616105.882558,296906700.0,4.1461383732607,1143.66679643467,316225100.0,1260.0,,16.1,21.3,71.2199268292683,65.1767521833648,-0.0826924714284027,302200.0,270157.0,89.3967982478139
YR1974,560.0,320.0,2.82812495083741,943.7375,7.25561627204007,,,71003228.5331501,427804500.0,175.721901633694,55.0748323412643,99290600.0,29.4024576622271,3.36371615766511,376081124.273469,337694900.0,10.036403959707,1245.31823028606,369746400.0,1560.0,,15.2,20.2,71.8290731707317,65.6191679304388,-0.067527758459834,301996.0,270030.0,89.4149912299964
YR1975,560.0,320.0,3.3401739490062,950.69375,8.79166666616691,,,80697508.8809154,474557800.0,160.024334612201,61.1402665194805,116638500.0,27.4183990072456,5.36324356652349,474618321.462361,425402300.0,19.5600808646505,1560.10519115107,472335600.0,1990.0,,14.3,19.0,71.9532195121951,66.0018503496021,0.734392579767725,304222.0,272084.0,89.4361523744403
