Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,,65.4921951219512,57.3431070231771,,480579.0,118084.0,24.571234479916
YR1961,,13810.0,,,,,,,,,,,,,,,,,,,,,,65.9281951219512,57.1917242014369,2.17375925679767,491140.0,126611.0,25.7790388078295
YR1962,,13810.0,,,,,,,,,,,,,,,,,,,,,,66.2178780487805,57.1668612206015,2.29818366231939,502558.0,134598.0,26.782619327931
YR1963,,13810.0,,,,,,,,,,,,,,,,,,,,,,66.6071951219512,57.3261190920325,2.1361742316178,513409.0,142262.0,27.7093109678886
YR1964,,13810.0,,,,,,,,,,,,,,,,,,,,,,67.2085609756098,57.6115774741136,1.61214973467181,521753.0,149073.0,28.5714861571267
YR1965,,13810.0,,,,,,,,,,,,,,,,,,,,,,67.9017317073171,57.9316234897354,0.872839676191004,526327.0,154681.0,29.388716686176
YR1966,,13810.0,,,,,,,,,,,,,,,,,,,,,,68.4289024390244,58.2597292549547,0.0174781001750046,526419.0,158876.0,30.1805743455672
YR1967,,13810.0,,,,,,,,,,,,,,,,,,,,,,69.0755609756098,58.6719211975973,-0.690614297326432,522796.0,161892.0,30.9666309258311
YR1968,,13810.0,,,,,,,,,,,,,,,,,,,,,,69.6431707317073,59.2246797661503,-1.02185211217188,517481.0,164385.0,31.7664582174984
YR1969,,13810.0,,,,,,,,,,,,,,,,,,,,,,69.9628780487805,59.8434918404296,-0.803441582144579,513340.0,167347.0,32.5996280110998
YR1970,,13810.0,,,,,,,,,,,,,,,,,,,,,,70.2063170731708,60.4102357878759,-0.181916253677007,512407.0,171583.0,33.485712097166
YR1971,,13810.0,,,,,,,,,,,,,,,,,,,,,,70.6126585365854,60.9052182875062,0.591913435667873,515449.0,177579.0,34.4512710191297
YR1972,,13810.0,,,,,,,,,,,,,,,,,,,,,,71.0364634146342,61.3836189517993,1.22172601550803,521785.0,185453.0,35.5420263207241
YR1973,,13810.0,,,,,,,,,,,,,,,,,,,,,,71.3676097560976,61.8576800143521,1.60363891147576,530220.0,194892.0,36.7568780530979
YR1974,,13810.0,,,,,,,,,,,,,,,,,,,,,,71.4118048780488,62.2719907491318,1.62417214382816,538902.0,205039.0,38.0475354390408
YR1975,,13810.0,,,,,,,,,,,,,,,,,,,,,,71.7094146341463,62.5861750225702,1.39767833972461,546487.0,215153.0,39.3702087343124
YR1976,,13810.0,,,,,,,,,,,,,,,,,,,,,,71.8461951219512,62.8423322986086,1.10551246971039,552562.0,224788.0,40.6811081946725
YR1977,,13810.0,,,,,,,,,,,,,,,,,,,,,,71.6151219512195,63.1268999970075,0.903317262251136,557576.0,233828.0,41.936444075881
YR1978,,13810.0,,,,,,,,,,,,,,,,,,,,,,71.7102195121951,63.4888128665983,0.80186846556567,562065.0,242207.0,43.0924266336974
YR1979,,13810.0,,,,,,,,,,,,,,,,,,,,,,71.2804634146342,63.9001125193541,0.854425178299615,566888.0,250027.0,44.1052661238816
YR1980,,13810.0,,,,,,,,,,,,,,,,,,,,,,72.0325853658537,64.3147464177012,1.00396105733667,572608.0,257279.0,44.9311728021932
YR1981,,13810.0,,,,,,,,,,,,,,,,,,,,,,71.9192926829268,64.7620775086306,1.1869384945834,579445.0,263841.0,45.533425078027
YR1982,,13810.0,,,,,,,,,,,,,,,,,,,,,,72.1014878048781,65.2282530235661,1.29557745331934,587001.0,269972.0,45.9918224958774
YR1983,,13810.0,,,,,,,,,,,,,,,,,,,,,,72.1067804878049,65.6322241505237,1.27042851904675,594506.0,275685.0,46.3721589502665
YR1984,,13810.0,,,,,,,,,,,,,,,,,,,,,24.6,72.0980487804878,65.9517665227815,1.06710956641822,600884.0,280573.0,46.6933514843074
YR1985,,13810.0,,,,,,,,,,,,,,,,,,,,,22.3,72.2386097560976,66.177768167165,0.74841887224285,605398.0,284393.0,46.9761716809393
YR1986,,13810.0,,,,,,,,,,,,,,,,,,,,,20.3,72.5884634146342,66.3239097850923,0.381334703294713,607711.0,287091.0,47.2413911231014
YR1987,,13810.0,,,,,,,,,,,,,,,,,,,,,18.5,72.9833414634146,66.4246029794975,0.0712256014583022,608144.0,288928.0,47.5097813937329
YR1988,,13810.0,,,,,,,,,,,,,,,,,,,,,17.0,73.2131219512195,66.4844858369141,-0.120274094611961,607413.0,290356.0,47.8021140757729
YR1989,,13810.0,,,,,,,,,,,,,,,,,,,,11.7,15.7,73.6204878048781,66.4878565802652,-0.138716842234699,606571.0,291998.0,48.1391607521605
YR1990,,13810.0,,,,,,,,,,,,,,,,,,,,10.9,14.8,73.6963414634146,66.4315862929233,-0.0328127540676757,606372.0,294343.0,48.541693005835
YR1991,,13810.0,,,,,,,,,,,,,,,,,,,,10.4,14.2,73.7667317073171,66.389788295895,0.120809885832418,607105.0,297734.0,49.0415573735914
YR1992,,13810.0,,,,,,,,,,,,,,,,,,,,9.9,13.8,73.6216585365854,66.399928436734,0.232144826993095,608516.0,302573.0,49.7231487452489
YR1993,,13810.0,,,,,,,,,,,,,,,,,,,,9.6,13.6,73.6938780487805,66.4179532207502,0.271440061763539,610170.0,308823.0,50.6126642944792
YR1994,,13810.0,,,,,,,,,,,,,,,,,,,,9.4,13.5,73.5877804878049,66.4448512251579,0.199581093444201,611389.0,315863.0,51.6631765173545
YR1995,,13810.0,,,,,,,,,,,,,,,,,,,,9.2,13.5,73.5649268292683,66.4895681054704,0.0528165715682825,611712.0,323194.0,52.8343773069715
YR1996,,13810.0,,,,,,,,,,,,,,,,,,,,9.0,13.5,73.4447317073171,66.5572275277635,-0.115971437246349,611003.0,330467.0,54.0859585564272
YR1997,,13810.0,,,,,,,,,,,,,838288806.001293,743234400.0,,1375.32616813442,780814700.0,,,8.8,13.4,73.3429756097561,66.6579062636881,-0.243010697842063,609520.0,337538.0,55.3776121588181
YR1998,,13810.0,,,,,,,,,,,,-1.82580331856855,854261160.714286,765418000.0,4.90000584633157,1405.81632669854,804119900.0,,,8.6,13.3,73.2877804878049,66.780293980118,-0.305295583261971,607662.0,344356.0,56.6690300072411
YR1999,,13810.0,,,,,,,,,,,,12.1593483491072,828950327.353261,777790000.0,-9.39999812435001,1367.90257335097,817117500.0,1360.0,,8.5,13.0,73.1438780487805,66.890462845814,-0.4193256157655,606001.0,350995.0,57.919903994793
YR2000,,13810.0,,,,,,215902762.063535,1218043000.0,87.9252021443203,21.2590046532839,619991000.0,58.1769336369838,32.8964982204043,984293043.811565,1065699000.0,3.10000005928038,1627.06511911987,1119584000.0,1510.0,,8.4,12.7,73.3968048780488,66.9703331869532,-0.0279740186992493,604950.0,357465.0,59.0899260145706
YR2001,,13810.0,,,,,,291946981.909368,1600270000.0,100.409386075314,22.3143207912841,742825000.0,57.3561319115751,20.2047517131955,1159869245.92513,1295110000.0,1.09983870937087,1909.59870186179,1359865500.0,1710.0,,8.4,12.2,73.5801951219512,67.0090742613066,0.402363248322291,607389.0,365276.0,60.1387879596705
YR2002,,13810.0,,,,,,319383322.315611,1693873000.0,95.2294000160253,21.5953506185527,776504000.0,57.0810664584854,3.07515583540339,1284685050.52413,1360353000.0,1.90393673332888,2106.6350684523,1436411000.0,1970.0,,8.2,11.5,73.9652195121951,67.0048827131128,0.400750772330341,609828.0,372155.0,61.0261817231895
YR2003,,13810.0,,,,,,457063213.841457,1757425000.0,77.5983890107329,19.3294873017387,848509000.0,56.1878860599896,8.32077420436556,1707710053.14938,1510128000.0,2.48265922878505,2789.15906483509,1598054000.0,2440.0,105.827690124512,7.9,10.8,74.0557317073171,66.9499865442788,0.399151168806326,612267.0,377761.0,61.6986616237464
YR2004,,13810.0,,,,,,545366277.626024,1938043000.0,100.109654967142,18.9729443885822,950028000.0,56.8952971733453,5.88572665036699,2073234417.68066,1669783000.0,4.42605071745108,3380.16512135859,1756025000.0,3100.0,104.632583618164,7.5,10.1,74.2056097560976,66.8459424681678,0.177216475615812,613353.0,381570.0,62.210498320663
YR2005,,13810.0,,,,48900000.0,2.69436332580307,675811466.235543,2133106000.0,104.625139256659,17.341544930727,1046325000.0,57.6489509056228,4.33458318340649,2257174480.78597,1814994000.0,4.18060450885471,3674.6179242797,1835006100.0,3660.0,108.755180358887,7.0,9.3,73.9829268292683,66.7604289882502,0.147929262061512,614261.0,384996.0,62.6763680644251
YR2006,,13810.0,,45.7267657992565,2.92451258123648,49700000.0,2.29071316307389,529287793.250533,2966258300.0,118.177129375183,18.4566268180351,1247704400.0,57.5966091195002,9.93705217145468,2717702923.09622,2166281000.0,8.56641802964204,4418.84951521682,2202517500.0,4320.0,112.498550415039,6.5,8.6,73.8390243902439,66.7728922761887,0.12429981279666,615025.0,388150.0,63.111308588912
YR2007,,13810.0,25.4861452996323,45.7899628252788,4.34712215656112,46900000.0,1.74405848731746,746500684.369012,3836418400.0,128.844214152476,17.4236682122468,1531546200.0,56.9966369091048,15.7775537464042,3677910895.15467,2687081700.0,7.13755016459636,5971.84638953467,2718340100.0,5120.0,116.795532226562,5.9,7.8,74.3390243902439,66.8949924886936,0.138110347731053,615875.0,391103.0,63.5035790981749
YR2008,,13810.0,21.4776806860127,45.8713011152416,8.75872769588798,58100000.0,1.87218246206494,1040775889.84913,4754146200.0,132.48054069386,18.134854953618,1764430600.0,56.9162660570586,7.92331833543511,4540861725.50168,3100046300.0,6.89860030860218,7359.95118960869,3145841300.0,6450.0,120.292976379395,5.5,7.1,75.1365853658537,67.0527278028015,0.177475866720179,616969.0,393882.0,63.8414387962647
YR2009,,13810.0,37.4226485249522,45.969814126394,3.46672373207793,55200000.0,1.84376127299691,928525979.438733,3902889300.0,99.8255760432413,17.530109017069,1773541800.0,59.4774525067722,2.32161554614552,4142640316.75465,2981872500.0,-5.99444862538753,6700.11405052395,2987247600.0,6710.0,113.767211914062,5.0,6.4,75.1439024390244,67.216286194288,0.214529295893828,618294.0,396408.0,64.1131468872325
YR2010,,13810.0,18.328887946631,46.054126394052,0.654946570148479,56700000.0,1.81434774678489,930807533.782575,3914357900.0,98.8684992495822,17.1885067406217,1896933400.0,60.7888561942815,1.82373659504221,4136936189.28052,3120528200.0,2.77559782547836,6678.63930800758,3098790100.0,6910.0,108.25479888916,4.5,5.8,75.990243902439,67.45550662605,0.183239906425096,619428.0,398335.0,64.3069625751293
YR2011,,13810.0,12.3507061996589,46.1223048327138,3.4501431124869,57100000.0,1.74896930267889,974091540.532339,3946109700.0,106.752728264703,15.1880842120516,2049368200.0,63.291503899449,0.342477045376484,4507126949.08507,3237983100.0,3.40978812497193,7265.51668681954,3264251800.0,7230.0,98.0292282104492,4.0,5.2,76.0829268292683,67.6701373110738,0.147930333573243,620345.0,399633.0,64.4210914835811
YR2012,,13810.0,15.1805596099333,46.2020817843866,4.14524724981119,52700000.0,1.65646177250839,875530810.521907,3940624800.0,108.779987603414,14.8926108798408,2028882900.0,64.0175673838773,0.374220028793729,4071829462.26447,3169259600.0,-2.48732882965353,6552.48071710904,3223086500.0,6980.0,99.0702972412109,3.6,4.7,76.3,67.6981721753954,0.172818849821581,621418.0,400966.0,64.5244008658951
YR2013,,13810.0,10.0960454055249,46.2889962825279,2.20589268141178,48832000.0,1.45226142609027,885370246.166719,4004991200.0,103.785966371179,15.5405922471564,2035417700.0,61.1310638130195,1.61820491601587,4422097762.7848,3329596400.0,3.38612548540247,7102.77882895852,3395140800.0,7260.0,,3.1,4.3,76.490243902439,67.5955164422124,0.187941422115648,622587.0,402349.0,64.6252987959653
