Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,,41.197,55.9426664452287,,6713695.0,243281.0,3.62365921642075
YR1961,1032.0,799380.0,,8.69164526056105,,,,,,,,,,,,,,,,,,,,41.5,55.7759428910527,1.78976365012273,6834936.0,261786.0,3.83011297547764
YR1962,1032.0,799380.0,,8.86259060505099,,,,,,,,,,,,,,,,,,,,41.761,55.5455634115251,1.94768658402485,6969364.0,284037.0,4.07550624114648
YR1963,1032.0,799380.0,,9.04121162796612,,,,,,,,,,,,,,,,,,,144.1,41.958,55.3161553275269,1.99540798401864,7109828.0,309956.0,4.35953753811056
YR1964,1032.0,799380.0,,9.22589714896106,,,,,,,,,,,,,,,,,,,145.6,41.656,55.0761254798547,2.02212420526424,7255061.0,339549.0,4.68017352237628
YR1965,1032.0,799380.0,,9.41837406851649,,,,,,,,,,,,,,,,,,,147.0,41.792,54.8108900919142,2.06480323811709,7406421.0,372942.0,5.03538084995009
YR1966,1032.0,799380.0,,9.61747501208067,,,,,,,,,,,,,,,,,,,148.4,41.835,54.5567493808666,2.09192879699268,7562990.0,410150.0,5.4231261768384
YR1967,1032.0,799380.0,,9.82292275998881,,,,,,,,,,,,,,,,,,,149.7,41.953,54.3269546010418,2.11369540134976,7724550.0,451220.0,5.84137615904764
YR1968,1032.0,799380.0,,10.0366400467967,,,,,,,,,,,,,,,,,,,150.5,42.1,54.1174196682392,2.15236900775577,7892613.0,496295.0,6.28809745258424
YR1969,1032.0,799380.0,,10.2583369363412,,,,,,,,,,,,,,,,,,,151.1,42.267,53.9293656302115,2.18483330697775,8066951.0,545427.0,6.76125671345462
YR1970,1032.0,799380.0,,10.4917546224472,,,,,,,,,,,,,,,,,,,151.8,42.459,53.7547785702611,2.24989399918894,8250506.0,598889.0,7.25882059766522
YR1971,1032.0,799380.0,,10.7534741473588,,,,,,,,,,,,,,,,,43.6194381713867,,152.2,42.581,53.579924545161,2.46392042402391,8456317.0,657796.0,7.77875576122246
YR1972,1032.0,799380.0,,11.0543693888451,,,,,,,,,,,,,,,,,38.3152389526367,,152.3,42.523,53.4168808683787,2.75968907490517,8692935.0,723168.0,8.31902886013277
YR1973,1032.0,799380.0,,11.3866603931941,,,,,,,,,,,,,,,,,47.6847610473633,,152.5,42.724,53.2713184025693,2.96167596921756,8954242.0,794922.0,8.87760655040257
YR1974,1032.0,799380.0,,11.7450761718253,,,,,,,,,,,,,,,,,,,152.5,43.211,53.1340687019934,3.09915742550433,9236093.0,873038.0,9.45245548803829
