Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,58.2,133.5,43.611,55.8549552801021,,824298.0,56519.0,6.85665750249757
YR1961,92.0,1030700.0,,0.820963422916465,,,,,194394515.0,30.0476147080585,29.8485744034143,252504454.0,32.1238070344507,,159213430.204754,786035272.0,,188.158401597739,786035272.0,,,57.9,131.0,44.307,55.8414921885941,2.61846246375525,846167.0,63228.0,7.47230915438295
YR1962,92.0,1030700.0,,0.843294848161444,,,,,244848068.0,32.9921582286912,25.3133119837736,295542613.0,36.4414289584095,2.4326633228583,164271557.513473,811007201.0,0.726608378640378,188.995146612769,811007201.0,,,57.6,128.5,45.047,55.7947708455455,2.68381008289161,869184.0,70473.0,8.10792940921947
YR1963,92.0,1030700.0,,0.866811875424469,,,,,152844537.0,40.3786944417886,21.4120927804307,327543099.0,39.4471388507218,4.45523960465984,168186297.281077,830334236.0,-1.9837675752011,188.249348047987,830334236.0,180.0,,57.5,125.8,45.794,55.6851258109956,2.75053124524719,893423.0,78186.0,8.75133385068059
YR1964,92.0,1030700.0,,0.891583389929174,,,,,90519581.0,50.1388576223513,30.2410705784453,421726187.0,38.0504784486491,4.5340076419948,224495743.865038,1108333467.0,27.6908863519324,244.294599697524,1108333467.0,240.0,,57.2,123.1,46.581,55.4343248581269,2.81770019550429,918955.0,86389.0,9.40083230084833
YR1965,92.0,1030700.0,,0.917665664111769,,,,,89035662.0,48.3806711221598,37.2231944784459,421544151.0,33.4395997291563,-2.0654411342249,255340474.997828,1260613627.0,16.1383305020503,269.962165823141,1260613627.0,280.0,,56.9,120.3,47.36,55.0216025251668,2.88341521409635,945838.0,96574.0,10.2104541976911
YR1966,92.0,1030700.0,,0.94514116619773,,,,97821648.2468775,1023860877.0,48.6250454935272,40.2556285764775,414719007.0,31.5166196648264,4.14307893688419,266533605.185831,1315874010.0,0.230961966714773,273.604362731912,1315874010.0,280.0,,56.4,117.3,48.135,54.5466490514363,2.95011745876783,974157.0,108234.0,11.1105060100178
YR1967,92.0,1030700.0,,0.973942951392258,,,,88191284.5293824,1100845786.0,49.0729267082396,38.9433270120468,448168722.0,32.1205906493275,2.3815636240172,282615310.216284,1395269243.0,3.56713289695298,281.533377446756,1395269243.0,280.0,,55.8,114.4,48.893,54.0827101449131,3.00184319041556,1003843.0,120974.0,12.0511086736301
YR1968,92.0,1030700.0,,1.00391869603182,,,,83373023.3658518,1216997127.0,45.2798737424326,40.1537000201137,464055598.0,30.1852473047056,-0.0115854651908904,311395937.322956,1537358940.0,10.1964426246682,300.94152952866,1487989040.0,300.0,,55.9,134.0,49.507,53.640338288206,3.03135864633231,1034739.0,134833.0,13.0306070971785
YR1969,92.0,1030700.0,,1.03498011060444,,,,90162854.9156292,1247785889.0,47.0231232650663,40.6290716614304,467229873.0,30.4860946573628,-1.53887462592715,295062308.474696,1532599955.0,1.24853208914932,276.598267711858,1453648725.0,290.0,,55.4,131.1,50.085,53.2233547862744,3.0471171782895,1066754.0,149851.0,14.0473461893137
