Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,162089563.829564,771854294.0,,238.251033437494,775854230.0,,,,68.9,58.4614146341463,51.9832993057791,,680331.0,271350.0,39.8850689345934
YR1961,2041.0,2040.0,,335.348275862069,,,,,,,,,,-3.70009389360627,191757729.477729,913131132.0,22.8490949956659,281.683081448637,905131004.0,,,,66.7,59.5666829268293,51.9247569415866,0.062596983282524,680757.0,275458.0,40.4635091532476
YR1962,2041.0,2040.0,,344.999507389163,,,,,,,,,,2.29378187788916,197738207.858208,941609572.0,0.806486902725595,282.342386236302,937609444.0,290.0,,,63.1,60.4433902439024,51.6932768730473,2.83733679491855,700349.0,287258.0,41.0163549433209
YR1963,2041.0,2040.0,,354.118719211823,,1440000.0,0.141453831041257,,,,,,,12.7108847799376,253839557.949558,1208758591.0,13.8945256143361,353.11354761151,1202758591.0,330.0,,,59.8,61.128512195122,51.6536047382489,2.6089232743809,718861.0,298607.0,41.5388921163924
YR1964,2041.0,2040.0,,362.749261083744,1.89557417280998,1500000.0,0.170842824601367,,,,,,,-7.37746322959943,218914569.184569,1042449287.0,-6.889492993565,297.284380211561,1040449287.0,300.0,,,58.4,61.5040487804878,51.8704775662849,2.4079632860718,736381.0,309474.0,42.0264064840417
YR1965,2041.0,2040.0,,370.935960591133,1.78556598298231,1505000.0,0.163232104121475,,,,,,,1.81969718289314,230024160.524161,1095352050.0,3.1969798965965,305.47697280765,1089352050.0,310.0,,,59.7,62.074756097561,52.2030184924013,2.23175799688301,753000.0,319831.0,42.4741838578478
YR1966,2041.0,2040.0,,378.725615763547,2.50489556095841,1510000.0,0.165570175438596,,,,,,,2.57765195235122,227534083.454083,1083494552.0,-3.56820454752456,295.955041673441,1082494488.0,300.0,,,64.2,62.1274878048781,52.6205034801275,2.07825391825284,768813.0,329648.0,42.8775100493902
YR1967,2041.0,2040.0,,386.166009852217,1.87853219781646,1510000.0,0.155830753353973,,,,,,,1.78582380900907,238439290.867222,1151193957.0,4.38412936446954,304.163949585507,1146193893.0,310.0,,,69.2,61.7451707317073,53.0942025381986,1.9455380416704,783917.0,338900.0,43.2316708702481
YR1968,2041.0,2040.0,,393.306896551724,6.97710758672967,1505000.0,0.155797101449275,,,,,,,7.06852418993493,206576630.576631,1147646800.0,-6.88965573613312,258.734051896237,1144646864.0,280.0,,,69.2,62.0993414634146,53.6048984055034,1.8322860030699,798413.0,347565.0,43.5319521320009
YR1969,2041.0,2040.0,,400.199507389163,2.31522056676472,1870000.0,0.180501930501931,,,,,,,2.20818544376296,221553612.873613,1230852174.0,4.93297089035192,272.713256163629,1231852238.0,290.0,,29.6,63.0,62.7038780487805,54.1621351265329,1.73729768611086,812405.0,355619.0,43.7736396462278
YR1970,2041.0,2040.0,0.713884775543164,406.896551724138,1.5418659432567,2300000.0,0.219465648854962,,,,,,,1.56963789834323,224125805.005805,1245142116.0,-0.402343022292044,271.338746980393,1252142052.0,280.0,105.855026245117,29.5,57.2,63.7321951219512,54.7807134386982,1.65957892300445,826000.0,363044.0,43.9520192245081
YR1971,2041.0,2040.0,0.517027427652585,413.413793103448,0.316344463692538,2600000.0,0.223944875107666,,,,,,,6.23640249617492,251437337.841491,1379324639.0,4.27356344804602,299.604801832026,1386324703.0,300.0,105.817008972168,29.5,57.0,63.9004390243903,55.4590292668051,1.58900312538975,839230.0,369785.0,44.0623766784212
YR1972,2041.0,2040.0,0.489542463502129,419.730541871921,5.39593552933404,2900000.0,0.202513966480447,,,,,,,13.8347252024949,318664899.637091,1701200852.0,8.346362138584,373.996570209941,1703200980.0,350.0,107.213768005371,29.6,60.1,63.8733902439024,56.2338954795757,1.51639266924615,852053.0,375755.0,44.0999970290918
YR1973,2041.0,2040.0,0.252296781849144,426.01921182266,13.4507978726776,3500000.0,0.188984881209503,,,,,,,15.4956509350934,404285775.079719,2200230728.0,11.9816863254232,467.480218496262,2216230728.0,470.0,107.168067932129,28.8,60.4,64.2941951219512,57.1003456647993,1.48715050140956,864819.0,380899.0,44.0437597850186
YR1974,2041.0,2040.0,0.538891188808511,432.533004926108,29.115630311092,4500000.0,0.139925373134328,,,,,,,59.5772091130584,669894029.624369,3820455893.0,8.81182619793313,762.940758670279,3830455765.0,660.0,107.432762145996,27.0,55.0,64.4107073170732,57.9556125016116,1.51741920004679,878042.0,385376.0,43.8904068113234
YR1975,2041.0,2040.0,0.579226870969556,439.408866995074,14.738323271755,6550000.0,0.191744730679157,,,,,,,5.26158103256719,673311287.073382,4057910445.0,0.906090279353336,754.833281472402,4074910381.0,790.0,109.031066894531,25.0,48.1,64.6136829268293,58.7520255669054,1.57717040981088,892000.0,389461.0,43.6615140715339
YR1976,2041.0,2040.0,0.440497655715694,446.555172413793,12.9557291671836,8800000.0,0.187074829931973,95187850.0791361,5028000000.0,106.978002086372,21.8360980729241,2186000000.0,45.8537083452566,-5.06650924969327,713510051.522669,4767335247.0,23.7524440170883,787.098225962589,4806335247.0,970.0,108.083518981934,23.4,42.6,64.3810243902439,59.509619359628,1.61326195928039,906507.0,393231.0,43.3786570879337
YR1977,2041.0,2040.0,0.271972077997762,453.881280788177,9.172498970748,9400000.0,0.172730613744947,120775359.647227,6021000000.0,106.812506138093,21.9934764803101,2624000000.0,47.5769845707614,8.57940941629039,834722972.199873,5515271772.0,6.54761905410257,905.949638747869,5496271772.0,960.0,109.473091125488,22.2,39.0,65.1307317073171,60.2356856953978,1.62727086648908,921379.0,396777.0,43.0634113828065
YR1978,2041.0,2040.0,0.425715855142737,459.851724137931,8.54513915082285,10800000.0,0.172579098753595,151380556.603429,7030000000.0,97.4731635579775,22.6417765883623,3081000000.0,48.5789092400726,10.7518006105498,1029040323.36704,6342258499.0,3.83080608607303,1102.34753691974,6294258499.0,1030.0,111.185417175293,21.3,36.6,65.5920731707317,60.9149265111564,1.30684309062206,933499.0,398953.0,42.737352478436
YR1979,2041.0,2040.0,0.14206625213628,467.925123152709,14.4663702058303,15650000.0,0.204842931937173,159952873.349664,8538000000.0,95.8043194424836,21.9169493251408,3619000000.0,46.7397994152532,17.9364665966907,1227446632.17561,7742865920.0,3.51652574676662,1292.2014302482,7636865920.0,1240.0,107.334548950195,20.5,34.7,66.3225365853659,61.525335138766,1.74041911636893,949888.0,402962.0,42.4220558971059
YR1980,2041.0,2040.0,0.102109154006487,475.881280788177,41.9995143865699,42550000.0,0.489249166379211,159285982.365064,9589000000.0,111.094754725473,21.6925215517876,4563000000.0,51.7693388288739,26.5695701693281,1147027924.10804,8814097501.0,-10.0612584967252,1187.35157080412,8636097501.0,1260.0,107.629287719727,19.8,32.8,66.7709024390244,62.0606340702734,1.68601231607574,966039.0,407080.0,42.1390971611
YR1981,2041.0,2040.0,0.0579908777836998,482.986206896552,14.4615910742106,47650000.0,0.466745028896072,159121951.197678,11277000000.0,98.5844885486495,20.9637015354922,5339000000.0,51.6022141530627,10.8638994703434,1157769443.59463,10346455259.0,5.8823529013973,1180.84070937438,9939455259.0,1290.0,113.2890625,19.1,30.2,67.4061463414634,62.5245300850789,1.4819683080138,980462.0,410912.0,41.910051792702
YR1982,2041.0,2040.0,0.159894074403044,488.926600985222,11.4156931283651,30750000.0,0.26226012793177,149366983.826241,12055000000.0,95.8354589069513,20.7189058508003,6028000000.0,50.7284989718214,8.86523770159884,1092923635.57767,11882866874.0,5.49707592772934,1101.15920527391,11384866874.0,1200.0,113.067588806152,18.1,27.6,68.0819756097561,62.9335117239108,1.22242818791707,992521.0,414442.0,41.7564953141956
YR1983,2041.0,2040.0,0.14689007462732,493.443842364532,5.58949801843939,34350000.0,0.269137350152785,145734738.856333,12809000000.0,92.4015879925391,20.0698228270274,6552000000.0,50.6538825742232,8.43670347885381,1104956573.09802,12934842636.0,0.383795309593225,1103.09124580137,12449842636.0,1080.0,111.572006225586,17.3,25.6,68.5459024390244,63.3127842172361,0.919667982370994,1001691.0,417705.0,41.7000043374146
YR1984,2041.0,2040.0,0.467246527064558,498.631034482759,7.38916256169471,36200000.0,0.252089136490251,132967805.921785,14841000000.0,99.3517308494726,21.9056171206943,7126000000.0,48.9646887083022,7.4636741879673,1054564759.05328,14553344845.0,4.69838572777768,1041.83252378016,13927344845.0,1040.0,105.162956237793,16.9,24.6,68.7760243902439,63.6456501832407,1.0457354601341,1012221.0,423317.0,41.8205833667794
YR1985,2041.0,2040.0,0.730328026584982,502.72315270936,6.69870394658498,36500000.0,0.21964135275003,124008554.841861,16933000000.0,107.500725256864,24.0830125181906,7701000000.0,45.7256606022154,8.19952459698254,1090611324.6814,16841746841.0,6.9544754614702,1068.67359316099,16141746841.0,1080.0,105.846160888672,16.9,24.1,68.855512195122,63.9033094047344,0.81732139513889,1020528.0,429993.0,42.1343581180541
YR1986,2041.0,2040.0,0.500870418368029,506.581280788177,1.63265306122486,39000000.0,0.197969543147208,153567876.333007,18388000000.0,112.826073234371,26.015210173991,8746000000.0,43.8061278748027,8.02256089268182,1482601552.40192,19965243276.0,9.742033321316,1441.71452837714,19236243276.0,1260.0,106.276847839355,17.1,24.1,68.9978048780488,64.1029851378734,0.764515985971925,1028360.0,437713.0,42.5641536016112
YR1987,2041.0,2040.0,0.900272335438822,510.385221674877,0.518741633199852,47000000.0,0.194038477417224,220139169.886639,23724000000.0,125.386342839662,26.8126351062591,11172000000.0,45.5105985121737,12.9149973356849,1906174437.96762,24548128052.0,8.89103982665314,1839.79109565422,24015128052.0,1640.0,104.627021789551,17.2,24.0,69.2877073170732,64.2870903800406,0.748099100249826,1036082.0,445855.0,43.0327927506756
YR1988,2041.0,2040.0,1.09738174112426,513.910837438424,9.15931413351054,63000000.0,0.219642296830875,271176854.71313,30106000000.0,132.624947540952,26.8531720100814,13594000000.0,46.7642864854018,10.8864576106707,2163252449.13108,29069191517.0,6.79134674767192,2073.59238787189,28476191517.0,2090.0,101.981628417969,16.7,23.2,69.5606097560976,64.4860089874562,0.688400517657601,1043239.0,453424.0,43.4630984984724
YR1989,2041.0,2040.0,1.61912082862749,517.862068965517,12.670042091136,96500000.0,0.29001622888742,267413921.799592,35712000000.0,133.930350743087,26.8519025325183,16190000000.0,48.0101934844253,11.0475580898559,2211312823.20576,33722005318.0,4.46514860724652,2103.48802694458,33420005318.0,2250.0,101.759582519531,15.7,21.5,69.6791219512195,64.7016864594389,0.765914828413802,1051260.0,460219.0,43.7778937782264
YR1990,2041.0,2040.0,1.52610550240963,521.564039408867,13.4880887926371,136500000.0,0.346095334685598,359741102.126442,42279000000.0,135.290500660691,27.4148585579795,18163000000.0,45.4404157682589,10.5836307032606,2689212760.18576,39971025117.0,7.18673677096029,2539.92846467452,39632025117.0,2460.0,104.021942138672,14.7,19.9,69.4048780487805,64.911087777261,0.712313471132199,1058775.0,464802.0,43.9000015220485
YR1991,2041.0,2040.0,0.600189963674533,527.224630541872,7.00101377541879,164300000.0,0.367421785897981,388984340.200819,46389910100.0,126.648911355451,27.7983100243414,21038263500.0,46.4226282159754,8.56427900364693,2895354736.18332,45318984100.0,4.43544626177179,2705.26648158805,45407984100.0,2650.0,105.324928283691,14.0,18.8,69.9560975609756,65.1435440749709,1.07946362530249,1070266.0,469468.0,43.8646127219959
YR1992,2041.0,2040.0,0.450294996999827,534.207389162562,4.64351929883709,177850000.0,0.35442407333599,429215711.824966,51807920700.0,120.232699481499,28.1927656685727,23852910500.0,46.903259790753,5.35539928981525,3267677814.23984,50855549500.0,6.51269858283499,3013.23706337167,51026549500.0,3030.0,103.842742919922,13.9,18.3,70.0585365853659,65.4288833018691,1.31574311449685,1084441.0,474616.0,43.7659935577684
YR1993,2041.0,2040.0,0.445454517512398,540.578325123153,10.5178384472896,190200000.0,0.330254201972496,457467608.981742,61070925700.0,120.896356052865,27.9891506673938,27897177300.0,47.7958602081898,9.22021795623043,3307302125.87528,58367350600.0,5.0820629557426,3013.83313790492,58429350600.0,3160.0,102.621467590332,14.1,18.4,70.1073170731707,65.7713948375719,1.18554061440712,1097374.0,478625.0,43.615496644887
YR1994,2041.0,2040.0,0.554303218876587,548.2,7.32347154412294,212900000.0,0.333145557537633,519854649.963444,69490564400.0,120.560175858082,27.7722345140889,32202627200.0,49.7215030138091,6.55543051122419,3606050873.0139,64765997100.0,4.13614286145543,3240.38624662702,64322997100.0,3280.0,101.483940124512,14.5,18.9,70.1585365853659,66.1801337580284,1.40006449419438,1112846.0,483248.0,43.4244745957928
YR1995,2041.0,2040.0,0.45650892153957,552.934482758621,6.02933188484532,233800000.0,0.332825601093285,572711287.847794,71949666500.0,118.148720557781,28.0143908577396,35853859500.0,50.3618659063811,5.4032014639107,4094741652.30048,71192476400.0,4.28773657145238,3648.01649622256,70860476400.0,3520.0,101.109039306641,15.1,19.5,70.3258536585366,66.6395360316532,0.859933461061684,1122457.0,484949.0,43.2042800229269
YR1996,2041.0,2040.0,0.818061230378169,558.618719211823,6.55097336065573,232850000.0,0.293390184375287,634439859.17815,79910491500.0,126.159212478576,27.955269108976,40918843400.0,50.8725209054269,7.00204278057004,4481489761.54368,80434078500.0,5.58784392666244,3951.94494649336,79645078500.0,3840.0,101.094612121582,15.5,19.8,70.3229268292683,67.10430806315,1.02276454116174,1133996.0,487236.0,42.9662655387302
YR1997,2041.0,2040.0,1.3025692466794,565.657142857143,6.83334334996102,206400000.0,0.2340788927524,589591930.725263,92477655800.0,126.107505043338,26.8650533673372,46389927400.0,51.9124516696445,5.12076924128428,4243755307.55239,89361850400.0,5.68747741886635,3695.73668844327,88989850400.0,3950.0,101.451019287109,15.5,19.8,70.4048780487805,67.5192951776938,1.25209760994193,1148284.0,490567.0,42.7217837556441
YR1998,2041.0,2040.0,0.288001173687631,571.635960591133,6.81079323797193,202900000.0,0.202814817776534,573229734.939659,100873504300.0,130.442832961932,26.7490036838575,52584069600.0,51.8639512399731,6.96357951652327,4225813976.36359,101388475700.0,6.07194017756214,3641.62142564086,100751475700.0,3830.0,101.91641998291,14.9,19.1,70.6073170731707,67.8743424743673,1.05142162473208,1160421.0,492972.0,42.4821872861094
YR1999,2041.0,2040.0,1.12110460501645,578.949261083744,6.90914624866773,227700000.0,0.208135283363803,618125890.580918,112775819700.0,128.954991253643,25.9477010773877,61029723900.0,55.0448152958312,6.5719123435539,4402193195.46945,110872792600.0,2.61093234413026,3745.69625069831,110455792600.0,3710.0,102.523750305176,13.7,17.8,70.9609756097561,68.1268173795072,1.27124855157122,1175267.0,496654.0,42.2588287425674
YR2000,2041.0,2040.0,5.62071802958224,584.666502463054,4.19928825622807,245700000.0,0.200718816089576,664606333.561883,122561117100.0,120.687648773646,25.640266746151,68532544700.0,55.2422252046632,3.4099293453387,4726108622.47661,124058262400.0,8.20279174865273,3981.98343249582,123621262400.0,3960.0,103.124137878418,12.4,16.5,71.6634146341463,68.2998548858587,0.982676166064297,1186873.0,499236.0,42.063123063288
YR2001,2041.0,2040.0,-0.591895011199452,589.303940886699,5.38934426229508,261500000.0,0.194580389102996,642492469.255482,126066830500.0,128.05457898019,26.3874036179347,75578185000.0,55.4900618091756,6.23201251547312,4675755867.17657,136201299000.0,3.34754072731407,3908.55694927435,136594299000.0,4030.0,102.975166320801,11.3,15.4,71.7658536585366,68.4881151181962,0.790047581068153,1196287.0,501038.0,41.8827214180181
YR2002,2041.0,2040.0,0.653687020805774,593.409359605911,6.41933372221149,284700000.0,0.196270033883066,685536225.886122,140132637400.0,118.230470380251,25.6239987275773,82795999800.0,56.3205984623161,6.21928418894298,4906494249.38255,147008380700.0,1.61491865862433,4073.06053055903,147404380700.0,4010.0,102.728149414062,10.5,14.6,71.9658536585366,68.698684167345,0.694240135210974,1204621.0,502311.0,41.6986829938864
YR2003,2041.0,2040.0,1.0624597935284,597.71921182266,3.92105357558188,303650000.0,0.187102773867202,818941991.418016,159213576600.0,108.655579313428,24.9152577893048,93103663700.0,56.6063415748585,5.62319259054456,5894873919.74797,164475677300.0,5.92544548947731,4858.26575549747,163642677300.0,4470.0,102.185363769531,10.1,14.1,72.1170731707317,68.947873296683,0.723661765578573,1213370.0,503703.0,41.5127065251754
YR2004,2041.0,2040.0,0.208397536162955,601.479310344828,4.71037060105883,300700000.0,0.166216849736244,934330320.431462,184204355200.0,107.027698267505,24.0862009085375,104030160900.0,56.7403832844542,6.84544976034816,6667418752.07307,183344127900.0,4.33001985464357,5460.60800184198,182954127900.0,5240.0,101.855949401855,10.1,13.8,72.2658536585366,69.2384258435053,0.627103982385528,1221003.0,504598.0,41.3265540022042
YR2005,2041.0,2040.0,0.635284471239675,605.051231527094,4.93717004981795,321100000.0,0.160674051849869,942338043.64103,201341481100.0,121.608743996836,23.0539698198427,113970647600.0,58.7567132591815,3.94809969963141,6576108447.47531,193970427000.0,1.77754302034454,5354.02974260642,193731427000.0,5670.0,102.094566345215,10.2,13.7,72.4321951219512,69.5826091798141,0.592099659929956,1228254.0,505328.0,41.1419874152917
YR2006,2041.0,2040.0,1.49569053565725,607.879802955665,8.91350105650142,342900000.0,0.153856508278369,992744212.379771,237239000000.0,124.782280192468,21.9955550253399,141292000000.0,62.4293598087689,11.2654561535465,7137710412.93687,226323000000.0,4.8655446077553,5784.22491883026,223879000000.0,5910.0,101.59693145752,10.1,13.5,72.4321951219512,70.0048782205454,0.466403525955087,1233996.0,505454.0,40.9607687547567
YR2007,2041.0,2040.0,4.11677685025773,610.655172413793,8.82729272393294,364250000.0,0.142725039281222,1013519468.9499,267576000000.0,118.624058148821,22.1985593969066,161944000000.0,62.4791181996705,8.32165922060635,8277442915.00168,259197000000.0,5.72701615981669,6677.34962448608,261411000000.0,6460.0,100.83757019043,10.0,13.3,72.5707317073171,70.4847546530437,0.455526400702738,1239630.0,505579.0,40.7846600109183
YR2008,2041.0,2040.0,3.72959175354516,612.867487684729,9.73228317146887,443300000.0,0.15595207103506,1245253636.91313,312878000000.0,113.492663899724,23.0209186435502,179042000000.0,62.13198040005,5.49281124512872,10127777060.4113,288164000000.0,5.38696254207251,8140.50808595895,288155000000.0,7390.0,101.194557189941,9.7,13.2,72.5707317073171,70.9616478442848,0.361630847401639,1244121.0,505305.0,40.6154231740954
