Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,0.063182597888167,157000000.0,2.6764405046028,237487014.980955,5056000000.0,92.3286737129219,24.7115632458234,,,,1916229477.13657,5866000000.0,,240.847414554537,5616000000.0,,,21.2,68.3,57.168,51.7369479413343,,7956197.0,2073931.0,26.0668629662027
YR1961,2875.0,330800.0,,24.8499254299193,-0.180407721631565,130000000.0,2.23290965304019,259373713.748113,5421000000.0,90.054963929921,27.0996976983854,,,-7.75858259701347,1901856122.72231,5822000000.0,7.59799400028281,232.943768818315,5633000000.0,,,20.3,63.9,58.015,51.3298672873255,2.58373842201017,8164443.0,2160016.0,26.456381710219
YR1962,2875.0,330800.0,,25.506534774007,0.10844026784809,134000000.0,2.18704096621511,279300409.640601,5949000000.0,89.1790435776073,30.7818051248572,,,-1.1109458748822,2001489602.18475,6127000000.0,6.42102960904312,238.836339180717,5985000000.0,250.0,,19.5,59.8,58.855,51.0077448892305,2.6079933251221,8380172.0,2247799.0,26.8228290200289
YR1963,2875.0,330800.0,,26.1821944909451,3.10525365608344,186000000.0,2.42061426340448,388733903.476392,7551000000.0,89.7058823529412,26.988909422176,,,16.8376264786486,2510110348.16184,7684000000.0,7.33880352682334,291.800006993807,7513000000.0,260.0,,18.8,56.2,59.667,50.7878573063128,2.61448951710449,8602160.0,2337240.0,27.1703848248464
YR1964,2875.0,330800.0,,26.8708141835337,-0.402731571003658,259000000.0,3.16355197263955,450147326.882746,8045000000.0,86.4297056308782,29.419827775742,,,1.12672601631671,2674423922.48842,8187000000.0,5.35896290971056,302.933952345239,7960000000.0,280.0,,18.1,53.0,60.448,50.6748811351176,2.59611428546317,8828406.0,2428097.0,27.5032290538852
YR1965,2875.0,330800.0,,27.5647785725156,-0.10548523224379,363000000.0,4.01104972375691,501434068.769967,8645000000.0,85.3149171270718,29.629861878453,,,2.65240459971436,2956337669.29525,9050000000.0,7.68486347467319,326.436007443045,8776000000.0,320.0,,17.6,50.2,61.144,50.7652592506875,2.54980960808065,9056408.0,2519995.0,27.8255416363593
YR1966,2875.0,330800.0,,28.2595891036372,0.967969025261369,455000000.0,4.72825522186428,568400833.654556,9243000000.0,81.0765873428245,29.6451854930895,,,-1.37754092046107,3143517943.82632,9623000000.0,7.81671102618819,338.570121454412,9344000000.0,340.0,,17.2,47.9,61.679,51.0428191017296,2.48940182057707,9284688.0,2612851.0,28.1415025014825
YR1967,2875.0,330800.0,,28.9365362958454,4.57556214033291,439000000.0,4.49702929727515,556640816.406531,9524000000.0,79.4919073960254,29.3136150379021,,,-2.32308568285117,3188924677.08953,9762000000.0,3.85714649161983,335.425630582949,9647000000.0,350.0,,16.9,45.9,62.044,51.4014948198183,2.36721910470141,9507099.0,2705273.0,28.4552915784687
YR1968,2875.0,330800.0,,29.6006117790291,-0.158346528794567,454000000.0,4.45316331535066,569707502.23767,9836000000.0,82.932810201079,27.9060539480137,,,-3.28069452621159,3330371551.21161,10195000000.0,7.97799464201174,342.444763417284,10074000000.0,360.0,,16.6,44.1,62.443,51.8163818702831,2.26900009863219,9725281.0,2798069.0,28.7710887965317
YR1969,2875.0,330800.0,,30.2772698219449,-0.40901502529407,440000000.0,3.9222677839187,596494208.191505,10074000000.0,84.2396149046176,29.2023408807274,,,4.90596705134352,3664552041.34299,11218000000.0,4.88853365256124,368.385655484736,10939000000.0,370.0,,16.4,42.5,62.868,52.258397065221,2.26022307765599,9947597.0,2894062.0,29.0930740848853
