Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,,48.529,53.3687144367921,,591465.0,138374.0,23.3950628874729
YR1961,285.0,824290.0,,0.732508593569702,,,,,,,,,,,,,,,,,,,,49.242,53.2140319517002,1.94257915958139,603067.0,142557.0,23.638594071498
YR1962,285.0,824290.0,,0.747924789563823,,,,,,,,,,,,,,,,,,,,49.972,53.0662970415374,2.08273515494746,615759.0,146852.0,23.8489959599718
YR1963,285.0,824290.0,,0.764723244543235,,,,,,,,,,,,,,,,,,,,50.641,52.8980017122281,2.22115723247584,629589.0,151352.0,24.0398093329211
YR1964,285.0,824290.0,,0.782871163259605,,,,,,,,,,,,,,,,,,,,51.349,52.7486286529497,2.34541434671878,644530.0,156056.0,24.212424407615
YR1965,285.0,824290.0,,0.802339394381081,,,,,,,,,,,,,,,,,,,,51.997,52.6161972150818,2.45635633632105,660558.0,160966.0,24.3682314013225
YR1966,285.0,824290.0,,0.823106074408775,,,,,,,,,,,,,,,,,,,,52.301,52.467367268472,2.55533765044564,677655.0,166084.0,24.5086205313127
YR1967,285.0,824290.0,,0.845443282439966,,,,,,,,,,,,,,,,,,,59.6,52.933,52.3320331300419,2.67760045417758,696045.0,171471.0,24.6349820148547
YR1968,285.0,824290.0,,0.869125095652808,,,,,,,,,,,,,,,,,,,60.3,53.553,52.1981604141758,2.76259840665815,715542.0,177087.0,24.7487060692174
YR1969,285.0,824290.0,,0.894119933437792,,,,,,,,,,,,,,,,,,30.2,60.9,54.126,52.0658670229494,2.83528514336344,736120.0,182935.0,24.8511829116699
YR1970,285.0,824290.0,,0.920535898650536,,,,,,,,,,,,,,,,,,30.6,61.7,54.686,51.9376065488977,2.91160790806045,757868.0,189041.0,24.9438027594813
YR1971,285.0,824290.0,,0.948127634247956,,,,,,,,,,,,,,,,,,31.1,62.5,55.289,51.7988454797946,2.95331294853002,780584.0,195364.0,25.0279558299206
YR1972,285.0,824290.0,,0.977054257916409,,,,,,,,,,,,,,,,,,31.7,63.4,55.845,51.6533161113553,3.005305725222,804399.0,201945.0,25.1050323402568
YR1973,285.0,824290.0,,1.00684813370744,,,,,,,,,,,,,,,,,,32.3,64.4,56.422,51.4842061071649,3.00378849998873,828928.0,208694.0,25.176422507759
YR1974,285.0,824290.0,,1.0376902428063,,,,,,,,,,,,,,,,,,32.8,65.4,56.943,51.3023223148235,3.0172531128284,854320.0,215660.0,25.2435165496962
YR1975,285.0,824290.0,,1.07013567515699,,,,,,,,,,,,,,,,,,33.2,66.7,57.55,51.1352595592442,3.07881167742023,881032.0,222969.0,25.3077046833375
YR1976,285.0,824290.0,,1.10115026296931,,,,,,,,,,,,,,,,,,33.4,68.2,58.041,50.8944743129568,2.85698874084553,906566.0,229999.0,25.3703771259519
YR1977,285.0,824290.0,,1.13095507050978,,,,,,,,,,,,,,,,,,33.3,69.6,58.586,50.6254403374918,2.67071438332947,931104.0,236807.0,25.4329240948084
YR1978,285.0,824290.0,,1.15058970715058,,,,,,,,,,,,,,,,,,33.1,70.8,59.111,50.055791966168,1.72121288811214,947269.0,241523.0,25.4967358071761
YR1979,285.0,824290.0,,1.16948462874564,,,,,,,,,,,,,,,,,,32.8,71.7,59.519,49.5619660893724,1.62885637441409,962825.0,246129.0,25.5632024803241
YR1980,285.0,824290.0,,1.19208784267998,,,,343691668.571223,1653879674.0,126.663009413817,48.6048586672863,722972828.0,38.3269858623129,,2421990338.12083,1886328423.0,,2467.80765504439,1623288400.0,,,32.7,72.1,56.572,49.2897895886073,1.91430959367676,981434.0,251578.0,25.6337143315213
YR1981,285.0,824290.0,,1.20552903594116,,,,466333286.23406,2331347685.0,124.179146742442,40.275140825966,925602873.0,46.8784884886623,3.66572616781025,2249908578.03115,1974472520.0,0.97144950015074,2266.91040607673,1873655600.0,,,32.7,71.7,56.912,48.7900509873798,1.12122451200737,992500.0,255168.0,25.7096615780368
YR1982,285.0,824290.0,,1.22715932417496,,,,457506911.852469,2643822264.0,113.285494349328,36.837147916983,1159870942.0,50.4175646760575,16.9793077492652,2118710248.32937,2300529487.0,-0.39809074411238,2097.09340946461,2140679700.0,2170.0,,32.5,70.8,57.335,48.6786461758958,1.77835012810577,1010308.0,260583.0,25.7924344371397
YR1983,285.0,824290.0,,1.26020114418978,,,,510098639.26039,2851223351.0,97.6985841344362,34.8619699932219,1349764728.0,52.7347818822149,13.3249019060428,2297400687.55049,2559534106.0,-1.82345037490559,2214.33863115715,2465457500.0,2010.0,,32.2,69.3,57.637,49.0022274462632,2.65693406158836,1037511.0,268543.0,25.883423126099
YR1984,285.0,824290.0,,1.2947916287092,,,,435347778.078286,3107793299.0,96.9112675667927,32.726213268814,1569416245.0,54.5191933790623,12.7347557716885,1951260037.94542,2878649055.0,-0.236891525045252,1830.46920554097,2712424600.0,1820.0,,31.8,67.4,58.097,49.3641822926023,2.70784312649189,1065989.0,276987.0,25.9840178621838
YR1985,285.0,824290.0,1.01726277501806,1.3323251831068,,,,353054694.829888,3153275155.0,91.7316913712628,37.3853708112339,1774408997.0,49.505886895982,23.9358522602813,1608237350.44365,3584238377.0,0.464171261803401,1466.17924353732,2972081800.0,1440.0,,31.1,65.1,58.472,49.7859858326724,2.85758960511953,1096890.0,286240.0,26.095608862663
YR1986,285.0,824290.0,0.497499092209318,1.37385489924571,,,,416913411.715897,3749957893.0,102.714670298939,35.7199121115921,2076180899.0,50.2253171710908,10.0829328723427,1809048527.11034,4133733774.0,4.76726966632827,1599.39785666132,3589283000.0,1470.0,129.144897460938,30.4,62.9,58.725,50.28479405312,3.06949098144055,1131081.0,296565.0,26.2195863448058
YR1987,285.0,824290.0,-0.0073910851315542,1.41856332519525,,,,566650581.301973,5040124895.0,97.8466332377965,30.5314227373895,2539228852.0,54.2220976183498,9.39994796598818,2300068216.96898,4683014792.0,3.55376914117605,1969.42364982372,4487086300.0,1770.0,132.490966796875,29.8,60.9,59.123,50.817693641131,3.20240330367504,1167889.0,307824.0,26.3573405258811
YR1988,285.0,824290.0,-0.0605187439136058,1.46934373064169,,,,583577760.496299,5651951005.0,91.0117626010634,33.364814478864,2861692452.0,50.4483620892438,20.1526012665392,2495094746.44024,5672518063.0,0.813148942821115,2062.57997582884,5103651900.0,1860.0,131.347808837891,29.1,59.1,59.033,51.4367245985768,3.51712427298355,1209696.0,320694.0,26.510261623158
YR1989,285.0,824290.0,-0.0189338969719846,1.56560507233174,,,,557212838.637774,6563654644.0,96.3801569295383,33.8881326713629,3319777793.0,49.9301625642937,15.072652937011,2535135797.50766,6648842348.0,1.85867496230729,1966.82702819252,6339911200.0,1990.0,127.751426696777,28.7,57.5,60.773,53.0120505295988,6.34565175933884,1288947.0,343888.0,26.6797398539056
YR1990,285.0,824290.0,1.0597882763136,1.66320858992579,,406000000.0,6.42100268859719,654816905.208128,7492833666.0,93.7592455854003,29.1601481841589,3881861486.0,53.7771376226005,6.38836083564102,2789921853.53112,7218423400.0,2.04745993989432,2037.47589359778,7352796100.0,2090.0,128.279418945312,28.4,56.2,61.359,54.2333414274786,6.04762452874674,1369303.0,367893.0,26.8671654353929
YR1991,285.0,824290.0,4.01918958806097,1.71954475336759,,399750000.0,5.61525495153814,759729042.141154,8689823500.0,93.8647252200558,26.0876339699149,4654239700.0,56.2425488351776,5.98689912825148,2996869281.48364,8275300100.0,8.16561250262779,2116.90552516214,8586084700.0,2240.0,138.336013793945,28.2,54.8,60.833,54.3557228716729,3.33109552708536,1415684.0,383248.0,27.0715773259609
YR1992,285.0,824290.0,3.44748458080867,1.77497844016082,,355250000.0,4.25041876046901,915072646.908465,10151312200.0,91.9734600107459,25.4382888517656,5760282700.0,58.8923100529178,10.2680891919767,3429521699.4026,9781043900.0,7.18934252280525,2346.86242963741,9882628200.0,2390.0,139.708145141602,27.9,53.7,60.16,54.4135036631215,3.17286989481137,1461322.0,399296.0,27.3243006833291
