Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,9293999104.0,,,,,52.341,58.2784692771726,,79819.0,29208.0,36.5922905488154
YR1961,,18580.0,,4.51427789934355,,,,,,,,,,,,,,,10547997696.0,,,,,53.068,58.1276281189031,3.32912350502977,82521.0,31274.0,37.8983041212749
YR1962,,18580.0,,4.66816192560175,,,,,,,,,,,,,,,9053998080.0,,,,,53.795,58.0176601217576,3.35201618769523,85334.0,33502.0,39.2599268297088
YR1963,,18580.0,,4.81673960612691,,,,,,,,,,,,,,,10130000896.0,,,,,54.531,57.8955139125497,3.13318666612797,88050.0,35823.0,40.6845544855341
YR1964,,18580.0,,4.95634573304158,,,,,,,,,,,,,,,14739998720.0,,,,,55.287,57.7258654658035,2.85714529182558,90602.0,38330.0,42.3055661374412
YR1965,,18580.0,,5.09622538293217,,,,,,,,,,,159594492.463655,14325999616.0,,1713.14089313598,14325999616.0,,,,,56.066,57.574375130824,2.78314228773617,93159.0,41112.0,44.1306163409608
YR1966,,18580.0,,5.2417943107221,,,,,,,,,,7.00814312701958,164206536.445162,14739999744.0,-3.84857770117728,1713.69793827137,14739999744.0,,,,,56.871,57.441035274473,2.81637207171435,95820.0,44084.0,46.0069770751176
YR1967,,18580.0,,5.39316192560175,,,,,,,,,,4.02240593803353,180036767.648861,16161000448.0,5.40079144250699,1826.17147949386,16161000448.0,1790.0,,,,57.688,57.316380455841,2.84679756194015,98587.0,47115.0,47.7907135828008
YR1968,,18580.0,,5.54928884026258,,,,,,,,,,4.76026105743547,215507162.56893,19345000448.0,14.2625546890163,2124.4581832684,19345000448.0,2120.0,,,,58.503,57.20939861298,2.85379416101119,101441.0,50049.0,49.3378911068998
YR1969,,18580.0,,5.73572210065645,,,,,,,,,,11.0013057010506,263108841.338416,24847998976.0,15.7163133858644,2509.40725556196,24847998976.0,2500.0,,,,59.3,57.211799826417,3.30438711835275,104849.0,52982.0,50.5317295231604
YR1970,,18580.0,,5.98129102844639,,,,,,,,,,11.3186488741954,358815684.071892,36235001856.0,30.9992897319458,3281.71069593272,36235001856.0,3300.0,,,,60.057,57.0586486795473,4.1922781863956,109338.0,56343.0,51.5313579137486
YR1971,,18580.0,,6.2644420131291,,,,,,,,,,7.51288431119355,413985778.589656,41684000768.0,6.99921567606989,3615.1542919613,41684000768.0,3580.0,,,,60.785,56.6923839339123,4.62530845302214,114514.0,60066.0,52.4526957903042
YR1972,,18580.0,,6.56077680525164,,,,,,,,,,7.76408639643265,506808996.694661,46447001600.0,3.39849954627249,4225.83816273241,46447001600.0,3960.0,,,,61.413,56.397011615012,4.62194911439544,119931.0,63912.0,53.2909646629798
YR1973,,18580.0,,6.87007658643326,,,,,,,,,,6.56497740877913,542293399.862618,43953000448.0,-11.1993086277225,4318.13831160265,43953000448.0,4090.0,,,,62.1,56.1912004172456,4.60662427444147,125585.0,67879.0,54.0500217590396
YR1974,,18580.0,,7.1910284463895,,,,,,,,,,12.6282710252818,637403478.492486,55791001600.0,12.7011152022729,4848.9446983879,55791001600.0,5260.0,,,,62.69,56.0777168765666,4.56589458201935,131452.0,71949.0,54.733724305748
YR1975,,18580.0,,7.51980306345733,,,,,,,,,,7.11222400199252,816652164.400241,63643000832.0,6.49947180461912,5940.93032547352,63643000832.0,6170.0,,,,63.239,56.0669714792869,4.47057493040381,137462.0,76080.0,55.3459295303691
