Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,19918262.7863547,,49.8219860547277,,,,,227223322.141537,0.4700948,,127.483812082529,0.4580933237,,,,134.1,46.399,49.805778207044,,1782370.0,698174.0,39.1711243426569
YR1961,2280.0,130370.0,,15.2605201927871,,,,20889891.4798833,,47.9552224001924,,,,-0.0473704865959803,244144236.65331,0.5051019192,7.49774339849093,132.943507152279,0.4914448289,,,,133.1,47.289,49.5818020736736,2.98909653641935,1836451.0,730053.0,39.7534862329157
YR1962,2280.0,130370.0,,15.7247797905933,,,,22347320.9861974,,55.3350806594471,,,,-0.535467332067512,269283803.686825,0.5571123362,10.8907983290977,142.303523551421,0.5414722134,140.0,,,132.3,47.981,49.3861633830862,2.99686847860746,1892320.0,763578.0,40.3514003838579
YR1963,2280.0,130370.0,,16.2054096725943,,,,21861514.7598204,,59.0667989792181,,,,-0.408188198436292,297324163.095513,0.6151241064,10.8654792457821,152.461498316554,0.5993469003,150.0,,,131.4,48.752,49.2711363534973,3.01073181924445,1950159.0,799015.0,40.9717686183638
YR1964,2280.0,130370.0,,16.7041382748878,,,,24776377.3492859,,59.3739521508727,,,,4.52064235997096,347119918.158577,0.7181448936,11.6984790301544,172.68135633824,0.6964588277,170.0,,,130.4,49.586,49.2953724687223,3.03113727135801,2010176.0,838541.0,41.7147931230772
YR1965,2280.0,130370.0,,17.2235416320425,,,,45048722.9641061,,61.7075975788343,,,,0.840469556147781,564290020.384288,0.7931600213,9.52515582624807,272.251263163163,0.7631620206,200.0,,,129.5,50.647,49.4148158833897,3.06206579247298,2072681.0,883322.0,42.6173786375436
YR1966,2280.0,130370.0,,17.7648329732425,,,,52497658.7447202,,61.2357794844316,,,,3.66106680456524,607140010.475682,0.8493400216,3.30113639858887,283.999593265889,0.8053420223,230.0,,,128.5,51.579,49.5440682564482,3.09436798746284,2137820.0,932337.0,43.6115552003585
YR1967,2280.0,130370.0,,18.3277962439754,,,,61282783.2430616,,61.5060207804349,,,,1.26633766945294,657140010.747554,0.9200400114,6.96951382476809,297.946065908473,0.8680400103,280.0,,,127.4,52.348,49.6635105621366,3.11980004743417,2205567.0,984481.0,44.6361757423511
YR1968,2280.0,130370.0,,18.9117168023932,,0.0142,1.45964542951095,62440324.8148424,,57.0771661916884,,,,4.48995933074603,692859984.612158,0.9742599726,1.34296005265668,304.441965331491,0.9062599689,290.0,,,126.0,52.865,49.7686564409738,3.13628387284989,2275836.0,1038466.0,45.6300931943504
YR1969,2280.0,130370.0,,19.5146917068306,,0.0144,1.37701531929543,65505745.1477319,,51.5661388077806,,,,1.17181025802671,750000002.894903,1.0471600294,6.23770390833241,319.366650327118,0.9771600291,300.0,,,124.7,53.35,49.8599470788171,3.13859361349657,2348398.0,1092760.0,46.5321604871856
