Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,2.32394366197217,784100000.0,3.70390179658833,,,,,,,,13282979014.563,22904700887.8271,,1156.38597727767,22582546245.1256,,,13.5,16.4,73.3926829268293,61.0193985136648,,11486631.0,6885091.0,59.9400395547645
YR1961,778.0,41530.0,,344.748578199052,1.30763936682729,913500000.0,4.08728387914001,,,,,,,5.26405818110011,14599836396.388,24181675205.9674,0.295546672716625,1254.42028262131,23712822311.7565,,,13.0,16.0,73.6526829268293,61.1840680312027,1.31529458823228,11638712.0,6999492.0,60.1397439209274
YR1962,778.0,41530.0,,349.694579383886,2.43114520046464,991960000.0,4.12277525012795,,,,,,,0.758713635655624,15847582341.1664,26032575346.2538,6.84350732102845,1342.36827187015,25731241669.2838,1300.0,,12.5,15.6,73.3239024390244,61.5981163240371,1.42447506739908,11805689.0,7119421.0,60.3050003051757
YR1963,778.0,41530.0,,354.442120853081,3.24365932762645,1047000000.0,4.01083448197299,,,,,,,4.69947032510143,17193744109.0367,28243894202.0831,3.62462153047385,1436.88726083934,27772373132.0328,1390.0,,12.1,15.2,73.3370731707317,61.8896269711916,1.3484919646048,11965966.0,7219909.0,60.3370338321783
YR1964,778.0,41530.0,,359.215639810427,5.82376646876146,1208000000.0,3.93265268418307,,,,,,,8.67798875287133,20232048552.8327,33234869333.5084,8.2749039306044,1668.33086114697,32693232184.529,1550.0,,11.7,14.8,73.7041463414634,62.0545761048088,1.33778133208209,12127120.0,7380319.0,60.8579677699946
YR1965,778.0,41530.0,,364.180450236967,3.90802639393659,1232000000.0,3.57129033135163,,,,,,,3.371800223664,22721869808.1438,37324859720.1948,8.64309493575048,1848.09801532427,37395031352.1072,1800.0,,11.4,14.5,73.5687804878049,62.1693991403225,1.37266110512345,12294732.0,7519458.0,61.1599998474122
YR1966,778.0,41530.0,,368.964780805687,5.7621465538999,1266000000.0,3.37028428544947,,,,,,,5.98328850962197,24741480717.0389,40642442934.0932,2.74110433455468,1986.2702443166,40684065852.4631,1950.0,,11.0,14.1,73.5129268292683,62.2754118696787,1.30517073080104,12456251.0,7635977.0,61.3023686210886
YR1967,778.0,41530.0,,373.169460900474,3.45532005294176,1452000000.0,3.52333580585187,,,,,,,4.20761867643816,27143828098.7481,44588741358.4128,5.28001474697683,2154.57969743046,44664300350.4468,2130.0,,10.6,13.8,73.8041463414634,62.3411865329598,1.13314407259893,12598201.0,7763424.0,61.6232763963874
YR1968,778.0,41530.0,,377.06519549763,3.72079177074764,1488000000.0,3.25633492017265,,,,,,,4.1966624438771,30097635750.982,49440914933.5185,6.4161340399009,2364.3594192663,49468277910.636,2370.0,,10.2,13.4,73.6126829268293,62.3976681924288,1.03854696110739,12729721.0,7865612.0,61.7893532277632
YR1969,778.0,41530.0,,381.456872037915,7.4217973638689,1671000000.0,3.22892860322925,6091727274.33093,54927733000.0,80.9828748623412,32.9030473151265,29993224000.0,53.5664060328257,6.40997200954278,34086038090.3986,55992601000.0,6.42944907759069,2646.84581766825,56041109000.0,2630.0,,9.8,13.0,73.539512195122,62.4626691213168,1.15796910892603,12877984.0,7958594.0,61.7999992370606
