Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,0.360492346844599,1058000000.0,3.20043559803981,,,,,,,,5197398721.41367,37881948506.2296,,1451.2850779894,37497372964.8106,,,12.0,18.4,73.549756097561,63.0456496722674,,3581239.0,1744139.0,48.7021174940466
YR1961,1414.0,385178.0,,9.88325612467282,2.15517277670924,1179000000.0,3.00420435724296,,,,,,,2.64762523922136,5669689210.3186,41324302064.1672,6.27333551040714,1570.63804374719,40911751801.1969,,,12.0,18.0,73.5504878048781,63.1621873161615,0.794353922504427,3609800.0,1770346.0,49.0427689217465
YR1962,1414.0,385178.0,,9.96297817349498,5.27425952920728,1371000000.0,3.24151790991843,,,,,,,4.76642231309302,6107076928.63372,44512262024.6383,2.81394513844555,1678.26725653992,44051221989.6277,1620.0,,12.0,17.5,73.4480487804878,63.3212333267653,0.80340155650308,3638918.0,1821515.0,50.0565130237641
YR1963,1414.0,385178.0,,10.0385961165686,2.47161052896502,1465000000.0,3.20842732309849,,,,,,,3.39269846344999,6553269535.51009,47764397614.6809,3.78504308366054,1787.31853394909,47217044083.4936,1730.0,,11.9,17.1,73.0775609756098,63.3997618435903,0.756123515554719,3666537.0,1893046.0,51.630345175826
YR1964,1414.0,385178.0,,10.1147150945669,5.86701538751924,1570000000.0,3.11916398458299,,,,,,,4.72213271659253,7206522121.80418,52525718067.8523,5.0096509866239,1950.69324222931,51903932311.2774,1880.0,,11.7,16.6,73.5958536585366,63.3798912925789,0.755402813635902,3694339.0,1980661.0,53.6134065224954
YR1965,1414.0,385178.0,,10.1936458915136,4.18722443997995,1897000000.0,3.39793651930931,,,,,,,4.77463485541034,8111945661.21624,57942491664.8881,5.28560880055215,2178.77508111808,57267742881.2099,2080.0,,11.4,16.0,73.7231707317073,63.2748634766269,0.777327076680891,3723168.0,2079569.0,55.8548382083355
YR1966,1414.0,385178.0,,10.2753556526596,3.25056334305309,1947000000.0,3.56795983067309,,,,,,,3.97708171789451,8753940266.90184,62528169212.8395,3.78651325489732,2332.51059866098,61783095042.5822,2260.0,,11.1,15.4,73.9953658536585,63.1115902215113,0.798379881806135,3753012.0,2184395.0,58.2037813779095
YR1967,1414.0,385178.0,,10.3616732923744,4.57926975753998,2097000000.0,3.51256281407035,,,,,,,2.96497542592884,9577383653.18303,68409909986.1069,6.25607900635556,2530.66057799458,67583597883.741,2500.0,,10.7,14.8,74.0665853658537,62.9544992085325,0.836536531640014,3784539.0,2290001.0,60.5093771757808
YR1968,1414.0,385178.0,,10.4491408483096,3.44829324254207,2300000000.0,3.6078431372549,,,,,,,4.42387685275617,10227087165.2414,73050651172.5374,2.25987552819265,2679.71300438189,72230307537.8713,2660.0,,10.4,14.2,73.9419512195122,62.8399423703017,0.840602106098354,3816486.0,2389913.0,62.6207667465127
YR1969,1414.0,385178.0,,10.534620691921,2.96294951075211,2502000000.0,3.60425249935175,,,,,,,4.1955376219299,11136187439.8326,79544227101.5397,4.50461145559137,2894.23998236681,78841419526.7482,2890.0,,10.1,13.6,73.6634146341463,62.7312658422625,0.814728248605471,3847707.0,2477427.0,64.3870912346684
