Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,,,,,,,,,,57.924,61.3022246337493,,4607.0,4607.0,100.0
YR1961,,20.0,,238.7,,,,,,,,,,,,,,,,,,,,58.005,61.2234209699382,3.56076419628584,4774.0,4774.0,100.0
YR1962,,20.0,,248.95,,,,,,,,,,,,,,,,,,,,58.023,61.0223963041077,4.20445397434073,4979.0,4979.0,100.0
YR1963,,20.0,,261.3,,,,,,,,,,,,,,,,,,,,58.099,60.4515450110016,4.8417099438375,5226.0,5226.0,100.0
YR1964,,20.0,,275.75,,,,,,,,,,,,,,,,,,,,58.167,59.6064919757004,5.3825485607045,5515.0,5515.0,100.0
YR1965,,20.0,,291.6,,,,,,,,,,,,,,,,,,,,58.255,58.6984480836834,5.58883420008912,5832.0,5832.0,100.0
YR1966,,20.0,,302.15,,,,,,,,,,,,,,,,,,,,58.385,58.0954744767105,3.55405826730645,6043.0,6043.0,100.0
YR1967,,20.0,,306.75,,,,,,,,,,,,,,,,,,,,58.62,58.0813432227565,1.51095007834533,6135.0,6135.0,100.0
YR1968,,20.0,,316.4,,,,,,,,,,,,,,,,,,,,58.633,56.9611251580278,3.0974152302478,6328.0,6328.0,100.0
YR1969,,20.0,,329.05,,,,,,,,,,,,,,,,,,,,58.408,55.5994529706731,3.92024790086294,6581.0,6581.0,100.0
YR1970,,20.0,,335.5,,,,,,,,,,,17570366.2224213,15688580.0,,2618.53445937725,18776072.0,,,,,58.449,56.1889857664505,1.94122415096083,6710.0,6710.0,100.0
