Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,0.697929233796477,72300000.0,2.69073315965761,,,,,,,,5536098360.49526,2843960099.51605,,2334.1337214332,2860375353.52308,,,,22.5,71.2365853658537,58.517794115144,,2371800.0,1479424.0,62.3755629526819
YR1961,1732.0,267710.0,,9.1895484410011,1.79770429009208,69175000.0,2.48562702120014,,,,,,,0.212462103298179,5721994864.23066,2944498532.92342,3.31564965480375,2364.75383900097,2916757269.54058,,,,21.8,70.9853658536585,58.4368043257179,1.99944049933518,2419700.0,1545475.0,63.8705065573623
YR1962,1732.0,267710.0,,9.42615168432646,2.68085396987461,69275000.0,2.30993664554852,,,,,,,4.51697975882774,6133158532.21667,3172314844.99253,3.08087345285611,2471.05500895111,3154366772.75722,2440.0,,,20.9,71.2317073170732,58.5078922317416,2.54211212405058,2482000.0,1609785.0,64.8583891809316
YR1963,1732.0,267710.0,,9.61528236679199,1.96849850441887,71950000.0,2.1982890314696,,,,,,,2.95556219747468,6699741645.07827,3465374287.43341,6.1021173586868,2646.23652937762,3423187758.20573,2570.0,,,20.1,71.280487804878,58.6441628224416,1.98658254381755,2531800.0,1662626.0,65.6697319381245
YR1964,1732.0,267710.0,,9.81884470775891,3.4749054767661,88750000.0,2.47283365840067,,,,,,,3.26532605688507,7340766415.01868,3796937931.68099,6.10328462223218,2839.31554692453,3738322331.50996,2750.0,,,19.4,71.3292682926829,58.7881423973822,2.09497226471195,2585400.0,1718578.0,66.472432690931
YR1965,1732.0,267710.0,,9.98215031711671,3.39748975611084,91325000.0,2.35555842145989,,,,,,,1.85915133151096,5706251400.19577,4103901740.98114,6.11173186378382,2170.99809777651,4049429882.84455,2640.0,,,18.8,71.2268292682927,58.9304885447281,1.64950611738654,2628400.0,1772574.0,67.4392706432813
YR1966,1732.0,267710.0,,10.162546048384,2.75548077542815,106600000.0,2.639267145333,,,,,,,-2.39768040308014,5917437693.37459,4255785654.86166,6.24846226221023,2211.38222406465,4189377659.65001,2490.0,,,18.3,71.1243902439025,59.0737843104546,1.79104763183873,2675900.0,1841895.0,68.8327191732295
YR1967,1732.0,267710.0,,10.3456002430595,6.05692006267522,109750000.0,2.62371503705475,,,,,,,8.70035317942445,6016017227.09124,4413744801.29198,-4.58942404013791,2208.44213762022,4341407533.34797,2170.0,,,17.9,71.4731707317073,59.1828030900124,1.7852325973011,2724100.0,1942310.0,71.3009705022597
YR1968,1732.0,267710.0,,10.4367475599104,4.31192496550194,121000000.0,2.72768259693418,,,,,,,5.80988588925719,5228045415.27318,4667897024.28805,-0.0488485286226563,1902.42182426883,4609221505.55818,2100.0,,11.1,17.6,71.1243902439025,59.2593896843576,0.877166546691753,2748100.0,2050174.0,74.6033198421472
YR1969,1732.0,267710.0,,10.5305533401694,4.92524242695133,131750000.0,2.56622516556291,,,,,,,0.925706681679202,5814357708.51005,5191390068.34396,10.194671898837,2096.92646729301,5120686287.17717,2250.0,,10.9,17.3,71.4731707317073,59.3844022741708,0.894787617931309,2772800.0,2160363.0,77.912701011482
