Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,,,,,,,,,,,44234656.4535004,15800000.0,,83.3853105243323,15800000.0,,,,238.9,35.429,55.0755959881957,,530485.0,87000.0,16.3999996185303
YR1961,125.0,309500.0,,1.74427786752827,,,,,,,7.97546012269939,14300000.0,87.7300613496933,2.00213410953612,45634487.3539276,16300000.0,1.13960640396104,84.5311646369716,16300000.0,,,,230.9,36.386,55.0513241092259,1.75070501890693,539854.0,94380.0,17.4825410125718
YR1962,125.0,309500.0,,1.77686914378029,,,,,,,23.3830845771144,14900000.0,74.1293532338308,2.60017386979381,56273202.1971746,20100000.0,20.1877918765272,102.325889863048,20100000.0,100.0,,,223.3,37.413,54.9430757117582,1.85122671138216,549941.0,103006.0,18.7303793408933
YR1963,125.0,309500.0,,1.81204200323102,,,,,,,24.2990654205607,15500000.0,72.4299065420561,1.85247784939668,59912762.5382854,21400000.0,4.5312435589145,106.829311959455,21400000.0,110.0,,,215.8,38.498,54.5633501953365,1.96014803227287,560827.0,112901.0,20.1310968378954
YR1964,125.0,309500.0,,1.85000646203554,,,,,,,23.9819004524887,16000000.0,72.3981900452489,3.19390148594043,61872525.7988835,22100000.0,0.0747394471302556,108.059747071369,22100000.0,110.0,,,208.1,39.628,53.9466709746716,2.07347441331261,572577.0,124090.0,21.6722757379784
YR1965,125.0,309500.0,,1.89090791599354,,,,,,,23.4513274336283,16500000.0,73.0088495575221,1.8062512501831,63279974.6880101,22600000.0,0.448098405676362,108.127276326149,22600000.0,110.0,,,201.2,40.791,53.3591178252174,2.18679604828201,585236.0,136603.0,23.3414982755429
YR1966,125.0,309500.0,,1.93474636510501,,,,,,,25.6198347107438,17200000.0,71.0743801652893,1.78241709916608,67759972.8960108,24200000.0,5.20446366819129,113.158851470616,24200000.0,110.0,,,194.0,41.975,52.8364038984376,2.29191478660938,598804.0,150458.0,25.1263466849894
YR1967,125.0,309500.0,,1.98164135702746,,,,4694796.78434037,34400000.0,56.1855670103093,52.5773195876289,17500000.0,45.1030927835052,-3.54261678491228,107151832.489651,38800000.0,66.2190836702255,174.708442422448,35200000.0,170.0,,,186.7,43.177,52.3162924320724,2.39492290725343,613318.0,165684.0,27.0144032007182
YR1968,125.0,309500.0,,2.03165751211632,,,,9119992.70400584,35100000.0,84.8792884371029,73.8246505717916,19500000.0,24.7776365946633,11.5165806535114,188879848.896121,78700000.0,81.8877967363546,300.382394498902,59500000.0,250.0,,,179.4,44.395,51.8028047163,2.49264988259444,628798.0,182309.0,28.9932500571299
YR1969,125.0,309500.0,,2.08483037156704,,,,12239990.2080078,37300000.0,86.5,77.2,21500000.0,21.5,1.11297596026634,239999808.000154,100000000.0,25.6661688006167,371.945677290612,76700000.0,300.0,,,172.1,45.624,51.3003386258146,2.5835527054861,645255.0,200355.0,31.050469488625
YR1970,125.0,309500.0,1.1782156741573,2.14113085621971,,,,32879973.696021,49100000.0,93.3520599250936,77.247191011236,23000000.0,21.5355805243446,-6.22950123380438,256319794.944164,106800000.0,13.8950964378378,386.792712839023,88600000.0,350.0,,,164.6,46.64,50.8121566970484,2.66466315671148,662680.0,219835.0,33.1736437296039
YR1971,125.0,309500.0,-0.0896978417266187,2.20070759289176,,12075000.0,9.65227817745803,62560153.9942252,83000000.0,97.9216626698641,75.779376498801,29000000.0,23.1814548361311,16.0920634078247,301010587.102984,125100000.0,0.898225100183055,441.935384423256,105100000.0,360.0,3.11800003051758,52.5,156.9,47.868,50.3407997286816,2.74448148383549,681119.0,240778.0,35.350355014467
YR1972,125.0,309500.0,0.466087947443182,2.26362843295638,,20925000.0,14.8615056818182,108657982.71374,118800000.0,103.125,71.0227272727273,38900000.0,27.6278409090909,2.48097456677132,366883548.347591,140800000.0,9.82522415284279,523.675726630998,111800000.0,400.0,13.1689901351929,51.0,149.6,48.717,49.8864177301103,2.81900853688681,700593.0,263200.0,37.568185577615
