Year,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
YR1960,,,,,0.0511770724157666,,,56085100.0,544428000.0,100.168147607983,,,,,537147100.0,537147100.0,,477.037935000289,476969600.0,,,39.6,65.1,60.278,52.4925078008125,,1126005.0,464946.0,41.2916162081071
YR1961,2928.0,75420.0,,15.6022329835889,0.613810741946727,,,59553000.0,606302600.0,100.854603545788,,,,0.534928520506099,599026300.0,599026300.0,10.926594841623,516.459861881073,535851800.0,,,39.4,63.8,60.914,52.3532604314537,2.96319596675849,1159870.0,484217.0,41.7474898769311
YR1962,2928.0,75420.0,,16.0788404627388,0.788002033555912,,,66847700.0,651470900.0,110.350381347999,,,,0.57161868134952,652120900.0,652120900.0,8.24473681997463,545.570446272529,585984500.0,500.0,,39.2,62.5,61.428,52.2140866610168,3.0090106638944,1195301.0,505900.0,42.3240728270497
YR1963,2928.0,75420.0,,16.5741727199354,0.449887528120002,,,80241100.0,736960500.0,112.75063314169,,,,2.11645751616929,722784500.0,722784500.0,8.53878879939805,586.61668793076,651251500.0,530.0,,39.0,61.1,61.814,52.0767390295133,3.0341472885667,1232124.0,529870.0,43.0046309262036
YR1964,2928.0,75420.0,,17.0845439870864,2.41353570491375,,,78088600.0,769469700.0,109.419658243546,,,,2.8242852366137,776137500.0,776137500.0,4.43213036829097,611.100612960754,703985400.0,550.0,,38.8,59.9,62.101,51.9743477696023,3.03285708659828,1270065.0,555688.0,43.7526829345529
YR1965,2928.0,75420.0,,17.6060667204735,0.461613216719862,,,86579100.0,843474100.0,112.671960443189,,,,0.62005728096517,852485300.0,852485300.0,9.16003626205379,651.331374848625,761567000.0,590.0,,38.6,58.6,62.337,51.9185382420244,3.00693482994189,1308835.0,582847.0,44.5317476122575
YR1966,2928.0,75420.0,,18.138122141512,0.193470375092593,,,103679700.0,939309100.0,116.110818629398,,,,1.27763206158133,928833000.0,928833000.0,7.58140188284906,688.846978762789,830854100.0,630.0,,38.2,57.4,62.629,51.8892751527287,2.97723763392264,1348388.0,610892.0,45.3053437194774
YR1967,2928.0,75420.0,,18.6794188861985,1.37581462709177,,,122693600.0,1027049200.0,114.725277954911,,,,2.58867284859927,1034376400.0,1034376400.0,8.55293117898977,744.890928311974,919886800.0,670.0,,37.3,56.1,62.887,51.8944785408614,2.94064044260943,1388628.0,639283.0,46.0369900163726
YR1968,2928.0,75420.0,,19.2285041700296,1.61904761953549,,,131184100.0,1093123100.0,113.983990346436,,,,0.564117768165403,1112791100.0,1112791100.0,6.97738862373494,778.476641666323,988582800.0,710.0,,36.0,54.7,63.242,51.9418530179339,2.89714468643429,1429447.0,667412.0,46.6902052631029
YR1969,2928.0,75420.0,,19.7859295130482,1.82755388941356,,,141348800.0,1227701000.0,117.290003641185,,,,1.20819233814838,1221305700.0,1221305700.0,8.44138916877408,830.319752856442,1087902200.0,770.0,,34.3,53.0,63.66,52.0247837102208,2.85772841234394,1470886.0,694678.0,47.2285082198283
